item,lang,exp,AttachType,gender,N1_changed,N2_changed,N1,N2,mask_sents,auto_sents,target
13,Spanish,5,low,m,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_m
13,Spanish,5,high,m,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_m
13,Spanish,5,ambi,f,0,1,la abuela,de la chica,Los chicos se reían con la abuela de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela de la chica que estaba,$ES_Adj_f
13,Spanish,5,low,f,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_f
13,Spanish,5,high,f,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_f
13,Spanish,5,ambi,m,0,0,al secretario,del gerente,El cartero se acercó al secretario del gerente que estaba MASKTOKEN.,El cartero se acercó al secretario del gerente que estaba,$ES_Adj_m
13,Spanish,5,low,m,0,0,a la secretaria,del gerente,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria del gerente que estaba,$ES_Adj_m
13,Spanish,5,high,m,0,0,al secretario,de la gerente,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,El cartero se acercó al secretario de la gerente que estaba,$ES_Adj_m
13,Spanish,5,ambi,f,0,0,a la secretaria,de la gerente,El cartero se acercó a la secretaria de la gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria de la gerente que estaba,$ES_Adj_f
13,Spanish,5,low,f,0,0,al secretario,de la gerente,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,El cartero se acercó al secretario de la gerente que estaba,$ES_Adj_f
13,Spanish,5,high,f,0,0,a la secretaria,del gerente,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria del gerente que estaba,$ES_Adj_f
15,Spanish,5,ambi,m,0,0,del nieto,del campesino,El turista hizo un dibujo del nieto del campesino que estaba MASKTOKEN.,El turista hizo un dibujo del nieto del campesino que estaba,$ES_Adj_m
15,Spanish,5,low,m,0,0,de la nieta,del campesino,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta del campesino que estaba,$ES_Adj_m
15,Spanish,5,high,m,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_m
15,Spanish,5,ambi,f,0,0,de la nieta,de la campesina,El turista hizo un dibujo de la nieta de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta de la campesina que estaba,$ES_Adj_f
15,Spanish,5,low,f,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_f
15,Spanish,5,high,f,0,0,de la nieta,del campesino,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta del campesino que estaba,$ES_Adj_f
16,Spanish,5,ambi,m,0,0,el visitante,del paciente,La enfermera tropezó con el visitante del paciente que estaba MASKTOKEN.,La enfermera tropezó con el visitante del paciente que estaba,$ES_Adj_m
16,Spanish,5,low,m,0,0,la visitante,del paciente,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,La enfermera tropezó con la visitante del paciente que estaba,$ES_Adj_m
16,Spanish,5,high,m,0,0,el visitante,de la paciente,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,La enfermera tropezó con el visitante de la paciente que estaba,$ES_Adj_m
16,Spanish,5,ambi,f,0,0,la visitante,de la paciente,La enfermera tropezó con la visitante de la paciente que estaba MASKTOKEN.,La enfermera tropezó con la visitante de la paciente que estaba,$ES_Adj_f
16,Spanish,5,low,f,0,0,el visitante,de la paciente,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,La enfermera tropezó con el visitante de la paciente que estaba,$ES_Adj_f
16,Spanish,5,high,f,0,0,la visitante,del paciente,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,La enfermera tropezó con la visitante del paciente que estaba,$ES_Adj_f
17,Spanish,5,ambi,m,0,1,al hijo,del inmigrante,El alguacil encerró al hijo del inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró al hijo del inmigrante que estaba,$ES_Adj_m
17,Spanish,5,low,m,0,1,a la hija,del inmigrante,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró a la hija del inmigrante que estaba,$ES_Adj_m
17,Spanish,5,high,m,0,1,al hijo,de la inmigrante,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró al hijo de la inmigrante que estaba,$ES_Adj_m
17,Spanish,5,ambi,f,0,1,a la hija,de la inmigrante,El alguacil encerró a la hija de la inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró a la hija de la inmigrante que estaba,$ES_Adj_f
17,Spanish,5,low,f,0,1,al hijo,de la inmigrante,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró al hijo de la inmigrante que estaba,$ES_Adj_f
17,Spanish,5,high,f,0,1,a la hija,del inmigrante,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró a la hija del inmigrante que estaba,$ES_Adj_f
18,Spanish,5,ambi,m,0,1,al hermano,del propietario,Los rumores acusaban al hermano del propietario que estaba MASKTOKEN.,Los rumores acusaban al hermano del propietario que estaba,$ES_Adj_m
18,Spanish,5,low,m,0,1,a la hermana,del propietario,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,Los rumores acusaban a la hermana del propietario que estaba,$ES_Adj_m
18,Spanish,5,high,m,0,1,al hermano,de la propietaria,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,Los rumores acusaban al hermano de la propietaria que estaba,$ES_Adj_m
18,Spanish,5,ambi,f,0,1,a la hermana,de la propietaria,Los rumores acusaban a la hermana de la propietaria que estaba MASKTOKEN.,Los rumores acusaban a la hermana de la propietaria que estaba,$ES_Adj_f
18,Spanish,5,low,f,0,1,al hermano,de la propietaria,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,Los rumores acusaban al hermano de la propietaria que estaba,$ES_Adj_f
18,Spanish,5,high,f,0,1,a la hermana,del propietario,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,Los rumores acusaban a la hermana del propietario que estaba,$ES_Adj_f
19,Spanish,5,ambi,m,0,0,al amigo,del estudiante,El detective hizo una foto al amigo del estudiante que estaba MASKTOKEN.,El detective hizo una foto al amigo del estudiante que estaba,$ES_Adj_m
19,Spanish,5,low,m,0,0,a la amiga,del estudiante,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,El detective hizo una foto a la amiga del estudiante que estaba,$ES_Adj_m
19,Spanish,5,high,m,0,0,al amigo,de la estudiante,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,El detective hizo una foto al amigo de la estudiante que estaba,$ES_Adj_m
19,Spanish,5,ambi,f,0,0,a la amiga,de la estudiante,El detective hizo una foto a la amiga de la estudiante que estaba MASKTOKEN.,El detective hizo una foto a la amiga de la estudiante que estaba,$ES_Adj_f
19,Spanish,5,low,f,0,0,al amigo,de la estudiante,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,El detective hizo una foto al amigo de la estudiante que estaba,$ES_Adj_f
19,Spanish,5,high,f,0,0,a la amiga,del estudiante,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,El detective hizo una foto a la amiga del estudiante que estaba,$ES_Adj_f
20,Spanish,5,ambi,m,0,0,al hermano,del ministro,María saludó al hermano del ministro que estaba MASKTOKEN de volver a su pueblo.,María saludó al hermano del ministro que estaba,$ES_Adj_m
20,Spanish,5,low,m,0,0,a la hermana,del ministro,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,María saludó a la hermana del ministro que estaba,$ES_Adj_m
20,Spanish,5,high,m,0,0,al hermano,de la ministra,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,María saludó al hermano de la ministra que estaba,$ES_Adj_m
20,Spanish,5,ambi,f,0,0,a la hermana,de la ministra,María saludó a la hermana de la ministra que estaba MASKTOKEN de volver a su pueblo.,María saludó a la hermana de la ministra que estaba,$ES_Adj_f
20,Spanish,5,low,f,0,0,al hermano,de la ministra,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,María saludó al hermano de la ministra que estaba,$ES_Adj_f
20,Spanish,5,high,f,0,0,a la hermana,del ministro,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,María saludó a la hermana del ministro que estaba,$ES_Adj_f
21,Spanish,5,ambi,m,0,1,el amigo,del jefe,Ayer me encontré con el amigo del jefe que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con el amigo del jefe que fue,$ES_Adj_m
21,Spanish,5,low,m,0,1,la amiga,del jefe,Ayer me encontré con la amiga del jefe que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con la amiga del jefe que fue,$ES_Adj_m
21,Spanish,5,high,m,0,1,el amigo,de la jefa,Ayer me encontré con el amigo de la jefa que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con el amigo de la jefa que fue,$ES_Adj_m
21,Spanish,5,ambi,f,0,1,la amiga,de la jefa,Ayer me encontré con la amiga de la jefa que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con la amiga de la jefa que fue,$ES_Adj_f
21,Spanish,5,low,f,0,1,el amigo,de la jefa,Ayer me encontré con el amigo de la jefa que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con el amigo de la jefa que fue,$ES_Adj_f
21,Spanish,5,high,f,0,1,la amiga,del jefe,Ayer me encontré con la amiga del jefe que fue MASKTOKEN de nuestra empresa.,Ayer me encontré con la amiga del jefe que fue,$ES_Adj_f
22,Spanish,5,ambi,m,0,1,al secretario,del gerente,El periodista entrevistó al secretario del gerente que estaba MASKTOKEN.,El periodista entrevistó al secretario del gerente que estaba,$ES_Adj_m
22,Spanish,5,low,m,0,1,a la secretaria,del gerente,El periodista entrevistó a la secretaria del gerente que estaba MASKTOKEN.,El periodista entrevistó a la secretaria del gerente que estaba,$ES_Adj_m
22,Spanish,5,high,m,0,1,al secretario,de la gerente,El periodista entrevistó al secretario de la gerente que estaba MASKTOKEN.,El periodista entrevistó al secretario de la gerente que estaba,$ES_Adj_m
22,Spanish,5,ambi,f,0,1,a la secretaria,de la gerente,El periodista entrevistó a la secretaria de la gerente que estaba MASKTOKEN.,El periodista entrevistó a la secretaria de la gerente que estaba,$ES_Adj_f
22,Spanish,5,low,f,0,1,al secretario,de la gerente,El periodista entrevistó al secretario de la gerente que estaba MASKTOKEN.,El periodista entrevistó al secretario de la gerente que estaba,$ES_Adj_f
22,Spanish,5,high,f,0,1,a la secretaria,del gerente,El periodista entrevistó a la secretaria del gerente que estaba MASKTOKEN.,El periodista entrevistó a la secretaria del gerente que estaba,$ES_Adj_f
23,Spanish,5,ambi,m,0,0,el hermano,del chico,Pedro se divertía con el hermano del chico que estaba MASKTOKEN.,Pedro se divertía con el hermano del chico que estaba,$ES_Adj_m
23,Spanish,5,low,m,0,0,a la hermana,del chico,Pedro se divertía con a la hermana del chico que estaba MASKTOKEN.,Pedro se divertía con a la hermana del chico que estaba,$ES_Adj_m
23,Spanish,5,high,m,0,0,el hermano,de la chica,Pedro se divertía con el hermano de la chica que estaba MASKTOKEN.,Pedro se divertía con el hermano de la chica que estaba,$ES_Adj_m
23,Spanish,5,ambi,f,0,0,a la hermana,de la chica,Pedro se divertía con a la hermana de la chica que estaba MASKTOKEN.,Pedro se divertía con a la hermana de la chica que estaba,$ES_Adj_f
23,Spanish,5,low,f,0,0,el hermano,de la chica,Pedro se divertía con el hermano de la chica que estaba MASKTOKEN.,Pedro se divertía con el hermano de la chica que estaba,$ES_Adj_f
23,Spanish,5,high,f,0,0,a la hermana,del chico,Pedro se divertía con a la hermana del chico que estaba MASKTOKEN.,Pedro se divertía con a la hermana del chico que estaba,$ES_Adj_f
24,Spanish,5,ambi,m,0,1,al ayudante,del diputado,La explosión alcanzó al ayudante del diputado que fue ascendido por sus MASKTOKEN.,La explosión alcanzó al ayudante del diputado que fue ascendido por sus,$ES_Adj_m
24,Spanish,5,low,m,0,1,a la ayudante,del diputado,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus MASKTOKEN.,La explosión alcanzó a la ayudante del diputado que fue ascendido por sus,$ES_Adj_m
24,Spanish,5,high,m,0,1,al ayudante,de la diputada,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus MASKTOKEN.,La explosión alcanzó al ayudante de la diputada que fue ascendido por sus,$ES_Adj_m
24,Spanish,5,ambi,f,0,1,a la ayudante,de la diputada,La explosión alcanzó a la ayudante de la diputada que fue ascendido por sus MASKTOKEN.,La explosión alcanzó a la ayudante de la diputada que fue ascendido por sus,$ES_Adj_f
