item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
6a,Spanish,Fernandez,high,sg,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_SG
6a,Spanish,Fernandez,ambi,pl,1,0,a los analistas,de los embajadores,analistas,embajadores,Carlos conoció a los analistas de los embajadores que MASKTOKEN en la compañia.,Carlos conoció a los analistas de los embajadores que,$ES_PL
6a,Spanish,Fernandez,low,pl,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_PL
6a,Spanish,Fernandez,high,pl,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_PL
7a,Spanish,Fernandez,ambi,sg,1,1,el verso,de la poema,verso,poema,Rosa leyó el verso de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de la poema que,$ES_SG
7a,Spanish,Fernandez,low,sg,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_SG
7a,Spanish,Fernandez,high,sg,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_SG
7a,Spanish,Fernandez,ambi,pl,1,1,los versos,de las poemas,versos,poemas,Rosa leyó los versos de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de las poemas que,$ES_PL
7a,Spanish,Fernandez,low,pl,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_PL
7a,Spanish,Fernandez,high,pl,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_PL
8a,Spanish,Fernandez,ambi,sg,0,1,el tubo,de la cocina,tubo,cocina,El plomero ajustó el tubo de la cocina que MASKTOKEN en la casa.,El plomero ajustó el tubo de la cocina que,$ES_SG
8a,Spanish,Fernandez,low,sg,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_SG
8a,Spanish,Fernandez,high,sg,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_SG
8a,Spanish,Fernandez,ambi,pl,0,1,los tubos,de las cocinas,tubos,cocinas,El plomero ajustó los tubos de las cocinas que MASKTOKEN en la casa.,El plomero ajustó los tubos de las cocinas que,$ES_PL
8a,Spanish,Fernandez,low,pl,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_PL
8a,Spanish,Fernandez,high,pl,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_PL
9a,Spanish,Fernandez,ambi,sg,0,1,el cable,del radio,cable,radio,María remplazó el cable del radio que MASKTOKEN en el coche.,María remplazó el cable del radio que,$ES_SG
9a,Spanish,Fernandez,low,sg,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_SG
9a,Spanish,Fernandez,high,sg,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_SG
9a,Spanish,Fernandez,ambi,pl,0,1,los cables,de los radios,cables,radios,María remplazó los cables de los radios que MASKTOKEN en el coche.,María remplazó los cables de los radios que,$ES_PL
9a,Spanish,Fernandez,low,pl,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_PL
9a,Spanish,Fernandez,high,pl,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_PL
10a,Spanish,Fernandez,ambi,sg,1,1,el ritmo,del canto,ritmo,canto,A mi hermano le gustaba escuchar el ritmo del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo del canto que,$ES_SG
10a,Spanish,Fernandez,low,sg,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_SG
10a,Spanish,Fernandez,high,sg,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_SG
10a,Spanish,Fernandez,ambi,pl,1,1,los ritmos,de los cantos,ritmos,cantos,A mi hermano le gustaba escuchar los ritmos de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos de los cantos que,$ES_PL
10a,Spanish,Fernandez,low,pl,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_PL
10a,Spanish,Fernandez,high,pl,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_PL
11a,Spanish,Fernandez,ambi,sg,1,1,el color,del plato,color,plato,El cocinero no pudo encontrar el color del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color del plato que,$ES_SG
11a,Spanish,Fernandez,low,sg,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_SG
11a,Spanish,Fernandez,high,sg,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_SG
11a,Spanish,Fernandez,ambi,pl,1,1,los colores,de los platos,colores,platos,El cocinero no pudo encontrar los colores de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores de los platos que,$ES_PL
11a,Spanish,Fernandez,low,pl,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_PL
11a,Spanish,Fernandez,high,pl,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_PL
12a,Spanish,Fernandez,ambi,sg,0,1,la llave,de la caja,llave,caja,El ladrón se llevó la llave de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de la caja que,$ES_SG
12a,Spanish,Fernandez,low,sg,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_SG
12a,Spanish,Fernandez,high,sg,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_SG
12a,Spanish,Fernandez,ambi,pl,0,1,las llaves,de las cajas,llaves,cajas,El ladrón se llevó las llaves de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de las cajas que,$ES_PL
12a,Spanish,Fernandez,low,pl,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_PL
12a,Spanish,Fernandez,high,pl,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_PL
13a,Spanish,Fernandez,ambi,sg,0,1,a la hija,del prisionero,hija,prisionero,El periodista no pudo entrevistar a la hija del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija del prisionero que,$ES_SG
13a,Spanish,Fernandez,low,sg,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_SG
13a,Spanish,Fernandez,high,sg,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_SG
13a,Spanish,Fernandez,ambi,pl,0,1,a las hijas,de los prisioneros,hijas,prisioneros,El periodista no pudo entrevistar a las hijas de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas de los prisioneros que,$ES_PL
13a,Spanish,Fernandez,low,pl,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_PL
13a,Spanish,Fernandez,high,pl,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_PL
14a,Spanish,Fernandez,ambi,sg,0,0,al profesor,del estudiante,profesor,estudiante,Patricia vio al profesor del estudiante que MASKTOKEN en clase.,Patricia vio al profesor del estudiante que,$ES_SG
14a,Spanish,Fernandez,low,sg,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_SG
14a,Spanish,Fernandez,high,sg,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_SG
14a,Spanish,Fernandez,ambi,pl,0,0,a los profesores,de los estudiantes,profesores,estudiantes,Patricia vio a los profesores de los estudiantes que MASKTOKEN en clase.,Patricia vio a los profesores de los estudiantes que,$ES_PL
14a,Spanish,Fernandez,low,pl,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_PL
14a,Spanish,Fernandez,high,pl,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_PL
15a,Spanish,Fernandez,ambi,sg,1,0,al director,del asistente,director,asistente,Linda escribió al director del asistente que MASKTOKEN en la universidad.,Linda escribió al director del asistente que,$ES_SG
15a,Spanish,Fernandez,low,sg,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_SG
15a,Spanish,Fernandez,high,sg,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_SG
15a,Spanish,Fernandez,ambi,pl,1,0,a los directores,de los asistentes,directores,asistentes,Linda escribió a los directores de los asistentes que MASKTOKEN en la universidad.,Linda escribió a los directores de los asistentes que,$ES_PL
15a,Spanish,Fernandez,low,pl,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_PL
15a,Spanish,Fernandez,high,pl,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_PL
16a,Spanish,Fernandez,ambi,sg,1,0,al conductor,del turista,conductor,turista,El director del hotel no quiso ver al conductor del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor del turista que,$ES_SG
16a,Spanish,Fernandez,low,sg,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_SG
16a,Spanish,Fernandez,high,sg,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_SG
16a,Spanish,Fernandez,ambi,pl,1,0,a los conductores,de los turistas,conductores,turistas,El director del hotel no quiso ver a los conductores de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores de los turistas que,$ES_PL
16a,Spanish,Fernandez,low,pl,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_PL
16a,Spanish,Fernandez,high,pl,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_PL
17a,Spanish,Fernandez,ambi,sg,0,0,al cliente,del abogado,cliente,abogado,La recepcionista saludó al cliente del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente del abogado que,$ES_SG
17a,Spanish,Fernandez,low,sg,0,0,a los clientes,del abogado,clientes,abogado,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes del abogado que,$ES_SG
17a,Spanish,Fernandez,high,sg,0,0,al cliente,de los abogados,cliente,abogados,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente de los abogados que,$ES_SG
17a,Spanish,Fernandez,ambi,pl,0,0,a los clientes,de los abogados,clientes,abogados,La recepcionista saludó a los clientes de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes de los abogados que,$ES_PL
17a,Spanish,Fernandez,low,pl,0,0,al cliente,de los abogados,cliente,abogados,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente de los abogados que,$ES_PL
17a,Spanish,Fernandez,high,pl,0,0,a los clientes,del abogado,clientes,abogado,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes del abogado que,$ES_PL
18a,Spanish,Fernandez,ambi,sg,1,0,al guarda,del embajador,guarda,embajador,Nadie vio al guarda del embajador que MASKTOKEN en la fiesta.,Nadie vio al guarda del embajador que,$ES_SG
18a,Spanish,Fernandez,low,sg,1,0,a los guardas,del embajador,guardas,embajador,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,Nadie vio a los guardas del embajador que,$ES_SG
18a,Spanish,Fernandez,high,sg,1,0,al guarda,de los embajadores,guarda,embajadores,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,Nadie vio al guarda de los embajadores que,$ES_SG
18a,Spanish,Fernandez,ambi,pl,1,0,a los guardas,de los embajadores,guardas,embajadores,Nadie vio a los guardas de los embajadores que MASKTOKEN en la fiesta.,Nadie vio a los guardas de los embajadores que,$ES_PL
18a,Spanish,Fernandez,low,pl,1,0,al guarda,de los embajadores,guarda,embajadores,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,Nadie vio al guarda de los embajadores que,$ES_PL
18a,Spanish,Fernandez,high,pl,1,0,a los guardas,del embajador,guardas,embajador,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,Nadie vio a los guardas del embajador que,$ES_PL
19a,Spanish,Fernandez,ambi,sg,0,0,al hijo,del delegado,hijo,delegado,Ivana conoció al hijo del delegado que MASKTOKEN en el salón.,Ivana conoció al hijo del delegado que,$ES_SG
19a,Spanish,Fernandez,low,sg,0,0,a los hijos,del delegado,hijos,delegado,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,Ivana conoció a los hijos del delegado que,$ES_SG
19a,Spanish,Fernandez,high,sg,0,0,al hijo,de los delegados,hijo,delegados,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,Ivana conoció al hijo de los delegados que,$ES_SG
19a,Spanish,Fernandez,ambi,pl,0,0,a los hijos,de los delegados,hijos,delegados,Ivana conoció a los hijos de los delegados que MASKTOKEN en el salón.,Ivana conoció a los hijos de los delegados que,$ES_PL
19a,Spanish,Fernandez,low,pl,0,0,al hijo,de los delegados,hijo,delegados,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,Ivana conoció al hijo de los delegados que,$ES_PL
19a,Spanish,Fernandez,high,pl,0,0,a los hijos,del delegado,hijos,delegado,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,Ivana conoció a los hijos del delegado que,$ES_PL
20a,Spanish,Fernandez,ambi,sg,1,1,el componente,de la pluma,componente,pluma,Lisa no pudo encontrar el componente de la pluma que MASKTOKEN de oferta.,Lisa no pudo encontrar el componente de la pluma que,$ES_SG
20a,Spanish,Fernandez,low,sg,1,1,los componentes,de la pluma,componentes,pluma,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,Lisa no pudo encontrar los componentes de la pluma que,$ES_SG
20a,Spanish,Fernandez,high,sg,1,1,el componente,de las plumas,componente,plumas,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,Lisa no pudo encontrar el componente de las plumas que,$ES_SG
20a,Spanish,Fernandez,ambi,pl,1,1,los componentes,de las plumas,componentes,plumas,Lisa no pudo encontrar los componentes de las plumas que MASKTOKEN de oferta.,Lisa no pudo encontrar los componentes de las plumas que,$ES_PL
20a,Spanish,Fernandez,low,pl,1,1,el componente,de las plumas,componente,plumas,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,Lisa no pudo encontrar el componente de las plumas que,$ES_PL
20a,Spanish,Fernandez,high,pl,1,1,los componentes,de la pluma,componentes,pluma,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,Lisa no pudo encontrar los componentes de la pluma que,$ES_PL
21a,Spanish,Fernandez,ambi,sg,1,0,el relato,del manuscrito,relato,manuscrito,El estudiante leyó el relato del manuscrito que MASKTOKEN en el examen.,El estudiante leyó el relato del manuscrito que,$ES_SG
21a,Spanish,Fernandez,low,sg,1,0,los relatos,del manuscrito,relatos,manuscrito,El estudiante leyó los relatos del manuscrito que MASKTOKEN en el examen.,El estudiante leyó los relatos del manuscrito que,$ES_SG
21a,Spanish,Fernandez,high,sg,1,0,el relato,de los manuscritos,relato,manuscritos,El estudiante leyó el relato de los manuscritos que MASKTOKEN en el examen.,El estudiante leyó el relato de los manuscritos que,$ES_SG
21a,Spanish,Fernandez,ambi,pl,1,0,los relatos,de los manuscritos,relatos,manuscritos,El estudiante leyó los relatos de los manuscritos que MASKTOKEN en el examen.,El estudiante leyó los relatos de los manuscritos que,$ES_PL
21a,Spanish,Fernandez,low,pl,1,0,el relato,de los manuscritos,relato,manuscritos,El estudiante leyó el relato de los manuscritos que MASKTOKEN en el examen.,El estudiante leyó el relato de los manuscritos que,$ES_PL
21a,Spanish,Fernandez,high,pl,1,0,los relatos,del manuscrito,relatos,manuscrito,El estudiante leyó los relatos del manuscrito que MASKTOKEN en el examen.,El estudiante leyó los relatos del manuscrito que,$ES_PL
22a,Spanish,Fernandez,ambi,sg,0,1,el panel,de la caja,panel,caja,Los arqueólogos finalmente encontraron el panel de la caja que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron el panel de la caja que,$ES_SG
22a,Spanish,Fernandez,low,sg,0,1,los paneles,de la caja,paneles,caja,Los arqueólogos finalmente encontraron los paneles de la caja que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron los paneles de la caja que,$ES_SG
22a,Spanish,Fernandez,high,sg,0,1,el panel,de las cajas,panel,cajas,Los arqueólogos finalmente encontraron el panel de las cajas que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron el panel de las cajas que,$ES_SG
22a,Spanish,Fernandez,ambi,pl,0,1,los paneles,de las cajas,paneles,cajas,Los arqueólogos finalmente encontraron los paneles de las cajas que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron los paneles de las cajas que,$ES_PL
22a,Spanish,Fernandez,low,pl,0,1,el panel,de las cajas,panel,cajas,Los arqueólogos finalmente encontraron el panel de las cajas que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron el panel de las cajas que,$ES_PL
22a,Spanish,Fernandez,high,pl,0,1,los paneles,de la caja,paneles,caja,Los arqueólogos finalmente encontraron los paneles de la caja que MASKTOKEN en el poema.,Los arqueólogos finalmente encontraron los paneles de la caja que,$ES_PL
