item,lang,exp,AttachType,antecedent,hasIC,verb,verbNum,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
2,English,Rohde,high,NP1,0,lived,pl,next to the teachers,the second grader,teachers,grader,The man lived next to the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man lived next to the teachers of the second grader who,$PL
3,English,Rohde,high,NP1,1,assisted,sg,the maid,the executives,maid,executives,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,The woman assisted the maid of the executives who,$SG
3,English,Rohde,low,NP2,1,assisted,sg,the maids,the executive,maids,executive,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,The woman assisted the maids of the executive who,$SG
3,English,Rohde,low,NP2,1,assisted,pl,the maid,the executives,maid,executives,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,The woman assisted the maid of the executives who,$PL
3,English,Rohde,high,NP1,1,assisted,pl,the maids,the executive,maids,executive,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,The woman assisted the maids of the executive who,$PL
3,English,Rohde,high,NP1,0,joked,sg,with the maid,the executives,maid,executives,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,The woman joked with the maid of the executives who,$SG
3,English,Rohde,low,NP2,0,joked,sg,with the maids,the executive,maids,executive,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,The woman joked with the maids of the executive who,$SG
3,English,Rohde,low,NP2,0,joked,pl,with the maid,the executives,maid,executives,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,The woman joked with the maid of the executives who,$PL
3,English,Rohde,high,NP1,0,joked,pl,with the maids,the executive,maids,executives,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,The woman joked with the maids of the executive who,$PL
4,English,Rohde,high,NP1,1,trusted,sg,the captain,the sailors,captain,sailors,The man trusted the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man trusted the captain of the sailors who,$SG
4,English,Rohde,low,NP2,1,trusted,sg,the captains,the sailor,captains,sailor,The man trusted the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man trusted the captains of the sailor who,$SG
4,English,Rohde,low,NP2,1,trusted,pl,the captain,the sailors,captain,sailors,The man trusted the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man trusted the captain of the sailors who,$PL
4,English,Rohde,high,NP1,1,trusted,pl,the captains,the sailor,captains,sailor,The man trusted the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man trusted the captains of the sailor who,$PL
4,English,Rohde,high,NP1,0,stood,sg,near the captain,the sailors,captain,sailors,The man stood near the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man stood near the captain of the sailors who,$SG
4,English,Rohde,low,NP2,0,stood,sg,near the captains,the sailor,captains,sailor,The man stood near the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man stood near the captains of the sailor who,$SG
4,English,Rohde,low,NP2,0,stood,pl,near the captain,the sailors,captain,sailors,The man stood near the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man stood near the captain of the sailors who,$PL
4,English,Rohde,high,NP1,0,stood,pl,near the captains,the sailor,captains,sailor,The man stood near the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man stood near the captains of the sailor who,$PL
5,English,Rohde,high,NP1,1,corrected,sg,the secretary,the lawyers,secretary,lawyers,The woman corrected the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretary of the lawyers who,$SG
5,English,Rohde,low,NP2,1,corrected,sg,the secretary,the lawyer,secretaries,lawyer,The woman corrected the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretaries of the lawyer who,$SG
5,English,Rohde,low,NP2,1,corrected,pl,the secretary,the lawyers,secretary,lawyers,The woman corrected the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretary of the lawyers who,$PL
5,English,Rohde,high,NP1,1,corrected,pl,the secretaries,the lawyer,secretaries,lawyer,The woman corrected the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretaries of the lawyer who,$PL
5,English,Rohde,high,NP1,0,gossiped,sg,with the secretary,the lawyers,secretary,lawyers,The woman gossiped with the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretary of the lawyers who,$SG
5,English,Rohde,low,NP2,0,gossiped,sg,with the secretaries,the lawyer,secretaries,lawyer,The woman gossiped with the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretaries of the lawyer who,$SG
5,English,Rohde,low,NP2,0,gossiped,pl,with the secretary,the lawyers,secretary,lawyers,The woman gossiped with the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretary of the lawyers who,$PL
5,English,Rohde,high,NP1,0,gossiped,pl,with the secretaries,the lawyer,secretaries,lawyer,The woman gossiped with the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretaries of the lawyer who,$PL
6,English,Rohde,high,NP1,1,comforted,sg,the leader,the activists,leader,activists,The man comforted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leader of the activists who,$SG
6,English,Rohde,low,NP2,1,comforted,sg,the leaders,the activist,leaders,activist,The man comforted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leaders of the activist who,$SG
6,English,Rohde,low,NP2,1,comforted,pl,the leader,the activists,leader,activists,The man comforted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leader of the activists who,$PL
6,English,Rohde,high,NP1,1,comforted,pl,the leaders,the activist,leaders,activist,The man comforted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leaders of the activist who,$PL
6,English,Rohde,high,NP1,0,greeted,sg,the leader,the activists,leader,activists,The man greeted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leader of the activists who,$SG
6,English,Rohde,low,NP2,0,greeted,sg,the leaders,the activist,leaders,activist,The man greeted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leaders of the activist who,$SG
6,English,Rohde,low,NP2,0,greeted,pl,the leader,the activists,leader,activists,The man greeted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leader of the activists who,$PL
6,English,Rohde,high,NP1,0,greeted,pl,the leaders,the activist,leaders,activist,The man greeted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leaders of the activist who,$PL
7,English,Rohde,high,NP1,1,envies,sg,the manager,the cashiers,manager,cashiers,The woman envies the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman envies the manager of the cashiers who,$SG
7,English,Rohde,low,NP2,1,envies,sg,the managers,the cashier,managers,cashier,The woman envies the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman envies the managers of the cashier who,$SG
7,English,Rohde,low,NP2,1,envies,pl,the manager,the cashiers,manager,cashiers,The woman envies the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman envies the manager of the cashiers who,$PL
7,English,Rohde,high,NP1,1,envies,pl,the managers,the cashier,managers,cashier,The woman envies the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman envies the managers of the cashier who,$PL
7,English,Rohde,high,NP1,0,knows,sg,the manager,the cashiers,manager,cashiers,The woman knows the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman knows the manager of the cashiers who,$SG
7,English,Rohde,low,NP2,0,knows,sg,the managers,the cashier,managers,cashier,The woman knows the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman knows the managers of the cashier who,$SG
7,English,Rohde,low,NP2,0,knows,pl,the manager,the cashiers,manager,cashiers,The woman knows the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman knows the manager of the cashiers who,$PL
7,English,Rohde,high,NP1,0,knows,pl,the managers,the cashier,managers,cashier,The woman knows the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman knows the managers of the cashier who,$PL
8,English,Rohde,high,NP1,1,valued,sg,the daughter,the shopkeepers,daughter,shopkeepers,The man valued the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughter of the shopkeepers who,$SG
8,English,Rohde,low,NP2,1,valued,sg,the daughters,the shopkeeper,daughters,shopkeeper,The man valued the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughters of the shopkeeper who,$SG
8,English,Rohde,low,NP2,1,valued,pl,the daughter,the shopkeepers,daughter,shopkeepers,The man valued the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughter of the shopkeepers who,$PL
8,English,Rohde,high,NP1,1,valued,pl,the daughters,the shopkeeper,daughters,shopkeeper,The man valued the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughters of the shopkeeper who,$PL
8,English,Rohde,high,NP1,0,recognized,sg,the daughter,the shopkeepers,daughter,shopkeepers,The man recognized the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughter of the shopkeepers who,$SG
8,English,Rohde,low,NP2,0,recognized,sg,the daughters,the shopkeeper,daughters,shopkeeper,The man recognized the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughters of the shopkeeper who,$SG
8,English,Rohde,low,NP2,0,recognized,pl,the daughter,the shopkeepers,daughter,shopkeepers,The man recognized the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughter of the shopkeepers who,$PL
8,English,Rohde,high,NP1,0,recognized,pl,the daughters,the shopkeeper,daughters,shopkeeper,The man recognized the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughters of the shopkeeper who,$PL
9,English,Rohde,high,NP1,1,fears,sg,the uncle,the toddlers,uncle,toddlers,The woman fears the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman fears the uncle of the toddlers who,$SG
9,English,Rohde,low,NP2,1,fears,sg,the uncles,the toddler,uncles,toddler,The woman fears the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman fears the uncles of the toddler who,$SG
9,English,Rohde,low,NP2,1,fears,pl,the uncle,the toddlers,uncle,toddlers,The woman fears the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman fears the uncle of the toddlers who,$PL
9,English,Rohde,high,NP1,1,fears,pl,the uncles,the toddler,uncles,toddler,The woman fears the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman fears the uncles of the toddler who,$PL
9,English,Rohde,high,NP1,0,jogs,sg,with the uncle,the toddlers,uncle,toddlers,The woman jogs with the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncle of the toddlers who,$SG
9,English,Rohde,low,NP2,0,jogs,sg,with the uncles,the toddler,uncles,toddler,The woman jogs with the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncles of the toddler who,$SG
9,English,Rohde,low,NP2,0,jogs,pl,with the uncle,the toddlers,uncle,toddlers,The woman jogs with the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncle of the toddlers who,$PL
9,English,Rohde,high,NP1,0,jogs,pl,with the uncles,the toddler,uncles,toddler,The woman jogs with the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncles of the toddler who,$PL
10,English,Rohde,high,NP1,1,noticed,sg,the representative,the employees,representative,employees,The man noticed the representative of the employees who MASKTOKEN always wearing safety goggles.,The man noticed the representative of the employees who,$SG
10,English,Rohde,low,NP2,1,noticed,sg,the representatives,the employee,representatives,employee,The man noticed the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man noticed the representatives of the employee who,$SG
10,English,Rohde,low,NP2,1,noticed,pl,the representative,the employees,representative,employees,The man noticed the representative of the employees who MASKTOKEN always wearing safety goggles.,The man noticed the representative of the employees who,$PL
10,English,Rohde,high,NP1,1,noticed,pl,the representatives,the employee,representatives,employee,The man noticed the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man noticed the representatives of the employee who,$PL
10,English,Rohde,high,NP1,0,resembled,sg,the representative,the employees,representative,employees,The man resembled the representative of the employees who MASKTOKEN always wearing safety goggles.,The man resembled the representative of the employees who,$SG
10,English,Rohde,low,NP2,0,resembled,sg,the representatives,the employee,representatives,employee,The man resembled the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man resembled the representatives of the employee who,$SG
10,English,Rohde,low,NP2,0,resembled,pl,the representative,the employees,representative,employees,The man resembled the representative of the employees who MASKTOKEN always wearing safety goggles.,The man resembled the representative of the employees who,$PL
10,English,Rohde,high,NP1,0,resembled,pl,the representatives,the employee,representatives,employee,The man resembled the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man resembled the representatives of the employee who,$PL
11,English,Rohde,high,NP1,1,praised,sg,the gardener,the millionaires,gardener,millionaires,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardener of the millionaires who,$SG
11,English,Rohde,low,NP2,1,praised,sg,the gardeners,the millionaire,gardeners,millionaire,The woman praised the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardeners of the millionaire who,$SG
11,English,Rohde,low,NP2,1,praised,pl,the gardener,the millionaires,gardener,millionaires,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardener of the millionaires who,$PL
11,English,Rohde,high,NP1,1,praised,pl,the gardeners,the millionaire,gardeners,millionaire,The woman praised the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardeners of the millionaire who,$PL
11,English,Rohde,high,NP1,0,met,sg,the gardener,the millionaires,gardener,millionaires,The woman met the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardener of the millionaires who,$SG
11,English,Rohde,low,NP2,0,met,sg,the gardeners,the millionaire,gardeners,millionaire,The woman met the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardeners of the millionaire who,$SG
11,English,Rohde,low,NP2,0,met,pl,the gardener,the millionaires,gardener,millionaires,The woman met the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardener of the millionaires who,$PL
11,English,Rohde,high,NP1,0,met,pl,the gardeners,the millionaire,gardeners,millionaire,The woman met the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardeners of the millionaire who,$PL
12,English,Rohde,high,NP1,1,hates,sg,the cousin,the accountants,cousin,accountants,The man hates the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousin of the accountants who,$SG
12,English,Rohde,low,NP2,1,hates,sg,the cousins,the accountant,cousins,accountant,The man hates the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousins of the accountant who,$SG
12,English,Rohde,low,NP2,1,hates,pl,the cousin,the accountants,cousin,accountants,The man hates the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousin of the accountants who,$PL
12,English,Rohde,high,NP1,1,hates,pl,the cousins,the accountant,cousins,accountant,The man hates the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousins of the accountant who,$PL
12,English,Rohde,high,NP1,0,carpools,sg,with the cousin,the accountants,cousin,accountants,The man carpools with the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousin of the accountants who,$SG
12,English,Rohde,low,NP2,0,carpools,sg,with the cousins,the accountant,cousins,accountant,The man carpools with the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousins of the accountant who,$SG
12,English,Rohde,low,NP2,0,carpools,pl,with the cousin,the accountants,cousin,accountants,The man carpools with the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousin of the accountants who,$PL
12,English,Rohde,high,NP1,0,carpools,pl,with the cousins,the accountant,cousins,accountant,The man carpools with the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousins of the accountant who,$PL
13,English,Rohde,high,NP1,1,blamed,sg,the niece,the florists,niece,florists,The woman blamed the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the niece of the florists who,$SG
13,English,Rohde,low,NP2,1,blamed,sg,the nieces,the florist,nieces,florist,The woman blamed the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the nieces of the florist who,$SG
13,English,Rohde,low,NP2,1,blamed,pl,the niece,the florists,niece,florists,The woman blamed the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the niece of the florists who,$PL
13,English,Rohde,high,NP1,1,blamed,pl,the nieces,the florist,nieces,florist,The woman blamed the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the nieces of the florist who,$PL
13,English,Rohde,high,NP1,0,waited,sg,with the niece,the florists,niece,florists,The woman waited with the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the niece of the florists who,$SG
13,English,Rohde,low,NP2,0,waited,sg,with the nieces,the florist,nieces,florist,The woman waited with the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the nieces of the florist who,$SG
13,English,Rohde,low,NP2,0,waited,pl,with the niece,the florists,niece,florists,The woman waited with the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the niece of the florists who,$PL
13,English,Rohde,high,NP1,0,waited,pl,with the nieces,the florist,nieces,florist,The woman waited with the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the nieces of the florist who,$PL
14,English,Rohde,high,NP1,1,helped,sg,the brother,the athletes,brother,athletes,The man helped the brother of the athletes who MASKTOKEN perpetually failing math class.,The man helped the brother of the athletes who,$SG
14,English,Rohde,low,NP2,1,helped,sg,the brothers,the athlete,brothers,athlete,The man helped the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man helped the brothers of the athlete who,$SG
14,English,Rohde,low,NP2,1,helped,pl,the brother,the athletes,brother,athletes,The man helped the brother of the athletes who MASKTOKEN perpetually failing math class.,The man helped the brother of the athletes who,$PL
14,English,Rohde,high,NP1,1,helped,pl,the brothers,the athlete,brothers,athlete,The man helped the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man helped the brothers of the athlete who,$PL
14,English,Rohde,high,NP1,0,ran,sg,into the brother,the athletes,brother,athletes,The man ran into the brother of the athletes who MASKTOKEN perpetually failing math class.,The man ran into the brother of the athletes who,$SG
14,English,Rohde,low,NP2,0,ran,sg,into the brothers,the athlete,brothers,athlete,The man ran into the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man ran into the brothers of the athlete who,$SG
14,English,Rohde,low,NP2,0,ran,pl,into the brother,the athletes,brother,athletes,The man ran into the brother of the athletes who MASKTOKEN perpetually failing math class.,The man ran into the brother of the athletes who,$PL
14,English,Rohde,high,NP1,0,ran,pl,into the brothers,the athlete,brothers,athlete,The man ran into the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man ran into the brothers of the athlete who,$PL
15,English,Rohde,high,NP1,1,reproached,sg,the doctors,the supermodels,doctors,supermodels,The woman reproached the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodels who,$SG
15,English,Rohde,low,NP2,1,reproached,sg,the doctors,the supermodel,doctors,supermodel,The woman reproached the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodel who,$SG
15,English,Rohde,low,NP2,1,reproached,pl,the doctors,the supermodels,doctors,supermodels,The woman reproached the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodels who,$PL
15,English,Rohde,high,NP1,1,reproached,pl,the doctors,the supermodel,doctors,supermodel,The woman reproached the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodel who,$PL
15,English,Rohde,high,NP1,0,worked,sg,with the doctors,the supermodels,doctors,supermodels,The woman worked with the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodels who,$SG
15,English,Rohde,low,NP2,0,worked,sg,with the doctors,the supermodel,doctors,supermodel,The woman worked with the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodel who,$SG
15,English,Rohde,low,NP2,0,worked,pl,with the doctors,the supermodels,doctors,supermodels,The woman worked with the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodels who,$PL
15,English,Rohde,high,NP1,0,worked,pl,with the doctors,the supermodel,doctors,supermodel,The woman worked with the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodel who,$PL
16,English,Rohde,high,NP1,1,pacified,sg,the associate,the businessmen,associate,businessmen,The man pacified the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associate of the businessmen who,$SG
16,English,Rohde,low,NP2,1,pacified,sg,the associates,the businessman,associates,businessman,The man pacified the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associates of the businessman who,$SG
16,English,Rohde,low,NP2,1,pacified,pl,the associate,the businessmen,associate,businessmen,The man pacified the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associate of the businessmen who,$PL
16,English,Rohde,high,NP1,1,pacified,pl,the associates,the businessman,associates,businessman,The man pacified the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associates of the businessman who,$PL
16,English,Rohde,high,NP1,0,visited,sg,the associate,the businessmen,associate,businessmen,The man visited the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associate of the businessmen who,$SG
16,English,Rohde,low,NP2,0,visited,sg,the associates,the businessman,associates,businessman,The man visited the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associates of the businessman who,$SG
16,English,Rohde,low,NP2,0,visited,pl,the associate,the businessmen,associate,businessmen,The man visited the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associate of the businessmen who,$PL
16,English,Rohde,high,NP1,0,visited,pl,the associates,the businessman,associates,businessman,The man visited the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associates of the businessman who,$PL
17,English,Rohde,high,NP1,1,detests,sg,the child,the musicians,child,musicians,The woman detests the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman detests the child of the musicians who,$SG
17,English,Rohde,low,NP2,1,detests,sg,the children,the musician,children,musician,The woman detests the children of the musician who MASKTOKEN generally arrogant and rude.,The woman detests the children of the musician who,$SG
17,English,Rohde,low,NP2,1,detests,pl,the child,the musicians,child,musicians,The woman detests the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman detests the child of the musicians who,$PL
17,English,Rohde,high,NP1,1,detests,pl,the children,the musician,children,musician,The woman detests the children of the musician who MASKTOKEN generally arrogant and rude.,The woman detests the children of the musician who,$PL
17,English,Rohde,high,NP1,0,babysits,sg,the child,the musicians,child,musicians,The woman babysits the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman babysits the child of the musicians who,$SG
17,English,Rohde,low,NP2,0,babysits,sg,the children,the musician,children,musician,The woman babysits the children of the musician who MASKTOKEN generally arrogant and rude.,The woman babysits the children of the musician who,$SG
17,English,Rohde,low,NP2,0,babysits,pl,the child,the musicians,child,musicians,The woman babysits the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman babysits the child of the musicians who,$PL
17,English,Rohde,high,NP1,0,babysits,pl,the children,the musician,children,musician,The woman babysits the children of the musician who MASKTOKEN generally arrogant and rude.,The woman babysits the children of the musician who,$PL
18,English,Rohde,high,NP1,1,thanked,sg,the servant,the dictators,servant,dictators,The man thanked the servant of the dictators who MASKTOKEN lately been helping the poor.,The man thanked the servant of the dictators who,$SG
18,English,Rohde,low,NP2,1,thanked,sg,the servants,the dictator,servants,dictator,The man thanked the servants of the dictator who MASKTOKEN lately been helping the poor.,The man thanked the servants of the dictator who,$SG
18,English,Rohde,low,NP2,1,thanked,pl,the servant,the dictators,servant,dictators,The man thanked the servant of the dictators who MASKTOKEN lately been helping the poor.,The man thanked the servant of the dictators who,$PL
18,English,Rohde,high,NP1,1,thanked,pl,the servants,the dictator,servants,dictator,The man thanked the servants of the dictator who MASKTOKEN lately been helping the poor.,The man thanked the servants of the dictator who,$PL
18,English,Rohde,high,NP1,0,talked,sg,to the servant,the dictators,servant,dictators,The man talked to the servant of the dictators who MASKTOKEN lately been helping the poor.,The man talked to the servant of the dictators who,$SG
18,English,Rohde,low,NP2,0,talked,sg,to the servants,the dictator,servants,dictator,The man talked to the servants of the dictator who MASKTOKEN lately been helping the poor.,The man talked to the servants of the dictator who,$SG
