item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
6,English,A1,substance,def,0.09,low,sg,0,1,the bells,of medal,bells,medal,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,Finally they placed the bells of medal that,$SG
6,English,A1,substance,def,0.09,high,sg,0,1,the bell,of medals,bell,medals,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,Finally they placed the bell of medals that,$SG
6,English,A1,substance,def,0.09,ambi,pl,0,1,the bells,of medals,bells,medals,Finally they placed the bells of medals that MASKTOKEN brought from the foundry.,Finally they placed the bells of medals that,$PL
6,English,A1,substance,def,0.09,low,pl,0,1,the bell,of medals,bell,medals,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,Finally they placed the bell of medals that,$PL
6,English,A1,substance,def,0.09,high,pl,0,1,the bells,of medal,bells,medal,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,Finally they placed the bells of medal that,$PL
6,English,A1,substance,indef,0.09,ambi,sg,0,1,a bell,of medal,bell,medal,Finally they placed a bell of medal that MASKTOKEN brought from the foundry.,Finally they placed a bell of medal that,$SG
6,English,A1,substance,indef,0.09,low,sg,0,1,some bells,of medal,bells,medal,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,Finally they placed some bells of medal that,$SG
6,English,A1,substance,indef,0.09,high,sg,0,1,a bell,of medals,bell,medals,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,Finally they placed a bell of medals that,$SG
6,English,A1,substance,indef,0.09,ambi,pl,0,1,some bells,of medals,bells,medals,Finally they placed some bells of medals that MASKTOKEN brought from the foundry.,Finally they placed some bells of medals that,$PL
6,English,A1,substance,indef,0.09,low,pl,0,1,a bell,of medals,bell,medals,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,Finally they placed a bell of medals that,$PL
6,English,A1,substance,indef,0.09,high,pl,0,1,some bells,of medal,bells,medal,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,Finally they placed some bells of medal that,$PL
7,English,A1,substance,def,0.29,ambi,sg,0,1,the cake,of grain,cake,grain,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grain that,$SG
7,English,A1,substance,def,0.29,low,sg,0,1,the cakes,of grain,cakes,grain,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grain that,$SG
7,English,A1,substance,def,0.29,high,sg,0,1,the cake,of grains,cake,grains,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grains that,$SG
7,English,A1,substance,def,0.29,ambi,pl,0,1,the cakes,of grains,cakes,grains,Yesterday we ate the cakes of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grains that,$PL
7,English,A1,substance,def,0.29,low,pl,0,1,the cake,of grains,cake,grains,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grains that,$PL
7,English,A1,substance,def,0.29,high,pl,0,1,the cakes,of grain,cakes,grain,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grain that,$PL
7,English,A1,substance,indef,0.29,ambi,sg,0,1,a cake,of grain,cake,grain,Yesterday we ate a cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grain that,$SG
7,English,A1,substance,indef,0.29,low,sg,0,1,some cakes,of grain,cakes,grain,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grain that,$SG
7,English,A1,substance,indef,0.29,high,sg,0,1,a cake,of grains,cake,grains,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grains that,$SG
7,English,A1,substance,indef,0.29,ambi,pl,0,1,some cakes,of grains,cakes,grains,Yesterday we ate some cakes of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grains that,$PL
7,English,A1,substance,indef,0.29,low,pl,0,1,a cake,of grains,cake,grains,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grains that,$PL
7,English,A1,substance,indef,0.29,high,pl,0,1,some cakes,of grain,cakes,grain,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grain that,$PL
8,English,A1,substance,def,0.12,ambi,sg,1,1,the dress,of thread,dress,thread,The young actress admired the dress of thread that MASKTOKEN so beautiful.,The young actress admired the dress of thread that,$SG
8,English,A1,substance,def,0.12,low,sg,1,1,the dresses,of thread,dresses,thread,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,The young actress admired the dresses of thread that,$SG
8,English,A1,substance,def,0.12,high,sg,1,1,the dress,of threads,dress,threads,The young actress admired the dress of threads that MASKTOKEN so beautiful.,The young actress admired the dress of threads that,$SG
8,English,A1,substance,def,0.12,ambi,pl,1,1,the dresses,of threads,dresses,threads,The young actress admired the dresses of threads that MASKTOKEN so beautiful.,The young actress admired the dresses of threads that,$PL
8,English,A1,substance,def,0.12,low,pl,1,1,the dress,of threads,dress,threads,The young actress admired the dress of threads that MASKTOKEN so beautiful.,The young actress admired the dress of threads that,$PL
8,English,A1,substance,def,0.12,high,pl,1,1,the dresses,of thread,dresses,thread,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,The young actress admired the dresses of thread that,$PL
8,English,A1,substance,indef,0.12,ambi,sg,1,1,a dress,of thread,dress,thread,The young actress admired a dress of thread that MASKTOKEN so beautiful.,The young actress admired a dress of thread that,$SG
8,English,A1,substance,indef,0.12,low,sg,1,1,some dresses,of thread,dresses,thread,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,The young actress admired some dresses of thread that,$SG
8,English,A1,substance,indef,0.12,high,sg,1,1,a dress,of threads,dress,threads,The young actress admired a dress of threads that MASKTOKEN so beautiful.,The young actress admired a dress of threads that,$SG
8,English,A1,substance,indef,0.12,ambi,pl,1,1,some dresses,of threads,dresses,threads,The young actress admired some dresses of threads that MASKTOKEN so beautiful.,The young actress admired some dresses of threads that,$PL
8,English,A1,substance,indef,0.12,low,pl,1,1,a dress,of threads,dress,threads,The young actress admired a dress of threads that MASKTOKEN so beautiful.,The young actress admired a dress of threads that,$PL
8,English,A1,substance,indef,0.12,high,pl,1,1,some dresses,of thread,dresses,thread,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,The young actress admired some dresses of thread that,$PL
1,English,A2,quantity,noAdj,0.16,ambi,sg,0,0,the glass,of water,glass,water,John asked for the glass of water that MASKTOKEN on the table.,John asked for the glass of water that,$SG
1,English,A2,quantity,noAdj,0.16,low,sg,0,0,the glasses,of water,glasses,water,John asked for the glasses of water that MASKTOKEN on the table.,John asked for the glasses of water that,$SG
1,English,A2,quantity,noAdj,0.16,high,sg,0,0,the glass,of waters,glass,waters,John asked for the glass of waters that MASKTOKEN on the table.,John asked for the glass of waters that,$SG
1,English,A2,quantity,noAdj,0.16,ambi,pl,0,0,the glasses,of waters,glasses,waters,John asked for the glasses of waters that MASKTOKEN on the table.,John asked for the glasses of waters that,$PL
1,English,A2,quantity,noAdj,0.16,low,pl,0,0,the glass,of waters,glass,waters,John asked for the glass of waters that MASKTOKEN on the table.,John asked for the glass of waters that,$PL
1,English,A2,quantity,noAdj,0.16,high,pl,0,0,the glasses,of water,glasses,water,John asked for the glasses of water that MASKTOKEN on the table.,John asked for the glasses of water that,$PL
1,English,A2,quantity,NP1Adj,0.16,ambi,sg,0,0,the clear glass,of water,glass,water,John asked for the clear glass of water that MASKTOKEN on the table.,John asked for the clear glass of water that,$SG
1,English,A2,quantity,NP1Adj,0.16,low,sg,0,0,the clear glasses,of water,glasses,water,John asked for the clear glasses of water that MASKTOKEN on the table.,John asked for the clear glasses of water that,$SG
1,English,A2,quantity,NP1Adj,0.16,high,sg,0,0,the clear glass,of waters,glass,waters,John asked for the clear glass of waters that MASKTOKEN on the table.,John asked for the clear glass of waters that,$SG
1,English,A2,quantity,NP1Adj,0.16,ambi,pl,0,0,the clear glasses,of waters,glasses,waters,John asked for the clear glasses of waters that MASKTOKEN on the table.,John asked for the clear glasses of waters that,$PL
1,English,A2,quantity,NP1Adj,0.16,low,pl,0,0,the clear glass,of waters,glass,waters,John asked for the clear glass of waters that MASKTOKEN on the table.,John asked for the clear glass of waters that,$PL
1,English,A2,quantity,NP1Adj,0.16,high,pl,0,0,the clear glasses,of water,glasses,water,John asked for the clear glasses of water that MASKTOKEN on the table.,John asked for the clear glasses of water that,$PL
1,English,A2,quantity,NP2Adj,0.16,ambi,sg,0,0,the glass,of clear water,glass,water,John asked for the glass of clear water that MASKTOKEN on the table.,John asked for the glass of clear water that,$SG
1,English,A2,quantity,NP2Adj,0.16,low,sg,0,0,the glasses,of clear water,glasses,water,John asked for the glasses of clear water that MASKTOKEN on the table.,John asked for the glasses of clear water that,$SG
1,English,A2,quantity,NP2Adj,0.16,high,sg,0,0,the glass,of clear waters,glass,waters,John asked for the glass of clear waters that MASKTOKEN on the table.,John asked for the glass of clear waters that,$SG
1,English,A2,quantity,NP2Adj,0.16,ambi,pl,0,0,the glasses,of clear waters,glasses,waters,John asked for the glasses of clear waters that MASKTOKEN on the table.,John asked for the glasses of clear waters that,$PL
1,English,A2,quantity,NP2Adj,0.16,low,pl,0,0,the glass,of clear waters,glass,waters,John asked for the glass of clear waters that MASKTOKEN on the table.,John asked for the glass of clear waters that,$PL
1,English,A2,quantity,NP2Adj,0.16,high,pl,0,0,the glasses,of clear water,glasses,water,John asked for the glasses of clear water that MASKTOKEN on the table.,John asked for the glasses of clear water that,$PL
2,English,A2,quantity,noAdj,0.54,ambi,sg,0,1,the bottle,of spirit,bottle,spirit,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirit that,$SG
2,English,A2,quantity,noAdj,0.54,low,sg,0,1,the bottles,of spirit,bottles,spirit,Mary liked the bottles of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottles of spirit that,$SG
2,English,A2,quantity,noAdj,0.54,high,sg,0,1,the bottle,of spirits,bottle,spirits,Mary liked the bottle of spirits that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirits that,$SG
2,English,A2,quantity,noAdj,0.54,ambi,pl,0,1,the bottles,of spirits,bottles,spirits,Mary liked the bottles of spirits that MASKTOKEN in the wine cellar.,Mary liked the bottles of spirits that,$PL
2,English,A2,quantity,noAdj,0.54,low,pl,0,1,the bottle,of spirits,bottle,spirits,Mary liked the bottle of spirits that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirits that,$PL
2,English,A2,quantity,noAdj,0.54,high,pl,0,1,the bottles,of spirit,bottles,spirit,Mary liked the bottles of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottles of spirit that,$PL
2,English,A2,quantity,NP1Adj,0.54,ambi,sg,0,1,the old bottle,of spirit,bottle,spirit,Mary liked the old bottle of spirit that MASKTOKEN in the wine cellar.,Mary liked the old bottle of spirit that,$SG
2,English,A2,quantity,NP1Adj,0.54,low,sg,0,1,the old bottles,of spirit,bottles,spirit,Mary liked the old bottles of spirit that MASKTOKEN in the wine cellar.,Mary liked the old bottles of spirit that,$SG
2,English,A2,quantity,NP1Adj,0.54,high,sg,0,1,the old bottle,of spirits,bottle,spirits,Mary liked the old bottle of spirits that MASKTOKEN in the wine cellar.,Mary liked the old bottle of spirits that,$SG
2,English,A2,quantity,NP1Adj,0.54,ambi,pl,0,1,the old bottles,of spirits,bottles,spirits,Mary liked the old bottles of spirits that MASKTOKEN in the wine cellar.,Mary liked the old bottles of spirits that,$PL
2,English,A2,quantity,NP1Adj,0.54,low,pl,0,1,the old bottle,of spirits,bottle,spirits,Mary liked the old bottle of spirits that MASKTOKEN in the wine cellar.,Mary liked the old bottle of spirits that,$PL
2,English,A2,quantity,NP1Adj,0.54,high,pl,0,1,the old bottles,of spirit,bottles,spirit,Mary liked the old bottles of spirit that MASKTOKEN in the wine cellar.,Mary liked the old bottles of spirit that,$PL
2,English,A2,quantity,NP2Adj,0.54,ambi,sg,0,0,the bottle,of old spirit,bottle,spirit,Mary liked the bottle of old spirit that MASKTOKEN in the wine cellar.,Mary liked the bottle of old spirit that,$SG
2,English,A2,quantity,NP2Adj,0.54,low,sg,0,0,the bottles,of old spirit,bottles,spirit,Mary liked the bottles of old spirit that MASKTOKEN in the wine cellar.,Mary liked the bottles of old spirit that,$SG
2,English,A2,quantity,NP2Adj,0.54,high,sg,0,0,the bottle,of old spirits,bottle,spirits,Mary liked the bottle of old spirits that MASKTOKEN in the wine cellar.,Mary liked the bottle of old spirits that,$SG
2,English,A2,quantity,NP2Adj,0.54,ambi,pl,0,0,the bottles,of old spirits,bottles,spirits,Mary liked the bottles of old spirits that MASKTOKEN in the wine cellar.,Mary liked the bottles of old spirits that,$PL
2,English,A2,quantity,NP2Adj,0.54,low,pl,0,0,the bottle,of old spirits,bottle,spirits,Mary liked the bottle of old spirits that MASKTOKEN in the wine cellar.,Mary liked the bottle of old spirits that,$PL
2,English,A2,quantity,NP2Adj,0.54,high,pl,0,0,the bottles,of old spirit,bottles,spirit,Mary liked the bottles of old spirit that MASKTOKEN in the wine cellar.,Mary liked the bottles of old spirit that,$PL
4,English,A2,quantity,noAdj,0.56,ambi,sg,0,0,the sack,of sand,sack,sand,Andres picked up the sack of sand that MASKTOKEN brought from the construction site.,Andres picked up the sack of sand that,$SG
4,English,A2,quantity,noAdj,0.56,low,sg,0,0,the sacks,of sand,sacks,sand,Andres picked up the sacks of sand that MASKTOKEN brought from the construction site.,Andres picked up the sacks of sand that,$SG
4,English,A2,quantity,noAdj,0.56,high,sg,0,0,the sack,of sands,sack,sands,Andres picked up the sack of sands that MASKTOKEN brought from the construction site.,Andres picked up the sack of sands that,$SG
4,English,A2,quantity,noAdj,0.56,ambi,pl,0,0,the sacks,of sands,sacks,sands,Andres picked up the sacks of sands that MASKTOKEN brought from the construction site.,Andres picked up the sacks of sands that,$PL
4,English,A2,quantity,noAdj,0.56,low,pl,0,0,the sack,of sands,sack,sands,Andres picked up the sack of sands that MASKTOKEN brought from the construction site.,Andres picked up the sack of sands that,$PL
4,English,A2,quantity,noAdj,0.56,high,pl,0,0,the sacks,of sand,sacks,sand,Andres picked up the sacks of sand that MASKTOKEN brought from the construction site.,Andres picked up the sacks of sand that,$PL
4,English,A2,quantity,NP1Adj,0.56,ambi,sg,0,0,the brown sack,of sand,sack,sand,Andres picked up the brown sack of sand that MASKTOKEN brought from the construction site.,Andres picked up the brown sack of sand that,$SG
4,English,A2,quantity,NP1Adj,0.56,low,sg,0,0,the brown sacks,of sand,sacks,sand,Andres picked up the brown sacks of sand that MASKTOKEN brought from the construction site.,Andres picked up the brown sacks of sand that,$SG
4,English,A2,quantity,NP1Adj,0.56,high,sg,0,0,the brown sack,of sands,sack,sands,Andres picked up the brown sack of sands that MASKTOKEN brought from the construction site.,Andres picked up the brown sack of sands that,$SG
4,English,A2,quantity,NP1Adj,0.56,ambi,pl,0,0,the brown sacks,of sands,sacks,sands,Andres picked up the brown sacks of sands that MASKTOKEN brought from the construction site.,Andres picked up the brown sacks of sands that,$PL
4,English,A2,quantity,NP1Adj,0.56,low,pl,0,0,the brown sack,of sands,sack,sands,Andres picked up the brown sack of sands that MASKTOKEN brought from the construction site.,Andres picked up the brown sack of sands that,$PL
4,English,A2,quantity,NP1Adj,0.56,high,pl,0,0,the brown sacks,of sand,sacks,sand,Andres picked up the brown sacks of sand that MASKTOKEN brought from the construction site.,Andres picked up the brown sacks of sand that,$PL
4,English,A2,quantity,NP2Adj,0.56,ambi,sg,0,0,the sack,of brown sand,sack,sand,Andres picked up the sack of brown sand that MASKTOKEN brought from the construction site.,Andres picked up the sack of brown sand that,$SG
4,English,A2,quantity,NP2Adj,0.56,low,sg,0,0,the sacks,of brown sand,sacks,sand,Andres picked up the sacks of brown sand that MASKTOKEN brought from the construction site.,Andres picked up the sacks of brown sand that,$SG
4,English,A2,quantity,NP2Adj,0.56,high,sg,0,0,the sack,of brown sands,sack,sands,Andres picked up the sack of brown sands that MASKTOKEN brought from the construction site.,Andres picked up the sack of brown sands that,$SG
4,English,A2,quantity,NP2Adj,0.56,ambi,pl,0,0,the sacks,of brown sands,sacks,sands,Andres picked up the sacks of brown sands that MASKTOKEN brought from the construction site.,Andres picked up the sacks of brown sands that,$PL
