item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
6a,English,Fernandez,ambi,pl,1,0,the employees,of the ambassadors,employees,ambassadors,Charlie met the employees of the ambassadors that MASKTOKEN eating.,Charlie met the employees of the ambassadors that,$PL
6a,English,Fernandez,low,pl,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$PL
6a,English,Fernandez,high,pl,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$PL
7a,English,Fernandez,ambi,sg,0,0,the review,of the poem,review,poem,Roxanne read the review of the poem that MASKTOKEN unfinished.,Roxanne read the review of the poem that,$SG
7a,English,Fernandez,low,sg,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$SG
7a,English,Fernandez,high,sg,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$SG
7a,English,Fernandez,ambi,pl,0,0,the reviews,of the poems,reviews,poems,Roxanne read the reviews of the poems that MASKTOKEN unfinished.,Roxanne read the reviews of the poems that,$PL
7a,English,Fernandez,low,pl,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$PL
7a,English,Fernandez,high,pl,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$PL
8a,English,Fernandez,ambi,sg,0,0,the pipe,of the sink,pipe,sink,The plumber adjusted the pipe of the sink that MASKTOKEN cracked.,The plumber adjusted the pipe of the sink that,$SG
8a,English,Fernandez,low,sg,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$SG
8a,English,Fernandez,high,sg,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$SG
8a,English,Fernandez,ambi,pl,0,0,the pipes,of the sinks,pipes,sinks,The plumber adjusted the pipes of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipes of the sinks that,$PL
8a,English,Fernandez,low,pl,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$PL
8a,English,Fernandez,high,pl,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$PL
9a,English,Fernandez,ambi,sg,0,1,the wire,of the speaker,wire,speaker,Mary replaced the wire of the speaker that MASKTOKEN damaged.,Mary replaced the wire of the speaker that,$SG
9a,English,Fernandez,low,sg,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$SG
9a,English,Fernandez,high,sg,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$SG
9a,English,Fernandez,ambi,pl,0,1,the wires,of the speakers,wires,speakers,Mary replaced the wires of the speakers that MASKTOKEN damaged.,Mary replaced the wires of the speakers that,$PL
9a,English,Fernandez,low,pl,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$PL
9a,English,Fernandez,high,pl,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$PL
10a,English,Fernandez,ambi,sg,0,0,the recording,of the song,recording,song,My brother liked listening to the recording of the song that MASKTOKEN banned.,My brother liked listening to the recording of the song that,$SG
10a,English,Fernandez,low,sg,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$SG
10a,English,Fernandez,high,sg,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$SG
10a,English,Fernandez,ambi,pl,0,0,the recordings,of the songs,recordings,songs,My brother liked listening to the recordings of the songs that MASKTOKEN banned.,My brother liked listening to the recordings of the songs that,$PL
10a,English,Fernandez,low,pl,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$PL
10a,English,Fernandez,high,pl,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$PL
11a,English,Fernandez,ambi,sg,1,1,the cover,of the pot,cover,pot,The chef couldn’t find the cover of the pot that MASKTOKEN clean.,The chef couldn’t find the cover of the pot that,$SG
11a,English,Fernandez,low,sg,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$SG
11a,English,Fernandez,high,sg,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$SG
11a,English,Fernandez,ambi,pl,1,1,the covers,of the pots,covers,pots,The chef couldn’t find the covers of the pots that MASKTOKEN clean.,The chef couldn’t find the covers of the pots that,$PL
11a,English,Fernandez,low,pl,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$PL
11a,English,Fernandez,high,pl,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$PL
12a,English,Fernandez,ambi,sg,0,1,the key,of the car,key,car,The thief took the key of the car that MASKTOKEN outside.,The thief took the key of the car that,$SG
12a,English,Fernandez,low,sg,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$SG
12a,English,Fernandez,high,sg,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$SG
12a,English,Fernandez,ambi,pl,0,1,the keys,of the cars,keys,cars,The thief took the keys of the cars that MASKTOKEN outside.,The thief took the keys of the cars that,$PL
12a,English,Fernandez,low,pl,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$PL
12a,English,Fernandez,high,pl,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$PL
13a,English,Fernandez,ambi,sg,0,0,the daughter,of the hostage,daughter,hostage,The journalist was unable to interview the daughter of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostage that,$SG
13a,English,Fernandez,low,sg,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$SG
13a,English,Fernandez,high,sg,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$SG
13a,English,Fernandez,ambi,pl,0,0,the daughters,of the hostages,daughters,hostages,The journalist was unable to interview the daughters of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostages that,$PL
13a,English,Fernandez,low,pl,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$PL
13a,English,Fernandez,high,pl,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$PL
14a,English,Fernandez,ambi,sg,0,0,the teacher,of the student,teacher,student,Patricia saw the teacher of the student that MASKTOKEN in class.,Patricia saw the teacher of the student that,$SG
14a,English,Fernandez,low,sg,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$SG
14a,English,Fernandez,high,sg,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$SG
14a,English,Fernandez,ambi,pl,0,0,the teachers,of the students,teachers,students,Patricia saw the teachers of the students that MASKTOKEN in class.,Patricia saw the teachers of the students that,$PL
14a,English,Fernandez,low,pl,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$PL
14a,English,Fernandez,high,pl,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$PL
15a,English,Fernandez,ambi,sg,0,0,the manager,of the assistant,manager,assistant,Linda wrote to the manager of the assistant that MASKTOKEN late.,Linda wrote to the manager of the assistant that,$SG
15a,English,Fernandez,low,sg,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$SG
15a,English,Fernandez,high,sg,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$SG
15a,English,Fernandez,ambi,pl,0,0,the managers,of the assistants,managers,assistants,Linda wrote to the managers of the assistants that MASKTOKEN late.,Linda wrote to the managers of the assistants that,$PL
15a,English,Fernandez,low,pl,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$PL
15a,English,Fernandez,high,pl,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$PL
16a,English,Fernandez,ambi,sg,0,0,the guide,of the tourist,guide,tourist,The hotel director didn’t want to see the guide of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourist that,$SG
16a,English,Fernandez,low,sg,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$SG
16a,English,Fernandez,high,sg,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$SG
16a,English,Fernandez,ambi,pl,0,0,the guides,of the tourists,guides,tourists,The hotel director didn’t want to see the guides of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourists that,$PL
16a,English,Fernandez,low,pl,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$PL
16a,English,Fernandez,high,pl,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$PL
17a,English,Fernandez,ambi,sg,0,0,the client,of the lawyer,client,lawyer,The receptionist greeted the client of the lawyer that MASKTOKEN chatting.,The receptionist greeted the client of the lawyer that,$SG
17a,English,Fernandez,low,sg,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$SG
17a,English,Fernandez,high,sg,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$SG
17a,English,Fernandez,ambi,pl,0,0,the clients,of the lawyers,clients,lawyers,The receptionist greeted the clients of the lawyers that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyers that,$PL
17a,English,Fernandez,low,pl,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$PL
17a,English,Fernandez,high,pl,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$PL
18a,English,Fernandez,ambi,sg,1,0,the guard,of the ambassador,guard,ambassador,Nobody noticed the guard of the ambassador that MASKTOKEN hiding.,Nobody noticed the guard of the ambassador that,$SG
18a,English,Fernandez,low,sg,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$SG
18a,English,Fernandez,high,sg,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$SG
18a,English,Fernandez,ambi,pl,1,0,the guards,of the ambassadors,guards,ambassadors,Nobody noticed the guards of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guards of the ambassadors that,$PL
18a,English,Fernandez,low,pl,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$PL
18a,English,Fernandez,high,pl,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$PL
19a,English,Fernandez,ambi,sg,0,0,the son,of the delegate,son,delegate,Ivana met the son of the delegate that MASKTOKEN smoking.,Ivana met the son of the delegate that,$SG
19a,English,Fernandez,low,sg,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$SG
19a,English,Fernandez,high,sg,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$SG
19a,English,Fernandez,ambi,pl,0,0,the sons,of the delegates,sons,delegates,Ivana met the sons of the delegates that MASKTOKEN smoking.,Ivana met the sons of the delegates that,$PL
19a,English,Fernandez,low,pl,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$PL
19a,English,Fernandez,high,pl,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$PL
20a,English,Fernandez,ambi,sg,1,0,the replacement,of the pen,replacement,pen,Lisa couldn’t find the replacement of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pen that,$SG
20a,English,Fernandez,low,sg,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$SG
20a,English,Fernandez,high,sg,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$SG
20a,English,Fernandez,ambi,pl,1,0,the replacements,of the pens,replacements,pens,Lisa couldn’t find the replacements of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pens that,$PL
20a,English,Fernandez,low,pl,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$PL
20a,English,Fernandez,high,pl,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$PL
21a,English,Fernandez,ambi,sg,0,0,the revision,of the manuscript,revision,manuscript,The student read the revision of the manuscript that MASKTOKEN on the test.,The student read the revision of the manuscript that,$SG
21a,English,Fernandez,low,sg,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$SG
21a,English,Fernandez,high,sg,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$SG
21a,English,Fernandez,ambi,pl,0,0,the revisions,of the manuscripts,revisions,manuscripts,The student read the revisions of the manuscripts that MASKTOKEN on the test.,The student read the revisions of the manuscripts that,$PL
21a,English,Fernandez,low,pl,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$PL
21a,English,Fernandez,high,pl,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$PL
22a,English,Fernandez,ambi,sg,0,0,the panel,of the box,panel,box,The archaeologists finally found the panel of the box that MASKTOKEN broken.,The archaeologists finally found the panel of the box that,$SG
22a,English,Fernandez,low,sg,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$SG
22a,English,Fernandez,high,sg,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$SG
22a,English,Fernandez,ambi,pl,0,0,the panels,of the boxes,panels,boxes,The archaeologists finally found the panels of the boxes that MASKTOKEN broken.,The archaeologists finally found the panels of the boxes that,$PL
22a,English,Fernandez,low,pl,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$PL
22a,English,Fernandez,high,pl,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$PL
23a,English,Fernandez,ambi,sg,0,0,the printer,of the computer,printer,computer,Harry had inspected the printer of the computer that MASKTOKEN stolen.,Harry had inspected the printer of the computer that,$SG
23a,English,Fernandez,low,sg,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$SG
23a,English,Fernandez,high,sg,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$SG
23a,English,Fernandez,ambi,pl,0,0,the printers,of the computers,printers,computers,Harry had inspected the printers of the computers that MASKTOKEN stolen.,Harry had inspected the printers of the computers that,$PL
23a,English,Fernandez,low,pl,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$PL
23a,English,Fernandez,high,pl,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$PL
24a,English,Fernandez,ambi,sg,0,0,the hall,of the apartment,hall,apartment,Susan admired the hall of the apartment that MASKTOKEN painted.,Susan admired the hall of the apartment that,$SG
24a,English,Fernandez,low,sg,0,0,the halls,of the apartment,halls,apartment,Susan admired the halls of the apartment that MASKTOKEN painted.,Susan admired the halls of the apartment that,$SG
24a,English,Fernandez,high,sg,0,0,the hall,of the apartments,hall,apartments,Susan admired the hall of the apartments that MASKTOKEN painted.,Susan admired the hall of the apartments that,$SG
24a,English,Fernandez,ambi,pl,0,0,the halls,of the apartments,halls,apartments,Susan admired the halls of the apartments that MASKTOKEN painted.,Susan admired the halls of the apartments that,$PL
24a,English,Fernandez,low,pl,0,0,the hall,of the apartments,hall,apartments,Susan admired the hall of the apartments that MASKTOKEN painted.,Susan admired the hall of the apartments that,$PL
24a,English,Fernandez,high,pl,0,0,the halls,of the apartment,halls,apartment,Susan admired the halls of the apartment that MASKTOKEN painted.,Susan admired the halls of the apartment that,$PL
1,English,Cuetos_Mitchell,ambi,sg,0,0,the book,of the girl,book,girl,Peter was looking at the book of the girl that MASKTOKEN in the living room.,Peter was looking at the book of the girl that,$SG
1,English,Cuetos_Mitchell,low,sg,0,0,the books,of the girl,books,girl,Peter was looking at the books of the girl that MASKTOKEN in the living room.,Peter was looking at the books of the girl that,$SG
1,English,Cuetos_Mitchell,high,sg,0,0,the book,of the girls,book,girls,Peter was looking at the book of the girls that MASKTOKEN in the living room.,Peter was looking at the book of the girls that,$SG
1,English,Cuetos_Mitchell,ambi,pl,0,0,the books,of the girls,books,girls,Peter was looking at the books of the girls that MASKTOKEN in the living room.,Peter was looking at the books of the girls that,$PL
1,English,Cuetos_Mitchell,low,pl,0,0,the book,of the girls,book,girls,Peter was looking at the book of the girls that MASKTOKEN in the living room.,Peter was looking at the book of the girls that,$PL
1,English,Cuetos_Mitchell,high,pl,0,0,the books,of the girl,books,girl,Peter was looking at the books of the girl that MASKTOKEN in the living room.,Peter was looking at the books of the girl that,$PL
2,English,Cuetos_Mitchell,ambi,sg,0,0,the servant,of the actress,servant,actress,Someone shot the servant of the actress who MASKTOKEN on the balcony.,Someone shot the servant of the actress who,$SG
2,English,Cuetos_Mitchell,low,sg,0,0,the servants,of the actress,servants,actress,Someone shot the servants of the actress who MASKTOKEN on the balcony.,Someone shot the servants of the actress who,$SG
2,English,Cuetos_Mitchell,high,sg,0,0,the servant,of the actresses,servant,actresses,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,Someone shot the servant of the actresses who,$SG
2,English,Cuetos_Mitchell,ambi,pl,0,0,the servants,of the actresses,servants,actresses,Someone shot the servants of the actresses who MASKTOKEN on the balcony.,Someone shot the servants of the actresses who,$PL
2,English,Cuetos_Mitchell,low,pl,0,0,the servant,of the actresses,servant,actresses,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,Someone shot the servant of the actresses who,$PL
2,English,Cuetos_Mitchell,high,pl,0,0,the servants,of the actress,servants,actress,Someone shot the servants of the actress who MASKTOKEN on the balcony.,Someone shot the servants of the actress who,$PL
