item,lang,exp,AttachType,gender,N1_changed,N2_changed,N1,N2,mask_sents,auto_sents,target,sent,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_4.pt_prob
4,Spanish,5,ambi,f,0,0,a la amiga,de la abogada,Un alumno apedreó a la amiga de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga de la abogada que estuvo como,$ES_Adj_f,Un alumno apedreó a la amiga de la abogada que estuvo como,0.08718028048796356,0.01240797538276997,0.013034141466184992,0.058048746165982434,0.1001252127162573
4,Spanish,5,low,f,0,0,al amigo,de la abogada,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo de la abogada que estuvo como,$ES_Adj_f,Un alumno apedreó al amigo de la abogada que estuvo como,0.014941427513885941,0.015409826526078196,0.009694300355463259,0.016021174088829415,0.007478255823439639
4,Spanish,5,high,f,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_f,Un alumno apedreó a la amiga del abogado que estuvo como,0.026654248415900028,0.016777204024587877,0.008132728741071384,0.0295336969047445,0.014675038103515003
5,Spanish,5,ambi,m,0,0,el novio,del cantante,Amelia se fotografió con el novio del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio del cantante que estuvo,$ES_Adj_m,Amelia se fotografió con el novio del cantante que estuvo,0.11285663643232158,0.012771282317949328,0.013424371224732334,0.108797802504913,0.10068122093867915
5,Spanish,5,low,m,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_m,Amelia se fotografió con la novia del cantante que estuvo,0.052690723499837944,0.01849583863784643,0.020958120771211675,0.04698303696939865,0.05092038079883576
5,Spanish,5,high,m,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_m,Amelia se fotografió con el novio de la cantante que estuvo,0.06936207435331121,0.013310522066034114,0.01562443258055174,0.07220863064272098,0.044541782463759616
5,Spanish,5,ambi,f,0,0,la novia,de la cantante,Amelia se fotografió con la novia de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia de la cantante que estuvo,$ES_Adj_f,Amelia se fotografió con la novia de la cantante que estuvo,0.15066922173369468,0.008366489960748957,0.011201268858588742,0.09168397274632945,0.08549745562157418
5,Spanish,5,low,f,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_f,Amelia se fotografió con el novio de la cantante que estuvo,0.05775600043797868,0.00627989908657578,0.010220564629707551,0.0411947948842637,0.06032505389623055
5,Spanish,5,high,f,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_f,Amelia se fotografió con la novia del cantante que estuvo,0.08973924796727584,0.009428757107919128,0.014002489757376835,0.05505605012062431,0.05320030574569268
6,Spanish,5,ambi,m,0,0,al hijo,del diputado,El periodista entrevistó al hijo del diputado que se quedó MASKTOKEN.,El periodista entrevistó al hijo del diputado que se quedó,$ES_Adj_m,El periodista entrevistó al hijo del diputado que se quedó,0.07045751153675806,0.01117231220533732,0.010807579252439248,0.06855010639579895,0.05821671759729424
6,Spanish,5,low,m,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_m,El periodista entrevistó a la hija del diputado que se quedó,0.0298807406057654,0.011749872224579017,0.006587098374863931,0.02610958760942883,0.023111237507220606
6,Spanish,5,high,m,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_m,El periodista entrevistó al hijo de la diputada que se quedó,0.022080936819893204,0.0121976102897155,0.01021695915164228,0.032897103405765904,0.022487012803245887
6,Spanish,5,ambi,f,0,0,a la hija,de la diputada,El periodista entrevistó a la hija de la diputada que se quedó MASKTOKEN.,El periodista entrevistó a la hija de la diputada que se quedó,$ES_Adj_f,El periodista entrevistó a la hija de la diputada que se quedó,0.06174215479990408,0.006009794782845468,0.0013274953457581562,0.0498911574141403,0.025260868624099375
6,Spanish,5,low,f,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_f,El periodista entrevistó al hijo de la diputada que se quedó,0.019391227984902948,0.0045813914850505455,0.0019013199969997174,0.020369763141148356,0.010433718433058348
6,Spanish,5,high,f,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_f,El periodista entrevistó a la hija del diputado que se quedó,0.017789145447137195,0.004676877962303205,0.0013010012615104483,0.016942747273114622,0.01440753173308662
7,Spanish,5,ambi,m,0,0,el sobrino,del conserje,Andrés cenó ayer con el sobrino del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino del conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con el sobrino del conserje que trabajó de,0.051833083894631926,0.008511831373421819,0.010578545255521377,0.05058246171639791,0.028280243303070662
7,Spanish,5,low,m,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con la sobrina del conserje que trabajó de,0.04444106036958573,0.00868301581872677,0.012864541101529015,0.048243897868071706,0.025249096786977177
7,Spanish,5,high,m,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con el sobrino de la conserje que trabajó de,0.050379359766280274,0.007431261467902184,0.00627372780797375,0.048374798778610284,0.027092787242777305
7,Spanish,5,ambi,f,0,0,la sobrina,de la conserje,Andrés cenó ayer con la sobrina de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina de la conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con la sobrina de la conserje que trabajó de,0.017151949773611896,0.003055650661373366,0.0033821479345919614,0.06493849449515032,0.016536087347712503
7,Spanish,5,low,f,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con el sobrino de la conserje que trabajó de,0.016130652160589065,0.004103061631366867,0.0031558683938716636,0.044429580828110105,0.014563152418724634
7,Spanish,5,high,f,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con la sobrina del conserje que trabajó de,0.016545983429774758,0.0036391031823170827,0.00628544356901567,0.06436341170576743,0.016084604357548216
8,Spanish,5,ambi,m,0,1,el hijo,del obrero,María salió al cine con el hijo del obrero que estaba MASKTOKEN.,María salió al cine con el hijo del obrero que estaba,$ES_Adj_m,María salió al cine con el hijo del obrero que estaba,0.11711553144466524,0.012380622986842005,0.015608468444196055,0.17020670494064416,0.17459783754649255
8,Spanish,5,low,m,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_m,María salió al cine con la hija del obrero que estaba,0.06146727087619408,0.011369184465676307,0.014449254660698685,0.06212607053562447,0.06954440790193622
8,Spanish,5,high,m,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_m,María salió al cine con el hijo de la obrera que estaba,0.061421614745147846,0.004368210106531101,0.007671279866241276,0.09440091992946908,0.11774587873075415
8,Spanish,5,ambi,f,0,1,la hija,de la obrera,María salió al cine con la hija de la obrera que estaba MASKTOKEN.,María salió al cine con la hija de la obrera que estaba,$ES_Adj_f,María salió al cine con la hija de la obrera que estaba,0.14488949751659108,0.00156977902867661,0.0015341980218718243,0.11969725297172129,0.1110863770847148
8,Spanish,5,low,f,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_f,María salió al cine con el hijo de la obrera que estaba,0.05816826506521955,0.00157627304584107,0.0016767928919860786,0.03943708828480741,0.027003249909596017
8,Spanish,5,high,f,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_f,María salió al cine con la hija del obrero que estaba,0.07069849668056571,0.0029105057606687856,0.0038024372588018607,0.06736297157968252,0.09477128527423284
9,Spanish,5,ambi,m,0,0,del sobrino,del maestro,Los chicos se burlaron del sobrino del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino del maestro que estaba,$ES_Adj_m,Los chicos se burlaron del sobrino del maestro que estaba,0.1013065503200945,0.029154167766372113,0.016055421176201873,0.14329126104355883,0.15027301726806308
9,Spanish,5,low,m,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_m,Los chicos se burlaron de la sobrina del maestro que estaba,0.04634942524091046,0.017253583114875348,0.010231529273791118,0.06030464739455499,0.07096219819608679
9,Spanish,5,high,m,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_m,Los chicos se burlaron del sobrino de la maestra que estaba,0.03778953754686554,0.010147142878667748,0.008424169366512801,0.05288655580101742,0.05653223180288258
9,Spanish,5,ambi,f,0,0,de la sobrina,de la maestra,Los chicos se burlaron de la sobrina de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina de la maestra que estaba,$ES_Adj_f,Los chicos se burlaron de la sobrina de la maestra que estaba,0.16423426465395563,0.0016772439693985564,0.001228286303426529,0.16608442604790152,0.09480301295339921
9,Spanish,5,low,f,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_f,Los chicos se burlaron del sobrino de la maestra que estaba,0.08383677093232489,0.0036001706055427685,0.0022421475469118213,0.04944767213353174,0.049817592668609745
9,Spanish,5,high,f,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_f,Los chicos se burlaron de la sobrina del maestro que estaba,0.0640270362405706,0.009283278912338266,0.004334968254770533,0.08120267462560626,0.052879721228134446
10,Spanish,5,ambi,m,0,1,el sirviente,del rey,Mi madre discutió con el sirviente del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente del rey que estuvo,$ES_Adj_m,Mi madre discutió con el sirviente del rey que estuvo,0.1913417837458522,0.02367279757891333,0.033796078018034414,0.18467918854367493,0.13520903014080643
10,Spanish,5,low,m,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_m,Mi madre discutió con la sirvienta del rey que estuvo,0.07529142699916902,0.019899592724647253,0.01803104159323854,0.12543107858405333,0.06471844598431131
10,Spanish,5,high,m,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_m,Mi madre discutió con el sirviente de la reina que estuvo,0.10343715981606072,0.017127162351238234,0.016980435181994713,0.09543197977721674,0.05130645431982861
10,Spanish,5,ambi,f,0,1,la sirvienta,de la reina,Mi madre discutió con la sirvienta de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta de la reina que estuvo,$ES_Adj_f,Mi madre discutió con la sirvienta de la reina que estuvo,0.1926443785990859,0.004868001109286868,0.005836615291268221,0.09744360554514131,0.11494515491226798
10,Spanish,5,low,f,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_f,Mi madre discutió con el sirviente de la reina que estuvo,0.06973009142756004,0.005134268245899909,0.007191683337670507,0.0804490642514355,0.07308073069875043
10,Spanish,5,high,f,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_f,Mi madre discutió con la sirvienta del rey que estuvo,0.1466641250078875,0.007746401088879473,0.011773804311432046,0.06565386378759541,0.08109530765886497
11,Spanish,5,ambi,m,0,1,al criado,del emperador,La policía detuvo al criado del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado del emperador que estuvo,$ES_Adj_m,La policía detuvo al criado del emperador que estuvo,0.24345118560923318,0.01833769882171099,0.01658630794000998,0.2544117990642556,0.13457736180852198
11,Spanish,5,low,m,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_m,La policía detuvo a la criada del emperador que estuvo,0.07838415292519968,0.033449976388147284,0.019787595249671663,0.08867863236121132,0.07869944856554034
11,Spanish,5,high,m,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_m,La policía detuvo al criado de la emperatriz que estuvo,0.14909354355855486,0.022504399974671685,0.014967912255871352,0.1518091744629344,0.09827937440583123
11,Spanish,5,ambi,f,0,1,a la criada,de la emperatriz,La policía detuvo a la criada de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada de la emperatriz que estuvo,$ES_Adj_f,La policía detuvo a la criada de la emperatriz que estuvo,0.19000988979147637,0.016591312140396428,0.009711410856624969,0.12129318101347542,0.08231434732822263
11,Spanish,5,low,f,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_f,La policía detuvo al criado de la emperatriz que estuvo,0.031853498481047016,0.014976974185843484,0.016943719457003237,0.04095580148184319,0.028953324168438543
11,Spanish,5,high,f,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_f,La policía detuvo a la criada del emperador que estuvo,0.08570942708520568,0.016320266680828532,0.011472085672441956,0.08466802859261757,0.05899840886679364
12,Spanish,5,ambi,m,1,0,al ayudante,del doctor,Esta tarde he visto al ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante del doctor que había sido,$ES_Adj_m,Esta tarde he visto al ayudante del doctor que había sido,0.28165434350845775,0.023055694558141493,0.020061407525200525,0.2673379115552157,0.2512438031228763
12,Spanish,5,low,m,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_m,Esta tarde he visto a la ayudante del doctor que había sido,0.06268417843040819,0.02426826013760852,0.02581518491887358,0.1208289289522071,0.13344935586552786
12,Spanish,5,high,m,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_m,Esta tarde he visto al ayudante de la doctora que había sido,0.24102703908270673,0.02566063597079582,0.023065477479204066,0.21148792196595068,0.08472880947444439
12,Spanish,5,ambi,f,1,0,a la ayudante,de la doctora,Esta tarde he visto a la ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante de la doctora que había sido,$ES_Adj_f,Esta tarde he visto a la ayudante de la doctora que había sido,0.33399913676045045,0.007891451937186877,0.0062953429230130364,0.26911213510026766,0.22575886936935063
12,Spanish,5,low,f,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_f,Esta tarde he visto al ayudante de la doctora que había sido,0.036136006248965735,0.008648549253569171,0.007415875273426797,0.072015529347778,0.10573538759569345
12,Spanish,5,high,f,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_f,Esta tarde he visto a la ayudante del doctor que había sido,0.2484171341151331,0.007757204553977992,0.006946655233158294,0.12831478719149025,0.08439716196767488
13,Spanish,5,ambi,m,0,1,el abuelo,del chico,Los chicos se reían con el abuelo del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo del chico que estaba,$ES_Adj_m,Los chicos se reían con el abuelo del chico que estaba,0.09759774465574367,0.012034376002223457,0.014001468489324154,0.1318560834084772,0.1285475749487014
13,Spanish,5,low,m,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_m,Los chicos se reían con la abuela del chico que estaba,0.0467961801457073,0.010686174459715536,0.01390910450500793,0.05062266962843143,0.07047604274201325
13,Spanish,5,high,m,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_m,Los chicos se reían con el abuelo de la chica que estaba,0.0372925612922157,0.007743148191256821,0.010939829250578459,0.059060715904979244,0.04797323575468193
13,Spanish,5,ambi,f,0,1,la abuela,de la chica,Los chicos se reían con la abuela de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela de la chica que estaba,$ES_Adj_f,Los chicos se reían con la abuela de la chica que estaba,0.13517833917684596,0.003389606062058681,0.002395074779018236,0.17463802817236385,0.10853395957648126
13,Spanish,5,low,f,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_f,Los chicos se reían con el abuelo de la chica que estaba,0.05988486967948936,0.0038015694785809573,0.0027933419126940917,0.05266134013994317,0.06162581551830615
13,Spanish,5,high,f,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_f,Los chicos se reían con la abuela del chico que estaba,0.06204693805628381,0.003697890300691564,0.004014876245923393,0.07049218169442328,0.04570050185013619
13,Spanish,5,ambi,m,0,0,al secretario,del gerente,El cartero se acercó al secretario del gerente que estaba MASKTOKEN.,El cartero se acercó al secretario del gerente que estaba,$ES_Adj_m,El cartero se acercó al secretario del gerente que estaba,0.11320387447400071,0.00906129498968386,0.019925572156155646,0.11894611529691712,0.10609188750495258
13,Spanish,5,low,m,0,0,a la secretaria,del gerente,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria del gerente que estaba,$ES_Adj_m,El cartero se acercó a la secretaria del gerente que estaba,0.050310886116765596,0.008229524846508518,0.016144445429263632,0.057015906245794445,0.058936485229995395
