item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob
5a,English,Fernandez,low,sg,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$SG,My friend met the assistants of the detective that MASKTOKEN fired.,wikitext-103_LSTM_400_1-d0.2.pt,0.1824226425061574
5a,English,Fernandez,high,sg,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$SG,My friend met the assistant of the detectives that MASKTOKEN fired.,wikitext-103_LSTM_400_1-d0.2.pt,0.0532094921674728
5a,English,Fernandez,low,pl,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$PL,My friend met the assistant of the detectives that MASKTOKEN fired.,wikitext-103_LSTM_400_1-d0.2.pt,0.0535020403375803
5a,English,Fernandez,high,pl,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$PL,My friend met the assistants of the detective that MASKTOKEN fired.,wikitext-103_LSTM_400_1-d0.2.pt,0.0452185687151622
6a,English,Fernandez,low,sg,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$SG,Charlie met the employees of the ambassador that MASKTOKEN eating.,wikitext-103_LSTM_400_1-d0.2.pt,0.1022414812494911
6a,English,Fernandez,high,sg,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$SG,Charlie met the employee of the ambassadors that MASKTOKEN eating.,wikitext-103_LSTM_400_1-d0.2.pt,0.0781889795804513
6a,English,Fernandez,low,pl,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$PL,Charlie met the employee of the ambassadors that MASKTOKEN eating.,wikitext-103_LSTM_400_1-d0.2.pt,0.0854985105608285
6a,English,Fernandez,high,pl,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$PL,Charlie met the employees of the ambassador that MASKTOKEN eating.,wikitext-103_LSTM_400_1-d0.2.pt,0.0426831773955811
7a,English,Fernandez,low,sg,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$SG,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,wikitext-103_LSTM_400_1-d0.2.pt,0.1319012055381474
7a,English,Fernandez,high,sg,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$SG,Roxanne read the review of the poems that MASKTOKEN unfinished.,wikitext-103_LSTM_400_1-d0.2.pt,0.0804673236805708
7a,English,Fernandez,low,pl,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$PL,Roxanne read the review of the poems that MASKTOKEN unfinished.,wikitext-103_LSTM_400_1-d0.2.pt,0.1699923271827881
7a,English,Fernandez,high,pl,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$PL,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,wikitext-103_LSTM_400_1-d0.2.pt,0.0544724833291496
8a,English,Fernandez,low,sg,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$SG,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,wikitext-103_LSTM_400_1-d0.2.pt,0.1582359761289548
8a,English,Fernandez,high,sg,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$SG,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,wikitext-103_LSTM_400_1-d0.2.pt,0.0599128655361171
8a,English,Fernandez,low,pl,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$PL,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,wikitext-103_LSTM_400_1-d0.2.pt,0.2254777866065838
8a,English,Fernandez,high,pl,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$PL,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,wikitext-103_LSTM_400_1-d0.2.pt,0.0822893068405524
9a,English,Fernandez,low,sg,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$SG,Mary replaced the wires of the speaker that MASKTOKEN damaged.,wikitext-103_LSTM_400_1-d0.2.pt,0.2650919030340093
9a,English,Fernandez,high,sg,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$SG,Mary replaced the wire of the speakers that MASKTOKEN damaged.,wikitext-103_LSTM_400_1-d0.2.pt,0.1061872509561308
9a,English,Fernandez,low,pl,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$PL,Mary replaced the wire of the speakers that MASKTOKEN damaged.,wikitext-103_LSTM_400_1-d0.2.pt,0.093677381887824
9a,English,Fernandez,high,pl,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$PL,Mary replaced the wires of the speaker that MASKTOKEN damaged.,wikitext-103_LSTM_400_1-d0.2.pt,0.0421382582370424
10a,English,Fernandez,low,sg,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$SG,My brother liked listening to the recordings of the song that MASKTOKEN banned.,wikitext-103_LSTM_400_1-d0.2.pt,0.1875338788758407
10a,English,Fernandez,high,sg,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$SG,My brother liked listening to the recording of the songs that MASKTOKEN banned.,wikitext-103_LSTM_400_1-d0.2.pt,0.0634476715654859
10a,English,Fernandez,low,pl,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$PL,My brother liked listening to the recording of the songs that MASKTOKEN banned.,wikitext-103_LSTM_400_1-d0.2.pt,0.2303735412055609
10a,English,Fernandez,high,pl,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$PL,My brother liked listening to the recordings of the song that MASKTOKEN banned.,wikitext-103_LSTM_400_1-d0.2.pt,0.0710776736068101
11a,English,Fernandez,low,sg,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$SG,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,wikitext-103_LSTM_400_1-d0.2.pt,0.1801550520132764
11a,English,Fernandez,high,sg,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$SG,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,wikitext-103_LSTM_400_1-d0.2.pt,0.1045546983397742
11a,English,Fernandez,low,pl,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$PL,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,wikitext-103_LSTM_400_1-d0.2.pt,0.3922917608939071
11a,English,Fernandez,high,pl,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$PL,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,wikitext-103_LSTM_400_1-d0.2.pt,0.2331894142852171
12a,English,Fernandez,low,sg,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$SG,The thief took the keys of the car that MASKTOKEN outside.,wikitext-103_LSTM_400_1-d0.2.pt,0.162737703100039
12a,English,Fernandez,high,sg,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$SG,The thief took the key of the cars that MASKTOKEN outside.,wikitext-103_LSTM_400_1-d0.2.pt,0.0559585089146379
12a,English,Fernandez,low,pl,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$PL,The thief took the key of the cars that MASKTOKEN outside.,wikitext-103_LSTM_400_1-d0.2.pt,0.240282913472674
12a,English,Fernandez,high,pl,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$PL,The thief took the keys of the car that MASKTOKEN outside.,wikitext-103_LSTM_400_1-d0.2.pt,0.0673562519007042
13a,English,Fernandez,low,sg,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$SG,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,wikitext-103_LSTM_400_1-d0.2.pt,0.1012205208092602
13a,English,Fernandez,high,sg,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$SG,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,wikitext-103_LSTM_400_1-d0.2.pt,0.0765132294717556
13a,English,Fernandez,low,pl,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$PL,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,wikitext-103_LSTM_400_1-d0.2.pt,0.09439810209604
13a,English,Fernandez,high,pl,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$PL,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,wikitext-103_LSTM_400_1-d0.2.pt,0.094611535404038
14a,English,Fernandez,low,sg,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$SG,Patricia saw the teachers of the student that MASKTOKEN in class.,wikitext-103_LSTM_400_1-d0.2.pt,0.0345974228686181
14a,English,Fernandez,high,sg,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$SG,Patricia saw the teacher of the students that MASKTOKEN in class.,wikitext-103_LSTM_400_1-d0.2.pt,0.0511178727492653
14a,English,Fernandez,low,pl,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$PL,Patricia saw the teacher of the students that MASKTOKEN in class.,wikitext-103_LSTM_400_1-d0.2.pt,0.1111970648167846
14a,English,Fernandez,high,pl,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$PL,Patricia saw the teachers of the student that MASKTOKEN in class.,wikitext-103_LSTM_400_1-d0.2.pt,0.0478672231294936
15a,English,Fernandez,low,sg,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$SG,Linda wrote to the managers of the assistant that MASKTOKEN late.,wikitext-103_LSTM_400_1-d0.2.pt,0.029161962763367
15a,English,Fernandez,high,sg,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$SG,Linda wrote to the manager of the assistants that MASKTOKEN late.,wikitext-103_LSTM_400_1-d0.2.pt,0.0164252923911538
15a,English,Fernandez,low,pl,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$PL,Linda wrote to the manager of the assistants that MASKTOKEN late.,wikitext-103_LSTM_400_1-d0.2.pt,0.0291862169128229
15a,English,Fernandez,high,pl,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$PL,Linda wrote to the managers of the assistant that MASKTOKEN late.,wikitext-103_LSTM_400_1-d0.2.pt,0.0244467604513083
16a,English,Fernandez,low,sg,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$SG,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,wikitext-103_LSTM_400_1-d0.2.pt,0.1052799094490417
16a,English,Fernandez,high,sg,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$SG,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,wikitext-103_LSTM_400_1-d0.2.pt,0.0983186979808898
16a,English,Fernandez,low,pl,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$PL,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,wikitext-103_LSTM_400_1-d0.2.pt,0.2133268893215252
16a,English,Fernandez,high,pl,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$PL,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,wikitext-103_LSTM_400_1-d0.2.pt,0.2090896117274354
17a,English,Fernandez,low,sg,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$SG,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,wikitext-103_LSTM_400_1-d0.2.pt,0.1418037957701088
17a,English,Fernandez,high,sg,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$SG,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,wikitext-103_LSTM_400_1-d0.2.pt,0.0703007677427471
17a,English,Fernandez,low,pl,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$PL,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,wikitext-103_LSTM_400_1-d0.2.pt,0.1199078885519986
17a,English,Fernandez,high,pl,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$PL,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,wikitext-103_LSTM_400_1-d0.2.pt,0.036866340477295
18a,English,Fernandez,low,sg,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$SG,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,wikitext-103_LSTM_400_1-d0.2.pt,0.0856342514913865
18a,English,Fernandez,high,sg,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$SG,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,wikitext-103_LSTM_400_1-d0.2.pt,0.0696307615520548
18a,English,Fernandez,low,pl,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$PL,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,wikitext-103_LSTM_400_1-d0.2.pt,0.0946771710432701
18a,English,Fernandez,high,pl,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$PL,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,wikitext-103_LSTM_400_1-d0.2.pt,0.0355858674890239
19a,English,Fernandez,low,sg,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$SG,Ivana met the sons of the delegate that MASKTOKEN smoking.,wikitext-103_LSTM_400_1-d0.2.pt,0.141032150485409
19a,English,Fernandez,high,sg,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$SG,Ivana met the son of the delegates that MASKTOKEN smoking.,wikitext-103_LSTM_400_1-d0.2.pt,0.0727078654418686
19a,English,Fernandez,low,pl,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$PL,Ivana met the son of the delegates that MASKTOKEN smoking.,wikitext-103_LSTM_400_1-d0.2.pt,0.0651696567071127
19a,English,Fernandez,high,pl,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$PL,Ivana met the sons of the delegate that MASKTOKEN smoking.,wikitext-103_LSTM_400_1-d0.2.pt,0.0431323189056218
20a,English,Fernandez,low,sg,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$SG,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,wikitext-103_LSTM_400_1-d0.2.pt,0.1722632320019848
20a,English,Fernandez,high,sg,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$SG,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,wikitext-103_LSTM_400_1-d0.2.pt,0.1110273362952076
20a,English,Fernandez,low,pl,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$PL,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,wikitext-103_LSTM_400_1-d0.2.pt,0.3423865421093399
20a,English,Fernandez,high,pl,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$PL,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,wikitext-103_LSTM_400_1-d0.2.pt,0.1797496955629238
21a,English,Fernandez,low,sg,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$SG,The student read the revisions of the manuscript that MASKTOKEN on the test.,wikitext-103_LSTM_400_1-d0.2.pt,0.1782213929171003
21a,English,Fernandez,high,sg,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$SG,The student read the revision of the manuscripts that MASKTOKEN on the test.,wikitext-103_LSTM_400_1-d0.2.pt,0.0786631761403757
21a,English,Fernandez,low,pl,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$PL,The student read the revision of the manuscripts that MASKTOKEN on the test.,wikitext-103_LSTM_400_1-d0.2.pt,0.2485277438802438
21a,English,Fernandez,high,pl,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$PL,The student read the revisions of the manuscript that MASKTOKEN on the test.,wikitext-103_LSTM_400_1-d0.2.pt,0.0935639102328238
22a,English,Fernandez,low,sg,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$SG,The archaeologists finally found the panels of the box that MASKTOKEN broken.,wikitext-103_LSTM_400_1-d0.2.pt,0.0932129713963432
22a,English,Fernandez,high,sg,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$SG,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,wikitext-103_LSTM_400_1-d0.2.pt,0.0546864371037472
22a,English,Fernandez,low,pl,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$PL,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,wikitext-103_LSTM_400_1-d0.2.pt,0.3160166252175118
22a,English,Fernandez,high,pl,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$PL,The archaeologists finally found the panels of the box that MASKTOKEN broken.,wikitext-103_LSTM_400_1-d0.2.pt,0.2082274957665424
23a,English,Fernandez,low,sg,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$SG,Harry had inspected the printers of the computer that MASKTOKEN stolen.,wikitext-103_LSTM_400_1-d0.2.pt,0.1357924952340177
23a,English,Fernandez,high,sg,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$SG,Harry had inspected the printer of the computers that MASKTOKEN stolen.,wikitext-103_LSTM_400_1-d0.2.pt,0.0622983502461895
23a,English,Fernandez,low,pl,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$PL,Harry had inspected the printer of the computers that MASKTOKEN stolen.,wikitext-103_LSTM_400_1-d0.2.pt,0.1953560203541693
23a,English,Fernandez,high,pl,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$PL,Harry had inspected the printers of the computer that MASKTOKEN stolen.,wikitext-103_LSTM_400_1-d0.2.pt,0.0938479461975845
