item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/dccuchile/bert-base-spanish-wwm-uncased_prob,/data/mrm8488/RuPERTa-base_prob
2a,Spanish,Fernandez,low,pl,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_PL,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,0.33066505229739107,0.38160388957673774
2a,Spanish,Fernandez,high,pl,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_PL,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,0.05261757826543434,0.5200419219229957
3a,Spanish,Fernandez,ambi,sg,1,1,al asistente,del trabajador,asistente,trabajador,El gerente observaba al asistente del trabajador que MASKTOKEN en la oficina.,El gerente observaba al asistente del trabajador que,$ES_SG,El gerente observaba al asistente del trabajador que MASKTOKEN en la oficina.,0.8892926444511102,0.5620149659530966
3a,Spanish,Fernandez,low,sg,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_SG,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,0.8063507658552704,0.03495619432059982
3a,Spanish,Fernandez,high,sg,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_SG,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,0.007040344185809498,0.07702535052941784
3a,Spanish,Fernandez,ambi,pl,1,1,a los asistentes,de los trabajadores,asistentes,trabajadores,El gerente observaba a los asistentes de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba a los asistentes de los trabajadores que,$ES_PL,El gerente observaba a los asistentes de los trabajadores que MASKTOKEN en la oficina.,0.9852703445073924,0.5788715317633688
3a,Spanish,Fernandez,low,pl,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_PL,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,0.9809776775067687,0.4796590749326981
3a,Spanish,Fernandez,high,pl,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_PL,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,0.09014968142198766,0.5199028567317328
4a,Spanish,Fernandez,ambi,sg,1,0,al asistente,del abogado,asistente,abogado,Julia había hablado con al asistente del abogado que MASKTOKEN de vacación.,Julia había hablado con al asistente del abogado que,$ES_SG,Julia había hablado con al asistente del abogado que MASKTOKEN de vacación.,0.5645836673240225,0.3245712063495816
4a,Spanish,Fernandez,low,sg,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_SG,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,0.34726292763588873,0.05039230108954662
4a,Spanish,Fernandez,high,sg,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_SG,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,0.19349996123448676,0.09950856872808345
4a,Spanish,Fernandez,ambi,pl,1,0,a los asistentes,de los abogados,asistentes,abogados,Julia había hablado con a los asistentes de los abogados que MASKTOKEN de vacación.,Julia había hablado con a los asistentes de los abogados que,$ES_PL,Julia había hablado con a los asistentes de los abogados que MASKTOKEN de vacación.,0.5960449709858295,0.5654622769073256
4a,Spanish,Fernandez,low,pl,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_PL,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,0.4132966801547866,0.31441892775374924
4a,Spanish,Fernandez,high,pl,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_PL,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,0.29854225202720386,0.4610079782640355
5a,Spanish,Fernandez,ambi,sg,0,0,al ayudante,del detective,ayudante,detective,Mi amigo conoció al ayudante del detective que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante del detective que,$ES_SG,Mi amigo conoció al ayudante del detective que MASKTOKEN en la oficina.,0.47855978515013886,0.5367698988584948
5a,Spanish,Fernandez,low,sg,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_SG,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,0.11207635551025885,0.04537609513711516
5a,Spanish,Fernandez,high,sg,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_SG,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,0.13994602830031688,0.3694396527795618
5a,Spanish,Fernandez,ambi,pl,0,0,a los ayudantes,de los detectives,ayudantes,detectives,Mi amigo conoció a los ayudantes de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes de los detectives que,$ES_PL,Mi amigo conoció a los ayudantes de los detectives que MASKTOKEN en la oficina.,0.6440441469849292,0.6256068121111369
5a,Spanish,Fernandez,low,pl,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_PL,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,0.4612103615970291,0.0660530230798031
5a,Spanish,Fernandez,high,pl,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_PL,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,0.46882130089660334,0.5874150102266924
6a,Spanish,Fernandez,ambi,sg,1,0,al analista,del embajador,analista,embajador,Carlos conoció al analista del embajador que MASKTOKEN en la compañia.,Carlos conoció al analista del embajador que,$ES_SG,Carlos conoció al analista del embajador que MASKTOKEN en la compañia.,0.6619870342967573,0.4687437730231352
6a,Spanish,Fernandez,low,sg,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_SG,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,0.6016692467472637,0.09287749744409979
6a,Spanish,Fernandez,high,sg,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_SG,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,0.1940875240528257,0.3090573524359854
6a,Spanish,Fernandez,ambi,pl,1,0,a los analistas,de los embajadores,analistas,embajadores,Carlos conoció a los analistas de los embajadores que MASKTOKEN en la compañia.,Carlos conoció a los analistas de los embajadores que,$ES_PL,Carlos conoció a los analistas de los embajadores que MASKTOKEN en la compañia.,0.5168665414213329,0.582511465495891
6a,Spanish,Fernandez,low,pl,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_PL,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,0.2929192470547832,0.1707857371466588
6a,Spanish,Fernandez,high,pl,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_PL,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,0.06585884994998237,0.5356946310879067
7a,Spanish,Fernandez,ambi,sg,1,1,el verso,de la poema,verso,poema,Rosa leyó el verso de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de la poema que,$ES_SG,Rosa leyó el verso de la poema que MASKTOKEN en las últimas páginas de la revista.,0.7985312991351918,0.37514605162452597
7a,Spanish,Fernandez,low,sg,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_SG,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,0.2797647916624797,0.3288693524108055
7a,Spanish,Fernandez,high,sg,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_SG,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,0.060133586932892946,0.0832925693251525
7a,Spanish,Fernandez,ambi,pl,1,1,los versos,de las poemas,versos,poemas,Rosa leyó los versos de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de las poemas que,$ES_PL,Rosa leyó los versos de las poemas que MASKTOKEN en las últimas páginas de la revista.,0.6277206974129008,0.41725553393328596
7a,Spanish,Fernandez,low,pl,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_PL,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,0.7207053320167089,0.3443768560167797
7a,Spanish,Fernandez,high,pl,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_PL,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,0.38264441697531026,0.1317915790386337
8a,Spanish,Fernandez,ambi,sg,0,1,el tubo,de la cocina,tubo,cocina,El plomero ajustó el tubo de la cocina que MASKTOKEN en la casa.,El plomero ajustó el tubo de la cocina que,$ES_SG,El plomero ajustó el tubo de la cocina que MASKTOKEN en la casa.,0.5000734674215287,0.5328011725850956
8a,Spanish,Fernandez,low,sg,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_SG,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,0.24220778794697348,0.14606359873211971
8a,Spanish,Fernandez,high,sg,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_SG,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,0.22413438219455784,0.14493370627768343
8a,Spanish,Fernandez,ambi,pl,0,1,los tubos,de las cocinas,tubos,cocinas,El plomero ajustó los tubos de las cocinas que MASKTOKEN en la casa.,El plomero ajustó los tubos de las cocinas que,$ES_PL,El plomero ajustó los tubos de las cocinas que MASKTOKEN en la casa.,0.24072126802103877,0.49451798552249215
8a,Spanish,Fernandez,low,pl,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_PL,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,0.19370527113688518,0.41035145781069104
8a,Spanish,Fernandez,high,pl,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_PL,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,0.15904919371537554,0.36230808066494546
9a,Spanish,Fernandez,ambi,sg,0,1,el cable,del radio,cable,radio,María remplazó el cable del radio que MASKTOKEN en el coche.,María remplazó el cable del radio que,$ES_SG,María remplazó el cable del radio que MASKTOKEN en el coche.,0.5467863200649337,0.6349653602183025
9a,Spanish,Fernandez,low,sg,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_SG,María remplazó los cables del radio que MASKTOKEN en el coche.,0.37049071497861297,0.2582347676311656
9a,Spanish,Fernandez,high,sg,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_SG,María remplazó el cable de los radios que MASKTOKEN en el coche.,0.3988130587248291,0.10450576746814022
9a,Spanish,Fernandez,ambi,pl,0,1,los cables,de los radios,cables,radios,María remplazó los cables de los radios que MASKTOKEN en el coche.,María remplazó los cables de los radios que,$ES_PL,María remplazó los cables de los radios que MASKTOKEN en el coche.,0.4048929844461,0.5668502022974167
9a,Spanish,Fernandez,low,pl,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_PL,María remplazó el cable de los radios que MASKTOKEN en el coche.,0.3285851363258345,0.4869345196767654
9a,Spanish,Fernandez,high,pl,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_PL,María remplazó los cables del radio que MASKTOKEN en el coche.,0.28425333681377296,0.3458358119521563
10a,Spanish,Fernandez,ambi,sg,1,1,el ritmo,del canto,ritmo,canto,A mi hermano le gustaba escuchar el ritmo del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo del canto que,$ES_SG,A mi hermano le gustaba escuchar el ritmo del canto que MASKTOKEN en la primera cara del álbum.,0.45845855771206834,0.4686345253128934
10a,Spanish,Fernandez,low,sg,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_SG,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,0.42556856699114043,0.26866320367759045
10a,Spanish,Fernandez,high,sg,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_SG,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,0.13980939144046411,0.23935179058966582
10a,Spanish,Fernandez,ambi,pl,1,1,los ritmos,de los cantos,ritmos,cantos,A mi hermano le gustaba escuchar los ritmos de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos de los cantos que,$ES_PL,A mi hermano le gustaba escuchar los ritmos de los cantos que MASKTOKEN en la primera cara del álbum.,0.5779862162649323,0.26398590015658385
10a,Spanish,Fernandez,low,pl,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_PL,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,0.5044940602117194,0.11692533638111513
10a,Spanish,Fernandez,high,pl,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_PL,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,0.17858674649841966,0.1519892927615274
11a,Spanish,Fernandez,ambi,sg,1,1,el color,del plato,color,plato,El cocinero no pudo encontrar el color del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color del plato que,$ES_SG,El cocinero no pudo encontrar el color del plato que MASKTOKEN en el aparador.,0.5801439020806259,0.5590716474125657
11a,Spanish,Fernandez,low,sg,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_SG,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,0.5392421413834446,0.19605335234638233
11a,Spanish,Fernandez,high,sg,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_SG,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,0.07667395926411441,0.02958296543970107
11a,Spanish,Fernandez,ambi,pl,1,1,los colores,de los platos,colores,platos,El cocinero no pudo encontrar los colores de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores de los platos que,$ES_PL,El cocinero no pudo encontrar los colores de los platos que MASKTOKEN en el aparador.,0.545672216714403,0.6756143983841554
11a,Spanish,Fernandez,low,pl,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_PL,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,0.5800731550377627,0.6367432466163052
11a,Spanish,Fernandez,high,pl,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_PL,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,0.03402340953147179,0.4739624943607055
12a,Spanish,Fernandez,ambi,sg,0,1,la llave,de la caja,llave,caja,El ladrón se llevó la llave de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de la caja que,$ES_SG,El ladrón se llevó la llave de la caja que MASKTOKEN en al armario del pasillo.,0.4430476341070957,0.5321055894638107
12a,Spanish,Fernandez,low,sg,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_SG,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,0.4115258758827256,0.4326184170395777
12a,Spanish,Fernandez,high,sg,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_SG,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,0.27261189577054257,0.10555072687803602
12a,Spanish,Fernandez,ambi,pl,0,1,las llaves,de las cajas,llaves,cajas,El ladrón se llevó las llaves de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de las cajas que,$ES_PL,El ladrón se llevó las llaves de las cajas que MASKTOKEN en al armario del pasillo.,0.2660447021200767,0.3976946582917691
12a,Spanish,Fernandez,low,pl,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_PL,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,0.2736067301716645,0.4352208788480425
12a,Spanish,Fernandez,high,pl,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_PL,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,0.047029038438846094,0.08934075209599257
13a,Spanish,Fernandez,ambi,sg,0,1,a la hija,del prisionero,hija,prisionero,El periodista no pudo entrevistar a la hija del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija del prisionero que,$ES_SG,El periodista no pudo entrevistar a la hija del prisionero que MASKTOKEN en el avión.,0.7639559729160315,0.46205154681047134
13a,Spanish,Fernandez,low,sg,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_SG,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,0.7740050599211017,0.009775618334693092
13a,Spanish,Fernandez,high,sg,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_SG,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,0.008339064705002203,0.22936347355360454
13a,Spanish,Fernandez,ambi,pl,0,1,a las hijas,de los prisioneros,hijas,prisioneros,El periodista no pudo entrevistar a las hijas de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas de los prisioneros que,$ES_PL,El periodista no pudo entrevistar a las hijas de los prisioneros que MASKTOKEN en el avión.,0.5419310488513192,0.48533520710918765
13a,Spanish,Fernandez,low,pl,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_PL,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,0.6114838953021716,0.12485495798878787
13a,Spanish,Fernandez,high,pl,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_PL,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,0.014941200380220114,0.5859100595480413
14a,Spanish,Fernandez,ambi,sg,0,0,al profesor,del estudiante,profesor,estudiante,Patricia vio al profesor del estudiante que MASKTOKEN en clase.,Patricia vio al profesor del estudiante que,$ES_SG,Patricia vio al profesor del estudiante que MASKTOKEN en clase.,0.37338942625577687,0.47865883395152764
14a,Spanish,Fernandez,low,sg,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_SG,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,0.5380340097099445,0.057401685140732184
14a,Spanish,Fernandez,high,sg,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_SG,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,0.019463655776198463,0.018401511516081825
14a,Spanish,Fernandez,ambi,pl,0,0,a los profesores,de los estudiantes,profesores,estudiantes,Patricia vio a los profesores de los estudiantes que MASKTOKEN en clase.,Patricia vio a los profesores de los estudiantes que,$ES_PL,Patricia vio a los profesores de los estudiantes que MASKTOKEN en clase.,0.5591969435490929,0.7018794778824997
14a,Spanish,Fernandez,low,pl,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_PL,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,0.3826195638592256,0.6515709911296597
14a,Spanish,Fernandez,high,pl,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_PL,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,0.05567032127062638,0.6202430622133761
15a,Spanish,Fernandez,ambi,sg,1,0,al director,del asistente,director,asistente,Linda escribió al director del asistente que MASKTOKEN en la universidad.,Linda escribió al director del asistente que,$ES_SG,Linda escribió al director del asistente que MASKTOKEN en la universidad.,0.5993296159119552,0.45680942424439763
15a,Spanish,Fernandez,low,sg,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_SG,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,0.4595203095331186,0.03166340288548497
15a,Spanish,Fernandez,high,sg,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_SG,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,0.199164798913551,0.016931623517169925
