item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_prob,/data/roberta-base_prob
8a,English,Fernandez,high,sg,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$SG,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,0.01793945519435544,0.14744763213819928
8a,English,Fernandez,ambi,pl,0,0,the pipes,of the sinks,pipes,sinks,The plumber adjusted the pipes of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipes of the sinks that,$PL,The plumber adjusted the pipes of the sinks that MASKTOKEN cracked.,0.4744731994029554,0.6308716431641953
8a,English,Fernandez,low,pl,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$PL,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,0.323293623680584,0.40436626381334845
8a,English,Fernandez,high,pl,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$PL,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,0.4971903143700264,0.5681627161689157
9a,English,Fernandez,ambi,sg,0,1,the wire,of the speaker,wire,speaker,Mary replaced the wire of the speaker that MASKTOKEN damaged.,Mary replaced the wire of the speaker that,$SG,Mary replaced the wire of the speaker that MASKTOKEN damaged.,0.926070443842659,0.9214376606791426
9a,English,Fernandez,low,sg,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$SG,Mary replaced the wires of the speaker that MASKTOKEN damaged.,0.021333413595723404,0.08893006192987887
9a,English,Fernandez,high,sg,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$SG,Mary replaced the wire of the speakers that MASKTOKEN damaged.,0.08767869206420342,0.39008079723508887
9a,English,Fernandez,ambi,pl,0,1,the wires,of the speakers,wires,speakers,Mary replaced the wires of the speakers that MASKTOKEN damaged.,Mary replaced the wires of the speakers that,$PL,Mary replaced the wires of the speakers that MASKTOKEN damaged.,0.9614514597681064,0.9444623109539456
9a,English,Fernandez,low,pl,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$PL,Mary replaced the wire of the speakers that MASKTOKEN damaged.,0.8675309422081587,0.5326804606963459
9a,English,Fernandez,high,pl,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$PL,Mary replaced the wires of the speaker that MASKTOKEN damaged.,0.9435524604078868,0.868597351008636
10a,English,Fernandez,ambi,sg,0,0,the recording,of the song,recording,song,My brother liked listening to the recording of the song that MASKTOKEN banned.,My brother liked listening to the recording of the song that,$SG,My brother liked listening to the recording of the song that MASKTOKEN banned.,0.848155024569336,0.8252556343334646
10a,English,Fernandez,low,sg,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$SG,My brother liked listening to the recordings of the song that MASKTOKEN banned.,0.03920332249025196,0.8189003736737979
10a,English,Fernandez,high,sg,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$SG,My brother liked listening to the recording of the songs that MASKTOKEN banned.,0.030688396094272985,0.014985584308829188
10a,English,Fernandez,ambi,pl,0,0,the recordings,of the songs,recordings,songs,My brother liked listening to the recordings of the songs that MASKTOKEN banned.,My brother liked listening to the recordings of the songs that,$PL,My brother liked listening to the recordings of the songs that MASKTOKEN banned.,0.9058380383680208,0.9427850295104973
10a,English,Fernandez,low,pl,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$PL,My brother liked listening to the recording of the songs that MASKTOKEN banned.,0.8635259261262966,0.9386354213076583
10a,English,Fernandez,high,pl,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$PL,My brother liked listening to the recordings of the song that MASKTOKEN banned.,0.8393275748518927,0.04467395021185543
11a,English,Fernandez,ambi,sg,1,1,the cover,of the pot,cover,pot,The chef couldn’t find the cover of the pot that MASKTOKEN clean.,The chef couldn’t find the cover of the pot that,$SG,The chef couldn’t find the cover of the pot that MASKTOKEN clean.,0.7547768354030744,0.8631362958401225
11a,English,Fernandez,low,sg,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$SG,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,0.12891171819649858,0.05777371153877285
11a,English,Fernandez,high,sg,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$SG,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,0.022292513920973745,0.5718348024724417
11a,English,Fernandez,ambi,pl,1,1,the covers,of the pots,covers,pots,The chef couldn’t find the covers of the pots that MASKTOKEN clean.,The chef couldn’t find the covers of the pots that,$PL,The chef couldn’t find the covers of the pots that MASKTOKEN clean.,0.8309923538063931,0.8984578735262866
11a,English,Fernandez,low,pl,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$PL,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,0.7237783523449492,0.3030437747938165
11a,English,Fernandez,high,pl,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$PL,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,0.6472478343563308,0.8437882673093151
12a,English,Fernandez,ambi,sg,0,1,the key,of the car,key,car,The thief took the key of the car that MASKTOKEN outside.,The thief took the key of the car that,$SG,The thief took the key of the car that MASKTOKEN outside.,0.24999080088896336,0.9226861761075716
12a,English,Fernandez,low,sg,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$SG,The thief took the keys of the car that MASKTOKEN outside.,0.25817776518956637,0.9170730918700141
12a,English,Fernandez,high,sg,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$SG,The thief took the key of the cars that MASKTOKEN outside.,0.0009691012162751644,0.015987866456228517
12a,English,Fernandez,ambi,pl,0,1,the keys,of the cars,keys,cars,The thief took the keys of the cars that MASKTOKEN outside.,The thief took the keys of the cars that,$PL,The thief took the keys of the cars that MASKTOKEN outside.,0.37207408602230907,0.8916174990791227
12a,English,Fernandez,low,pl,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$PL,The thief took the key of the cars that MASKTOKEN outside.,0.27512716385277436,0.8526528501816579
12a,English,Fernandez,high,pl,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$PL,The thief took the keys of the car that MASKTOKEN outside.,0.0067740550001434766,0.005580092403914801
13a,English,Fernandez,ambi,sg,0,0,the daughter,of the hostage,daughter,hostage,The journalist was unable to interview the daughter of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostage that,$SG,The journalist was unable to interview the daughter of the hostage that MASKTOKEN waiting.,0.9877724343870522,0.9777427905625244
13a,English,Fernandez,low,sg,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$SG,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,0.912506543277547,0.5461563284485725
13a,English,Fernandez,high,sg,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$SG,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,0.0516893222739216,0.764401816044036
13a,English,Fernandez,ambi,pl,0,0,the daughters,of the hostages,daughters,hostages,The journalist was unable to interview the daughters of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostages that,$PL,The journalist was unable to interview the daughters of the hostages that MASKTOKEN waiting.,0.9704851671112587,0.9820618448553848
13a,English,Fernandez,low,pl,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$PL,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,0.9301689869356748,0.22085790748497425
13a,English,Fernandez,high,pl,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$PL,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,0.06789634979287537,0.4394392001756615
14a,English,Fernandez,ambi,sg,0,0,the teacher,of the student,teacher,student,Patricia saw the teacher of the student that MASKTOKEN in class.,Patricia saw the teacher of the student that,$SG,Patricia saw the teacher of the student that MASKTOKEN in class.,0.5769958725694968,0.7168264471716534
14a,English,Fernandez,low,sg,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$SG,Patricia saw the teachers of the student that MASKTOKEN in class.,0.47340970517835235,0.7715894010145211
14a,English,Fernandez,high,sg,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$SG,Patricia saw the teacher of the students that MASKTOKEN in class.,0.025853392725009416,0.08078017117463603
14a,English,Fernandez,ambi,pl,0,0,the teachers,of the students,teachers,students,Patricia saw the teachers of the students that MASKTOKEN in class.,Patricia saw the teachers of the students that,$PL,Patricia saw the teachers of the students that MASKTOKEN in class.,0.6695747725857714,0.9062162989855321
14a,English,Fernandez,low,pl,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$PL,Patricia saw the teacher of the students that MASKTOKEN in class.,0.6643106591905001,0.7452874052508484
14a,English,Fernandez,high,pl,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$PL,Patricia saw the teachers of the student that MASKTOKEN in class.,0.06779595358251012,0.03394373331087959
15a,English,Fernandez,ambi,sg,0,0,the manager,of the assistant,manager,assistant,Linda wrote to the manager of the assistant that MASKTOKEN late.,Linda wrote to the manager of the assistant that,$SG,Linda wrote to the manager of the assistant that MASKTOKEN late.,0.7655272151676004,0.6075256747577081
15a,English,Fernandez,low,sg,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$SG,Linda wrote to the managers of the assistant that MASKTOKEN late.,0.6528731451954031,0.48493079044943793
15a,English,Fernandez,high,sg,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$SG,Linda wrote to the manager of the assistants that MASKTOKEN late.,0.7619749707618826,0.35975828932376697
15a,English,Fernandez,ambi,pl,0,0,the managers,of the assistants,managers,assistants,Linda wrote to the managers of the assistants that MASKTOKEN late.,Linda wrote to the managers of the assistants that,$PL,Linda wrote to the managers of the assistants that MASKTOKEN late.,0.22369428009943926,0.5235663121783076
15a,English,Fernandez,low,pl,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$PL,Linda wrote to the manager of the assistants that MASKTOKEN late.,0.03166682656679909,0.2422923470048422
15a,English,Fernandez,high,pl,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$PL,Linda wrote to the managers of the assistant that MASKTOKEN late.,0.02534974143218416,0.05291881791152704
16a,English,Fernandez,ambi,sg,0,0,the guide,of the tourist,guide,tourist,The hotel director didn’t want to see the guide of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourist that,$SG,The hotel director didn’t want to see the guide of the tourist that MASKTOKEN angry.,0.7608580832239074,0.7966325957738399
16a,English,Fernandez,low,sg,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$SG,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,0.5272702881309912,0.7713750547778324
16a,English,Fernandez,high,sg,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$SG,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,0.062026968189071316,0.21547951493692813
16a,English,Fernandez,ambi,pl,0,0,the guides,of the tourists,guides,tourists,The hotel director didn’t want to see the guides of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourists that,$PL,The hotel director didn’t want to see the guides of the tourists that MASKTOKEN angry.,0.7365328178141125,0.8332692582452521
16a,English,Fernandez,low,pl,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$PL,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,0.6636995179204719,0.6415081268613334
16a,English,Fernandez,high,pl,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$PL,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,0.22272741213977942,0.0635842109273826
17a,English,Fernandez,ambi,sg,0,0,the client,of the lawyer,client,lawyer,The receptionist greeted the client of the lawyer that MASKTOKEN chatting.,The receptionist greeted the client of the lawyer that,$SG,The receptionist greeted the client of the lawyer that MASKTOKEN chatting.,0.930259697309257,0.9232866977654169
17a,English,Fernandez,low,sg,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$SG,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,0.05127956594897357,0.5505680080024712
17a,English,Fernandez,high,sg,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$SG,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,0.12066155251143224,0.4221834126744346
17a,English,Fernandez,ambi,pl,0,0,the clients,of the lawyers,clients,lawyers,The receptionist greeted the clients of the lawyers that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyers that,$PL,The receptionist greeted the clients of the lawyers that MASKTOKEN chatting.,0.9710182071991917,0.9179951657689833
17a,English,Fernandez,low,pl,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$PL,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,0.8372694923167491,0.538825654283542
