item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_prob,/data/roberta-base_prob
3,English,A1,substance,indef,0.3,high,sg,1,1,a shirt,of fabrics,shirt,fabrics,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabrics that,$SG,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,0.13442065879167692,0.039847910644083245
3,English,A1,substance,indef,0.3,ambi,pl,1,1,some shirts,of fabrics,shirts,fabrics,Yesterday they gave me some shirts of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabrics that,$PL,Yesterday they gave me some shirts of fabrics that MASKTOKEN illegally imported. ,0.898158365188017,0.8005578954465304
3,English,A1,substance,indef,0.3,low,pl,1,1,a shirt,of fabrics,shirt,fabrics,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabrics that,$PL,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,0.7456772917759875,0.7237546279056787
3,English,A1,substance,indef,0.3,high,pl,1,1,some shirts,of fabric,shirts,fabric,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabric that,$PL,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,0.6451310992183145,0.3285904140246088
4,English,A1,substance,def,0.21,ambi,sg,1,0,the blanket,of material,blanket,material,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,In the end Tomas brought the blanket of material that,$SG,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,0.845388468349412,0.9541039673084851
4,English,A1,substance,def,0.21,low,sg,1,0,the blankets,of material,blankets,material,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,In the end Tomas brought the blankets of material that,$SG,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,0.15093111270531775,0.26060420160013587
4,English,A1,substance,def,0.21,high,sg,1,0,the blanket,of materials,blanket,materials,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought the blanket of materials that,$SG,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,0.19082529821945537,0.21324727890067782
4,English,A1,substance,def,0.21,ambi,pl,1,0,the blankets,of materials,blankets,materials,In the end Tomas brought the blankets of materials that MASKTOKEN very expensive.,In the end Tomas brought the blankets of materials that,$PL,In the end Tomas brought the blankets of materials that MASKTOKEN very expensive.,0.942115997677718,0.964680753495783
4,English,A1,substance,def,0.21,low,pl,1,0,the blanket,of materials,blanket,materials,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought the blanket of materials that,$PL,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,0.7430314408346363,0.7703716288208483
4,English,A1,substance,def,0.21,high,pl,1,0,the blankets,of material,blankets,material,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,In the end Tomas brought the blankets of material that,$PL,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,0.7540715994555036,0.7250923945425927
4,English,A1,substance,indef,0.21,ambi,sg,1,0,a blanket,of material,blanket,material,In the end Tomas brought a blanket of material that MASKTOKEN very expensive.,In the end Tomas brought a blanket of material that,$SG,In the end Tomas brought a blanket of material that MASKTOKEN very expensive.,0.751528741758075,0.9579177634162108
4,English,A1,substance,indef,0.21,low,sg,1,0,some blankets,of material,blankets,material,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,In the end Tomas brought some blankets of material that,$SG,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,0.0454206036499373,0.11643022586828163
4,English,A1,substance,indef,0.21,high,sg,1,0,a blanket,of materials,blanket,materials,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought a blanket of materials that,$SG,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,0.19475559794674652,0.23646863017897843
4,English,A1,substance,indef,0.21,ambi,pl,1,0,some blankets,of materials,blankets,materials,In the end Tomas brought some blankets of materials that MASKTOKEN very expensive.,In the end Tomas brought some blankets of materials that,$PL,In the end Tomas brought some blankets of materials that MASKTOKEN very expensive.,0.9288464045672713,0.9618663222516975
4,English,A1,substance,indef,0.21,low,pl,1,0,a blanket,of materials,blanket,materials,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought a blanket of materials that,$PL,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,0.6897413359558929,0.7344639048768897
4,English,A1,substance,indef,0.21,high,pl,1,0,some blankets,of material,blankets,material,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,In the end Tomas brought some blankets of material that,$PL,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,0.8103657056617455,0.8543440715155539
5,English,A1,substance,def,0.12,ambi,sg,0,1,the belt,of hide,belt,hide,Maria made the belt of hide that MASKTOKEN liked a lot.,Maria made the belt of hide that,$SG,Maria made the belt of hide that MASKTOKEN liked a lot.,0.0014149325520222966,0.002536185400421831
5,English,A1,substance,def,0.12,low,sg,0,1,the belts,of hide,belts,hide,Maria made the belts of hide that MASKTOKEN liked a lot.,Maria made the belts of hide that,$SG,Maria made the belts of hide that MASKTOKEN liked a lot.,0.0013542984408405623,0.0034769710777587115
5,English,A1,substance,def,0.12,high,sg,0,1,the belt,of hides,belt,hides,Maria made the belt of hides that MASKTOKEN liked a lot.,Maria made the belt of hides that,$SG,Maria made the belt of hides that MASKTOKEN liked a lot.,0.001376372858923336,0.0025027683829873526
5,English,A1,substance,def,0.12,ambi,pl,0,1,the belts,of hides,belts,hides,Maria made the belts of hides that MASKTOKEN liked a lot.,Maria made the belts of hides that,$PL,Maria made the belts of hides that MASKTOKEN liked a lot.,0.0039001252623407368,0.0012130222489445813
5,English,A1,substance,def,0.12,low,pl,0,1,the belt,of hides,belt,hides,Maria made the belt of hides that MASKTOKEN liked a lot.,Maria made the belt of hides that,$PL,Maria made the belt of hides that MASKTOKEN liked a lot.,0.004014100058133074,0.0011849373130337765
5,English,A1,substance,def,0.12,high,pl,0,1,the belts,of hide,belts,hide,Maria made the belts of hide that MASKTOKEN liked a lot.,Maria made the belts of hide that,$PL,Maria made the belts of hide that MASKTOKEN liked a lot.,0.004979290402751246,0.0015607971548307897
5,English,A1,substance,indef,0.12,ambi,sg,0,1,a belt,of hide,belt,hide,Maria made a belt of hide that MASKTOKEN liked a lot.,Maria made a belt of hide that,$SG,Maria made a belt of hide that MASKTOKEN liked a lot.,0.0009856468089921577,0.0018764712795968364
5,English,A1,substance,indef,0.12,low,sg,0,1,some belts,of hide,belts,hide,Maria made some belts of hide that MASKTOKEN liked a lot.,Maria made some belts of hide that,$SG,Maria made some belts of hide that MASKTOKEN liked a lot.,0.0010246470913120032,0.0014599225293939894
5,English,A1,substance,indef,0.12,high,sg,0,1,a belt,of hides,belt,hides,Maria made a belt of hides that MASKTOKEN liked a lot.,Maria made a belt of hides that,$SG,Maria made a belt of hides that MASKTOKEN liked a lot.,0.0009344765639973662,0.001858581900870876
5,English,A1,substance,indef,0.12,ambi,pl,0,1,some belts,of hides,belts,hides,Maria made some belts of hides that MASKTOKEN liked a lot.,Maria made some belts of hides that,$PL,Maria made some belts of hides that MASKTOKEN liked a lot.,0.0031315523956698676,0.0008236014008007678
5,English,A1,substance,indef,0.12,low,pl,0,1,a belt,of hides,belt,hides,Maria made a belt of hides that MASKTOKEN liked a lot.,Maria made a belt of hides that,$PL,Maria made a belt of hides that MASKTOKEN liked a lot.,0.00396554146152539,0.0007213045649331201
5,English,A1,substance,indef,0.12,high,pl,0,1,some belts,of hide,belts,hide,Maria made some belts of hide that MASKTOKEN liked a lot.,Maria made some belts of hide that,$PL,Maria made some belts of hide that MASKTOKEN liked a lot.,0.004413460833939897,0.0008131060962363115
6,English,A1,substance,def,0.09,ambi,sg,0,1,the bell,of medal,bell,medal,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,Finally they placed the bell of medal that,$SG,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,0.5457844648668084,0.3612230137067904
6,English,A1,substance,def,0.09,low,sg,0,1,the bells,of medal,bells,medal,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,Finally they placed the bells of medal that,$SG,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,0.3161186852831237,0.08338423815333358
6,English,A1,substance,def,0.09,high,sg,0,1,the bell,of medals,bell,medals,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,Finally they placed the bell of medals that,$SG,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,0.04476963267905942,0.1093512839196017
6,English,A1,substance,def,0.09,ambi,pl,0,1,the bells,of medals,bells,medals,Finally they placed the bells of medals that MASKTOKEN brought from the foundry.,Finally they placed the bells of medals that,$PL,Finally they placed the bells of medals that MASKTOKEN brought from the foundry.,0.8344724689118572,0.4846324156166498
6,English,A1,substance,def,0.09,low,pl,0,1,the bell,of medals,bell,medals,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,Finally they placed the bell of medals that,$PL,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,0.6205284648165232,0.39473067828022657
6,English,A1,substance,def,0.09,high,pl,0,1,the bells,of medal,bells,medal,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,Finally they placed the bells of medal that,$PL,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,0.3938379933931955,0.3486932589461997
6,English,A1,substance,indef,0.09,ambi,sg,0,1,a bell,of medal,bell,medal,Finally they placed a bell of medal that MASKTOKEN brought from the foundry.,Finally they placed a bell of medal that,$SG,Finally they placed a bell of medal that MASKTOKEN brought from the foundry.,0.5553218636187731,0.40896094000384453
6,English,A1,substance,indef,0.09,low,sg,0,1,some bells,of medal,bells,medal,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,Finally they placed some bells of medal that,$SG,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,0.14577054481056995,0.07244141581131425
6,English,A1,substance,indef,0.09,high,sg,0,1,a bell,of medals,bell,medals,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,Finally they placed a bell of medals that,$SG,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,0.04859359416978426,0.043442060939840973
6,English,A1,substance,indef,0.09,ambi,pl,0,1,some bells,of medals,bells,medals,Finally they placed some bells of medals that MASKTOKEN brought from the foundry.,Finally they placed some bells of medals that,$PL,Finally they placed some bells of medals that MASKTOKEN brought from the foundry.,0.7640749994521379,0.42001623958134326
6,English,A1,substance,indef,0.09,low,pl,0,1,a bell,of medals,bell,medals,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,Finally they placed a bell of medals that,$PL,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,0.6718741761415574,0.5499834890630599
6,English,A1,substance,indef,0.09,high,pl,0,1,some bells,of medal,bells,medal,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,Finally they placed some bells of medal that,$PL,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,0.5161099938583424,0.302261387624047
7,English,A1,substance,def,0.29,ambi,sg,0,1,the cake,of grain,cake,grain,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grain that,$SG,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,0.6742397720587667,0.8241649376488067
7,English,A1,substance,def,0.29,low,sg,0,1,the cakes,of grain,cakes,grain,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grain that,$SG,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,0.042312947991593464,0.005690204129461092
7,English,A1,substance,def,0.29,high,sg,0,1,the cake,of grains,cake,grains,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grains that,$SG,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,0.5651069428473956,0.7749376020189248
7,English,A1,substance,def,0.29,ambi,pl,0,1,the cakes,of grains,cakes,grains,Yesterday we ate the cakes of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grains that,$PL,Yesterday we ate the cakes of grains that MASKTOKEN sold in the oriental shop.,0.7428137233523315,0.9379278190824875
7,English,A1,substance,def,0.29,low,pl,0,1,the cake,of grains,cake,grains,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grains that,$PL,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,0.09148232934703282,0.06968243903624652
7,English,A1,substance,def,0.29,high,pl,0,1,the cakes,of grain,cakes,grain,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grain that,$PL,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,0.7146193008576118,0.9365469901076721
7,English,A1,substance,indef,0.29,ambi,sg,0,1,a cake,of grain,cake,grain,Yesterday we ate a cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grain that,$SG,Yesterday we ate a cake of grain that MASKTOKEN sold in the oriental shop.,0.6130149622478909,0.7918322576788255
7,English,A1,substance,indef,0.29,low,sg,0,1,some cakes,of grain,cakes,grain,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grain that,$SG,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,0.04041559721814603,0.020119174920769367
7,English,A1,substance,indef,0.29,high,sg,0,1,a cake,of grains,cake,grains,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grains that,$SG,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,0.5408277309684573,0.7666786070334555
7,English,A1,substance,indef,0.29,ambi,pl,0,1,some cakes,of grains,cakes,grains,Yesterday we ate some cakes of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grains that,$PL,Yesterday we ate some cakes of grains that MASKTOKEN sold in the oriental shop.,0.6884995576253508,0.9203504419700406
7,English,A1,substance,indef,0.29,low,pl,0,1,a cake,of grains,cake,grains,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grains that,$PL,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,0.043451410138246604,0.040677830877943424
7,English,A1,substance,indef,0.29,high,pl,0,1,some cakes,of grain,cakes,grain,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grain that,$PL,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,0.6621180044554289,0.895595815909803
8,English,A1,substance,def,0.12,ambi,sg,1,1,the dress,of thread,dress,thread,The young actress admired the dress of thread that MASKTOKEN so beautiful.,The young actress admired the dress of thread that,$SG,The young actress admired the dress of thread that MASKTOKEN so beautiful.,0.7479248545030212,0.695702441210257
8,English,A1,substance,def,0.12,low,sg,1,1,the dresses,of thread,dresses,thread,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,The young actress admired the dresses of thread that,$SG,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,0.013681998526669452,0.06952900354955215
8,English,A1,substance,def,0.12,high,sg,1,1,the dress,of threads,dress,threads,The young actress admired the dress of threads that MASKTOKEN so beautiful.,The young actress admired the dress of threads that,$SG,The young actress admired the dress of threads that MASKTOKEN so beautiful.,0.630751016980816,0.44560251665479683
8,English,A1,substance,def,0.12,ambi,pl,1,1,the dresses,of threads,dresses,threads,The young actress admired the dresses of threads that MASKTOKEN so beautiful.,The young actress admired the dresses of threads that,$PL,The young actress admired the dresses of threads that MASKTOKEN so beautiful.,0.7349126587595398,0.6629042958318165
8,English,A1,substance,def,0.12,low,pl,1,1,the dress,of threads,dress,threads,The young actress admired the dress of threads that MASKTOKEN so beautiful.,The young actress admired the dress of threads that,$PL,The young actress admired the dress of threads that MASKTOKEN so beautiful.,0.07658921000634897,0.29565703344845917
8,English,A1,substance,def,0.12,high,pl,1,1,the dresses,of thread,dresses,thread,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,The young actress admired the dresses of thread that,$PL,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,0.7448875584856786,0.6673874039739291
8,English,A1,substance,indef,0.12,ambi,sg,1,1,a dress,of thread,dress,thread,The young actress admired a dress of thread that MASKTOKEN so beautiful.,The young actress admired a dress of thread that,$SG,The young actress admired a dress of thread that MASKTOKEN so beautiful.,0.6269837030200237,0.6050312764877729
8,English,A1,substance,indef,0.12,low,sg,1,1,some dresses,of thread,dresses,thread,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,The young actress admired some dresses of thread that,$SG,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,0.0075977127109922125,0.05863720703892908
8,English,A1,substance,indef,0.12,high,sg,1,1,a dress,of threads,dress,threads,The young actress admired a dress of threads that MASKTOKEN so beautiful.,The young actress admired a dress of threads that,$SG,The young actress admired a dress of threads that MASKTOKEN so beautiful.,0.5623988187410375,0.47507752286064053
8,English,A1,substance,indef,0.12,ambi,pl,1,1,some dresses,of threads,dresses,threads,The young actress admired some dresses of threads that MASKTOKEN so beautiful.,The young actress admired some dresses of threads that,$PL,The young actress admired some dresses of threads that MASKTOKEN so beautiful.,0.6972586347936529,0.6876799589123271
8,English,A1,substance,indef,0.12,low,pl,1,1,a dress,of threads,dress,threads,The young actress admired a dress of threads that MASKTOKEN so beautiful.,The young actress admired a dress of threads that,$PL,The young actress admired a dress of threads that MASKTOKEN so beautiful.,0.025925461588732532,0.18178601108681164
8,English,A1,substance,indef,0.12,high,pl,1,1,some dresses,of thread,dresses,thread,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,The young actress admired some dresses of thread that,$PL,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,0.706694431788731,0.6419469581718822
1,English,A2,quantity,noAdj,0.16,ambi,sg,0,0,the glass,of water,glass,water,John asked for the glass of water that MASKTOKEN on the table.,John asked for the glass of water that,$SG,John asked for the glass of water that MASKTOKEN on the table.,0.28879812532555504,0.9404791298414091
