item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/dccuchile/bert-base-spanish-wwm-uncased_prob,/data/mrm8488/RuPERTa-base_prob
2,Spanish,A1,substance,def,0.24,low,sg,1,1,las velas,de mineral,velas,mineral,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de mineral que,$ES_SG,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,0.37214276108374744,0.09448096796143801
2,Spanish,A1,substance,def,0.24,high,sg,1,1,la vela,de minerales,vela,minerales,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de minerales que,$ES_SG,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,0.40757164776310884,0.3447704510605263
2,Spanish,A1,substance,def,0.24,ambi,pl,1,1,las velas,de minerales,velas,minerales,A mi hermana le regalaron las velas de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de minerales que,$ES_PL,A mi hermana le regalaron las velas de minerales que MASKTOKEN en la bodega. ,0.2364961065913327,0.3970614430774049
2,Spanish,A1,substance,def,0.24,low,pl,1,1,la vela,de minerales,vela,minerales,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de minerales que,$ES_PL,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,0.09272140358160175,0.1474067474914591
2,Spanish,A1,substance,def,0.24,high,pl,1,1,las velas,de mineral,velas,mineral,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de mineral que,$ES_PL,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,0.22030833868904598,0.370982215574827
2,Spanish,A1,substance,indef,0.24,ambi,sg,1,1,una vela,de mineral,vela,mineral,A mi hermana le regalaron una vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de mineral que,$ES_SG,A mi hermana le regalaron una vela de mineral que MASKTOKEN en la bodega. ,0.38123293547937,0.5220094774545601
2,Spanish,A1,substance,indef,0.24,low,sg,1,1,unas velas,de mineral,velas,mineral,A mi hermana le regalaron unas velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de mineral que,$ES_SG,A mi hermana le regalaron unas velas de mineral que MASKTOKEN en la bodega. ,0.32089132566006756,0.05566776518149652
2,Spanish,A1,substance,indef,0.24,high,sg,1,1,una vela,de minerales,vela,minerales,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de minerales que,$ES_SG,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,0.4150461623273529,0.21508423381519037
2,Spanish,A1,substance,indef,0.24,ambi,pl,1,1,unas velas,de minerales,velas,minerales,A mi hermana le regalaron unas velas de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de minerales que,$ES_PL,A mi hermana le regalaron unas velas de minerales que MASKTOKEN en la bodega. ,0.2426429877445614,0.4099376822796046
2,Spanish,A1,substance,indef,0.24,low,pl,1,1,una vela,de minerales,vela,minerales,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de minerales que,$ES_PL,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,0.11074135969747928,0.29513902034699413
2,Spanish,A1,substance,indef,0.24,high,pl,1,1,unas velas,de mineral,velas,mineral,A mi hermana le regalaron unas velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de mineral que,$ES_PL,A mi hermana le regalaron unas velas de mineral que MASKTOKEN en la bodega. ,0.2276440161618981,0.4178870571141431
3,Spanish,A1,substance,def,0.1,ambi,sg,1,1,la camisa,de tela,camisa,tela,Ayer me regalaron la camisa de tela que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de tela que,$ES_SG,Ayer me regalaron la camisa de tela que MASKTOKEN de contrabando.,0.15212546235242552,0.5112361941628478
3,Spanish,A1,substance,def,0.1,low,sg,1,1,las camisas,de tela,camisas,tela,Ayer me regalaron las camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron las camisas de tela que,$ES_SG,Ayer me regalaron las camisas de tela que MASKTOKEN de contrabando.,0.09985527454650489,0.02995546789533421
3,Spanish,A1,substance,def,0.1,high,sg,1,1,la camisa,de telas,camisa,telas,Ayer me regalaron la camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de telas que,$ES_SG,Ayer me regalaron la camisa de telas que MASKTOKEN de contrabando.,0.19278047719860592,0.1836410820412766
3,Spanish,A1,substance,def,0.1,ambi,pl,1,1,las camisas,de telas,camisas,telas,Ayer me regalaron las camisas de telas que MASKTOKEN de contrabando.,Ayer me regalaron las camisas de telas que,$ES_PL,Ayer me regalaron las camisas de telas que MASKTOKEN de contrabando.,0.27123374095895425,0.6893053718874853
3,Spanish,A1,substance,def,0.1,low,pl,1,1,la camisa,de telas,camisa,telas,Ayer me regalaron la camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de telas que,$ES_PL,Ayer me regalaron la camisa de telas que MASKTOKEN de contrabando.,0.16136853147637442,0.36438393946934866
3,Spanish,A1,substance,def,0.1,high,pl,1,1,las camisas,de tela,camisas,tela,Ayer me regalaron las camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron las camisas de tela que,$ES_PL,Ayer me regalaron las camisas de tela que MASKTOKEN de contrabando.,0.26670959566105035,0.7265049917280066
3,Spanish,A1,substance,indef,0.1,ambi,sg,1,1,una camisa,de tela,camisa,tela,Ayer me regalaron una camisa de tela que MASKTOKEN de contrabando.,Ayer me regalaron una camisa de tela que,$ES_SG,Ayer me regalaron una camisa de tela que MASKTOKEN de contrabando.,0.13954771230523488,0.48709295246067086
3,Spanish,A1,substance,indef,0.1,low,sg,1,1,unas camisas,de tela,camisas,tela,Ayer me regalaron unas camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron unas camisas de tela que,$ES_SG,Ayer me regalaron unas camisas de tela que MASKTOKEN de contrabando.,0.062257581352920144,0.018614872408576844
3,Spanish,A1,substance,indef,0.1,high,sg,1,1,una camisa,de telas,camisa,telas,Ayer me regalaron una camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron una camisa de telas que,$ES_SG,Ayer me regalaron una camisa de telas que MASKTOKEN de contrabando.,0.13350437643809143,0.129070291184064
3,Spanish,A1,substance,indef,0.1,ambi,pl,1,1,unas camisas,de telas,camisas,telas,Ayer me regalaron unas camisas de telas que MASKTOKEN de contrabando.,Ayer me regalaron unas camisas de telas que,$ES_PL,Ayer me regalaron unas camisas de telas que MASKTOKEN de contrabando.,0.21082860636041123,0.6808298198894818
3,Spanish,A1,substance,indef,0.1,low,pl,1,1,una camisa,de telas,camisa,telas,Ayer me regalaron una camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron una camisa de telas que,$ES_PL,Ayer me regalaron una camisa de telas que MASKTOKEN de contrabando.,0.13209898086954586,0.4238769487559466
3,Spanish,A1,substance,indef,0.1,high,pl,1,1,unas camisas,de tela,camisas,tela,Ayer me regalaron unas camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron unas camisas de tela que,$ES_PL,Ayer me regalaron unas camisas de tela que MASKTOKEN de contrabando.,0.26071841303700105,0.7241884909028613
4,Spanish,A1,substance,def,0.0,ambi,sg,0,1,la manta,de tela,manta,tela,Al final Tomás compró la manta de tela que MASKTOKEN muy cara.,Al final Tomás compró la manta de tela que,$ES_SG,Al final Tomás compró la manta de tela que MASKTOKEN muy cara.,0.9512235157057991,1.0122376863863565
4,Spanish,A1,substance,def,0.0,low,sg,0,1,las mantas,de tela,mantas,tela,Al final Tomás compró las mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró las mantas de tela que,$ES_SG,Al final Tomás compró las mantas de tela que MASKTOKEN muy cara.,0.8927625107189632,0.005290038190143953
4,Spanish,A1,substance,def,0.0,high,sg,0,1,la manta,de telas,manta,telas,Al final Tomás compró la manta de telas que MASKTOKEN muy cara.,Al final Tomás compró la manta de telas que,$ES_SG,Al final Tomás compró la manta de telas que MASKTOKEN muy cara.,0.9315799893573553,0.8502598193832966
4,Spanish,A1,substance,def,0.0,ambi,pl,0,1,las mantas,de telas,mantas,telas,Al final Tomás compró las mantas de telas que MASKTOKEN muy cara.,Al final Tomás compró las mantas de telas que,$ES_PL,Al final Tomás compró las mantas de telas que MASKTOKEN muy cara.,0.1246558031873981,0.934534673522684
4,Spanish,A1,substance,def,0.0,low,pl,0,1,la manta,de telas,manta,telas,Al final Tomás compró la manta de telas que MASKTOKEN muy cara.,Al final Tomás compró la manta de telas que,$ES_PL,Al final Tomás compró la manta de telas que MASKTOKEN muy cara.,0.01504308441030544,0.14149691739759973
4,Spanish,A1,substance,def,0.0,high,pl,0,1,las mantas,de tela,mantas,tela,Al final Tomás compró las mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró las mantas de tela que,$ES_PL,Al final Tomás compró las mantas de tela que MASKTOKEN muy cara.,0.05302120703214519,0.9252408955586446
4,Spanish,A1,substance,indef,0.0,ambi,sg,0,1,una manta,de tela,manta,tela,Al final Tomás compró una manta de tela que MASKTOKEN muy cara.,Al final Tomás compró una manta de tela que,$ES_SG,Al final Tomás compró una manta de tela que MASKTOKEN muy cara.,0.9413193676691844,0.8606762559416836
4,Spanish,A1,substance,indef,0.0,low,sg,0,1,unas mantas,de tela,mantas,tela,Al final Tomás compró unas mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró unas mantas de tela que,$ES_SG,Al final Tomás compró unas mantas de tela que MASKTOKEN muy cara.,0.8171025094950299,0.009220355146734693
4,Spanish,A1,substance,indef,0.0,high,sg,0,1,una manta,de telas,manta,telas,Al final Tomás compró una manta de telas que MASKTOKEN muy cara.,Al final Tomás compró una manta de telas que,$ES_SG,Al final Tomás compró una manta de telas que MASKTOKEN muy cara.,0.9209192597808027,0.6626235929519737
4,Spanish,A1,substance,indef,0.0,ambi,pl,0,1,unas mantas,de telas,mantas,telas,Al final Tomás compró unas mantas de telas que MASKTOKEN muy cara.,Al final Tomás compró unas mantas de telas que,$ES_PL,Al final Tomás compró unas mantas de telas que MASKTOKEN muy cara.,0.10011069377479043,0.9320516438932742
4,Spanish,A1,substance,indef,0.0,low,pl,0,1,una manta,de telas,manta,telas,Al final Tomás compró una manta de telas que MASKTOKEN muy cara.,Al final Tomás compró una manta de telas que,$ES_PL,Al final Tomás compró una manta de telas que MASKTOKEN muy cara.,0.018935083114841822,0.18492271673591176
4,Spanish,A1,substance,indef,0.0,high,pl,0,1,unas mantas,de tela,mantas,tela,Al final Tomás compró unas mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró unas mantas de tela que,$ES_PL,Al final Tomás compró unas mantas de tela que MASKTOKEN muy cara.,0.0928547872407377,0.8951934946872342
5,Spanish,A1,substance,def,0.02,ambi,sg,1,0,la bolsa,de piel,bolsa,piel,María hizo la bolsa de piel que MASKTOKEN mucho.,María hizo la bolsa de piel que,$ES_SG,María hizo la bolsa de piel que MASKTOKEN mucho.,0.5854255472118552,0.7528466593821577
5,Spanish,A1,substance,def,0.02,low,sg,1,0,las bolsas,de piel,bolsas,piel,María hizo las bolsas de piel que MASKTOKEN mucho.,María hizo las bolsas de piel que,$ES_SG,María hizo las bolsas de piel que MASKTOKEN mucho.,0.15876528445922133,0.04418057311087864
5,Spanish,A1,substance,def,0.02,high,sg,1,0,la bolsa,de pieles,bolsa,pieles,María hizo la bolsa de pieles que MASKTOKEN mucho.,María hizo la bolsa de pieles que,$ES_SG,María hizo la bolsa de pieles que MASKTOKEN mucho.,0.5977714592248162,0.696973210602664
5,Spanish,A1,substance,def,0.02,ambi,pl,1,0,las bolsas,de pieles,bolsas,pieles,María hizo las bolsas de pieles que MASKTOKEN mucho.,María hizo las bolsas de pieles que,$ES_PL,María hizo las bolsas de pieles que MASKTOKEN mucho.,0.6693652319238481,0.6104991297472964
5,Spanish,A1,substance,def,0.02,low,pl,1,0,la bolsa,de pieles,bolsa,pieles,María hizo la bolsa de pieles que MASKTOKEN mucho.,María hizo la bolsa de pieles que,$ES_PL,María hizo la bolsa de pieles que MASKTOKEN mucho.,0.032298902256084006,0.01767470316437425
5,Spanish,A1,substance,def,0.02,high,pl,1,0,las bolsas,de piel,bolsas,piel,María hizo las bolsas de piel que MASKTOKEN mucho.,María hizo las bolsas de piel que,$ES_PL,María hizo las bolsas de piel que MASKTOKEN mucho.,0.5452450586614361,0.5463102757714182
5,Spanish,A1,substance,indef,0.02,ambi,sg,1,0,una bolsa,de piel,bolsa,piel,María hizo una bolsa de piel que MASKTOKEN mucho.,María hizo una bolsa de piel que,$ES_SG,María hizo una bolsa de piel que MASKTOKEN mucho.,0.4420986751013203,0.5403749319007147
5,Spanish,A1,substance,indef,0.02,low,sg,1,0,unas bolsas,de piel,bolsas,piel,María hizo unas bolsas de piel que MASKTOKEN mucho.,María hizo unas bolsas de piel que,$ES_SG,María hizo unas bolsas de piel que MASKTOKEN mucho.,0.07978359423111137,0.058892713115483275
5,Spanish,A1,substance,indef,0.02,high,sg,1,0,una bolsa,de pieles,bolsa,pieles,María hizo una bolsa de pieles que MASKTOKEN mucho.,María hizo una bolsa de pieles que,$ES_SG,María hizo una bolsa de pieles que MASKTOKEN mucho.,0.3951272987191441,0.43642848885701824
5,Spanish,A1,substance,indef,0.02,ambi,pl,1,0,unas bolsas,de pieles,bolsas,pieles,María hizo unas bolsas de pieles que MASKTOKEN mucho.,María hizo unas bolsas de pieles que,$ES_PL,María hizo unas bolsas de pieles que MASKTOKEN mucho.,0.3243476771982827,0.7293097503581407
5,Spanish,A1,substance,indef,0.02,low,pl,1,0,una bolsa,de pieles,bolsa,pieles,María hizo una bolsa de pieles que MASKTOKEN mucho.,María hizo una bolsa de pieles que,$ES_PL,María hizo una bolsa de pieles que MASKTOKEN mucho.,0.0352372982784086,0.025640694907551165
5,Spanish,A1,substance,indef,0.02,high,pl,1,0,unas bolsas,de piel,bolsas,piel,María hizo unas bolsas de piel que MASKTOKEN mucho.,María hizo unas bolsas de piel que,$ES_PL,María hizo unas bolsas de piel que MASKTOKEN mucho.,0.36654147513521806,0.5857442428546165
6,Spanish,A1,substance,def,0.06,ambi,sg,0,1,la campana,de metal,campana,metal,Por fin colocaron la campana de metal que MASKTOKEN de la fundición.,Por fin colocaron la campana de metal que,$ES_SG,Por fin colocaron la campana de metal que MASKTOKEN de la fundición.,0.44652893573157115,0.5190106884805346
6,Spanish,A1,substance,def,0.06,low,sg,0,1,las campanas,de metal,campanas,metal,Por fin colocaron las campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron las campanas de metal que,$ES_SG,Por fin colocaron las campanas de metal que MASKTOKEN de la fundición.,0.056212766367430334,0.019512825578910764
6,Spanish,A1,substance,def,0.06,high,sg,0,1,la campana,de metales,campana,metales,Por fin colocaron la campana de metales que MASKTOKEN de la fundición.,Por fin colocaron la campana de metales que,$ES_SG,Por fin colocaron la campana de metales que MASKTOKEN de la fundición.,0.4712103250714321,0.4909296227165214
6,Spanish,A1,substance,def,0.06,ambi,pl,0,1,las campanas,de metales,campanas,metales,Por fin colocaron las campanas de metales que MASKTOKEN de la fundición.,Por fin colocaron las campanas de metales que,$ES_PL,Por fin colocaron las campanas de metales que MASKTOKEN de la fundición.,0.7571077850444823,0.6890711198647423
6,Spanish,A1,substance,def,0.06,low,pl,0,1,la campana,de metales,campana,metales,Por fin colocaron la campana de metales que MASKTOKEN de la fundición.,Por fin colocaron la campana de metales que,$ES_PL,Por fin colocaron la campana de metales que MASKTOKEN de la fundición.,0.26730189831418016,0.0544272803450383
6,Spanish,A1,substance,def,0.06,high,pl,0,1,las campanas,de metal,campanas,metal,Por fin colocaron las campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron las campanas de metal que,$ES_PL,Por fin colocaron las campanas de metal que MASKTOKEN de la fundición.,0.726300545350874,0.6562110376272301
6,Spanish,A1,substance,indef,0.06,ambi,sg,0,1,una campana,de metal,campana,metal,Por fin colocaron una campana de metal que MASKTOKEN de la fundición.,Por fin colocaron una campana de metal que,$ES_SG,Por fin colocaron una campana de metal que MASKTOKEN de la fundición.,0.4645898332499243,0.45504874511391336
6,Spanish,A1,substance,indef,0.06,low,sg,0,1,unas campanas,de metal,campanas,metal,Por fin colocaron unas campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron unas campanas de metal que,$ES_SG,Por fin colocaron unas campanas de metal que MASKTOKEN de la fundición.,0.013475760178715657,0.019261692851953782
6,Spanish,A1,substance,indef,0.06,high,sg,0,1,una campana,de metales,campana,metales,Por fin colocaron una campana de metales que MASKTOKEN de la fundición.,Por fin colocaron una campana de metales que,$ES_SG,Por fin colocaron una campana de metales que MASKTOKEN de la fundición.,0.49201299053940417,0.3430489037832558
6,Spanish,A1,substance,indef,0.06,ambi,pl,0,1,unas campanas,de metales,campanas,metales,Por fin colocaron unas campanas de metales que MASKTOKEN de la fundición.,Por fin colocaron unas campanas de metales que,$ES_PL,Por fin colocaron unas campanas de metales que MASKTOKEN de la fundición.,0.8808649436654932,0.6914227509243673
6,Spanish,A1,substance,indef,0.06,low,pl,0,1,una campana,de metales,campana,metales,Por fin colocaron una campana de metales que MASKTOKEN de la fundición.,Por fin colocaron una campana de metales que,$ES_PL,Por fin colocaron una campana de metales que MASKTOKEN de la fundición.,0.21272531820950746,0.10663178555334696
6,Spanish,A1,substance,indef,0.06,high,pl,0,1,unas campanas,de metal,campanas,metal,Por fin colocaron unas campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron unas campanas de metal que,$ES_PL,Por fin colocaron unas campanas de metal que MASKTOKEN de la fundición.,0.7748859480433268,0.6777814843168315
7,Spanish,A1,substance,def,0.04,ambi,sg,0,1,el pastel,de grano,pastel,grano,Ayer nos comimos el pastel de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de grano que,$ES_SG,Ayer nos comimos el pastel de grano que MASKTOKEN en la tienda de productos orientales.,0.12991405733533246,0.654183945570594
7,Spanish,A1,substance,def,0.04,low,sg,0,1,los pasteles,de grano,pasteles,grano,Ayer nos comimos los pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos los pasteles de grano que,$ES_SG,Ayer nos comimos los pasteles de grano que MASKTOKEN en la tienda de productos orientales.,0.05422915243992531,0.1366253446804535
7,Spanish,A1,substance,def,0.04,high,sg,0,1,el pastel,de granos,pastel,granos,Ayer nos comimos el pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de granos que,$ES_SG,Ayer nos comimos el pastel de granos que MASKTOKEN en la tienda de productos orientales.,0.10079703321651934,0.6816532726522837
7,Spanish,A1,substance,def,0.04,ambi,pl,0,1,los pasteles,de granos,pasteles,granos,Ayer nos comimos los pasteles de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos los pasteles de granos que,$ES_PL,Ayer nos comimos los pasteles de granos que MASKTOKEN en la tienda de productos orientales.,0.5028056310318624,0.5037969196326912
7,Spanish,A1,substance,def,0.04,low,pl,0,1,el pastel,de granos,pastel,granos,Ayer nos comimos el pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de granos que,$ES_PL,Ayer nos comimos el pastel de granos que MASKTOKEN en la tienda de productos orientales.,0.28634928529892756,0.0605138382058783
7,Spanish,A1,substance,def,0.04,high,pl,0,1,los pasteles,de grano,pasteles,grano,Ayer nos comimos los pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos los pasteles de grano que,$ES_PL,Ayer nos comimos los pasteles de grano que MASKTOKEN en la tienda de productos orientales.,0.5375910599957886,0.5427439276147652
7,Spanish,A1,substance,indef,0.04,ambi,sg,0,1,un pastel,de grano,pastel,grano,Ayer nos comimos un pastel de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos un pastel de grano que,$ES_SG,Ayer nos comimos un pastel de grano que MASKTOKEN en la tienda de productos orientales.,0.09200825363072274,0.6698682063824322
7,Spanish,A1,substance,indef,0.04,low,sg,0,1,unos pasteles,de grano,pasteles,grano,Ayer nos comimos unos pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos unos pasteles de grano que,$ES_SG,Ayer nos comimos unos pasteles de grano que MASKTOKEN en la tienda de productos orientales.,0.04435349141932331,0.08456098429198278
7,Spanish,A1,substance,indef,0.04,high,sg,0,1,un pastel,de granos,pastel,granos,Ayer nos comimos un pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos un pastel de granos que,$ES_SG,Ayer nos comimos un pastel de granos que MASKTOKEN en la tienda de productos orientales.,0.07495148166769727,0.6756261511332866
7,Spanish,A1,substance,indef,0.04,ambi,pl,0,1,unos pasteles,de granos,pasteles,granos,Ayer nos comimos unos pasteles de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos unos pasteles de granos que,$ES_PL,Ayer nos comimos unos pasteles de granos que MASKTOKEN en la tienda de productos orientales.,0.437017991329425,0.5735980390164741
7,Spanish,A1,substance,indef,0.04,low,pl,0,1,un pastel,de granos,pastel,granos,Ayer nos comimos un pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos un pastel de granos que,$ES_PL,Ayer nos comimos un pastel de granos que MASKTOKEN en la tienda de productos orientales.,0.23221069444556774,0.0761256368081149
7,Spanish,A1,substance,indef,0.04,high,pl,0,1,unos pasteles,de grano,pasteles,grano,Ayer nos comimos unos pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos unos pasteles de grano que,$ES_PL,Ayer nos comimos unos pasteles de grano que MASKTOKEN en la tienda de productos orientales.,0.469833087025069,0.5719767430871343
8,Spanish,A1,substance,def,0.0,ambi,sg,1,1,el vestido,de fibra,vestido,fibra,La joven actriz admiraba el vestido de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba el vestido de fibra que,$ES_SG,La joven actriz admiraba el vestido de fibra que MASKTOKEN muy bonita.,0.8925358455047944,0.8396898157266595
8,Spanish,A1,substance,def,0.0,low,sg,1,1,los vestidos,de fibra,vestidos,fibra,La joven actriz admiraba los vestidos de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba los vestidos de fibra que,$ES_SG,La joven actriz admiraba los vestidos de fibra que MASKTOKEN muy bonita.,0.8391266517834571,0.3017518390826419
8,Spanish,A1,substance,def,0.0,high,sg,1,1,el vestido,de fibras,vestido,fibras,La joven actriz admiraba el vestido de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba el vestido de fibras que,$ES_SG,La joven actriz admiraba el vestido de fibras que MASKTOKEN muy bonita.,0.9021919311128062,0.40938577340905624
8,Spanish,A1,substance,def,0.0,ambi,pl,1,1,los vestidos,de fibras,vestidos,fibras,La joven actriz admiraba los vestidos de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba los vestidos de fibras que,$ES_PL,La joven actriz admiraba los vestidos de fibras que MASKTOKEN muy bonita.,0.0651564353702252,0.616999279909578
8,Spanish,A1,substance,def,0.0,low,pl,1,1,el vestido,de fibras,vestido,fibras,La joven actriz admiraba el vestido de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba el vestido de fibras que,$ES_PL,La joven actriz admiraba el vestido de fibras que MASKTOKEN muy bonita.,0.003949504952810705,0.4206679412089471
