item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
3,English,A1,substance,indef,0.3,low,sg,1,1,some shirts,of fabric,shirts,fabric,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabric that,$SG,Yesterday they gave me some shirts of fabric that,0.15811350961471504
3,English,A1,substance,indef,0.3,high,sg,1,1,a shirt,of fabrics,shirt,fabrics,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabrics that,$SG,Yesterday they gave me a shirt of fabrics that,0.08961582100257903
3,English,A1,substance,indef,0.3,ambi,pl,1,1,some shirts,of fabrics,shirts,fabrics,Yesterday they gave me some shirts of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabrics that,$PL,Yesterday they gave me some shirts of fabrics that,0.27613735095951775
3,English,A1,substance,indef,0.3,low,pl,1,1,a shirt,of fabrics,shirt,fabrics,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabrics that,$PL,Yesterday they gave me a shirt of fabrics that,0.24021540995665625
3,English,A1,substance,indef,0.3,high,pl,1,1,some shirts,of fabric,shirts,fabric,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabric that,$PL,Yesterday they gave me some shirts of fabric that,0.16489503214227952
4,English,A1,substance,def,0.21,ambi,sg,1,0,the blanket,of material,blanket,material,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,In the end Tomas brought the blanket of material that,$SG,In the end Tomas brought the blanket of material that,0.14089787390369857
4,English,A1,substance,def,0.21,low,sg,1,0,the blankets,of material,blankets,material,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,In the end Tomas brought the blankets of material that,$SG,In the end Tomas brought the blankets of material that,0.06441585043168274
4,English,A1,substance,def,0.21,high,sg,1,0,the blanket,of materials,blanket,materials,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought the blanket of materials that,$SG,In the end Tomas brought the blanket of materials that,0.07799596640867179
4,English,A1,substance,def,0.21,ambi,pl,1,0,the blankets,of materials,blankets,materials,In the end Tomas brought the blankets of materials that MASKTOKEN very expensive.,In the end Tomas brought the blankets of materials that,$PL,In the end Tomas brought the blankets of materials that,0.19667202445788234
4,English,A1,substance,def,0.21,low,pl,1,0,the blanket,of materials,blanket,materials,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought the blanket of materials that,$PL,In the end Tomas brought the blanket of materials that,0.07113037258861965
4,English,A1,substance,def,0.21,high,pl,1,0,the blankets,of material,blankets,material,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,In the end Tomas brought the blankets of material that,$PL,In the end Tomas brought the blankets of material that,0.11694916652114173
4,English,A1,substance,indef,0.21,ambi,sg,1,0,a blanket,of material,blanket,material,In the end Tomas brought a blanket of material that MASKTOKEN very expensive.,In the end Tomas brought a blanket of material that,$SG,In the end Tomas brought a blanket of material that,0.15177953434783298
4,English,A1,substance,indef,0.21,low,sg,1,0,some blankets,of material,blankets,material,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,In the end Tomas brought some blankets of material that,$SG,In the end Tomas brought some blankets of material that,0.08029636546726504
4,English,A1,substance,indef,0.21,high,sg,1,0,a blanket,of materials,blanket,materials,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought a blanket of materials that,$SG,In the end Tomas brought a blanket of materials that,0.052891268228770105
4,English,A1,substance,indef,0.21,ambi,pl,1,0,some blankets,of materials,blankets,materials,In the end Tomas brought some blankets of materials that MASKTOKEN very expensive.,In the end Tomas brought some blankets of materials that,$PL,In the end Tomas brought some blankets of materials that,0.19352064967910287
4,English,A1,substance,indef,0.21,low,pl,1,0,a blanket,of materials,blanket,materials,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought a blanket of materials that,$PL,In the end Tomas brought a blanket of materials that,0.11034957642029397
4,English,A1,substance,indef,0.21,high,pl,1,0,some blankets,of material,blankets,material,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,In the end Tomas brought some blankets of material that,$PL,In the end Tomas brought some blankets of material that,0.10537570886294034
5,English,A1,substance,def,0.12,ambi,sg,0,1,the belt,of hide,belt,hide,Maria made the belt of hide that MASKTOKEN liked a lot.,Maria made the belt of hide that,$SG,Maria made the belt of hide that,0.17071254964701765
5,English,A1,substance,def,0.12,low,sg,0,1,the belts,of hide,belts,hide,Maria made the belts of hide that MASKTOKEN liked a lot.,Maria made the belts of hide that,$SG,Maria made the belts of hide that,0.014041560244714368
5,English,A1,substance,def,0.12,high,sg,0,1,the belt,of hides,belt,hides,Maria made the belt of hides that MASKTOKEN liked a lot.,Maria made the belt of hides that,$SG,Maria made the belt of hides that,0.05782030443199737
5,English,A1,substance,def,0.12,ambi,pl,0,1,the belts,of hides,belts,hides,Maria made the belts of hides that MASKTOKEN liked a lot.,Maria made the belts of hides that,$PL,Maria made the belts of hides that,0.3223916056756764
5,English,A1,substance,def,0.12,low,pl,0,1,the belt,of hides,belt,hides,Maria made the belt of hides that MASKTOKEN liked a lot.,Maria made the belt of hides that,$PL,Maria made the belt of hides that,0.18507903022391048
5,English,A1,substance,def,0.12,high,pl,0,1,the belts,of hide,belts,hide,Maria made the belts of hide that MASKTOKEN liked a lot.,Maria made the belts of hide that,$PL,Maria made the belts of hide that,0.25989346485014053
5,English,A1,substance,indef,0.12,ambi,sg,0,1,a belt,of hide,belt,hide,Maria made a belt of hide that MASKTOKEN liked a lot.,Maria made a belt of hide that,$SG,Maria made a belt of hide that,0.20321532948875376
5,English,A1,substance,indef,0.12,low,sg,0,1,some belts,of hide,belts,hide,Maria made some belts of hide that MASKTOKEN liked a lot.,Maria made some belts of hide that,$SG,Maria made some belts of hide that,0.01245200701876037
5,English,A1,substance,indef,0.12,high,sg,0,1,a belt,of hides,belt,hides,Maria made a belt of hides that MASKTOKEN liked a lot.,Maria made a belt of hides that,$SG,Maria made a belt of hides that,0.11233639450338928
5,English,A1,substance,indef,0.12,ambi,pl,0,1,some belts,of hides,belts,hides,Maria made some belts of hides that MASKTOKEN liked a lot.,Maria made some belts of hides that,$PL,Maria made some belts of hides that,0.34368022888999405
5,English,A1,substance,indef,0.12,low,pl,0,1,a belt,of hides,belt,hides,Maria made a belt of hides that MASKTOKEN liked a lot.,Maria made a belt of hides that,$PL,Maria made a belt of hides that,0.136686828899661
5,English,A1,substance,indef,0.12,high,pl,0,1,some belts,of hide,belts,hide,Maria made some belts of hide that MASKTOKEN liked a lot.,Maria made some belts of hide that,$PL,Maria made some belts of hide that,0.29224626578374213
6,English,A1,substance,def,0.09,ambi,sg,0,1,the bell,of medal,bell,medal,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,Finally they placed the bell of medal that,$SG,Finally they placed the bell of medal that,0.2476358769527658
6,English,A1,substance,def,0.09,low,sg,0,1,the bells,of medal,bells,medal,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,Finally they placed the bells of medal that,$SG,Finally they placed the bells of medal that,0.1316562577992526
6,English,A1,substance,def,0.09,high,sg,0,1,the bell,of medals,bell,medals,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,Finally they placed the bell of medals that,$SG,Finally they placed the bell of medals that,0.10671112759648982
6,English,A1,substance,def,0.09,ambi,pl,0,1,the bells,of medals,bells,medals,Finally they placed the bells of medals that MASKTOKEN brought from the foundry.,Finally they placed the bells of medals that,$PL,Finally they placed the bells of medals that,0.18291099004348865
6,English,A1,substance,def,0.09,low,pl,0,1,the bell,of medals,bell,medals,Finally they placed the bell of medals that MASKTOKEN brought from the foundry.,Finally they placed the bell of medals that,$PL,Finally they placed the bell of medals that,0.07031598596894373
6,English,A1,substance,def,0.09,high,pl,0,1,the bells,of medal,bells,medal,Finally they placed the bells of medal that MASKTOKEN brought from the foundry.,Finally they placed the bells of medal that,$PL,Finally they placed the bells of medal that,0.1730382874332861
6,English,A1,substance,indef,0.09,ambi,sg,0,1,a bell,of medal,bell,medal,Finally they placed a bell of medal that MASKTOKEN brought from the foundry.,Finally they placed a bell of medal that,$SG,Finally they placed a bell of medal that,0.23470400157953897
6,English,A1,substance,indef,0.09,low,sg,0,1,some bells,of medal,bells,medal,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,Finally they placed some bells of medal that,$SG,Finally they placed some bells of medal that,0.093800999113963
6,English,A1,substance,indef,0.09,high,sg,0,1,a bell,of medals,bell,medals,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,Finally they placed a bell of medals that,$SG,Finally they placed a bell of medals that,0.08909315503058801
6,English,A1,substance,indef,0.09,ambi,pl,0,1,some bells,of medals,bells,medals,Finally they placed some bells of medals that MASKTOKEN brought from the foundry.,Finally they placed some bells of medals that,$PL,Finally they placed some bells of medals that,0.22435645226462952
6,English,A1,substance,indef,0.09,low,pl,0,1,a bell,of medals,bell,medals,Finally they placed a bell of medals that MASKTOKEN brought from the foundry.,Finally they placed a bell of medals that,$PL,Finally they placed a bell of medals that,0.12105291386848638
6,English,A1,substance,indef,0.09,high,pl,0,1,some bells,of medal,bells,medal,Finally they placed some bells of medal that MASKTOKEN brought from the foundry.,Finally they placed some bells of medal that,$PL,Finally they placed some bells of medal that,0.2217476827913245
7,English,A1,substance,def,0.29,ambi,sg,0,1,the cake,of grain,cake,grain,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grain that,$SG,Yesterday we ate the cake of grain that,0.28973082704787023
7,English,A1,substance,def,0.29,low,sg,0,1,the cakes,of grain,cakes,grain,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grain that,$SG,Yesterday we ate the cakes of grain that,0.055906986581253815
7,English,A1,substance,def,0.29,high,sg,0,1,the cake,of grains,cake,grains,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grains that,$SG,Yesterday we ate the cake of grains that,0.2031109718563533
7,English,A1,substance,def,0.29,ambi,pl,0,1,the cakes,of grains,cakes,grains,Yesterday we ate the cakes of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grains that,$PL,Yesterday we ate the cakes of grains that,0.32783218461400665
7,English,A1,substance,def,0.29,low,pl,0,1,the cake,of grains,cake,grains,Yesterday we ate the cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grains that,$PL,Yesterday we ate the cake of grains that,0.14337857185945246
7,English,A1,substance,def,0.29,high,pl,0,1,the cakes,of grain,cakes,grain,Yesterday we ate the cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cakes of grain that,$PL,Yesterday we ate the cakes of grain that,0.23603054981619387
7,English,A1,substance,indef,0.29,ambi,sg,0,1,a cake,of grain,cake,grain,Yesterday we ate a cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grain that,$SG,Yesterday we ate a cake of grain that,0.3780941753523763
7,English,A1,substance,indef,0.29,low,sg,0,1,some cakes,of grain,cakes,grain,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grain that,$SG,Yesterday we ate some cakes of grain that,0.2298527364784717
7,English,A1,substance,indef,0.29,high,sg,0,1,a cake,of grains,cake,grains,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grains that,$SG,Yesterday we ate a cake of grains that,0.17583885665519716
7,English,A1,substance,indef,0.29,ambi,pl,0,1,some cakes,of grains,cakes,grains,Yesterday we ate some cakes of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grains that,$PL,Yesterday we ate some cakes of grains that,0.39664383602154807
7,English,A1,substance,indef,0.29,low,pl,0,1,a cake,of grains,cake,grains,Yesterday we ate a cake of grains that MASKTOKEN sold in the oriental shop.,Yesterday we ate a cake of grains that,$PL,Yesterday we ate a cake of grains that,0.23377465032625766
7,English,A1,substance,indef,0.29,high,pl,0,1,some cakes,of grain,cakes,grain,Yesterday we ate some cakes of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate some cakes of grain that,$PL,Yesterday we ate some cakes of grain that,0.15020537333269957
8,English,A1,substance,def,0.12,ambi,sg,1,1,the dress,of thread,dress,thread,The young actress admired the dress of thread that MASKTOKEN so beautiful.,The young actress admired the dress of thread that,$SG,The young actress admired the dress of thread that,0.12069604084274665
8,English,A1,substance,def,0.12,low,sg,1,1,the dresses,of thread,dresses,thread,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,The young actress admired the dresses of thread that,$SG,The young actress admired the dresses of thread that,0.02212242966907052
8,English,A1,substance,def,0.12,high,sg,1,1,the dress,of threads,dress,threads,The young actress admired the dress of threads that MASKTOKEN so beautiful.,The young actress admired the dress of threads that,$SG,The young actress admired the dress of threads that,0.05332436474980362
8,English,A1,substance,def,0.12,ambi,pl,1,1,the dresses,of threads,dresses,threads,The young actress admired the dresses of threads that MASKTOKEN so beautiful.,The young actress admired the dresses of threads that,$PL,The young actress admired the dresses of threads that,0.26958569245990915
8,English,A1,substance,def,0.12,low,pl,1,1,the dress,of threads,dress,threads,The young actress admired the dress of threads that MASKTOKEN so beautiful.,The young actress admired the dress of threads that,$PL,The young actress admired the dress of threads that,0.12772642466103434
8,English,A1,substance,def,0.12,high,pl,1,1,the dresses,of thread,dresses,thread,The young actress admired the dresses of thread that MASKTOKEN so beautiful.,The young actress admired the dresses of thread that,$PL,The young actress admired the dresses of thread that,0.17968475690313568
8,English,A1,substance,indef,0.12,ambi,sg,1,1,a dress,of thread,dress,thread,The young actress admired a dress of thread that MASKTOKEN so beautiful.,The young actress admired a dress of thread that,$SG,The young actress admired a dress of thread that,0.1733532437731995
8,English,A1,substance,indef,0.12,low,sg,1,1,some dresses,of thread,dresses,thread,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,The young actress admired some dresses of thread that,$SG,The young actress admired some dresses of thread that,0.018990760772104487
8,English,A1,substance,indef,0.12,high,sg,1,1,a dress,of threads,dress,threads,The young actress admired a dress of threads that MASKTOKEN so beautiful.,The young actress admired a dress of threads that,$SG,The young actress admired a dress of threads that,0.06439770760165331
8,English,A1,substance,indef,0.12,ambi,pl,1,1,some dresses,of threads,dresses,threads,The young actress admired some dresses of threads that MASKTOKEN so beautiful.,The young actress admired some dresses of threads that,$PL,The young actress admired some dresses of threads that,0.3179491849186
8,English,A1,substance,indef,0.12,low,pl,1,1,a dress,of threads,dress,threads,The young actress admired a dress of threads that MASKTOKEN so beautiful.,The young actress admired a dress of threads that,$PL,The young actress admired a dress of threads that,0.13677750753412
8,English,A1,substance,indef,0.12,high,pl,1,1,some dresses,of thread,dresses,thread,The young actress admired some dresses of thread that MASKTOKEN so beautiful.,The young actress admired some dresses of thread that,$PL,The young actress admired some dresses of thread that,0.22619344255621243
1,English,A2,quantity,noAdj,0.16,ambi,sg,0,0,the glass,of water,glass,water,John asked for the glass of water that MASKTOKEN on the table.,John asked for the glass of water that,$SG,John asked for the glass of water that,0.18740868851505788
1,English,A2,quantity,noAdj,0.16,low,sg,0,0,the glasses,of water,glasses,water,John asked for the glasses of water that MASKTOKEN on the table.,John asked for the glasses of water that,$SG,John asked for the glasses of water that,0.01812454506285599
1,English,A2,quantity,noAdj,0.16,high,sg,0,0,the glass,of waters,glass,waters,John asked for the glass of waters that MASKTOKEN on the table.,John asked for the glass of waters that,$SG,John asked for the glass of waters that,0.12867507422150304
1,English,A2,quantity,noAdj,0.16,ambi,pl,0,0,the glasses,of waters,glasses,waters,John asked for the glasses of waters that MASKTOKEN on the table.,John asked for the glasses of waters that,$PL,John asked for the glasses of waters that,0.16461669538339763
1,English,A2,quantity,noAdj,0.16,low,pl,0,0,the glass,of waters,glass,waters,John asked for the glass of waters that MASKTOKEN on the table.,John asked for the glass of waters that,$PL,John asked for the glass of waters that,0.06801388813302722
1,English,A2,quantity,noAdj,0.16,high,pl,0,0,the glasses,of water,glasses,water,John asked for the glasses of water that MASKTOKEN on the table.,John asked for the glasses of water that,$PL,John asked for the glasses of water that,0.157491879511662
1,English,A2,quantity,NP1Adj,0.16,ambi,sg,0,0,the clear glass,of water,glass,water,John asked for the clear glass of water that MASKTOKEN on the table.,John asked for the clear glass of water that,$SG,John asked for the clear glass of water that,0.18772511093305866
1,English,A2,quantity,NP1Adj,0.16,low,sg,0,0,the clear glasses,of water,glasses,water,John asked for the clear glasses of water that MASKTOKEN on the table.,John asked for the clear glasses of water that,$SG,John asked for the clear glasses of water that,0.02385689819995296
1,English,A2,quantity,NP1Adj,0.16,high,sg,0,0,the clear glass,of waters,glass,waters,John asked for the clear glass of waters that MASKTOKEN on the table.,John asked for the clear glass of waters that,$SG,John asked for the clear glass of waters that,0.09302685083294282
1,English,A2,quantity,NP1Adj,0.16,ambi,pl,0,0,the clear glasses,of waters,glasses,waters,John asked for the clear glasses of waters that MASKTOKEN on the table.,John asked for the clear glasses of waters that,$PL,John asked for the clear glasses of waters that,0.16736974312819086
1,English,A2,quantity,NP1Adj,0.16,low,pl,0,0,the clear glass,of waters,glass,waters,John asked for the clear glass of waters that MASKTOKEN on the table.,John asked for the clear glass of waters that,$PL,John asked for the clear glass of waters that,0.11478049814274449
1,English,A2,quantity,NP1Adj,0.16,high,pl,0,0,the clear glasses,of water,glasses,water,John asked for the clear glasses of water that MASKTOKEN on the table.,John asked for the clear glasses of water that,$PL,John asked for the clear glasses of water that,0.15142669141960496
1,English,A2,quantity,NP2Adj,0.16,ambi,sg,0,0,the glass,of clear water,glass,water,John asked for the glass of clear water that MASKTOKEN on the table.,John asked for the glass of clear water that,$SG,John asked for the glass of clear water that,0.20594682585755386
1,English,A2,quantity,NP2Adj,0.16,low,sg,0,0,the glasses,of clear water,glasses,water,John asked for the glasses of clear water that MASKTOKEN on the table.,John asked for the glasses of clear water that,$SG,John asked for the glasses of clear water that,0.027893187279509846
1,English,A2,quantity,NP2Adj,0.16,high,sg,0,0,the glass,of clear waters,glass,waters,John asked for the glass of clear waters that MASKTOKEN on the table.,John asked for the glass of clear waters that,$SG,John asked for the glass of clear waters that,0.11818048900412892
1,English,A2,quantity,NP2Adj,0.16,ambi,pl,0,0,the glasses,of clear waters,glasses,waters,John asked for the glasses of clear waters that MASKTOKEN on the table.,John asked for the glasses of clear waters that,$PL,John asked for the glasses of clear waters that,0.15502157739643962
1,English,A2,quantity,NP2Adj,0.16,low,pl,0,0,the glass,of clear waters,glass,waters,John asked for the glass of clear waters that MASKTOKEN on the table.,John asked for the glass of clear waters that,$PL,John asked for the glass of clear waters that,0.07061243242455184
1,English,A2,quantity,NP2Adj,0.16,high,pl,0,0,the glasses,of clear water,glasses,water,John asked for the glasses of clear water that MASKTOKEN on the table.,John asked for the glasses of clear water that,$PL,John asked for the glasses of clear water that,0.15322655075154223
2,English,A2,quantity,noAdj,0.54,ambi,sg,0,1,the bottle,of spirit,bottle,spirit,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirit that,$SG,Mary liked the bottle of spirit that,0.10906593305323131
2,English,A2,quantity,noAdj,0.54,low,sg,0,1,the bottles,of spirit,bottles,spirit,Mary liked the bottles of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottles of spirit that,$SG,Mary liked the bottles of spirit that,0.010374949184629223
2,English,A2,quantity,noAdj,0.54,high,sg,0,1,the bottle,of spirits,bottle,spirits,Mary liked the bottle of spirits that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirits that,$SG,Mary liked the bottle of spirits that,0.07639986664504672
2,English,A2,quantity,noAdj,0.54,ambi,pl,0,1,the bottles,of spirits,bottles,spirits,Mary liked the bottles of spirits that MASKTOKEN in the wine cellar.,Mary liked the bottles of spirits that,$PL,Mary liked the bottles of spirits that,0.16972403217683407
2,English,A2,quantity,noAdj,0.54,low,pl,0,1,the bottle,of spirits,bottle,spirits,Mary liked the bottle of spirits that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirits that,$PL,Mary liked the bottle of spirits that,0.014682369266481032
