item,lang,expType,exp,contrast,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob,expCat,N2PropSource,N2Prop
8,English,B2,functional,def,ambi,sg,0,0,the consultant,of the director,consultant,director,Yesterday I saw the consultant of the director who MASKTOKEN upset because of the pitiful response to the latest sales promotion.,Yesterday I saw the consultant of the director who,$SG,Yesterday I saw the consultant of the director who MASKTOKEN upset because of the pitiful response to the latest sales promotion.,wikitext-103_LSTM_400_1-d0.2.pt,0.2087972960518453,B,human,0.39
9,English,B2,functional,def,ambi,sg,1,0,the employee,of the ambassador,employee,ambassador,During the meeting the chief of protocol tried to talk to the employee of the ambassador who MASKTOKEN at the party.,During the meeting the chief of protocol tried to talk to the employee of the ambassador who,$SG,During the meeting the chief of protocol tried to talk to the employee of the ambassador who MASKTOKEN at the party.,wikitext-103_LSTM_400_1-d0.2.pt,0.1200720600999081,B,human,0.37
1,English,B3,possessive,noAdj,ambi,sg,0,0,the museum,of the city,museum,city,The tourists admired the museum of the city that MASKTOKEN beautiful.,The tourists admired the museum of the city that,$SG,The tourists admired the museum of the city that MASKTOKEN beautiful.,wikitext-103_LSTM_400_1-d0.2.pt,0.1598483677851696,B,human,0.62
2,English,B3,possessive,noAdj,ambi,sg,0,0,the car,of the company,car,company,John smashed the car of the company that MASKTOKEN hated so much.,John smashed the car of the company that,$SG,John smashed the car of the company that MASKTOKEN hated so much.,wikitext-103_LSTM_400_1-d0.2.pt,0.1533458330776205,B,human,0.51
3,English,B3,possessive,noAdj,ambi,sg,0,0,the machine,of the company,machine,company,Several men moved the machine of the company that MASKTOKEN on fire.,Several men moved the machine of the company that,$SG,Several men moved the machine of the company that MASKTOKEN on fire.,wikitext-103_LSTM_400_1-d0.2.pt,0.099496418627567,B,human,0.6
4,English,B3,possessive,noAdj,ambi,sg,0,0,the stock,of the investment club,stock,club,The brokers sold the stock of the investment club that MASKTOKEN losing money.,The brokers sold the stock of the investment club that,$SG,The brokers sold the stock of the investment club that MASKTOKEN losing money.,wikitext-103_LSTM_400_1-d0.2.pt,0.111549403251508,B,human,0.59
5,English,B3,possessive,noAdj,ambi,sg,0,0,the library,of the elementary school,library,school,The governor bought some books for the library of the elementary school that MASKTOKEN built downtown.,The governor bought some books for the library of the elementary school that,$SG,The governor bought some books for the library of the elementary school that MASKTOKEN built downtown.,wikitext-103_LSTM_400_1-d0.2.pt,0.1764039590048298,B,human,0.44
6,English,B3,possessive,noAdj,ambi,sg,1,0,the representative,of the club,representative,club,The local newspaper columnist wrote about the representative of the club that MASKTOKEN found so ridiculous.,The local newspaper columnist wrote about the representative of the club that,$SG,The local newspaper columnist wrote about the representative of the club that MASKTOKEN found so ridiculous.,wikitext-103_LSTM_400_1-d0.2.pt,0.0329579750318407,B,human,0.25
1,English,B4,inherentposs,noAdj,ambi,sg,0,0,the side window,of the plane,window,plane,The pilot was looking at the airport through the side window of the plane that MASKTOKEN fixed.,The pilot was looking at the airport through the side window of the plane that,$SG,The pilot was looking at the airport through the side window of the plane that MASKTOKEN fixed.,wikitext-103_LSTM_400_1-d0.2.pt,0.2403617832069686,B,human,0.81
2,English,B4,inherentposs,noAdj,ambi,sg,0,0,the branch,of the tree,branch,tree,Birds won’t be able to nest in the branch of the tree that MASKTOKEN cut last year.,Birds won’t be able to nest in the branch of the tree that,$SG,Birds won’t be able to nest in the branch of the tree that MASKTOKEN cut last year.,wikitext-103_LSTM_400_1-d0.2.pt,0.2996314028807738,B,human,0.5
3,English,B4,inherentposs,noAdj,ambi,sg,0,0,the door,of the house,door,house,The car stopped in front of the door of the house that MASKTOKEN damaged.,The car stopped in front of the door of the house that,$SG,The car stopped in front of the door of the house that MASKTOKEN damaged.,wikitext-103_LSTM_400_1-d0.2.pt,0.2636580383785172,B,human,0.58
4,English,B4,inherentposs,noAdj,ambi,sg,1,0,the valve,of the sink,valve,sink,The plumber suggested to us to change the valve of the sink that MASKTOKEN installed last year.,The plumber suggested to us to change the valve of the sink that,$SG,The plumber suggested to us to change the valve of the sink that MASKTOKEN installed last year.,wikitext-103_LSTM_400_1-d0.2.pt,0.1546950193097549,B,human,0.68
5,English,B4,inherentposs,noAdj,ambi,sg,1,0,the chapter,of the book,chapter,book,I really liked the chapter of the book MASKTOKEN read yesterday.,I really liked the chapter of the book,$SG,I really liked the chapter of the book MASKTOKEN read yesterday.,wikitext-103_LSTM_400_1-d0.2.pt,0.0096978704636434,B,human,0.63
6,English,B4,inherentposs,noAdj,ambi,sg,0,0,the cover,of the pot,cover,pot,Silvia didn’t find the cover of the pot that MASKTOKEN just cleaned.,Silvia didn’t find the cover of the pot that,$SG,Silvia didn’t find the cover of the pot that MASKTOKEN just cleaned.,wikitext-103_LSTM_400_1-d0.2.pt,0.32683780127235,B,human,0.82
7,English,B4,inherentposs,noAdj,ambi,sg,1,0,the bar,of the bicycle,bar,bicycle,We have to paint the bar of the bicycle that MASKTOKEN fixed yesterday.,We have to paint the bar of the bicycle that,$SG,We have to paint the bar of the bicycle that MASKTOKEN fixed yesterday.,wikitext-103_LSTM_400_1-d0.2.pt,0.2680691838888691,B,human,0.7
8,English,B4,inherentposs,noAdj,ambi,sg,0,0,the label,of the bottle,label,bottle,In the meeting they showed us the label of the bottle that MASKTOKEN designed by the artist.,In the meeting they showed us the label of the bottle that,$SG,In the meeting they showed us the label of the bottle that MASKTOKEN designed by the artist.,wikitext-103_LSTM_400_1-d0.2.pt,0.1786193926944754,B,human,0.25
9,English,B4,inherentposs,noAdj,ambi,sg,0,0,the engine,of the boat,engine,boat,The insurance inspector photographed the engine of the boat that MASKTOKEN covered with water.,The insurance inspector photographed the engine of the boat that,$SG,The insurance inspector photographed the engine of the boat that MASKTOKEN covered with water.,wikitext-103_LSTM_400_1-d0.2.pt,0.2419441972105107,B,human,0.58
1,English,B5,rep,noAdj,ambi,sg,1,0,the sketch,of the sculpture,sketch,sculpture,I was surprised by the sketch of the sculpture that MASKTOKEN in the town hall.,I was surprised by the sketch of the sculpture that,$SG,I was surprised by the sketch of the sculpture that MASKTOKEN in the town hall.,wikitext-103_LSTM_400_1-d0.2.pt,0.2768216361396742,B,human,0.65
2,English,B5,rep,noAdj,ambi,sg,1,0,the sketch,of the house,sketch,house,The designer agreed to show us the sketch of the house that MASKTOKEN finished before the end of the summer.,The designer agreed to show us the sketch of the house that,$SG,The designer agreed to show us the sketch of the house that MASKTOKEN finished before the end of the summer.,wikitext-103_LSTM_400_1-d0.2.pt,0.2378509174414684,B,human,0.66
3,English,B5,rep,noAdj,ambi,sg,0,0,the drawing,of the building,drawing,building,The architect exhibited the drawing of the building that MASKTOKEN commissioned.,The architect exhibited the drawing of the building that,$SG,The architect exhibited the drawing of the building that MASKTOKEN commissioned.,wikitext-103_LSTM_400_1-d0.2.pt,0.2330577302791252,B,human,0.61
4,English,B5,rep,noAdj,ambi,sg,0,0,the portrait,of the woman,portrait,woman,Charles liked the portrait of the woman that MASKTOKEN at your house.,Charles liked the portrait of the woman that,$SG,Charles liked the portrait of the woman that MASKTOKEN at your house.,wikitext-103_LSTM_400_1-d0.2.pt,0.2061575163595679,B,human,0.12
5,English,B5,rep,noAdj,ambi,sg,0,0,the photograph,of the boy,photograph,boy,All the newspapers published the photograph of the boy that MASKTOKEN liked so much.,All the newspapers published the photograph of the boy that,$SG,All the newspapers published the photograph of the boy that MASKTOKEN liked so much.,wikitext-103_LSTM_400_1-d0.2.pt,0.2235959632577877,B,human,0.87
6,English,B5,rep,noAdj,ambi,sg,0,0,the painting,of the cave,painting,cave,Sara did the painting of the cave that MASKTOKEN so gloomy.,Sara did the painting of the cave that,$SG,Sara did the painting of the cave that MASKTOKEN so gloomy.,wikitext-103_LSTM_400_1-d0.2.pt,0.2672399925868247,B,human,0.36
7,English,B5,rep,noAdj,ambi,sg,0,0,the picture,of the house,picture,house,The collector lost the picture of the house that MASKTOKEN so dark.,The collector lost the picture of the house that,$SG,The collector lost the picture of the house that MASKTOKEN so dark.,wikitext-103_LSTM_400_1-d0.2.pt,0.2621902955469322,B,human,0.62
8,English,B5,rep,noAdj,ambi,sg,0,0,the painting,of the beach,painting,beach,Suzanne sold the painting of the beach that MASKTOKEN liked by her friends,Suzanne sold the painting of the beach that,$SG,Suzanne sold the painting of the beach that MASKTOKEN liked by her friends,wikitext-103_LSTM_400_1-d0.2.pt,0.2182222740180739,B,human,0.15
9,English,B5,rep,noAdj,ambi,sg,1,0,the print,of the park,print,park,The critics judged very harshly the print of the park that MASKTOKEN attracting the most visitors.,The critics judged very harshly the print of the park that,$SG,The critics judged very harshly the print of the park that MASKTOKEN attracting the most visitors.,wikitext-103_LSTM_400_1-d0.2.pt,0.1292153582430337,B,human,0.45
1,English,B’,inanimposs,noAdj,ambi,sg,0,0,the book,of the student,book,student,The professor read the book of the student that MASKTOKEN in the dining-room.,The professor read the book of the student that,$SG,The professor read the book of the student that MASKTOKEN in the dining-room.,wikitext-103_LSTM_400_1-d0.2.pt,0.086219051242498,B,human,0.43
2,English,B’,inanimposs,noAdj,ambi,sg,1,0,the case,of the traveler,case,traveler,The inspector observed the case of the traveler that MASKTOKEN in the station.,The inspector observed the case of the traveler that,$SG,The inspector observed the case of the traveler that MASKTOKEN in the station.,wikitext-103_LSTM_400_1-d0.2.pt,0.0719600063134691,B,human,0.55
3,English,B’,inanimposs,noAdj,ambi,sg,0,0,the car,of the driver,car,driver,The mechanics were modifying the car of the driver that MASKTOKEN in the race.,The mechanics were modifying the car of the driver that,$SG,The mechanics were modifying the car of the driver that MASKTOKEN in the race.,wikitext-103_LSTM_400_1-d0.2.pt,0.1493189662158727,B,human,0.48
4,English,B’,inanimposs,noAdj,ambi,sg,0,0,the dress,of the girl,dress,girl,The dressmaker was sewing the dress of the girl that MASKTOKEN on the floor.,The dressmaker was sewing the dress of the girl that,$SG,The dressmaker was sewing the dress of the girl that MASKTOKEN on the floor.,wikitext-103_LSTM_400_1-d0.2.pt,0.2439928152332156,B,human,0.5
5,English,B’,inanimposs,noAdj,ambi,sg,0,0,the car,of the neighbor,car,neighbor,We borrowed the car of the neighbor that MASKTOKEN nearby.,We borrowed the car of the neighbor that,$SG,We borrowed the car of the neighbor that MASKTOKEN nearby.,wikitext-103_LSTM_400_1-d0.2.pt,0.1855921077474285,B,human,0.55
6,English,B’,inanimposs,noAdj,ambi,sg,0,0,the computer,of the secretary,computer,secretary,I had to borrow the computer of the secretary that MASKTOKEN in the office close to mine.,I had to borrow the computer of the secretary that,$SG,I had to borrow the computer of the secretary that MASKTOKEN in the office close to mine.,wikitext-103_LSTM_400_1-d0.2.pt,0.2010819571416711,B,human,0.55
1,English,C,with,def,ambi,sg,1,1,the sandwich,with the side,sandwich,side,The count ordered the sandwich with the side that MASKTOKEN prepared especially well.,The count ordered the sandwich with the side that,$SG,The count ordered the sandwich with the side that MASKTOKEN prepared especially well.,wikitext-103_LSTM_400_1-d0.2.pt,0.1892104697514716,C,human,0.74
2,English,C,with,def,ambi,sg,1,1,the book,with the label,book,label,Laura lost the book with the label that MASKTOKEN given to her.,Laura lost the book with the label that,$SG,Laura lost the book with the label that MASKTOKEN given to her.,wikitext-103_LSTM_400_1-d0.2.pt,0.0913188815812606,C,human,0.85
3,English,C,with,def,ambi,sg,1,1,the hat,with the dress,hat,dress,Marta was wearing the hat with the dress that MASKTOKEN worn in summer.,Marta was wearing the hat with the dress that,$SG,Marta was wearing the hat with the dress that MASKTOKEN worn in summer.,wikitext-103_LSTM_400_1-d0.2.pt,0.2866357371304133,C,human,0.56
4,English,C,with,def,ambi,sg,0,0,the computer,with the screen,computer,screen,It was agreed to move the computer with the screen that MASKTOKEN brought recently to another building.,It was agreed to move the computer with the screen that,$SG,It was agreed to move the computer with the screen that MASKTOKEN brought recently to another building.,wikitext-103_LSTM_400_1-d0.2.pt,0.1890085345922472,C,human,0.42
5,English,C,with,def,ambi,sg,0,1,the radio,with the speaker,radio,speaker,I wanted to take the radio with the speaker that MASKTOKEN bought for a very low price.,I wanted to take the radio with the speaker that,$SG,I wanted to take the radio with the speaker that MASKTOKEN bought for a very low price.,wikitext-103_LSTM_400_1-d0.2.pt,0.0834824618745262,C,human,0.38
6,English,C,with,def,ambi,sg,0,0,the box,with the cover,box,cover,On the shelf I keep the box with the cover that MASKTOKEN varnished. ,On the shelf I keep the box with the cover that,$SG,On the shelf I keep the box with the cover that MASKTOKEN varnished. ,wikitext-103_LSTM_400_1-d0.2.pt,0.3047423327567502,C,human,0.59
7,English,C,with,def,ambi,sg,0,1,the ship,with the pole,ship,pole,The captain authorized the departure of the ship with the pole that MASKTOKEN repaired.,The captain authorized the departure of the ship with the pole that,$SG,The captain authorized the departure of the ship with the pole that MASKTOKEN repaired.,wikitext-103_LSTM_400_1-d0.2.pt,0.1606876705387163,C,human,0.95
8,English,C,with,def,ambi,sg,1,1,the plate,with the candle,plate,candle,Yesterday I dropped the plate with the candle that MASKTOKEN made in Barcelona.,Yesterday I dropped the plate with the candle that,$SG,Yesterday I dropped the plate with the candle that MASKTOKEN made in Barcelona.,wikitext-103_LSTM_400_1-d0.2.pt,0.2805149065361618,C,human,0.82
9,English,C,with,def,ambi,sg,0,0,the house,with the pool,house,pool,The millionaire was shown the house with the pool that MASKTOKEN as big as half a football field.,The millionaire was shown the house with the pool that,$SG,The millionaire was shown the house with the pool that MASKTOKEN as big as half a football field.,wikitext-103_LSTM_400_1-d0.2.pt,0.2652610366089254,C,human,0.91
1,English,A1,substance,def,ambi,sg,0,0,the table,of wood,table,wood,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of wood that,$SG,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,wikitext-103_LSTM_400_2-d0.2.pt,0.1607076481776035,A,human,0.39
2,English,A1,substance,def,ambi,sg,0,1,the lamp,of material,lamp,material,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of material that,$SG,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,wikitext-103_LSTM_400_2-d0.2.pt,0.1959100767610175,A,human,0.13
3,English,A1,substance,def,ambi,sg,1,1,the shirt,of fabric,shirt,fabric,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabric that,$SG,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,wikitext-103_LSTM_400_2-d0.2.pt,0.2470672366202189,A,human,0.3
4,English,A1,substance,def,ambi,sg,1,0,the blanket,of material,blanket,material,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,In the end Tomas brought the blanket of material that,$SG,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,wikitext-103_LSTM_400_2-d0.2.pt,0.2187492048268078,A,human,0.21
5,English,A1,substance,def,ambi,sg,0,1,the belt,of hide,belt,hide,Maria made the belt of hide that MASKTOKEN liked a lot.,Maria made the belt of hide that,$SG,Maria made the belt of hide that MASKTOKEN liked a lot.,wikitext-103_LSTM_400_2-d0.2.pt,0.206009449111939,A,human,0.12
6,English,A1,substance,def,ambi,sg,0,1,the bell,of medal,bell,medal,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,Finally they placed the bell of medal that,$SG,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,wikitext-103_LSTM_400_2-d0.2.pt,0.2362697908005362,A,human,0.09
7,English,A1,substance,def,ambi,sg,0,1,the cake,of grain,cake,grain,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grain that,$SG,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,wikitext-103_LSTM_400_2-d0.2.pt,0.1738177160481475,A,human,0.29
8,English,A1,substance,def,ambi,sg,1,1,the dress,of thread,dress,thread,The young actress admired the dress of thread that MASKTOKEN so beautiful.,The young actress admired the dress of thread that,$SG,The young actress admired the dress of thread that MASKTOKEN so beautiful.,wikitext-103_LSTM_400_2-d0.2.pt,0.2232395275106848,A,human,0.12
1,English,A2,quantity,noAdj,ambi,sg,0,0,the glass,of water,glass,water,John asked for the glass of water that MASKTOKEN on the table.,John asked for the glass of water that,$SG,John asked for the glass of water that MASKTOKEN on the table.,wikitext-103_LSTM_400_2-d0.2.pt,0.145925433116616,A,human,0.16
2,English,A2,quantity,noAdj,ambi,sg,0,1,the bottle,of spirit,bottle,spirit,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirit that,$SG,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,wikitext-103_LSTM_400_2-d0.2.pt,0.2013044693853549,A,human,0.54
4,English,A2,quantity,noAdj,ambi,sg,0,0,the sack,of sand,sack,sand,Andres picked up the sack of sand that MASKTOKEN brought from the construction site.,Andres picked up the sack of sand that,$SG,Andres picked up the sack of sand that MASKTOKEN brought from the construction site.,wikitext-103_LSTM_400_2-d0.2.pt,0.2662150718114016,A,human,0.56
5,English,A2,quantity,noAdj,ambi,sg,0,1,the package,of food,package,food,The clerk brought us the package of food that MASKTOKEN on the counter.,The clerk brought us the package of food that,$SG,The clerk brought us the package of food that MASKTOKEN on the counter.,wikitext-103_LSTM_400_2-d0.2.pt,0.1809087945972969,A,human,0.28
