item,lang,exp,AttachType,antecedent,hasIC,verb,verbNum,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob
5,English,Rohde,low,NP2,1,corrected,sg,the secretary,the lawyer,secretaries,lawyer,The woman corrected the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretaries of the lawyer who,$SG,The woman corrected the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.163900313625877
5,English,Rohde,low,NP2,1,corrected,pl,the secretary,the lawyers,secretary,lawyers,The woman corrected the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretary of the lawyers who,$PL,The woman corrected the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.155488960251935
5,English,Rohde,high,NP1,1,corrected,pl,the secretaries,the lawyer,secretaries,lawyer,The woman corrected the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretaries of the lawyer who,$PL,The woman corrected the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.043055259862769
5,English,Rohde,high,NP1,0,gossiped,sg,with the secretary,the lawyers,secretary,lawyers,The woman gossiped with the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretary of the lawyers who,$SG,The woman gossiped with the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.058753276289583
5,English,Rohde,low,NP2,0,gossiped,sg,with the secretaries,the lawyer,secretaries,lawyer,The woman gossiped with the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretaries of the lawyer who,$SG,The woman gossiped with the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.245246439657445
5,English,Rohde,low,NP2,0,gossiped,pl,with the secretary,the lawyers,secretary,lawyers,The woman gossiped with the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretary of the lawyers who,$PL,The woman gossiped with the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.270217176464668
5,English,Rohde,high,NP1,0,gossiped,pl,with the secretaries,the lawyer,secretaries,lawyer,The woman gossiped with the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,The woman gossiped with the secretaries of the lawyer who,$PL,The woman gossiped with the secretaries of the lawyer who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.062906243357446
6,English,Rohde,high,NP1,1,comforted,sg,the leader,the activists,leader,activists,The man comforted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leader of the activists who,$SG,The man comforted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.031044670750571
6,English,Rohde,low,NP2,1,comforted,sg,the leaders,the activist,leaders,activist,The man comforted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leaders of the activist who,$SG,The man comforted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.17028630949311
6,English,Rohde,low,NP2,1,comforted,pl,the leader,the activists,leader,activists,The man comforted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leader of the activists who,$PL,The man comforted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.198888209265406
6,English,Rohde,high,NP1,1,comforted,pl,the leaders,the activist,leaders,activist,The man comforted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man comforted the leaders of the activist who,$PL,The man comforted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.068164250965379
6,English,Rohde,high,NP1,0,greeted,sg,the leader,the activists,leader,activists,The man greeted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leader of the activists who,$SG,The man greeted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.032569249195941
6,English,Rohde,low,NP2,0,greeted,sg,the leaders,the activist,leaders,activist,The man greeted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leaders of the activist who,$SG,The man greeted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.171688314871088
6,English,Rohde,low,NP2,0,greeted,pl,the leader,the activists,leader,activists,The man greeted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leader of the activists who,$PL,The man greeted the leader of the activists who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.209748711781157
6,English,Rohde,high,NP1,0,greeted,pl,the leaders,the activist,leaders,activist,The man greeted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,The man greeted the leaders of the activist who,$PL,The man greeted the leaders of the activist who MASKTOKEN deeply disappointed by the court's decision.,wikitext-103_LSTM_400_1-d0.2.pt,0.071710543718629
7,English,Rohde,high,NP1,1,envies,sg,the manager,the cashiers,manager,cashiers,The woman envies the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman envies the manager of the cashiers who,$SG,The woman envies the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.261629887132054
7,English,Rohde,low,NP2,1,envies,sg,the managers,the cashier,managers,cashier,The woman envies the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman envies the managers of the cashier who,$SG,The woman envies the managers of the cashier who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.297830689716377
7,English,Rohde,low,NP2,1,envies,pl,the manager,the cashiers,manager,cashiers,The woman envies the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman envies the manager of the cashiers who,$PL,The woman envies the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.073474558017773
7,English,Rohde,high,NP1,1,envies,pl,the managers,the cashier,managers,cashier,The woman envies the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman envies the managers of the cashier who,$PL,The woman envies the managers of the cashier who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.078267159465601
7,English,Rohde,high,NP1,0,knows,sg,the manager,the cashiers,manager,cashiers,The woman knows the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman knows the manager of the cashiers who,$SG,The woman knows the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.328358958883576
7,English,Rohde,low,NP2,0,knows,sg,the managers,the cashier,managers,cashier,The woman knows the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman knows the managers of the cashier who,$SG,The woman knows the managers of the cashier who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.248981916241364
7,English,Rohde,low,NP2,0,knows,pl,the manager,the cashiers,manager,cashiers,The woman knows the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,The woman knows the manager of the cashiers who,$PL,The woman knows the manager of the cashiers who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.128490586738186
7,English,Rohde,high,NP1,0,knows,pl,the managers,the cashier,managers,cashier,The woman knows the managers of the cashier who MASKTOKEN supposedly received a huge raise.,The woman knows the managers of the cashier who,$PL,The woman knows the managers of the cashier who MASKTOKEN supposedly received a huge raise.,wikitext-103_LSTM_400_1-d0.2.pt,0.170089373946436
8,English,Rohde,high,NP1,1,valued,sg,the daughter,the shopkeepers,daughter,shopkeepers,The man valued the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughter of the shopkeepers who,$SG,The man valued the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.02970479486115
8,English,Rohde,low,NP2,1,valued,sg,the daughters,the shopkeeper,daughters,shopkeeper,The man valued the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughters of the shopkeeper who,$SG,The man valued the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.316787268538517
8,English,Rohde,low,NP2,1,valued,pl,the daughter,the shopkeepers,daughter,shopkeepers,The man valued the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughter of the shopkeepers who,$PL,The man valued the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.266903045004272
8,English,Rohde,high,NP1,1,valued,pl,the daughters,the shopkeeper,daughters,shopkeeper,The man valued the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man valued the daughters of the shopkeeper who,$PL,The man valued the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.029815201050661
8,English,Rohde,high,NP1,0,recognized,sg,the daughter,the shopkeepers,daughter,shopkeepers,The man recognized the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughter of the shopkeepers who,$SG,The man recognized the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.02920814558517
8,English,Rohde,low,NP2,0,recognized,sg,the daughters,the shopkeeper,daughters,shopkeeper,The man recognized the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughters of the shopkeeper who,$SG,The man recognized the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.290759791774341
8,English,Rohde,low,NP2,0,recognized,pl,the daughter,the shopkeepers,daughter,shopkeepers,The man recognized the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughter of the shopkeepers who,$PL,The man recognized the daughter of the shopkeepers who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.263273075495282
8,English,Rohde,high,NP1,0,recognized,pl,the daughters,the shopkeeper,daughters,shopkeeper,The man recognized the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,The man recognized the daughters of the shopkeeper who,$PL,The man recognized the daughters of the shopkeeper who MASKTOKEN usually willing to spot him a few dollars.,wikitext-103_LSTM_400_1-d0.2.pt,0.046710571949486
9,English,Rohde,high,NP1,1,fears,sg,the uncle,the toddlers,uncle,toddlers,The woman fears the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman fears the uncle of the toddlers who,$SG,The woman fears the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.29122678725242
9,English,Rohde,low,NP2,1,fears,sg,the uncles,the toddler,uncles,toddler,The woman fears the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman fears the uncles of the toddler who,$SG,The woman fears the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.14046771659079
9,English,Rohde,low,NP2,1,fears,pl,the uncle,the toddlers,uncle,toddlers,The woman fears the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman fears the uncle of the toddlers who,$PL,The woman fears the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.109276443515554
9,English,Rohde,high,NP1,1,fears,pl,the uncles,the toddler,uncles,toddler,The woman fears the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman fears the uncles of the toddler who,$PL,The woman fears the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.265807582437861
9,English,Rohde,high,NP1,0,jogs,sg,with the uncle,the toddlers,uncle,toddlers,The woman jogs with the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncle of the toddlers who,$SG,The woman jogs with the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.307977940538974
9,English,Rohde,low,NP2,0,jogs,sg,with the uncles,the toddler,uncles,toddler,The woman jogs with the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncles of the toddler who,$SG,The woman jogs with the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.420542722857159
9,English,Rohde,low,NP2,0,jogs,pl,with the uncle,the toddlers,uncle,toddlers,The woman jogs with the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncle of the toddlers who,$PL,The woman jogs with the uncle of the toddlers who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.064111141726629
9,English,Rohde,high,NP1,0,jogs,pl,with the uncles,the toddler,uncles,toddler,The woman jogs with the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,The woman jogs with the uncles of the toddler who,$PL,The woman jogs with the uncles of the toddler who MASKTOKEN often heard yelling and screaming.,wikitext-103_LSTM_400_1-d0.2.pt,0.047055051196932
10,English,Rohde,high,NP1,1,noticed,sg,the representative,the employees,representative,employees,The man noticed the representative of the employees who MASKTOKEN always wearing safety goggles.,The man noticed the representative of the employees who,$SG,The man noticed the representative of the employees who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.018814526714144
10,English,Rohde,low,NP2,1,noticed,sg,the representatives,the employee,representatives,employee,The man noticed the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man noticed the representatives of the employee who,$SG,The man noticed the representatives of the employee who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.124523588975876
10,English,Rohde,low,NP2,1,noticed,pl,the representative,the employees,representative,employees,The man noticed the representative of the employees who MASKTOKEN always wearing safety goggles.,The man noticed the representative of the employees who,$PL,The man noticed the representative of the employees who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.266091525246046
10,English,Rohde,high,NP1,1,noticed,pl,the representatives,the employee,representatives,employee,The man noticed the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man noticed the representatives of the employee who,$PL,The man noticed the representatives of the employee who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.10602905169036
10,English,Rohde,high,NP1,0,resembled,sg,the representative,the employees,representative,employees,The man resembled the representative of the employees who MASKTOKEN always wearing safety goggles.,The man resembled the representative of the employees who,$SG,The man resembled the representative of the employees who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.029805272616003
10,English,Rohde,low,NP2,0,resembled,sg,the representatives,the employee,representatives,employee,The man resembled the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man resembled the representatives of the employee who,$SG,The man resembled the representatives of the employee who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.143156739843192
10,English,Rohde,low,NP2,0,resembled,pl,the representative,the employees,representative,employees,The man resembled the representative of the employees who MASKTOKEN always wearing safety goggles.,The man resembled the representative of the employees who,$PL,The man resembled the representative of the employees who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.230522353535039
10,English,Rohde,high,NP1,0,resembled,pl,the representatives,the employee,representatives,employee,The man resembled the representatives of the employee who MASKTOKEN always wearing safety goggles.,The man resembled the representatives of the employee who,$PL,The man resembled the representatives of the employee who MASKTOKEN always wearing safety goggles.,wikitext-103_LSTM_400_1-d0.2.pt,0.088876195447927
11,English,Rohde,high,NP1,1,praised,sg,the gardener,the millionaires,gardener,millionaires,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardener of the millionaires who,$SG,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,wikitext-103_LSTM_400_1-d0.2.pt,0.02214360257865
11,English,Rohde,low,NP2,1,praised,sg,the gardeners,the millionaire,gardeners,millionaire,The woman praised the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardeners of the millionaire who,$SG,The woman praised the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,wikitext-103_LSTM_400_1-d0.2.pt,0.241595850086088
11,English,Rohde,low,NP2,1,praised,pl,the gardener,the millionaires,gardener,millionaires,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardener of the millionaires who,$PL,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,wikitext-103_LSTM_400_1-d0.2.pt,0.204378533243808
