item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/DeepESP/gpt2-spanish_prob,/data/mrm8488/spanish-gpt2_prob
2a,Spanish,Fernandez,low,pl,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_PL,El periodista entrevistó al entrenador de los atletas que,0.19704402210156502,0.31155096286136086
2a,Spanish,Fernandez,high,pl,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_PL,El periodista entrevistó a los entrenadores del atleta que,0.0650735809745413,0.019619635794626333
3a,Spanish,Fernandez,ambi,sg,1,1,al asistente,del trabajador,asistente,trabajador,El gerente observaba al asistente del trabajador que MASKTOKEN en la oficina.,El gerente observaba al asistente del trabajador que,$ES_SG,El gerente observaba al asistente del trabajador que,0.17382886999899583,0.2555634878221156
3a,Spanish,Fernandez,low,sg,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_SG,El gerente observaba a los asistentes del trabajador que,0.12576987655971195,0.04782536149226502
3a,Spanish,Fernandez,high,sg,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_SG,El gerente observaba al asistente de los trabajadores que,0.06618101751814542,0.13517717754287162
3a,Spanish,Fernandez,ambi,pl,1,1,a los asistentes,de los trabajadores,asistentes,trabajadores,El gerente observaba a los asistentes de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba a los asistentes de los trabajadores que,$ES_PL,El gerente observaba a los asistentes de los trabajadores que,0.2337972854572552,0.2787563651706506
3a,Spanish,Fernandez,low,pl,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_PL,El gerente observaba al asistente de los trabajadores que,0.1844304823959284,0.14146177328500187
3a,Spanish,Fernandez,high,pl,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_PL,El gerente observaba a los asistentes del trabajador que,0.07289893432825956,0.2301471603411045
4a,Spanish,Fernandez,ambi,sg,1,0,al asistente,del abogado,asistente,abogado,Julia había hablado con al asistente del abogado que MASKTOKEN de vacación.,Julia había hablado con al asistente del abogado que,$ES_SG,Julia había hablado con al asistente del abogado que,0.13636354881988844,0.33670047245139756
4a,Spanish,Fernandez,low,sg,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_SG,Julia había hablado con a los asistentes del abogado que,0.0957666290976853,0.15016983075524593
4a,Spanish,Fernandez,high,sg,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_SG,Julia había hablado con al asistente de los abogados que,0.054638060655776144,0.10241314949425373
4a,Spanish,Fernandez,ambi,pl,1,0,a los asistentes,de los abogados,asistentes,abogados,Julia había hablado con a los asistentes de los abogados que MASKTOKEN de vacación.,Julia había hablado con a los asistentes de los abogados que,$ES_PL,Julia había hablado con a los asistentes de los abogados que,0.20729019885954614,0.24395770187067
4a,Spanish,Fernandez,low,pl,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_PL,Julia había hablado con al asistente de los abogados que,0.11748698569546256,0.20298060289077569
4a,Spanish,Fernandez,high,pl,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_PL,Julia había hablado con a los asistentes del abogado que,0.05835029559307969,0.11510723282154345
5a,Spanish,Fernandez,ambi,sg,0,0,al ayudante,del detective,ayudante,detective,Mi amigo conoció al ayudante del detective que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante del detective que,$ES_SG,Mi amigo conoció al ayudante del detective que,0.21346933909777022,0.31283591662996457
5a,Spanish,Fernandez,low,sg,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_SG,Mi amigo conoció a los ayudantes del detective que,0.12962259676810106,0.1731433757231855
5a,Spanish,Fernandez,high,sg,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_SG,Mi amigo conoció al ayudante de los detectives que,0.18432922453211376,0.08797651489832958
5a,Spanish,Fernandez,ambi,pl,0,0,a los ayudantes,de los detectives,ayudantes,detectives,Mi amigo conoció a los ayudantes de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes de los detectives que,$ES_PL,Mi amigo conoció a los ayudantes de los detectives que,0.2685381084774292,0.3002401314839176
5a,Spanish,Fernandez,low,pl,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_PL,Mi amigo conoció al ayudante de los detectives que,0.02666113521677005,0.179314977309474
5a,Spanish,Fernandez,high,pl,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_PL,Mi amigo conoció a los ayudantes del detective que,0.09317215499989118,0.1225389278114335
6a,Spanish,Fernandez,ambi,sg,1,0,al analista,del embajador,analista,embajador,Carlos conoció al analista del embajador que MASKTOKEN en la compañia.,Carlos conoció al analista del embajador que,$ES_SG,Carlos conoció al analista del embajador que,0.17245539842589608,0.2604316336475563
6a,Spanish,Fernandez,low,sg,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_SG,Carlos conoció a los analistas del embajador que,0.05494790507307812,0.05098956872518556
6a,Spanish,Fernandez,high,sg,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_SG,Carlos conoció al analista de los embajadores que,0.06707321087289131,0.09405508768406179
6a,Spanish,Fernandez,ambi,pl,1,0,a los analistas,de los embajadores,analistas,embajadores,Carlos conoció a los analistas de los embajadores que MASKTOKEN en la compañia.,Carlos conoció a los analistas de los embajadores que,$ES_PL,Carlos conoció a los analistas de los embajadores que,0.19796099214727292,0.26844799796199936
6a,Spanish,Fernandez,low,pl,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_PL,Carlos conoció al analista de los embajadores que,0.09821766075504712,0.17433048366535786
6a,Spanish,Fernandez,high,pl,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_PL,Carlos conoció a los analistas del embajador que,0.13910159060873184,0.20932184945712606
7a,Spanish,Fernandez,ambi,sg,1,1,el verso,de la poema,verso,poema,Rosa leyó el verso de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de la poema que,$ES_SG,Rosa leyó el verso de la poema que,0.1636600455313726,0.28535046070032877
7a,Spanish,Fernandez,low,sg,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_SG,Rosa leyó los versos de la poema que,0.1315579958682349,0.1945457122614016
7a,Spanish,Fernandez,high,sg,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_SG,Rosa leyó el verso de las poemas que,0.07786044934535852,0.09578886253729024
7a,Spanish,Fernandez,ambi,pl,1,1,los versos,de las poemas,versos,poemas,Rosa leyó los versos de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de las poemas que,$ES_PL,Rosa leyó los versos de las poemas que,0.04481835133404388,0.13688855863928495
7a,Spanish,Fernandez,low,pl,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_PL,Rosa leyó el verso de las poemas que,0.04394280746404178,0.12669467967401715
7a,Spanish,Fernandez,high,pl,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_PL,Rosa leyó los versos de la poema que,0.010193635236191767,0.011606957132174855
8a,Spanish,Fernandez,ambi,sg,0,1,el tubo,de la cocina,tubo,cocina,El plomero ajustó el tubo de la cocina que MASKTOKEN en la casa.,El plomero ajustó el tubo de la cocina que,$ES_SG,El plomero ajustó el tubo de la cocina que,0.1676968866556443,0.289992799303171
8a,Spanish,Fernandez,low,sg,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_SG,El plomero ajustó los tubos de la cocina que,0.060869901773981994,0.0633811836126057
8a,Spanish,Fernandez,high,sg,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_SG,El plomero ajustó el tubo de las cocinas que,0.11700416291372662,0.211452530100388
8a,Spanish,Fernandez,ambi,pl,0,1,los tubos,de las cocinas,tubos,cocinas,El plomero ajustó los tubos de las cocinas que MASKTOKEN en la casa.,El plomero ajustó los tubos de las cocinas que,$ES_PL,El plomero ajustó los tubos de las cocinas que,0.16355685997199743,0.26830929821480254
8a,Spanish,Fernandez,low,pl,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_PL,El plomero ajustó el tubo de las cocinas que,0.0380852268362073,0.0712290982985806
8a,Spanish,Fernandez,high,pl,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_PL,El plomero ajustó los tubos de la cocina que,0.09851159472890991,0.21810255775445597
9a,Spanish,Fernandez,ambi,sg,0,1,el cable,del radio,cable,radio,María remplazó el cable del radio que MASKTOKEN en el coche.,María remplazó el cable del radio que,$ES_SG,María remplazó el cable del radio que,0.15656445245904038,0.2815261341014832
9a,Spanish,Fernandez,low,sg,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_SG,María remplazó los cables del radio que,0.06930706288658062,0.032199163721941204
9a,Spanish,Fernandez,high,sg,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_SG,María remplazó el cable de los radios que,0.10807383814141502,0.1366279757217228
9a,Spanish,Fernandez,ambi,pl,0,1,los cables,de los radios,cables,radios,María remplazó los cables de los radios que MASKTOKEN en el coche.,María remplazó los cables de los radios que,$ES_PL,María remplazó los cables de los radios que,0.10748075720524852,0.30213151978716724
9a,Spanish,Fernandez,low,pl,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_PL,María remplazó el cable de los radios que,0.034341683075162166,0.16894584325700635
9a,Spanish,Fernandez,high,pl,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_PL,María remplazó los cables del radio que,0.08676815591325493,0.2967209434807643
10a,Spanish,Fernandez,ambi,sg,1,1,el ritmo,del canto,ritmo,canto,A mi hermano le gustaba escuchar el ritmo del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo del canto que,$ES_SG,A mi hermano le gustaba escuchar el ritmo del canto que,0.0871253449195244,0.10921648463841649
10a,Spanish,Fernandez,low,sg,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_SG,A mi hermano le gustaba escuchar los ritmos del canto que,0.05749801870300786,0.09641972455287373
10a,Spanish,Fernandez,high,sg,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_SG,A mi hermano le gustaba escuchar el ritmo de los cantos que,0.0514474638160447,0.052966149032815935
10a,Spanish,Fernandez,ambi,pl,1,1,los ritmos,de los cantos,ritmos,cantos,A mi hermano le gustaba escuchar los ritmos de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos de los cantos que,$ES_PL,A mi hermano le gustaba escuchar los ritmos de los cantos que,0.045822463487130705,0.04874966172291906
10a,Spanish,Fernandez,low,pl,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_PL,A mi hermano le gustaba escuchar el ritmo de los cantos que,0.040592549435530145,0.04139679703185983
10a,Spanish,Fernandez,high,pl,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_PL,A mi hermano le gustaba escuchar los ritmos del canto que,0.021805347541004494,0.026575670640880844
11a,Spanish,Fernandez,ambi,sg,1,1,el color,del plato,color,plato,El cocinero no pudo encontrar el color del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color del plato que,$ES_SG,El cocinero no pudo encontrar el color del plato que,0.16625887236097014,0.19499406101088823
11a,Spanish,Fernandez,low,sg,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_SG,El cocinero no pudo encontrar los colores del plato que,0.15301572607737413,0.1395507235708493
11a,Spanish,Fernandez,high,sg,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_SG,El cocinero no pudo encontrar el color de los platos que,0.0950081567443668,0.08584431087453481
11a,Spanish,Fernandez,ambi,pl,1,1,los colores,de los platos,colores,platos,El cocinero no pudo encontrar los colores de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores de los platos que,$ES_PL,El cocinero no pudo encontrar los colores de los platos que,0.11241373642763364,0.15595737893158912
11a,Spanish,Fernandez,low,pl,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_PL,El cocinero no pudo encontrar el color de los platos que,0.083888820256945,0.13184753323213272
11a,Spanish,Fernandez,high,pl,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_PL,El cocinero no pudo encontrar los colores del plato que,0.0312378820353576,0.07256963965553709
12a,Spanish,Fernandez,ambi,sg,0,1,la llave,de la caja,llave,caja,El ladrón se llevó la llave de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de la caja que,$ES_SG,El ladrón se llevó la llave de la caja que,0.20191094824675915,0.29411583063145486
12a,Spanish,Fernandez,low,sg,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_SG,El ladrón se llevó las llaves de la caja que,0.21610659907437046,0.2807588918847017
12a,Spanish,Fernandez,high,sg,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_SG,El ladrón se llevó la llave de las cajas que,0.10374391057106624,0.08132418403039665
12a,Spanish,Fernandez,ambi,pl,0,1,las llaves,de las cajas,llaves,cajas,El ladrón se llevó las llaves de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de las cajas que,$ES_PL,El ladrón se llevó las llaves de las cajas que,0.10792813633650411,0.168083591063926
12a,Spanish,Fernandez,low,pl,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_PL,El ladrón se llevó la llave de las cajas que,0.05733687158567591,0.1549565162870703
12a,Spanish,Fernandez,high,pl,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_PL,El ladrón se llevó las llaves de la caja que,0.009197122694073023,0.013665073547213247
13a,Spanish,Fernandez,ambi,sg,0,1,a la hija,del prisionero,hija,prisionero,El periodista no pudo entrevistar a la hija del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija del prisionero que,$ES_SG,El periodista no pudo entrevistar a la hija del prisionero que,0.2234990844881537,0.5495646085589243
13a,Spanish,Fernandez,low,sg,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_SG,El periodista no pudo entrevistar a las hijas del prisionero que,0.11677201460034325,0.4515581782475806
13a,Spanish,Fernandez,high,sg,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_SG,El periodista no pudo entrevistar a la hija de los prisioneros que,0.08774215218056725,0.19750686046656085
13a,Spanish,Fernandez,ambi,pl,0,1,a las hijas,de los prisioneros,hijas,prisioneros,El periodista no pudo entrevistar a las hijas de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas de los prisioneros que,$ES_PL,El periodista no pudo entrevistar a las hijas de los prisioneros que,0.249973285415642,0.5902590528107936
13a,Spanish,Fernandez,low,pl,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_PL,El periodista no pudo entrevistar a la hija de los prisioneros que,0.15703445436780328,0.4165610341372883
13a,Spanish,Fernandez,high,pl,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_PL,El periodista no pudo entrevistar a las hijas del prisionero que,0.1100422162685959,0.08477944683643202
14a,Spanish,Fernandez,ambi,sg,0,0,al profesor,del estudiante,profesor,estudiante,Patricia vio al profesor del estudiante que MASKTOKEN en clase.,Patricia vio al profesor del estudiante que,$ES_SG,Patricia vio al profesor del estudiante que,0.14764723901513221,0.2245416721048059
14a,Spanish,Fernandez,low,sg,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_SG,Patricia vio a los profesores del estudiante que,0.014252386951138618,0.1039055483511504
14a,Spanish,Fernandez,high,sg,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_SG,Patricia vio al profesor de los estudiantes que,0.09999368258277741,0.13766756460114493
14a,Spanish,Fernandez,ambi,pl,0,0,a los profesores,de los estudiantes,profesores,estudiantes,Patricia vio a los profesores de los estudiantes que MASKTOKEN en clase.,Patricia vio a los profesores de los estudiantes que,$ES_PL,Patricia vio a los profesores de los estudiantes que,0.19932902627213522,0.2231881577290551
14a,Spanish,Fernandez,low,pl,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_PL,Patricia vio al profesor de los estudiantes que,0.05929430901485233,0.126257389557054
14a,Spanish,Fernandez,high,pl,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_PL,Patricia vio a los profesores del estudiante que,0.18498197152791818,0.12634592608220885
15a,Spanish,Fernandez,ambi,sg,1,0,al director,del asistente,director,asistente,Linda escribió al director del asistente que MASKTOKEN en la universidad.,Linda escribió al director del asistente que,$ES_SG,Linda escribió al director del asistente que,0.12553247092930064,0.11432424130994434
15a,Spanish,Fernandez,low,sg,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_SG,Linda escribió a los directores del asistente que,0.075228546381787,0.07541648128878364
15a,Spanish,Fernandez,high,sg,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_SG,Linda escribió al director de los asistentes que,0.07342518580242086,0.0822688778242906
15a,Spanish,Fernandez,ambi,pl,1,0,a los directores,de los asistentes,directores,asistentes,Linda escribió a los directores de los asistentes que MASKTOKEN en la universidad.,Linda escribió a los directores de los asistentes que,$ES_PL,Linda escribió a los directores de los asistentes que,0.09392076775073122,0.06108241484147925
15a,Spanish,Fernandez,low,pl,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_PL,Linda escribió al director de los asistentes que,0.048397054678453344,0.04485192442054853
15a,Spanish,Fernandez,high,pl,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_PL,Linda escribió a los directores del asistente que,0.06959997484293723,0.0430551925476621
16a,Spanish,Fernandez,ambi,sg,1,0,al conductor,del turista,conductor,turista,El director del hotel no quiso ver al conductor del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor del turista que,$ES_SG,El director del hotel no quiso ver al conductor del turista que,0.16946524110339212,0.34680507872339206
16a,Spanish,Fernandez,low,sg,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_SG,El director del hotel no quiso ver a los conductores del turista que,0.013836224050367107,0.2004641054853522
16a,Spanish,Fernandez,high,sg,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_SG,El director del hotel no quiso ver al conductor de los turistas que,0.1371074251139257,0.05911225628410577
16a,Spanish,Fernandez,ambi,pl,1,0,a los conductores,de los turistas,conductores,turistas,El director del hotel no quiso ver a los conductores de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores de los turistas que,$ES_PL,El director del hotel no quiso ver a los conductores de los turistas que,0.30757943586090875,0.4351981107923564
16a,Spanish,Fernandez,low,pl,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_PL,El director del hotel no quiso ver al conductor de los turistas que,0.11223482633050352,0.3474634866176842
16a,Spanish,Fernandez,high,pl,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_PL,El director del hotel no quiso ver a los conductores del turista que,0.25899597587564926,0.209159474230745
17a,Spanish,Fernandez,ambi,sg,0,0,al cliente,del abogado,cliente,abogado,La recepcionista saludó al cliente del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente del abogado que,$ES_SG,La recepcionista saludó al cliente del abogado que,0.19084318695540858,0.29899354169361914
