item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_prob
2a,English,Fernandez,low,pl,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$PL,The journalist interviewed the coach of the athletes that,0.12211280800103452,0.09339627878775225,0.07393837823034133,0.07266613705946057,0.1267738392873099,0.04233150475589653,0.09797417267530761,0.10291073718034305,0.08262954235207332,0.078855079287937,0.12766261448888194,0.1331398571745268,0.1206032388672682,0.14512069713813602,0.08807736067690186,0.10414173915085456,0.043193007615849766,0.12147088269599138,0.09093890664000526,0.08813488061127117,0.1115008284921366,0.03515544332902376,0.06790879244879378,0.12919136466317127,0.04907641632926385
2a,English,Fernandez,high,pl,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$PL,The journalist interviewed the coaches of the athlete that,0.036377637773654214,0.03764542260174153,0.055771774015058284,0.058531573474859044,0.04661169542175614,0.02832025864629273,0.03546925447753324,0.04856311348791209,0.04780042007071117,0.061343930042919936,0.10054357562059124,0.08110969521679579,0.04667706435675001,0.1144267565446615,0.051413734996131666,0.06320986011137464,0.018247799257310682,0.04087554900533519,0.04485257688872224,0.08186371432540795,0.06255808325258982,0.04026810763289479,0.04986608279426363,0.05518863971615673,0.051605518344498336
3a,English,Fernandez,ambi,sg,0,1,the secretary,of the clerk,secretary,clerk,The personnel manager was observing the secretary of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerk that,$SG,The personnel manager was observing the secretary of the clerk that,0.09273958741275745,0.05073963316391428,0.09125890218138433,0.07702554022728414,0.12555680196528662,0.045049997133368436,0.045707218848529685,0.11642742578531351,0.11087656436994564,0.010104388587771851,0.03618858737305608,0.027857969999082854,0.06266088751898735,0.07547344464676708,0.04713463734333345,0.03642047086136735,0.04684881578623923,0.038897318458290364,0.06058504248734131,0.07583701733700732,0.0917082435512917,0.04156619212003232,0.047231081171040135,0.03546712548434883,0.06457260182586388
3a,English,Fernandez,low,sg,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$SG,The personnel manager was observing the secretaries of the clerk that,0.08492978328901746,0.037534476519809346,0.062474293419168436,0.08173787899861473,0.13497170509410772,0.02359746112997385,0.034729386248767646,0.07849682542473246,0.05674836775895553,0.01967711990525789,0.0299927282916137,0.03227087131330464,0.05452508705444714,0.037629168200664864,0.01611302158310579,0.03221375584751662,0.054136223576060516,0.037628255800861155,0.02225886118009157,0.07893427011316145,0.07431017933619088,0.031026004406209395,0.048825569110904965,0.025540969588845996,0.06155099566341704
3a,English,Fernandez,high,sg,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$SG,The personnel manager was observing the secretary of the clerks that,0.06862685201053065,0.026623657718342297,0.050951957218098975,0.06583489844366142,0.03882302928312775,0.03215641915209311,0.0389062845983017,0.030997518417098302,0.05644002089307243,0.021150767184789032,0.01875581746271049,0.027866119052212923,0.02413692803968459,0.025834486412068536,0.026067333192225206,0.024050017348380415,0.03613547318101773,0.03537066876186756,0.053263750334664905,0.03818374370286648,0.03591382589790992,0.02567846259759654,0.02206033607019031,0.02089108189849931,0.025601327811334507
3a,English,Fernandez,ambi,pl,0,1,the secretaries,of the clerks,secretaries,clerks,The personnel manager was observing the secretaries of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerks that,$PL,The personnel manager was observing the secretaries of the clerks that,0.1525884547202203,0.16397952646840785,0.15064929730022847,0.13846088668440437,0.17139060883392787,0.0995496251826058,0.14966026590526305,0.1540856722246211,0.15852200754132095,0.053548726291429816,0.21092458204256914,0.15293157083010556,0.1916006950878284,0.16035632001224442,0.13613849805636846,0.054459394970664654,0.13409562987238388,0.10086513733312863,0.1700436416636455,0.12278162786116198,0.15068550336441078,0.09003184740499748,0.05858664597462493,0.12834446710968983,0.16830670684003124
3a,English,Fernandez,low,pl,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$PL,The personnel manager was observing the secretary of the clerks that,0.08738646127605776,0.13898147791879545,0.06890364620750766,0.09626500347895117,0.13407188284216076,0.049231406605528605,0.09224706851657682,0.10365278540388445,0.04412845678601052,0.030407691420670346,0.11551097648882269,0.07889224000334139,0.1506398237019546,0.09635255362952488,0.08243113384243017,0.024352085785160682,0.0700382673557769,0.0506384851735735,0.11662358667257422,0.07936972370564988,0.08312815022797082,0.04258760166795206,0.038892651776674114,0.046053433847822234,0.07664922875169822
3a,English,Fernandez,high,pl,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$PL,The personnel manager was observing the secretaries of the clerk that,0.034286977569021104,0.03469183282106947,0.09137713927815838,0.07751528762329762,0.05797376605411131,0.04546464601039446,0.057794569636547166,0.05817763301573997,0.0559882333558237,0.03063249917769717,0.038213820774512186,0.03420611157024922,0.06575277634201271,0.06993049363054205,0.05489658246015239,0.021706156470989058,0.05029401044114401,0.05420443055314372,0.07530915684852424,0.04480389067046531,0.07441487523179013,0.046221761975523634,0.036182095448424434,0.04253545358508326,0.07411790127278728
4a,English,Fernandez,ambi,sg,0,0,the secretary,of the lawyer,secretary,lawyer,Julia had spoken to the secretary of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyer that,$SG,Julia had spoken to the secretary of the lawyer that,0.10196115857329868,0.03251556107757603,0.035518997153550114,0.02402405791422524,0.04414855679230012,0.0396884283411536,0.020574169882068283,0.04271341921393379,0.14502257136624674,0.011759413111128048,0.05058806872606603,0.033291739597579806,0.013854561195727477,0.056026303261440535,0.014936986639893846,0.07464668930856044,0.014180301220440894,0.01656077170048187,0.035424167037621856,0.02716973960944813,0.017959282021857703,0.0391139149516162,0.06618388529930286,0.024683370118534498,0.049411491381881056
4a,English,Fernandez,low,sg,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$SG,Julia had spoken to the secretaries of the lawyer that,0.08744521612305345,0.022207290187258977,0.05853988991399062,0.017555132213447067,0.06537165212919493,0.02559249375955641,0.020037608157851494,0.034539272492907,0.099758983992154,0.021760730158463915,0.041048026968841356,0.03409255856096394,0.008477542575287877,0.06789003169577423,0.008327586791654795,0.0793627102880965,0.01370413000337889,0.01969978946542117,0.015040105992513375,0.043900786602091735,0.015296651111496473,0.035790430086580116,0.070256269481078,0.018551975955656275,0.04629845817490441
4a,English,Fernandez,high,sg,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$SG,Julia had spoken to the secretary of the lawyers that,0.06651291478704069,0.016765265328938517,0.03289416307979298,0.025489122343966386,0.0551754447736279,0.02762519012336817,0.020807927469912002,0.020583225959272422,0.12499461476905083,0.008231410607648648,0.031733624203436506,0.026048480596244872,0.012099138251682184,0.02835595509883193,0.014693383269683835,0.049729615784166015,0.009417963473985047,0.014580840745058943,0.024000344969189236,0.013699502440458922,0.013687478111096496,0.020325931058366775,0.04217473308413133,0.028446430520354227,0.020743856071528732
4a,English,Fernandez,ambi,pl,0,0,the secretaries,of the lawyers,secretaries,lawyers,Julia had spoken to the secretaries of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyers that,$PL,Julia had spoken to the secretaries of the lawyers that,0.12295407584652729,0.08414428518599593,0.10815952218665714,0.02375914427876591,0.06328603802307242,0.058743215967316686,0.05186449429337081,0.07023406888903772,0.11754198436292107,0.02754320515802622,0.03835435732903747,0.09174653920974407,0.023271318577894107,0.061076900688805225,0.030599809223723184,0.054845026733657765,0.03027539362178633,0.028376616700442447,0.06166249205655738,0.02822893153843964,0.03809009093307836,0.07717597709793278,0.07045337632143145,0.05483359458745518,0.06717703538088493
4a,English,Fernandez,low,pl,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$PL,Julia had spoken to the secretary of the lawyers that,0.06818102608961496,0.06516749105407715,0.04530031645936239,0.02324919939674519,0.03480051258280881,0.0363086614760153,0.03450154068468336,0.06802902802871014,0.04287651594704478,0.014347946832224068,0.0245505216782842,0.05905671410128832,0.030395466272738147,0.036752590194316426,0.021958997148264103,0.037960469219183945,0.021737278784702774,0.018117343922053664,0.04358393668412308,0.017308515985305917,0.024784814396317856,0.04421097184763356,0.05257069138255588,0.031702715917806046,0.04475416151420575
4a,English,Fernandez,high,pl,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$PL,Julia had spoken to the secretaries of the lawyer that,0.03426004943708705,0.02292264269050648,0.04418337334863942,0.01401140317239502,0.028353136276752622,0.031412370569984915,0.027029345329113497,0.024751545753296966,0.033458971059546094,0.021242806899799405,0.03773125321097304,0.038415187030217623,0.014346412448221102,0.049264089801367206,0.017287526990260815,0.027965353979361396,0.014085622167989698,0.020774856776315964,0.03037833082136121,0.021457017884086937,0.020728709669558754,0.03520209576378619,0.051644046994738346,0.026766294843078242,0.04302566149905074
5a,English,Fernandez,ambi,sg,1,0,the assistant,of the detective,assistant,detective,My friend met the assistant of the detective that MASKTOKEN fired.,My friend met the assistant of the detective that,$SG,My friend met the assistant of the detective that,0.2048491048125065,0.13868787179339748,0.15741292698967868,0.20137601695878615,0.17858303336323367,0.16065957795469643,0.0818002403320719,0.18392524277604494,0.1946118222187483,0.17511366168545006,0.15812984431717148,0.1384726626049897,0.1704674378311779,0.22064532923056035,0.12825798716587222,0.24685703443086715,0.16910951755491777,0.149611751869978,0.16592127445863092,0.19613257189093236,0.07251583510898207,0.09580395909324224,0.1722971880458033,0.16802193530345555,0.1617717083742214
5a,English,Fernandez,low,sg,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$SG,My friend met the assistants of the detective that,0.18242264250615747,0.06227065182820368,0.1212534564269605,0.15996896228504198,0.0762400167772217,0.0887798097139374,0.08121576072590742,0.1389695843583567,0.08914417409259912,0.15287856061585448,0.14905366944632448,0.0635542317136597,0.08099172880097427,0.12889525169835103,0.07954848189285002,0.16982163570821296,0.10613434987727999,0.0856636040117138,0.06105324756122954,0.1469369491466992,0.06265787661887501,0.08040114293854828,0.14925902532840496,0.1171474142531288,0.08161959021093423
5a,English,Fernandez,high,sg,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$SG,My friend met the assistant of the detectives that,0.05320949216747284,0.025455775691302307,0.05816080003649837,0.08094525330168878,0.07178218638849643,0.04989843916516534,0.03185748447662462,0.022625615197306104,0.02893055989244253,0.054447134203194025,0.029904302056149135,0.04351641362269021,0.03469370373025349,0.08242167386427823,0.07401723496066381,0.059310657265108535,0.06730027046141807,0.07890540046451555,0.07051562987833826,0.08002584310444494,0.049323644419381196,0.04911276634375206,0.05316324938095818,0.05165830123951842,0.025437647823009613
5a,English,Fernandez,ambi,pl,1,0,the assistants,of the detectives,assistants,detectives,My friend met the assistants of the detectives that MASKTOKEN fired.,My friend met the assistants of the detectives that,$PL,My friend met the assistants of the detectives that,0.1106264771551917,0.1987589592798038,0.09719506996680138,0.15648029345717518,0.17436198307603235,0.15258328578511637,0.1319097714177211,0.14564309719967028,0.1793572906588068,0.11038867153567189,0.1527611773230575,0.20845232327161511,0.14125974704698052,0.21819646915259483,0.09820738790337913,0.14894656966080877,0.14314356330708833,0.15204590025190257,0.17130406934234088,0.17949820141412687,0.12028078879047044,0.11576105870130426,0.12876059770066206,0.1502955438599045,0.15142259149650705
5a,English,Fernandez,low,pl,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$PL,My friend met the assistant of the detectives that,0.053502040337580326,0.15544303995812214,0.08095640959689376,0.10993080727564575,0.10074458673345887,0.08242195571889965,0.10938808779136622,0.08337841674111957,0.09882303635323808,0.06798912383997369,0.11744898386820779,0.1414846636579199,0.09664183126788117,0.14376768720096145,0.08214157812169987,0.11098621855991198,0.09013987073201335,0.09258787100251098,0.10928943965781457,0.10459373113881121,0.05582968771519248,0.08253496786612669,0.0904077075133003,0.09857484366049363,0.08714760958098822
5a,English,Fernandez,high,pl,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$PL,My friend met the assistants of the detective that,0.04521856871516228,0.05346443648473098,0.06885526799832675,0.07099347633510789,0.11826875380446111,0.08981050097208865,0.04952219370390054,0.08720870240973255,0.06840506623403897,0.057127367543412966,0.05752802148573721,0.10470982271279183,0.050671255154249195,0.09853193984912778,0.06498437565600312,0.05624662737083597,0.08798556454034845,0.08809381140187966,0.09126152067966409,0.054992113460354375,0.05456887044136849,0.04555126968617351,0.04863750332189909,0.05808563879228501,0.09350854872016612
6a,English,Fernandez,ambi,sg,1,0,the employee,of the ambassador,employee,ambassador,Charlie met the employee of the ambassador that MASKTOKEN eating.,Charlie met the employee of the ambassador that,$SG,Charlie met the employee of the ambassador that,0.1445725184267168,0.06479502177566232,0.10753471754521682,0.13849531757591294,0.17403190564918702,0.0831328981495929,0.058431517359501584,0.087231646530471,0.13076947632300673,0.14759805048641184,0.09243778852723494,0.044187351230746685,0.1584689356571083,0.13599998575992345,0.06624116978147043,0.12565869532813156,0.1171631633523913,0.058644220400843494,0.13750272751529735,0.102132021377622,0.07335042666894154,0.08446537957062361,0.08147826888222909,0.0797943873797422,0.07423782464804063
6a,English,Fernandez,low,sg,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$SG,Charlie met the employees of the ambassador that,0.10224148124949117,0.045016304820750364,0.08546474864394371,0.10663389308027149,0.11279902581545365,0.04175865800838707,0.0484715870473984,0.062137297706740924,0.057533195745779864,0.1183097633203225,0.08641858724812224,0.04025805036184238,0.11641134896154615,0.05576546288587636,0.056610792958604605,0.08387202450307996,0.08196949563864919,0.04573054084277928,0.052836144730019186,0.07902364270064188,0.05426312338591188,0.0708858438996458,0.07243633578094233,0.06135689873585193,0.04403883071566206
6a,English,Fernandez,high,sg,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$SG,Charlie met the employee of the ambassadors that,0.07818897958045135,0.02556147437796419,0.047903882722394986,0.0729652486316894,0.09733636500352105,0.052394609037097695,0.05549788098680963,0.03418541294557009,0.10440932443402318,0.05811908691067025,0.037267835212443146,0.033929850990240595,0.026381281187022765,0.07616438423515959,0.08491909405061904,0.09049904463225822,0.04654824191826279,0.048980855069086005,0.0670140954294709,0.07976841798327605,0.03870830354264143,0.027348593352506168,0.030316482576985493,0.07603518674481968,0.02474422775221896
6a,English,Fernandez,ambi,pl,1,0,the employees,of the ambassadors,employees,ambassadors,Charlie met the employees of the ambassadors that MASKTOKEN eating.,Charlie met the employees of the ambassadors that,$PL,Charlie met the employees of the ambassadors that,0.1568836773443012,0.1758961604073619,0.11789098058386216,0.13766157810421653,0.1697783464145104,0.14150799309024897,0.16336554431047112,0.15951199129008842,0.16488093112106483,0.10452025106864671,0.12519484086555366,0.18420826900342746,0.17249345712819952,0.18538258534838237,0.1442635674919437,0.11678203609645799,0.16368324551832103,0.1297709630800945,0.17364923486915984,0.1102267731034221,0.12590127400178375,0.07641121785808735,0.09260519217877317,0.20029748859579044,0.16911621674689847
