item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob
11a,Spanish,Fernandez,low,pl,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_PL,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1045955117844243
11a,Spanish,Fernandez,high,pl,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_PL,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0753049531084286
12a,Spanish,Fernandez,low,sg,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_SG,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1987457292520744
12a,Spanish,Fernandez,high,sg,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_SG,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0832352082682277
12a,Spanish,Fernandez,low,pl,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_PL,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1585910095958098
12a,Spanish,Fernandez,high,pl,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_PL,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0712836802524421
13a,Spanish,Fernandez,low,sg,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_SG,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1377296888343382
13a,Spanish,Fernandez,high,sg,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_SG,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0657416394884762
13a,Spanish,Fernandez,low,pl,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_PL,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1391024831149891
13a,Spanish,Fernandez,high,pl,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_PL,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0929304293690975
14a,Spanish,Fernandez,low,sg,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_SG,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0255101986295738
14a,Spanish,Fernandez,high,sg,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_SG,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0793088536643407
14a,Spanish,Fernandez,low,pl,0,0,al profesor,de los estudiantes,profesor,estudiantes,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,Patricia vio al profesor de los estudiantes que,$ES_PL,Patricia vio al profesor de los estudiantes que MASKTOKEN en clase.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.133063267855432
14a,Spanish,Fernandez,high,pl,0,0,a los profesores,del estudiante,profesores,estudiante,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,Patricia vio a los profesores del estudiante que,$ES_PL,Patricia vio a los profesores del estudiante que MASKTOKEN en clase.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1743594120117393
15a,Spanish,Fernandez,low,sg,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_SG,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0795374231630781
15a,Spanish,Fernandez,high,sg,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_SG,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0458669725611198
15a,Spanish,Fernandez,low,pl,1,0,al director,de los asistentes,director,asistentes,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,Linda escribió al director de los asistentes que,$ES_PL,Linda escribió al director de los asistentes que MASKTOKEN en la universidad.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1218303532924096
15a,Spanish,Fernandez,high,pl,1,0,a los directores,del asistente,directores,asistente,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,Linda escribió a los directores del asistente que,$ES_PL,Linda escribió a los directores del asistente que MASKTOKEN en la universidad.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1703672439085828
16a,Spanish,Fernandez,low,sg,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_SG,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0786505864040094
16a,Spanish,Fernandez,high,sg,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_SG,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0428918664665651
16a,Spanish,Fernandez,low,pl,1,0,al conductor,de los turistas,conductor,turistas,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,El director del hotel no quiso ver al conductor de los turistas que,$ES_PL,El director del hotel no quiso ver al conductor de los turistas que MASKTOKEN en recepción..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1550152870295171
16a,Spanish,Fernandez,high,pl,1,0,a los conductores,del turista,conductores,turista,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,El director del hotel no quiso ver a los conductores del turista que,$ES_PL,El director del hotel no quiso ver a los conductores del turista que MASKTOKEN en recepción..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1560570715058062
17a,Spanish,Fernandez,low,sg,0,0,a los clientes,del abogado,clientes,abogado,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes del abogado que,$ES_SG,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1084891217144807
17a,Spanish,Fernandez,high,sg,0,0,al cliente,de los abogados,cliente,abogados,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente de los abogados que,$ES_SG,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0364870611927159
17a,Spanish,Fernandez,low,pl,0,0,al cliente,de los abogados,cliente,abogados,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,La recepcionista saludó al cliente de los abogados que,$ES_PL,La recepcionista saludó al cliente de los abogados que MASKTOKEN en la sala de conferencias.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1825606972142139
17a,Spanish,Fernandez,high,pl,0,0,a los clientes,del abogado,clientes,abogado,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,La recepcionista saludó a los clientes del abogado que,$ES_PL,La recepcionista saludó a los clientes del abogado que MASKTOKEN en la sala de conferencias.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0727946587309418
18a,Spanish,Fernandez,low,sg,1,0,a los guardas,del embajador,guardas,embajador,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,Nadie vio a los guardas del embajador que,$ES_SG,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0261064965717583
18a,Spanish,Fernandez,high,sg,1,0,al guarda,de los embajadores,guarda,embajadores,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,Nadie vio al guarda de los embajadores que,$ES_SG,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.041724616702627
18a,Spanish,Fernandez,low,pl,1,0,al guarda,de los embajadores,guarda,embajadores,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,Nadie vio al guarda de los embajadores que,$ES_PL,Nadie vio al guarda de los embajadores que MASKTOKEN en la fiesta.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1270711740269376
18a,Spanish,Fernandez,high,pl,1,0,a los guardas,del embajador,guardas,embajador,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,Nadie vio a los guardas del embajador que,$ES_PL,Nadie vio a los guardas del embajador que MASKTOKEN en la fiesta.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2238788754582827
19a,Spanish,Fernandez,low,sg,0,0,a los hijos,del delegado,hijos,delegado,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,Ivana conoció a los hijos del delegado que,$ES_SG,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1712364890518216
19a,Spanish,Fernandez,high,sg,0,0,al hijo,de los delegados,hijo,delegados,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,Ivana conoció al hijo de los delegados que,$ES_SG,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1211678443809587
19a,Spanish,Fernandez,low,pl,0,0,al hijo,de los delegados,hijo,delegados,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,Ivana conoció al hijo de los delegados que,$ES_PL,Ivana conoció al hijo de los delegados que MASKTOKEN en el salón.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.090992476583807
19a,Spanish,Fernandez,high,pl,0,0,a los hijos,del delegado,hijos,delegado,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,Ivana conoció a los hijos del delegado que,$ES_PL,Ivana conoció a los hijos del delegado que MASKTOKEN en el salón.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.062626152354035
20a,Spanish,Fernandez,low,sg,1,1,los componentes,de la pluma,componentes,pluma,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,Lisa no pudo encontrar los componentes de la pluma que,$ES_SG,Lisa no pudo encontrar los componentes de la pluma que MASKTOKEN de oferta.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.128620214878083
20a,Spanish,Fernandez,high,sg,1,1,el componente,de las plumas,componente,plumas,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,Lisa no pudo encontrar el componente de las plumas que,$ES_SG,Lisa no pudo encontrar el componente de las plumas que MASKTOKEN de oferta.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0865240662085184
