item,lang,exp,AttachType,gender,N1_changed,N2_changed,N1,N2,mask_sents,auto_sents,target,sent,/data/dccuchile/bert-base-spanish-wwm-uncased_prob,/data/mrm8488/RuPERTa-base_prob
2,Spanish,5,low,f,0,0,al amigo,de la maestra,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,Pedro conoció al amigo de la maestra que estuvo,$ES_Adj_f,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,0.012331516670130771,0.0614239782432886
2,Spanish,5,high,f,0,0,a la amiga,del maestro,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,Pedro conoció a la amiga del maestro que estuvo,$ES_Adj_f,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,0.23644216696490616,0.400676806528125
3,Spanish,5,ambi,m,0,1,al hermano,del trabajador,La policía detuvo al hermano del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano del trabajador que estuvo,$ES_Adj_m,La policía detuvo al hermano del trabajador que estuvo MASKTOKEN de hurto.,0.5611383578501594,0.1904545603259269
3,Spanish,5,low,m,0,1,a la hermana,del trabajador,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana del trabajador que estuvo,$ES_Adj_m,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,0.06260799856365099,0.13164675747814503
3,Spanish,5,high,m,0,1,al hermano,de la trabajadora,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano de la trabajadora que estuvo,$ES_Adj_m,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,0.6182733384312243,0.19608471393648408
3,Spanish,5,ambi,f,0,1,a la hermana,de la trabajadora,La policía detuvo a la hermana de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana de la trabajadora que estuvo,$ES_Adj_f,La policía detuvo a la hermana de la trabajadora que estuvo MASKTOKEN de hurto.,0.6319976973810962,0.17633985638975558
3,Spanish,5,low,f,0,1,al hermano,de la trabajadora,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano de la trabajadora que estuvo,$ES_Adj_f,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,0.03559334918026241,0.02967242430029121
3,Spanish,5,high,f,0,1,a la hermana,del trabajador,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana del trabajador que estuvo,$ES_Adj_f,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,0.5647715262460666,0.14285965650398302
4,Spanish,5,ambi,m,0,0,al amigo,del abogado,Un alumno apedreó al amigo del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo del abogado que estuvo como,$ES_Adj_m,Un alumno apedreó al amigo del abogado que estuvo como MASKTOKEN en el Parlamento.,0.045148381122694925,0.10814730147047413
4,Spanish,5,low,m,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_m,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,0.007934028604704046,0.07474902041599307
4,Spanish,5,high,m,0,0,al amigo,de la abogada,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo de la abogada que estuvo como,$ES_Adj_m,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,0.044550794186840825,0.1412761864393337
4,Spanish,5,ambi,f,0,0,a la amiga,de la abogada,Un alumno apedreó a la amiga de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga de la abogada que estuvo como,$ES_Adj_f,Un alumno apedreó a la amiga de la abogada que estuvo como MASKTOKEN en el Parlamento.,0.08740939421896776,0.05651614753990941
4,Spanish,5,low,f,0,0,al amigo,de la abogada,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo de la abogada que estuvo como,$ES_Adj_f,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,0.006105232241796377,0.02514184019457133
4,Spanish,5,high,f,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_f,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,0.12391400357960869,0.04460836726082107
5,Spanish,5,ambi,m,0,0,el novio,del cantante,Amelia se fotografió con el novio del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio del cantante que estuvo,$ES_Adj_m,Amelia se fotografió con el novio del cantante que estuvo MASKTOKEN con los periodistas.,0.15161800388160449,0.6021439042361507
5,Spanish,5,low,m,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_m,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,0.053728624480782534,0.5570700748770179
5,Spanish,5,high,m,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_m,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,0.18434441927735384,0.3930465231216953
5,Spanish,5,ambi,f,0,0,la novia,de la cantante,Amelia se fotografió con la novia de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia de la cantante que estuvo,$ES_Adj_f,Amelia se fotografió con la novia de la cantante que estuvo MASKTOKEN con los periodistas.,0.19413126421063676,0.1463929864972613
5,Spanish,5,low,f,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_f,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,0.0030146292459916763,0.13302768582533275
5,Spanish,5,high,f,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_f,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,0.14493106893263075,0.038622168983155625
6,Spanish,5,ambi,m,0,0,al hijo,del diputado,El periodista entrevistó al hijo del diputado que se quedó MASKTOKEN.,El periodista entrevistó al hijo del diputado que se quedó,$ES_Adj_m,El periodista entrevistó al hijo del diputado que se quedó MASKTOKEN.,0.019362885387655515,0.005314518292118819
6,Spanish,5,low,m,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_m,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,0.021805914238673785,0.006707674162083066
6,Spanish,5,high,m,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_m,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,0.019731104151729628,0.007164474289083955
6,Spanish,5,ambi,f,0,0,a la hija,de la diputada,El periodista entrevistó a la hija de la diputada que se quedó MASKTOKEN.,El periodista entrevistó a la hija de la diputada que se quedó,$ES_Adj_f,El periodista entrevistó a la hija de la diputada que se quedó MASKTOKEN.,0.0029469634847711923,0.002566969455949142
6,Spanish,5,low,f,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_f,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,0.004013604733180021,0.002399935018884136
6,Spanish,5,high,f,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_f,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,0.0025749929255601822,0.0022831858473293387
7,Spanish,5,ambi,m,0,0,el sobrino,del conserje,Andrés cenó ayer con el sobrino del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino del conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con el sobrino del conserje que trabajó de MASKTOKEN en su empresa.,0.0464764492529105,0.4357584429159971
7,Spanish,5,low,m,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,0.02795283259442316,0.508981405755307
7,Spanish,5,high,m,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,0.027393959380059285,0.4815251591261145
7,Spanish,5,ambi,f,0,0,la sobrina,de la conserje,Andrés cenó ayer con la sobrina de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina de la conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con la sobrina de la conserje que trabajó de MASKTOKEN en su empresa.,0.02163471320855548,0.00918868120304861
7,Spanish,5,low,f,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,0.0108562207719895,0.015654647274892852
7,Spanish,5,high,f,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,0.018786543011645618,0.01577123842499084
8,Spanish,5,ambi,m,0,1,el hijo,del obrero,María salió al cine con el hijo del obrero que estaba MASKTOKEN.,María salió al cine con el hijo del obrero que estaba,$ES_Adj_m,María salió al cine con el hijo del obrero que estaba MASKTOKEN.,0.18006399131039347,0.016995071048384602
8,Spanish,5,low,m,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_m,María salió al cine con la hija del obrero que estaba MASKTOKEN.,0.1929321945075718,0.0428955683600023
8,Spanish,5,high,m,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_m,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,0.03476533732067641,0.012390276431190728
8,Spanish,5,ambi,f,0,1,la hija,de la obrera,María salió al cine con la hija de la obrera que estaba MASKTOKEN.,María salió al cine con la hija de la obrera que estaba,$ES_Adj_f,María salió al cine con la hija de la obrera que estaba MASKTOKEN.,0.35164541760718837,0.014886674414697154
8,Spanish,5,low,f,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_f,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,0.3568096522490265,0.0032669322189970984
8,Spanish,5,high,f,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_f,María salió al cine con la hija del obrero que estaba MASKTOKEN.,0.00874263325107437,0.014182507722459547
9,Spanish,5,ambi,m,0,0,del sobrino,del maestro,Los chicos se burlaron del sobrino del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino del maestro que estaba,$ES_Adj_m,Los chicos se burlaron del sobrino del maestro que estaba MASKTOKEN en el parque.,0.17973652782031857,0.5172944855202743
9,Spanish,5,low,m,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_m,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,0.011694541654292458,0.2621100912262584
9,Spanish,5,high,m,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_m,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,0.12538532756926088,0.2368100964764146
9,Spanish,5,ambi,f,0,0,de la sobrina,de la maestra,Los chicos se burlaron de la sobrina de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina de la maestra que estaba,$ES_Adj_f,Los chicos se burlaron de la sobrina de la maestra que estaba MASKTOKEN en el parque.,0.2930931971272387,0.2583072147625103
9,Spanish,5,low,f,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_f,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,0.1102564418528601,0.2762892247050317
9,Spanish,5,high,f,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_f,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,0.2840152778445303,0.1997712395727227
10,Spanish,5,ambi,m,0,1,el sirviente,del rey,Mi madre discutió con el sirviente del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente del rey que estuvo,$ES_Adj_m,Mi madre discutió con el sirviente del rey que estuvo MASKTOKEN la semana pasada.,0.011515593720649586,0.007081053045371766
10,Spanish,5,low,m,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_m,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,0.00032118648840242614,0.009137677474505335
10,Spanish,5,high,m,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_m,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,0.007201569002679256,0.009857155783869587
10,Spanish,5,ambi,f,0,1,la sirvienta,de la reina,Mi madre discutió con la sirvienta de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta de la reina que estuvo,$ES_Adj_f,Mi madre discutió con la sirvienta de la reina que estuvo MASKTOKEN la semana pasada.,0.01167406991509308,0.010127833149497056
10,Spanish,5,low,f,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_f,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,0.0002929877360881867,0.00597631495446016
10,Spanish,5,high,f,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_f,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,0.012546389505692257,0.005176760021011806
11,Spanish,5,ambi,m,0,1,al criado,del emperador,La policía detuvo al criado del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado del emperador que estuvo,$ES_Adj_m,La policía detuvo al criado del emperador que estuvo MASKTOKEN antes por escandalo.,0.4706741532419594,0.17625510735308225
11,Spanish,5,low,m,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_m,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,0.020392777871109217,0.19200061484748332
11,Spanish,5,high,m,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_m,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,0.5827735272886424,0.23547733846985963
11,Spanish,5,ambi,f,0,1,a la criada,de la emperatriz,La policía detuvo a la criada de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada de la emperatriz que estuvo,$ES_Adj_f,La policía detuvo a la criada de la emperatriz que estuvo MASKTOKEN antes por escandalo.,0.6132184234457028,0.06778418123119323
11,Spanish,5,low,f,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_f,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,0.00911532502647018,0.023506290167135457
11,Spanish,5,high,f,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_f,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,0.5544298490665251,0.030234609065780127
12,Spanish,5,ambi,m,1,0,al ayudante,del doctor,Esta tarde he visto al ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante del doctor que había sido,$ES_Adj_m,Esta tarde he visto al ayudante del doctor que había sido MASKTOKEN el año pasado.,0.2843882212599431,0.34315865526522416
12,Spanish,5,low,m,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_m,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,0.025531582990710344,0.1982303136739798
12,Spanish,5,high,m,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_m,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,0.20415948285178853,0.3584490798319262
12,Spanish,5,ambi,f,1,0,a la ayudante,de la doctora,Esta tarde he visto a la ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante de la doctora que había sido,$ES_Adj_f,Esta tarde he visto a la ayudante de la doctora que había sido MASKTOKEN el año pasado.,0.5248433251758922,0.26902128212195997
12,Spanish,5,low,f,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_f,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,0.18874726825613308,0.04088144599492427
12,Spanish,5,high,f,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_f,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,0.4414529164925236,0.2539430585971143
13,Spanish,5,ambi,m,0,1,el abuelo,del chico,Los chicos se reían con el abuelo del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo del chico que estaba,$ES_Adj_m,Los chicos se reían con el abuelo del chico que estaba MASKTOKEN con un traje nuevo.,0.3526348345223425,0.4563739108807532
13,Spanish,5,low,m,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_m,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,0.5193617888722075,0.22350570109132661
13,Spanish,5,high,m,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_m,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,0.059814708523331934,0.44246725393028896
13,Spanish,5,ambi,f,0,1,la abuela,de la chica,Los chicos se reían con la abuela de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela de la chica que estaba,$ES_Adj_f,Los chicos se reían con la abuela de la chica que estaba MASKTOKEN con un traje nuevo.,0.6528821025437275,0.2034971071031464
13,Spanish,5,low,f,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_f,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,0.5643060729093541,0.030205719956948318
13,Spanish,5,high,f,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_f,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,0.021507993093663986,0.18518886969633996
13,Spanish,5,ambi,m,0,0,al secretario,del gerente,El cartero se acercó al secretario del gerente que estaba MASKTOKEN.,El cartero se acercó al secretario del gerente que estaba,$ES_Adj_m,El cartero se acercó al secretario del gerente que estaba MASKTOKEN.,0.2828886506995223,0.009528265050363416
13,Spanish,5,low,m,0,0,a la secretaria,del gerente,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria del gerente que estaba,$ES_Adj_m,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,0.019837725127623648,0.010786791205113389
13,Spanish,5,high,m,0,0,al secretario,de la gerente,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,El cartero se acercó al secretario de la gerente que estaba,$ES_Adj_m,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,0.2383181478627845,0.013640500726438631
13,Spanish,5,ambi,f,0,0,a la secretaria,de la gerente,El cartero se acercó a la secretaria de la gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria de la gerente que estaba,$ES_Adj_f,El cartero se acercó a la secretaria de la gerente que estaba MASKTOKEN.,0.23736167042962464,0.0026403603065991987
13,Spanish,5,low,f,0,0,al secretario,de la gerente,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,El cartero se acercó al secretario de la gerente que estaba,$ES_Adj_f,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,0.06097556020579109,0.0036338992077595833
13,Spanish,5,high,f,0,0,a la secretaria,del gerente,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria del gerente que estaba,$ES_Adj_f,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,0.2554765194490436,0.002814667627589529
15,Spanish,5,ambi,m,0,0,del nieto,del campesino,El turista hizo un dibujo del nieto del campesino que estaba MASKTOKEN.,El turista hizo un dibujo del nieto del campesino que estaba,$ES_Adj_m,El turista hizo un dibujo del nieto del campesino que estaba MASKTOKEN.,0.16044074460056224,0.017492963423123342
15,Spanish,5,low,m,0,0,de la nieta,del campesino,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta del campesino que estaba,$ES_Adj_m,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,0.13287464959341266,0.013416943514954482
15,Spanish,5,high,m,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_m,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,0.022911635012462385,0.019801973912336734
15,Spanish,5,ambi,f,0,0,de la nieta,de la campesina,El turista hizo un dibujo de la nieta de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta de la campesina que estaba,$ES_Adj_f,El turista hizo un dibujo de la nieta de la campesina que estaba MASKTOKEN.,0.11034087268727363,0.007860214650055042
15,Spanish,5,low,f,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_f,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,0.12424544850732533,0.0039387718128942595
15,Spanish,5,high,f,0,0,de la nieta,del campesino,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta del campesino que estaba,$ES_Adj_f,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,0.005766382510178261,0.0046744230551034605
