item,lang,exp,AttachType,gender,N1_changed,N2_changed,N1,N2,mask_sents,auto_sents,target,sent,model,prob
4,Spanish,5,high,f,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_f,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0266542484159
5,Spanish,5,low,m,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_m,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0526907234998379
5,Spanish,5,high,m,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_m,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0693620743533112
5,Spanish,5,low,f,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_f,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0577560004379786
5,Spanish,5,high,f,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_f,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0897392479672758
6,Spanish,5,low,m,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_m,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0298807406057654
6,Spanish,5,high,m,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_m,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0220809368198932
6,Spanish,5,low,f,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_f,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0193912279849029
6,Spanish,5,high,f,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_f,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0177891454471371
7,Spanish,5,low,m,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0444410603695857
7,Spanish,5,high,m,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_m,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0503793597662802
7,Spanish,5,low,f,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.016130652160589
7,Spanish,5,high,f,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_f,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0165459834297747
8,Spanish,5,low,m,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_m,María salió al cine con la hija del obrero que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.061467270876194
8,Spanish,5,high,m,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_m,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0614216147451478
8,Spanish,5,low,f,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_f,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0581682650652195
8,Spanish,5,high,f,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_f,María salió al cine con la hija del obrero que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0706984966805657
9,Spanish,5,low,m,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_m,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0463494252409104
9,Spanish,5,high,m,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_m,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0377895375468655
9,Spanish,5,low,f,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_f,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0838367709323248
9,Spanish,5,high,f,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_f,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0640270362405706
10,Spanish,5,low,m,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_m,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.075291426999169
10,Spanish,5,high,m,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_m,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1034371598160607
10,Spanish,5,low,f,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_f,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.06973009142756
10,Spanish,5,high,f,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_f,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1466641250078875
11,Spanish,5,low,m,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_m,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0783841529251996
11,Spanish,5,high,m,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_m,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1490935435585548
11,Spanish,5,low,f,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_f,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.031853498481047
11,Spanish,5,high,f,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_f,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0857094270852056
12,Spanish,5,low,m,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_m,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0626841784304081
12,Spanish,5,high,m,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_m,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2410270390827067
12,Spanish,5,low,f,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_f,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0361360062489657
12,Spanish,5,high,f,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_f,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2484171341151331
13,Spanish,5,low,m,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_m,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0467961801457073
13,Spanish,5,high,m,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_m,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0372925612922157
13,Spanish,5,low,f,0,1,el abuelo,de la chica,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo de la chica que estaba,$ES_Adj_f,Los chicos se reían con el abuelo de la chica que estaba MASKTOKEN con un traje nuevo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0598848696794893
13,Spanish,5,high,f,0,1,la abuela,del chico,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con la abuela del chico que estaba,$ES_Adj_f,Los chicos se reían con la abuela del chico que estaba MASKTOKEN con un traje nuevo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0620469380562838
13,Spanish,5,low,m,0,0,a la secretaria,del gerente,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria del gerente que estaba,$ES_Adj_m,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0503108861167655
13,Spanish,5,high,m,0,0,al secretario,de la gerente,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,El cartero se acercó al secretario de la gerente que estaba,$ES_Adj_m,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0963055136671258
13,Spanish,5,low,f,0,0,al secretario,de la gerente,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,El cartero se acercó al secretario de la gerente que estaba,$ES_Adj_f,El cartero se acercó al secretario de la gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0103974162402982
13,Spanish,5,high,f,0,0,a la secretaria,del gerente,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,El cartero se acercó a la secretaria del gerente que estaba,$ES_Adj_f,El cartero se acercó a la secretaria del gerente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0455511001906989
15,Spanish,5,low,m,0,0,de la nieta,del campesino,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta del campesino que estaba,$ES_Adj_m,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.087781015597264
15,Spanish,5,high,m,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_m,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1165038773453708
15,Spanish,5,low,f,0,0,del nieto,de la campesina,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,El turista hizo un dibujo del nieto de la campesina que estaba,$ES_Adj_f,El turista hizo un dibujo del nieto de la campesina que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0323531290155393
15,Spanish,5,high,f,0,0,de la nieta,del campesino,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,El turista hizo un dibujo de la nieta del campesino que estaba,$ES_Adj_f,El turista hizo un dibujo de la nieta del campesino que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0701549262748247
16,Spanish,5,low,m,0,0,la visitante,del paciente,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,La enfermera tropezó con la visitante del paciente que estaba,$ES_Adj_m,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0701728550563353
16,Spanish,5,high,m,0,0,el visitante,de la paciente,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,La enfermera tropezó con el visitante de la paciente que estaba,$ES_Adj_m,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.065099129748596
16,Spanish,5,low,f,0,0,el visitante,de la paciente,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,La enfermera tropezó con el visitante de la paciente que estaba,$ES_Adj_f,La enfermera tropezó con el visitante de la paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0860437136879032
16,Spanish,5,high,f,0,0,la visitante,del paciente,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,La enfermera tropezó con la visitante del paciente que estaba,$ES_Adj_f,La enfermera tropezó con la visitante del paciente que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0956327921134215
17,Spanish,5,low,m,0,1,a la hija,del inmigrante,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró a la hija del inmigrante que estaba,$ES_Adj_m,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0653408899003977
17,Spanish,5,high,m,0,1,al hijo,de la inmigrante,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró al hijo de la inmigrante que estaba,$ES_Adj_m,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0523041709005893
17,Spanish,5,low,f,0,1,al hijo,de la inmigrante,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró al hijo de la inmigrante que estaba,$ES_Adj_f,El alguacil encerró al hijo de la inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0319627800849532
17,Spanish,5,high,f,0,1,a la hija,del inmigrante,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,El alguacil encerró a la hija del inmigrante que estaba,$ES_Adj_f,El alguacil encerró a la hija del inmigrante que estaba MASKTOKEN pidiendo limosna.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0570021344996922
18,Spanish,5,low,m,0,1,a la hermana,del propietario,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,Los rumores acusaban a la hermana del propietario que estaba,$ES_Adj_m,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0571248266699897
18,Spanish,5,high,m,0,1,al hermano,de la propietaria,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,Los rumores acusaban al hermano de la propietaria que estaba,$ES_Adj_m,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0857628578483207
18,Spanish,5,low,f,0,1,al hermano,de la propietaria,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,Los rumores acusaban al hermano de la propietaria que estaba,$ES_Adj_f,Los rumores acusaban al hermano de la propietaria que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0254143384554612
18,Spanish,5,high,f,0,1,a la hermana,del propietario,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,Los rumores acusaban a la hermana del propietario que estaba,$ES_Adj_f,Los rumores acusaban a la hermana del propietario que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0976932002861237
19,Spanish,5,low,m,0,0,a la amiga,del estudiante,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,El detective hizo una foto a la amiga del estudiante que estaba,$ES_Adj_m,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.045007759208572
19,Spanish,5,high,m,0,0,al amigo,de la estudiante,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,El detective hizo una foto al amigo de la estudiante que estaba,$ES_Adj_m,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0800954042934924
19,Spanish,5,low,f,0,0,al amigo,de la estudiante,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,El detective hizo una foto al amigo de la estudiante que estaba,$ES_Adj_f,El detective hizo una foto al amigo de la estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0368584887556935
19,Spanish,5,high,f,0,0,a la amiga,del estudiante,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,El detective hizo una foto a la amiga del estudiante que estaba,$ES_Adj_f,El detective hizo una foto a la amiga del estudiante que estaba MASKTOKEN.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0779262961242129
20,Spanish,5,low,m,0,0,a la hermana,del ministro,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,María saludó a la hermana del ministro que estaba,$ES_Adj_m,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0777417545568667
20,Spanish,5,high,m,0,0,al hermano,de la ministra,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,María saludó al hermano de la ministra que estaba,$ES_Adj_m,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0885281313099111
20,Spanish,5,low,f,0,0,al hermano,de la ministra,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,María saludó al hermano de la ministra que estaba,$ES_Adj_f,María saludó al hermano de la ministra que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0411766844160856
20,Spanish,5,high,f,0,0,a la hermana,del ministro,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,María saludó a la hermana del ministro que estaba,$ES_Adj_f,María saludó a la hermana del ministro que estaba MASKTOKEN de volver a su pueblo.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0663728017995053
