item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_4.pt_prob
3a,Spanish,Fernandez,high,sg,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_SG,El gerente observaba al asistente de los trabajadores que,0.061561493388527566,0.047715168000772135,0.048779978197888596,0.046485284213810374,0.08647722885160114
3a,Spanish,Fernandez,ambi,pl,1,1,a los asistentes,de los trabajadores,asistentes,trabajadores,El gerente observaba a los asistentes de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba a los asistentes de los trabajadores que,$ES_PL,El gerente observaba a los asistentes de los trabajadores que,0.245652283465283,0.036434575746219666,0.04039732234348026,0.2713121594988479,0.27213465645951374
3a,Spanish,Fernandez,low,pl,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_PL,El gerente observaba al asistente de los trabajadores que,0.15396707438218016,0.028813686504658875,0.03009526424801312,0.23415574639797399,0.19141348953820625
3a,Spanish,Fernandez,high,pl,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_PL,El gerente observaba a los asistentes del trabajador que,0.15552521249406936,0.01807114339556104,0.019145612855890448,0.16712052335361705,0.18965265911668894
4a,Spanish,Fernandez,ambi,sg,1,0,al asistente,del abogado,asistente,abogado,Julia había hablado con al asistente del abogado que MASKTOKEN de vacación.,Julia había hablado con al asistente del abogado que,$ES_SG,Julia había hablado con al asistente del abogado que,0.23083499629978022,0.053810125561549516,0.07922573129651511,0.1706991358770651,0.16884365313788674
4a,Spanish,Fernandez,low,sg,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_SG,Julia había hablado con a los asistentes del abogado que,0.13906248475946725,0.043407656828652774,0.06158939884011905,0.07979195328951505,0.11425243185903877
4a,Spanish,Fernandez,high,sg,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_SG,Julia había hablado con al asistente de los abogados que,0.06647987295065771,0.03641827350804938,0.03642415613434424,0.05837996402703993,0.028394176125186243
4a,Spanish,Fernandez,ambi,pl,1,0,a los asistentes,de los abogados,asistentes,abogados,Julia había hablado con a los asistentes de los abogados que MASKTOKEN de vacación.,Julia había hablado con a los asistentes de los abogados que,$ES_PL,Julia había hablado con a los asistentes de los abogados que,0.18031731153687858,0.004634989717442417,0.004990724561923607,0.18320887118012052,0.17519444429257192
4a,Spanish,Fernandez,low,pl,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_PL,Julia había hablado con al asistente de los abogados que,0.11299567779533781,0.007438998226637017,0.005487740835606936,0.14516586773623885,0.14521398395254081
4a,Spanish,Fernandez,high,pl,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_PL,Julia había hablado con a los asistentes del abogado que,0.028445061953568995,0.02069707926641895,0.017883396587531852,0.08093254297801877,0.05256654843012143
5a,Spanish,Fernandez,ambi,sg,0,0,al ayudante,del detective,ayudante,detective,Mi amigo conoció al ayudante del detective que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante del detective que,$ES_SG,Mi amigo conoció al ayudante del detective que,0.2424538921779984,0.0164732559213725,0.07720014483581819,0.29287190966184085,0.281645108821202
5a,Spanish,Fernandez,low,sg,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_SG,Mi amigo conoció a los ayudantes del detective que,0.06409073275709432,0.019777988485277787,0.03857396376859756,0.12469647008285278,0.11579709016122308
5a,Spanish,Fernandez,high,sg,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_SG,Mi amigo conoció al ayudante de los detectives que,0.15201119540835606,0.028471813960973646,0.04125663020439574,0.23407563921730912,0.23156029422763424
5a,Spanish,Fernandez,ambi,pl,0,0,a los ayudantes,de los detectives,ayudantes,detectives,Mi amigo conoció a los ayudantes de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes de los detectives que,$ES_PL,Mi amigo conoció a los ayudantes de los detectives que,0.2076332710790627,0.014567888892266567,0.0368227697893897,0.29471076279381236,0.20805919673767903
5a,Spanish,Fernandez,low,pl,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_PL,Mi amigo conoció al ayudante de los detectives que,0.02646156864052962,0.014584858162642655,0.014841482345994361,0.06662864781176836,0.016162306247746727
5a,Spanish,Fernandez,high,pl,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_PL,Mi amigo conoció a los ayudantes del detective que,0.16323963421831422,0.022859721308087833,0.03263006633646914,0.1652597187108995,0.15542919469746153
6a,Spanish,Fernandez,ambi,sg,1,0,al analista,del embajador,analista,embajador,Carlos conoció al analista del embajador que MASKTOKEN en la compañia.,Carlos conoció al analista del embajador que,$ES_SG,Carlos conoció al analista del embajador que,0.21972322792681354,0.04744209707898661,0.06040073409894342,0.21027238075735255,0.2660052671274049
6a,Spanish,Fernandez,low,sg,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_SG,Carlos conoció a los analistas del embajador que,0.07430287912258848,0.06926800538494338,0.057997641154880375,0.05136919856447619,0.07129288286881263
6a,Spanish,Fernandez,high,sg,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_SG,Carlos conoció al analista de los embajadores que,0.10064139041160702,0.09549114751571919,0.0912231385125799,0.1256886952935794,0.17370127850876949
6a,Spanish,Fernandez,ambi,pl,1,0,a los analistas,de los embajadores,analistas,embajadores,Carlos conoció a los analistas de los embajadores que MASKTOKEN en la compañia.,Carlos conoció a los analistas de los embajadores que,$ES_PL,Carlos conoció a los analistas de los embajadores que,0.20080160085777443,0.021640014520078132,0.016427108474247776,0.19623315266535002,0.1857492767972566
6a,Spanish,Fernandez,low,pl,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_PL,Carlos conoció al analista de los embajadores que,0.07184928891394016,0.01826465328746818,0.009106489970549803,0.09840461786745891,0.020527248270084897
6a,Spanish,Fernandez,high,pl,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_PL,Carlos conoció a los analistas del embajador que,0.14406248689446777,0.023787904251595493,0.007854703809085678,0.1399965485357768,0.14423214721764666
7a,Spanish,Fernandez,ambi,sg,1,1,el verso,de la poema,verso,poema,Rosa leyó el verso de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de la poema que,$ES_SG,Rosa leyó el verso de la poema que,0.3767737176240473,0.07088863305465354,0.06545920626120547,0.367231771383274,0.33837595504142826
7a,Spanish,Fernandez,low,sg,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_SG,Rosa leyó los versos de la poema que,0.2799536439221555,0.066109963289679,0.06261697368835717,0.19366116615231022,0.28177373583877596
7a,Spanish,Fernandez,high,sg,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_SG,Rosa leyó el verso de las poemas que,0.14646984217980474,0.03954586794497672,0.03639444645336898,0.14298759045833265,0.1278569893575323
7a,Spanish,Fernandez,ambi,pl,1,1,los versos,de las poemas,versos,poemas,Rosa leyó los versos de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de las poemas que,$ES_PL,Rosa leyó los versos de las poemas que,0.16023468829200738,0.031043411301832524,0.04309311081606859,0.21111081387346076,0.1355701570992096
7a,Spanish,Fernandez,low,pl,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_PL,Rosa leyó el verso de las poemas que,0.12675173079884416,0.020271467453939263,0.03799357603798281,0.1817275900295101,0.12056917724697769
7a,Spanish,Fernandez,high,pl,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_PL,Rosa leyó los versos de la poema que,0.08748451589701745,0.08488717809411406,0.052692592557336715,0.1329039494622748,0.03238015754526202
8a,Spanish,Fernandez,ambi,sg,0,1,el tubo,de la cocina,tubo,cocina,El plomero ajustó el tubo de la cocina que MASKTOKEN en la casa.,El plomero ajustó el tubo de la cocina que,$ES_SG,El plomero ajustó el tubo de la cocina que,0.313644370935382,0.07226761721661124,0.1663808516506946,0.2875013125802184,0.3205168528123181
8a,Spanish,Fernandez,low,sg,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_SG,El plomero ajustó los tubos de la cocina que,0.13382141158933436,0.061007867962743934,0.05172504003872458,0.10757084153453889,0.09136379025969177
8a,Spanish,Fernandez,high,sg,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_SG,El plomero ajustó el tubo de las cocinas que,0.08643693899445459,0.034663992482309336,0.010389808075196294,0.11918557557953591,0.14926749132061445
8a,Spanish,Fernandez,ambi,pl,0,1,los tubos,de las cocinas,tubos,cocinas,El plomero ajustó los tubos de las cocinas que MASKTOKEN en la casa.,El plomero ajustó los tubos de las cocinas que,$ES_PL,El plomero ajustó los tubos de las cocinas que,0.20604428979812894,0.02219745970445486,0.03137540834562336,0.21835172547687876,0.25230345865362835
8a,Spanish,Fernandez,low,pl,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_PL,El plomero ajustó el tubo de las cocinas que,0.12978378216561737,0.02312022636728317,0.020585589181597086,0.15685048691688053,0.12069422123014562
8a,Spanish,Fernandez,high,pl,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_PL,El plomero ajustó los tubos de la cocina que,0.14233583434648267,0.027307069938228734,0.01564402904201545,0.18638834727369158,0.2144801765111879
9a,Spanish,Fernandez,ambi,sg,0,1,el cable,del radio,cable,radio,María remplazó el cable del radio que MASKTOKEN en el coche.,María remplazó el cable del radio que,$ES_SG,María remplazó el cable del radio que,0.34150558290856736,0.02183772697803045,0.03508240922450506,0.34986680816518856,0.3765272115424523
9a,Spanish,Fernandez,low,sg,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_SG,María remplazó los cables del radio que,0.12147135068742898,0.02964949488874971,0.046826755666231845,0.10328686397889442,0.12833982341575734
9a,Spanish,Fernandez,high,sg,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_SG,María remplazó el cable de los radios que,0.0847926230830609,0.055222071254314886,0.05118027256550571,0.12835748832017657,0.15094986947042344
9a,Spanish,Fernandez,ambi,pl,0,1,los cables,de los radios,cables,radios,María remplazó los cables de los radios que MASKTOKEN en el coche.,María remplazó los cables de los radios que,$ES_PL,María remplazó los cables de los radios que,0.3192514132747828,0.010394182220395787,0.02373842418653252,0.3385496030989543,0.36170939129832647
9a,Spanish,Fernandez,low,pl,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_PL,María remplazó el cable de los radios que,0.2691472656939595,0.028231590867807244,0.03292951819050031,0.24460297115120966,0.23966423949667615
9a,Spanish,Fernandez,high,pl,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_PL,María remplazó los cables del radio que,0.2294480919848887,0.014551600562784442,0.03156645370040595,0.3017612505677505,0.24098366485362988
10a,Spanish,Fernandez,ambi,sg,1,1,el ritmo,del canto,ritmo,canto,A mi hermano le gustaba escuchar el ritmo del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo del canto que,$ES_SG,A mi hermano le gustaba escuchar el ritmo del canto que,0.20014712318282335,0.05124949978104776,0.04520321660862392,0.22895731604432967,0.21017421911693646
10a,Spanish,Fernandez,low,sg,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_SG,A mi hermano le gustaba escuchar los ritmos del canto que,0.13841860044698961,0.03689670541225809,0.03562086242179774,0.15454468408316302,0.16149667015423574
10a,Spanish,Fernandez,high,sg,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_SG,A mi hermano le gustaba escuchar el ritmo de los cantos que,0.09099925028969835,0.06342309298943016,0.05071011054461727,0.10110443193087804,0.12675055129982127
10a,Spanish,Fernandez,ambi,pl,1,1,los ritmos,de los cantos,ritmos,cantos,A mi hermano le gustaba escuchar los ritmos de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos de los cantos que,$ES_PL,A mi hermano le gustaba escuchar los ritmos de los cantos que,0.11861983947667909,0.026893653914557336,0.020517676680651464,0.18875007683175227,0.13821302812687009
10a,Spanish,Fernandez,low,pl,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_PL,A mi hermano le gustaba escuchar el ritmo de los cantos que,0.09259911163414358,0.029642051240199918,0.02321846672279293,0.11125596098105461,0.09090493900600904
10a,Spanish,Fernandez,high,pl,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_PL,A mi hermano le gustaba escuchar los ritmos del canto que,0.06669458063844758,0.019005923039017103,0.0176454353246146,0.09738530668465728,0.05368884065094903
11a,Spanish,Fernandez,ambi,sg,1,1,el color,del plato,color,plato,El cocinero no pudo encontrar el color del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color del plato que,$ES_SG,El cocinero no pudo encontrar el color del plato que,0.17911374170898853,0.022862953562041387,0.022824627975210163,0.2068200024854434,0.22104035866016147
11a,Spanish,Fernandez,low,sg,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_SG,El cocinero no pudo encontrar los colores del plato que,0.12261471695526893,0.018136348823402954,0.031473301862009306,0.133082776600304,0.1508095345832885
11a,Spanish,Fernandez,high,sg,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_SG,El cocinero no pudo encontrar el color de los platos que,0.07366479034850215,0.05770224689019943,0.05240272978757188,0.09666639035819458,0.10707316167011527
11a,Spanish,Fernandez,ambi,pl,1,1,los colores,de los platos,colores,platos,El cocinero no pudo encontrar los colores de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores de los platos que,$ES_PL,El cocinero no pudo encontrar los colores de los platos que,0.12686332985481386,0.014774630657924476,0.05278253176552927,0.12490760356850217,0.09037242993828443
11a,Spanish,Fernandez,low,pl,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_PL,El cocinero no pudo encontrar el color de los platos que,0.10459551178442439,0.016454580288088133,0.06300981177750944,0.1056455483560228,0.08549519960381957
11a,Spanish,Fernandez,high,pl,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_PL,El cocinero no pudo encontrar los colores del plato que,0.07530495310842866,0.012905737106895326,0.02477169894066833,0.07606813533763557,0.06242563029079662
12a,Spanish,Fernandez,ambi,sg,0,1,la llave,de la caja,llave,caja,El ladrón se llevó la llave de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de la caja que,$ES_SG,El ladrón se llevó la llave de la caja que,0.26720129741477194,0.03726370008696689,0.02582191906103648,0.3149579012653305,0.27272006298107954
12a,Spanish,Fernandez,low,sg,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_SG,El ladrón se llevó las llaves de la caja que,0.19874572925207445,0.049570979165925566,0.03374231918775461,0.20830364335667184,0.19684968664352454
12a,Spanish,Fernandez,high,sg,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_SG,El ladrón se llevó la llave de las cajas que,0.08323520826822772,0.03470889875183536,0.04214279777711116,0.11594873966858898,0.12429812131339801
12a,Spanish,Fernandez,ambi,pl,0,1,las llaves,de las cajas,llaves,cajas,El ladrón se llevó las llaves de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de las cajas que,$ES_PL,El ladrón se llevó las llaves de las cajas que,0.21471790542651092,0.01151314944231685,0.03462134795915306,0.21066560483627939,0.1689684897097834
12a,Spanish,Fernandez,low,pl,0,1,la llave,de las cajas,llave,cajas,El ladrón se llevó la llave de las cajas que MASKTOKEN en al armario del pasillo.,El ladrón se llevó la llave de las cajas que,$ES_PL,El ladrón se llevó la llave de las cajas que,0.15859100959580985,0.014769915083228113,0.047039671745219946,0.18120827947407747,0.10664962617136098
12a,Spanish,Fernandez,high,pl,0,1,las llaves,de la caja,llaves,caja,El ladrón se llevó las llaves de la caja que MASKTOKEN en al armario del pasillo.,El ladrón se llevó las llaves de la caja que,$ES_PL,El ladrón se llevó las llaves de la caja que,0.07128368025244214,0.019259901241448274,0.015146015383443734,0.0901279623598441,0.06316976992928858
13a,Spanish,Fernandez,ambi,sg,0,1,a la hija,del prisionero,hija,prisionero,El periodista no pudo entrevistar a la hija del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija del prisionero que,$ES_SG,El periodista no pudo entrevistar a la hija del prisionero que,0.24480227140112376,0.12834804931981558,0.08515950828257875,0.2292906066220688,0.2072694063021734
13a,Spanish,Fernandez,low,sg,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_SG,El periodista no pudo entrevistar a las hijas del prisionero que,0.13772968883433823,0.1782049158496448,0.15883669831989314,0.1274046195903331,0.08956299055102912
13a,Spanish,Fernandez,high,sg,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_SG,El periodista no pudo entrevistar a la hija de los prisioneros que,0.06574163948847622,0.10765325327579889,0.1090391870061937,0.06581553204882873,0.07326367393583366
13a,Spanish,Fernandez,ambi,pl,0,1,a las hijas,de los prisioneros,hijas,prisioneros,El periodista no pudo entrevistar a las hijas de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas de los prisioneros que,$ES_PL,El periodista no pudo entrevistar a las hijas de los prisioneros que,0.26332421059967004,0.015648660080086918,0.021107807527256717,0.23592310584307086,0.227118939136858
13a,Spanish,Fernandez,low,pl,0,1,a la hija,de los prisioneros,hija,prisioneros,El periodista no pudo entrevistar a la hija de los prisioneros que MASKTOKEN en el avión.,El periodista no pudo entrevistar a la hija de los prisioneros que,$ES_PL,El periodista no pudo entrevistar a la hija de los prisioneros que,0.13910248311498918,0.022875589067918534,0.028737603243906507,0.193596961629666,0.15647744144297349
13a,Spanish,Fernandez,high,pl,0,1,a las hijas,del prisionero,hijas,prisionero,El periodista no pudo entrevistar a las hijas del prisionero que MASKTOKEN en el avión.,El periodista no pudo entrevistar a las hijas del prisionero que,$ES_PL,El periodista no pudo entrevistar a las hijas del prisionero que,0.09293042936909757,0.003168369270040324,0.004910363110141598,0.10433048399610811,0.13333111613454918
14a,Spanish,Fernandez,ambi,sg,0,0,al profesor,del estudiante,profesor,estudiante,Patricia vio al profesor del estudiante que MASKTOKEN en clase.,Patricia vio al profesor del estudiante que,$ES_SG,Patricia vio al profesor del estudiante que,0.23028730557050636,0.03826989654567148,0.2183425214425334,0.24293991770959167,0.24227146876392425
