item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/DeepESP/gpt2-spanish_prob,/data/mrm8488/spanish-gpt2_prob
3,Spanish,A1,substance,indef,0.1,low,pl,1,1,una camisa,de telas,camisa,telas,Ayer me regalaron una camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron una camisa de telas que,$ES_PL,Ayer me regalaron una camisa de telas que,0.02517861841837643,0.07765871441823435
3,Spanish,A1,substance,indef,0.1,high,pl,1,1,unas camisas,de tela,camisas,tela,Ayer me regalaron unas camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron unas camisas de tela que,$ES_PL,Ayer me regalaron unas camisas de tela que,0.18172010876396882,0.10686953582304426
4,Spanish,A1,substance,def,0.0,ambi,sg,0,1,la manta,de tela,manta,tela,Al final Tomás compró la manta de tela que MASKTOKEN muy cara.,Al final Tomás compró la manta de tela que,$ES_SG,Al final Tomás compró la manta de tela que,0.12238436297138122,0.2559886608561044
4,Spanish,A1,substance,def,0.0,low,sg,0,1,las mantas,de tela,mantas,tela,Al final Tomás compró las mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró las mantas de tela que,$ES_SG,Al final Tomás compró las mantas de tela que,0.0681990954157552,0.08693273412620339
4,Spanish,A1,substance,def,0.0,high,sg,0,1,la manta,de telas,manta,telas,Al final Tomás compró la manta de telas que MASKTOKEN muy cara.,Al final Tomás compró la manta de telas que,$ES_SG,Al final Tomás compró la manta de telas que,0.12152660689331896,0.17277574069797197
4,Spanish,A1,substance,def,0.0,ambi,pl,0,1,las mantas,de telas,mantas,telas,Al final Tomás compró las mantas de telas que MASKTOKEN muy cara.,Al final Tomás compró las mantas de telas que,$ES_PL,Al final Tomás compró las mantas de telas que,0.08869119414382709,0.11191745720563695
4,Spanish,A1,substance,def,0.0,low,pl,0,1,la manta,de telas,manta,telas,Al final Tomás compró la manta de telas que MASKTOKEN muy cara.,Al final Tomás compró la manta de telas que,$ES_PL,Al final Tomás compró la manta de telas que,0.0076156135634353195,0.04207628235995742
4,Spanish,A1,substance,def,0.0,high,pl,0,1,las mantas,de tela,mantas,tela,Al final Tomás compró las mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró las mantas de tela que,$ES_PL,Al final Tomás compró las mantas de tela que,0.08294147768379467,0.144223648156645
4,Spanish,A1,substance,indef,0.0,ambi,sg,0,1,una manta,de tela,manta,tela,Al final Tomás compró una manta de tela que MASKTOKEN muy cara.,Al final Tomás compró una manta de tela que,$ES_SG,Al final Tomás compró una manta de tela que,0.14694941231744885,0.19558462706154955
4,Spanish,A1,substance,indef,0.0,low,sg,0,1,unas mantas,de tela,mantas,tela,Al final Tomás compró unas mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró unas mantas de tela que,$ES_SG,Al final Tomás compró unas mantas de tela que,0.04848385803472599,0.06967020714036387
4,Spanish,A1,substance,indef,0.0,high,sg,0,1,una manta,de telas,manta,telas,Al final Tomás compró una manta de telas que MASKTOKEN muy cara.,Al final Tomás compró una manta de telas que,$ES_SG,Al final Tomás compró una manta de telas que,0.14481479774186212,0.1368343310107747
4,Spanish,A1,substance,indef,0.0,ambi,pl,0,1,unas mantas,de telas,mantas,telas,Al final Tomás compró unas mantas de telas que MASKTOKEN muy cara.,Al final Tomás compró unas mantas de telas que,$ES_PL,Al final Tomás compró unas mantas de telas que,0.1344027661104814,0.13323012684092816
4,Spanish,A1,substance,indef,0.0,low,pl,0,1,una manta,de telas,manta,telas,Al final Tomás compró una manta de telas que MASKTOKEN muy cara.,Al final Tomás compró una manta de telas que,$ES_PL,Al final Tomás compró una manta de telas que,0.008358892552913,0.036123532912260004
4,Spanish,A1,substance,indef,0.0,high,pl,0,1,unas mantas,de tela,mantas,tela,Al final Tomás compró unas mantas de tela que MASKTOKEN muy cara.,Al final Tomás compró unas mantas de tela que,$ES_PL,Al final Tomás compró unas mantas de tela que,0.12477458260802265,0.13036951680799902
5,Spanish,A1,substance,def,0.02,ambi,sg,1,0,la bolsa,de piel,bolsa,piel,María hizo la bolsa de piel que MASKTOKEN mucho.,María hizo la bolsa de piel que,$ES_SG,María hizo la bolsa de piel que,0.20498690409444187,0.24845565651719426
5,Spanish,A1,substance,def,0.02,low,sg,1,0,las bolsas,de piel,bolsas,piel,María hizo las bolsas de piel que MASKTOKEN mucho.,María hizo las bolsas de piel que,$ES_SG,María hizo las bolsas de piel que,0.11380479854970638,0.12849994434943568
5,Spanish,A1,substance,def,0.02,high,sg,1,0,la bolsa,de pieles,bolsa,pieles,María hizo la bolsa de pieles que MASKTOKEN mucho.,María hizo la bolsa de pieles que,$ES_SG,María hizo la bolsa de pieles que,0.19803300915542188,0.20086513725055966
5,Spanish,A1,substance,def,0.02,ambi,pl,1,0,las bolsas,de pieles,bolsas,pieles,María hizo las bolsas de pieles que MASKTOKEN mucho.,María hizo las bolsas de pieles que,$ES_PL,María hizo las bolsas de pieles que,0.07774054532513297,0.14275908752500754
5,Spanish,A1,substance,def,0.02,low,pl,1,0,la bolsa,de pieles,bolsa,pieles,María hizo la bolsa de pieles que MASKTOKEN mucho.,María hizo la bolsa de pieles que,$ES_PL,María hizo la bolsa de pieles que,0.005688901384103051,0.02754397792583596
5,Spanish,A1,substance,def,0.02,high,pl,1,0,las bolsas,de piel,bolsas,piel,María hizo las bolsas de piel que MASKTOKEN mucho.,María hizo las bolsas de piel que,$ES_PL,María hizo las bolsas de piel que,0.08088048993733477,0.12644256945168308
5,Spanish,A1,substance,indef,0.02,ambi,sg,1,0,una bolsa,de piel,bolsa,piel,María hizo una bolsa de piel que MASKTOKEN mucho.,María hizo una bolsa de piel que,$ES_SG,María hizo una bolsa de piel que,0.15454582975177633,0.23359401252353962
5,Spanish,A1,substance,indef,0.02,low,sg,1,0,unas bolsas,de piel,bolsas,piel,María hizo unas bolsas de piel que MASKTOKEN mucho.,María hizo unas bolsas de piel que,$ES_SG,María hizo unas bolsas de piel que,0.054043538461277185,0.07787520244944801
5,Spanish,A1,substance,indef,0.02,high,sg,1,0,una bolsa,de pieles,bolsa,pieles,María hizo una bolsa de pieles que MASKTOKEN mucho.,María hizo una bolsa de pieles que,$ES_SG,María hizo una bolsa de pieles que,0.14549236814149324,0.2383759079350689
5,Spanish,A1,substance,indef,0.02,ambi,pl,1,0,unas bolsas,de pieles,bolsas,pieles,María hizo unas bolsas de pieles que MASKTOKEN mucho.,María hizo unas bolsas de pieles que,$ES_PL,María hizo unas bolsas de pieles que,0.11639647646799034,0.16208071750286024
5,Spanish,A1,substance,indef,0.02,low,pl,1,0,una bolsa,de pieles,bolsa,pieles,María hizo una bolsa de pieles que MASKTOKEN mucho.,María hizo una bolsa de pieles que,$ES_PL,María hizo una bolsa de pieles que,0.0036174885046312277,0.02414135450211763
5,Spanish,A1,substance,indef,0.02,high,pl,1,0,unas bolsas,de piel,bolsas,piel,María hizo unas bolsas de piel que MASKTOKEN mucho.,María hizo unas bolsas de piel que,$ES_PL,María hizo unas bolsas de piel que,0.1123113468135879,0.13216155554940912
6,Spanish,A1,substance,def,0.06,ambi,sg,0,1,la campana,de metal,campana,metal,Por fin colocaron la campana de metal que MASKTOKEN de la fundición.,Por fin colocaron la campana de metal que,$ES_SG,Por fin colocaron la campana de metal que,0.1288537322621579,0.19053032065156117
6,Spanish,A1,substance,def,0.06,low,sg,0,1,las campanas,de metal,campanas,metal,Por fin colocaron las campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron las campanas de metal que,$ES_SG,Por fin colocaron las campanas de metal que,0.012541858635843006,0.02395207685747991
6,Spanish,A1,substance,def,0.06,high,sg,0,1,la campana,de metales,campana,metales,Por fin colocaron la campana de metales que MASKTOKEN de la fundición.,Por fin colocaron la campana de metales que,$ES_SG,Por fin colocaron la campana de metales que,0.11707204134727078,0.16164851333988395
6,Spanish,A1,substance,def,0.06,ambi,pl,0,1,las campanas,de metales,campanas,metales,Por fin colocaron las campanas de metales que MASKTOKEN de la fundición.,Por fin colocaron las campanas de metales que,$ES_PL,Por fin colocaron las campanas de metales que,0.15296409199535077,0.19867822259180912
6,Spanish,A1,substance,def,0.06,low,pl,0,1,la campana,de metales,campana,metales,Por fin colocaron la campana de metales que MASKTOKEN de la fundición.,Por fin colocaron la campana de metales que,$ES_PL,Por fin colocaron la campana de metales que,0.05869055221790376,0.0593165558570945
6,Spanish,A1,substance,def,0.06,high,pl,0,1,las campanas,de metal,campanas,metal,Por fin colocaron las campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron las campanas de metal que,$ES_PL,Por fin colocaron las campanas de metal que,0.1379894655879994,0.180989946618638
6,Spanish,A1,substance,indef,0.06,ambi,sg,0,1,una campana,de metal,campana,metal,Por fin colocaron una campana de metal que MASKTOKEN de la fundición.,Por fin colocaron una campana de metal que,$ES_SG,Por fin colocaron una campana de metal que,0.13928327152605746,0.17754401689774113
6,Spanish,A1,substance,indef,0.06,low,sg,0,1,unas campanas,de metal,campanas,metal,Por fin colocaron unas campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron unas campanas de metal que,$ES_SG,Por fin colocaron unas campanas de metal que,0.010001381399605602,0.013637239894494613
6,Spanish,A1,substance,indef,0.06,high,sg,0,1,una campana,de metales,campana,metales,Por fin colocaron una campana de metales que MASKTOKEN de la fundición.,Por fin colocaron una campana de metales que,$ES_SG,Por fin colocaron una campana de metales que,0.12526555472323508,0.16882090069404398
6,Spanish,A1,substance,indef,0.06,ambi,pl,0,1,unas campanas,de metales,campanas,metales,Por fin colocaron unas campanas de metales que MASKTOKEN de la fundición.,Por fin colocaron unas campanas de metales que,$ES_PL,Por fin colocaron unas campanas de metales que,0.15563759280676948,0.20643793501966456
6,Spanish,A1,substance,indef,0.06,low,pl,0,1,una campana,de metales,campana,metales,Por fin colocaron una campana de metales que MASKTOKEN de la fundición.,Por fin colocaron una campana de metales que,$ES_PL,Por fin colocaron una campana de metales que,0.032619419856779075,0.03723583562751642
6,Spanish,A1,substance,indef,0.06,high,pl,0,1,unas campanas,de metal,campanas,metal,Por fin colocaron unas campanas de metal que MASKTOKEN de la fundición.,Por fin colocaron unas campanas de metal que,$ES_PL,Por fin colocaron unas campanas de metal que,0.14245399300933315,0.18277933038785932
7,Spanish,A1,substance,def,0.04,ambi,sg,0,1,el pastel,de grano,pastel,grano,Ayer nos comimos el pastel de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de grano que,$ES_SG,Ayer nos comimos el pastel de grano que,0.11263302209371062,0.08510813939396655
7,Spanish,A1,substance,def,0.04,low,sg,0,1,los pasteles,de grano,pasteles,grano,Ayer nos comimos los pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos los pasteles de grano que,$ES_SG,Ayer nos comimos los pasteles de grano que,0.05282865823442506,0.03884327468096682
7,Spanish,A1,substance,def,0.04,high,sg,0,1,el pastel,de granos,pastel,granos,Ayer nos comimos el pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de granos que,$ES_SG,Ayer nos comimos el pastel de granos que,0.10905502883321105,0.08827908377434568
7,Spanish,A1,substance,def,0.04,ambi,pl,0,1,los pasteles,de granos,pasteles,granos,Ayer nos comimos los pasteles de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos los pasteles de granos que,$ES_PL,Ayer nos comimos los pasteles de granos que,0.06287300007640795,0.08454742708421126
7,Spanish,A1,substance,def,0.04,low,pl,0,1,el pastel,de granos,pastel,granos,Ayer nos comimos el pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de granos que,$ES_PL,Ayer nos comimos el pastel de granos que,0.02556318202802288,0.015644884857924035
7,Spanish,A1,substance,def,0.04,high,pl,0,1,los pasteles,de grano,pasteles,grano,Ayer nos comimos los pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos los pasteles de grano que,$ES_PL,Ayer nos comimos los pasteles de grano que,0.057249200567433434,0.08046750753226584
7,Spanish,A1,substance,indef,0.04,ambi,sg,0,1,un pastel,de grano,pastel,grano,Ayer nos comimos un pastel de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos un pastel de grano que,$ES_SG,Ayer nos comimos un pastel de grano que,0.18243585510599303,0.19304189212849465
7,Spanish,A1,substance,indef,0.04,low,sg,0,1,unos pasteles,de grano,pasteles,grano,Ayer nos comimos unos pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos unos pasteles de grano que,$ES_SG,Ayer nos comimos unos pasteles de grano que,0.05736385888847195,0.05321564364197018
7,Spanish,A1,substance,indef,0.04,high,sg,0,1,un pastel,de granos,pastel,granos,Ayer nos comimos un pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos un pastel de granos que,$ES_SG,Ayer nos comimos un pastel de granos que,0.17467449958974157,0.20739104372311346
7,Spanish,A1,substance,indef,0.04,ambi,pl,0,1,unos pasteles,de granos,pasteles,granos,Ayer nos comimos unos pasteles de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos unos pasteles de granos que,$ES_PL,Ayer nos comimos unos pasteles de granos que,0.1030736409829558,0.1284475363307327
7,Spanish,A1,substance,indef,0.04,low,pl,0,1,un pastel,de granos,pastel,granos,Ayer nos comimos un pastel de granos que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos un pastel de granos que,$ES_PL,Ayer nos comimos un pastel de granos que,0.025435092090543066,0.01888893293762761
7,Spanish,A1,substance,indef,0.04,high,pl,0,1,unos pasteles,de grano,pasteles,grano,Ayer nos comimos unos pasteles de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos unos pasteles de grano que,$ES_PL,Ayer nos comimos unos pasteles de grano que,0.09214411552356694,0.126480554420775
8,Spanish,A1,substance,def,0.0,ambi,sg,1,1,el vestido,de fibra,vestido,fibra,La joven actriz admiraba el vestido de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba el vestido de fibra que,$ES_SG,La joven actriz admiraba el vestido de fibra que,0.24819510158633618,0.5364446372276552
8,Spanish,A1,substance,def,0.0,low,sg,1,1,los vestidos,de fibra,vestidos,fibra,La joven actriz admiraba los vestidos de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba los vestidos de fibra que,$ES_SG,La joven actriz admiraba los vestidos de fibra que,0.08978019580982766,0.3037241921879481
8,Spanish,A1,substance,def,0.0,high,sg,1,1,el vestido,de fibras,vestido,fibras,La joven actriz admiraba el vestido de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba el vestido de fibras que,$ES_SG,La joven actriz admiraba el vestido de fibras que,0.22143291789001296,0.4971216336357793
8,Spanish,A1,substance,def,0.0,ambi,pl,1,1,los vestidos,de fibras,vestidos,fibras,La joven actriz admiraba los vestidos de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba los vestidos de fibras que,$ES_PL,La joven actriz admiraba los vestidos de fibras que,0.06082534840728959,0.05174893087175114
8,Spanish,A1,substance,def,0.0,low,pl,1,1,el vestido,de fibras,vestido,fibras,La joven actriz admiraba el vestido de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba el vestido de fibras que,$ES_PL,La joven actriz admiraba el vestido de fibras que,0.003579814707116158,0.00846661904586593
8,Spanish,A1,substance,def,0.0,high,pl,1,1,los vestidos,de fibra,vestidos,fibra,La joven actriz admiraba los vestidos de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba los vestidos de fibra que,$ES_PL,La joven actriz admiraba los vestidos de fibra que,0.05793466209700959,0.05305815666927405
8,Spanish,A1,substance,indef,0.0,ambi,sg,1,1,un vestido,de fibra,vestido,fibra,La joven actriz admiraba un vestido de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba un vestido de fibra que,$ES_SG,La joven actriz admiraba un vestido de fibra que,0.1645254415674433,0.24710547846941466
8,Spanish,A1,substance,indef,0.0,low,sg,1,1,unos vestidos,de fibra,vestidos,fibra,La joven actriz admiraba unos vestidos de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba unos vestidos de fibra que,$ES_SG,La joven actriz admiraba unos vestidos de fibra que,0.027146454256584907,0.1443960540347553
8,Spanish,A1,substance,indef,0.0,high,sg,1,1,un vestido,de fibras,vestido,fibras,La joven actriz admiraba un vestido de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba un vestido de fibras que,$ES_SG,La joven actriz admiraba un vestido de fibras que,0.15586233829999863,0.23392166019862515
8,Spanish,A1,substance,indef,0.0,ambi,pl,1,1,unos vestidos,de fibras,vestidos,fibras,La joven actriz admiraba unos vestidos de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba unos vestidos de fibras que,$ES_PL,La joven actriz admiraba unos vestidos de fibras que,0.09715810033942418,0.054422406521227984
8,Spanish,A1,substance,indef,0.0,low,pl,1,1,un vestido,de fibras,vestido,fibras,La joven actriz admiraba un vestido de fibras que MASKTOKEN muy bonita.,La joven actriz admiraba un vestido de fibras que,$ES_PL,La joven actriz admiraba un vestido de fibras que,0.0022348080289738004,0.005091051176894235
8,Spanish,A1,substance,indef,0.0,high,pl,1,1,unos vestidos,de fibra,vestidos,fibra,La joven actriz admiraba unos vestidos de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba unos vestidos de fibra que,$ES_PL,La joven actriz admiraba unos vestidos de fibra que,0.0935819306584662,0.05333805735775066
1,Spanish,A2,quantity,noAdj,0.03,ambi,sg,0,1,el vaso,de jugo,vaso,jugo,Juan pidió el vaso de jugo que MASKTOKEN encima de la mesa.,Juan pidió el vaso de jugo que,$ES_SG,Juan pidió el vaso de jugo que,0.0943919412981078,0.20932761741545391
1,Spanish,A2,quantity,noAdj,0.03,low,sg,0,1,los vasos,de jugo,vasos,jugo,Juan pidió los vasos de jugo que MASKTOKEN encima de la mesa.,Juan pidió los vasos de jugo que,$ES_SG,Juan pidió los vasos de jugo que,0.0509742718309556,0.08892718269218847
