item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,/data/gpt2-xl_surp,/data/transfo-xl-wt103_surp
3,1,Mismatch_Match_Match,Mismatch,Match,Match,nurse,lord,uncle,f,m,m,the nurse told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the uncle would teach,him,the nurse told the lord that the uncle would teach,1.5090934038162231,2.8346071243286133
3,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,nurse,lord,aunt,f,m,m,the nurse told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the aunt would teach,him,the nurse told the lord that the aunt would teach,1.9979914426803589,3.1773457527160645
3,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,nurse,lady,uncle,f,f,f,the nurse told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the uncle would teach,him,the nurse told the lady that the uncle would teach,3.869051218032837,5.225717544555664
3,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,nurse,lady,aunt,f,f,f,the nurse told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the aunt would teach,him,the nurse told the lady that the aunt would teach,5.167810440063477,5.602652072906494
4,1,Match_Match_Match,Match,Match,Match,actor,god,father,m,m,m,the actor told the god that the father would buy MASKTOKEN the tickets to the performance.,the actor told the god that the father would buy,him,the actor told the god that the father would buy,2.1196534633636475,7.5843892097473145
4,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,god,mother,m,m,m,the actor told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the god that the mother would buy,him,the actor told the god that the mother would buy,2.2528159618377686,7.952124118804932
4,1,Match_Mismatch_Match,Match,Mismatch,Match,actor,goddess,father,m,f,f,the actor told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the father would buy,him,the actor told the goddess that the father would buy,3.716360330581665,7.864997863769531
4,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,actor,goddess,mother,m,f,f,the actor told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the mother would buy,him,the actor told the goddess that the mother would buy,2.3916513919830322,8.114798545837402
4,1,Mismatch_Match_Match,Mismatch,Match,Match,actress,god,father,f,m,m,the actress told the god that the father would buy MASKTOKEN the tickets to the performance.,the actress told the god that the father would buy,him,the actress told the god that the father would buy,4.409084796905518,7.548780918121338
4,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,actress,god,mother,f,m,m,the actress told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the god that the mother would buy,him,the actress told the god that the mother would buy,3.7935423851013184,7.456885814666748
4,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,actress,goddess,father,f,f,f,the actress told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the father would buy,him,the actress told the goddess that the father would buy,6.465762138366699,7.939591884613037
4,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,actress,goddess,mother,f,f,f,the actress told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the mother would buy,him,the actress told the goddess that the mother would buy,5.501882553100586,7.407596111297607
5,1,Match_Match_Match,Match,Match,Match,prince,hero,groom,m,m,m,the prince told the hero that the groom might introduce MASKTOKEN to the French count.,the prince told the hero that the groom might introduce,him,the prince told the hero that the groom might introduce,1.1663786172866821,4.106320858001709
5,1,Match_Match_Mismatch,Match,Match,Mismatch,prince,hero,bride,m,m,m,the prince told the hero that the bride might introduce MASKTOKEN to the French count.,the prince told the hero that the bride might introduce,him,the prince told the hero that the bride might introduce,1.1058248281478882,3.397744655609131
5,1,Match_Mismatch_Match,Match,Mismatch,Match,prince,heroine,groom,m,f,f,the prince told the heroine that the groom might introduce MASKTOKEN to the French count.,the prince told the heroine that the groom might introduce,him,the prince told the heroine that the groom might introduce,5.117949962615967,4.646191596984863
5,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,prince,heroine,bride,m,f,f,the prince told the heroine that the bride might introduce MASKTOKEN to the French count.,the prince told the heroine that the bride might introduce,him,the prince told the heroine that the bride might introduce,2.1499135494232178,3.7235145568847656
5,1,Mismatch_Match_Match,Mismatch,Match,Match,princess,hero,groom,f,m,m,the princess told the hero that the groom might introduce MASKTOKEN to the French count.,the princess told the hero that the groom might introduce,him,the princess told the hero that the groom might introduce,3.634370803833008,6.202844619750977
5,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,princess,hero,bride,f,m,m,the princess told the hero that the bride might introduce MASKTOKEN to the French count.,the princess told the hero that the bride might introduce,him,the princess told the hero that the bride might introduce,1.0944125652313232,4.844001770019531
5,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,princess,heroine,groom,f,f,f,the princess told the heroine that the groom might introduce MASKTOKEN to the French count.,the princess told the heroine that the groom might introduce,him,the princess told the heroine that the groom might introduce,6.204296112060547,6.565798282623291
5,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,princess,heroine,bride,f,f,f,the princess told the heroine that the bride might introduce MASKTOKEN to the French count.,the princess told the heroine that the bride might introduce,him,the princess told the heroine that the bride might introduce,5.123064041137695,5.0919342041015625
6,1,Match_Match_Match,Match,Match,Match,lord,master,priest,m,m,m,the lord told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the priest might introduce,him,the lord told the master that the priest might introduce,1.9659119844436646,3.479268789291382
6,1,Match_Match_Mismatch,Match,Match,Mismatch,lord,master,nun,m,m,m,the lord told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the nun might introduce,him,the lord told the master that the nun might introduce,1.9541456699371338,4.469833850860596
6,1,Match_Mismatch_Match,Match,Mismatch,Match,lord,mistress,priest,m,f,f,the lord told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the priest might introduce,him,the lord told the mistress that the priest might introduce,2.02817702293396,4.189413547515869
6,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,lord,mistress,nun,m,f,f,the lord told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the nun might introduce,him,the lord told the mistress that the nun might introduce,2.624480724334717,4.868968963623047
6,1,Mismatch_Match_Match,Mismatch,Match,Match,lady,master,priest,f,m,m,the lady told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the priest might introduce,him,the lady told the master that the priest might introduce,2.514559030532837,5.143000602722168
6,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,lady,master,nun,f,m,m,the lady told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the nun might introduce,him,the lady told the master that the nun might introduce,2.120094060897827,5.155734062194824
6,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,lady,mistress,priest,f,f,f,the lady told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the priest might introduce,him,the lady told the mistress that the priest might introduce,3.2196810245513916,5.5458598136901855
6,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,lady,mistress,nun,f,f,f,the lady told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the nun might introduce,him,the lady told the mistress that the nun might introduce,3.3692667484283447,5.158491134643555
7,1,Match_Match_Match,Match,Match,Match,king,policeman,driver,m,m,m,the king told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the driver would not forgive,him,the king told the policeman that the driver would not forgive,0.6693116426467896,1.8428568840026855
7,1,Match_Match_Mismatch,Match,Match,Mismatch,king,policeman,maid,m,m,m,the king told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the maid would not forgive,him,the king told the policeman that the maid would not forgive,0.6572404503822327,1.7338742017745972
7,1,Match_Mismatch_Match,Match,Mismatch,Match,king,police woman,driver,m,f,f,the king told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the driver would not forgive,him,the king told the police woman that the driver would not forgive,2.6174020767211914,2.349893569946289
7,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,king,police woman,maid,m,f,f,the king told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the maid would not forgive,him,the king told the police woman that the maid would not forgive,1.7314157485961914,2.3002591133117676
7,1,Mismatch_Match_Match,Mismatch,Match,Match,queen,policeman,driver,f,m,m,the queen told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the driver would not forgive,him,the queen told the policeman that the driver would not forgive,1.4744960069656372,2.913374423980713
7,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,queen,policeman,maid,f,m,m,the queen told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the maid would not forgive,him,the queen told the policeman that the maid would not forgive,1.0613281726837158,2.8376595973968506
7,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,queen,police woman,driver,f,f,f,the queen told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the driver would not forgive,him,the queen told the police woman that the driver would not forgive,2.8981573581695557,3.6866774559020996
7,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,queen,police woman,maid,f,f,f,the queen told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the maid would not forgive,him,the queen told the police woman that the maid would not forgive,3.255319595336914,3.3657901287078857
8,1,Match_Match_Match,Match,Match,Match,waiter,priest,professor,m,m,m,the waiter told the priest that the professor would take care of MASKTOKEN during the holidays.,the waiter told the priest that the professor would take care of,him,the waiter told the priest that the professor would take care of,3.563974380493164,6.112834453582764
8,1,Match_Match_Mismatch,Match,Match,Mismatch,waiter,priest,secretary,m,m,m,the waiter told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the priest that the secretary would take care of,him,the waiter told the priest that the secretary would take care of,3.256049871444702,6.029573917388916
8,1,Match_Mismatch_Match,Match,Mismatch,Match,waiter,nun,professor,m,f,f,the waiter told the nun that the professor would take care of MASKTOKEN during the holidays.,the waiter told the nun that the professor would take care of,him,the waiter told the nun that the professor would take care of,5.023809909820557,6.725278377532959
8,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,waiter,nun,secretary,m,f,f,the waiter told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the nun that the secretary would take care of,him,the waiter told the nun that the secretary would take care of,4.160450458526611,7.06033992767334
8,1,Mismatch_Match_Match,Mismatch,Match,Match,waitress,priest,professor,f,m,m,the waitress told the priest that the professor would take care of MASKTOKEN during the holidays.,the waitress told the priest that the professor would take care of,him,the waitress told the priest that the professor would take care of,4.180112361907959,7.118469715118408
8,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,waitress,priest,secretary,f,m,m,the waitress told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the priest that the secretary would take care of,him,the waitress told the priest that the secretary would take care of,3.3678526878356934,7.36960506439209
8,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,waitress,nun,professor,f,f,f,the waitress told the nun that the professor would take care of MASKTOKEN during the holidays.,the waitress told the nun that the professor would take care of,him,the waitress told the nun that the professor would take care of,5.493900299072266,7.844613075256348
8,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,waitress,nun,secretary,f,f,f,the waitress told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the nun that the secretary would take care of,him,the waitress told the nun that the secretary would take care of,4.473567485809326,8.181673049926758
9,1,Match_Match_Match,Match,Match,Match,actor,hunter,brother,m,m,m,the actor told the hunter that the brother would protect MASKTOKEN from getting hurt.,the actor told the hunter that the brother would protect,him,the actor told the hunter that the brother would protect,1.5308815240859985,2.915639638900757
9,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,hunter,sister,m,m,m,the actor told the hunter that the sister would protect MASKTOKEN from getting hurt.,the actor told the hunter that the sister would protect,him,the actor told the hunter that the sister would protect,1.154975414276123,4.781385898590088
9,1,Match_Mismatch_Match,Match,Mismatch,Match,actor,female hunter,brother,m,f,f,the actor told the female hunter that the brother would protect MASKTOKEN from getting hurt.,the actor told the female hunter that the brother would protect,him,the actor told the female hunter that the brother would protect,4.619980335235596,3.0948827266693115
9,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,actor,female hunter,sister,m,f,f,the actor told the female hunter that the sister would protect MASKTOKEN from getting hurt.,the actor told the female hunter that the sister would protect,him,the actor told the female hunter that the sister would protect,2.0341691970825195,5.460865497589111
9,1,Mismatch_Match_Match,Mismatch,Match,Match,actress,hunter,brother,f,m,m,the actress told the hunter that the brother would protect MASKTOKEN from getting hurt.,the actress told the hunter that the brother would protect,him,the actress told the hunter that the brother would protect,4.3539838790893555,4.225007057189941
9,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,actress,hunter,sister,f,m,m,the actress told the hunter that the sister would protect MASKTOKEN from getting hurt.,the actress told the hunter that the sister would protect,him,the actress told the hunter that the sister would protect,1.9165464639663696,6.6678147315979
9,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,actress,female hunter,brother,f,f,f,the actress told the female hunter that the brother would protect MASKTOKEN from getting hurt.,the actress told the female hunter that the brother would protect,him,the actress told the female hunter that the brother would protect,6.124883651733398,4.533158302307129
9,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,actress,female hunter,sister,f,f,f,the actress told the female hunter that the sister would protect MASKTOKEN from getting hurt.,the actress told the female hunter that the sister would protect,him,the actress told the female hunter that the sister would protect,4.061836242675781,6.721279144287109
10,1,Match_Match_Match,Match,Match,Match,nephew,emperor,son,m,m,m,the nephew told the emperor that the son would entertain MASKTOKEN after dinner tonight.,the nephew told the emperor that the son would entertain,him,the nephew told the emperor that the son would entertain,1.3686742782592773,5.588243007659912
10,1,Match_Match_Mismatch,Match,Match,Mismatch,nephew,emperor,daughter,m,m,m,the nephew told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,the nephew told the emperor that the daughter would entertain,him,the nephew told the emperor that the daughter would entertain,1.3031666278839111,5.223198890686035
10,1,Match_Mismatch_Match,Match,Mismatch,Match,nephew,queen,son,m,f,f,the nephew told the queen that the son would entertain MASKTOKEN after dinner tonight.,the nephew told the queen that the son would entertain,him,the nephew told the queen that the son would entertain,4.981265068054199,5.970571517944336
10,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,nephew,queen,daughter,m,f,f,the nephew told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,the nephew told the queen that the daughter would entertain,him,the nephew told the queen that the daughter would entertain,2.1059722900390625,6.299901962280273
10,1,Mismatch_Match_Match,Mismatch,Match,Match,niece,emperor,son,f,m,m,the niece told the emperor that the son would entertain MASKTOKEN after dinner tonight.,the niece told the emperor that the son would entertain,him,the niece told the emperor that the son would entertain,3.2132787704467773,5.813326358795166
10,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,niece,emperor,daughter,f,m,m,the niece told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,the niece told the emperor that the daughter would entertain,him,the niece told the emperor that the daughter would entertain,1.4891424179077148,5.647675037384033
10,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,niece,queen,son,f,f,f,the niece told the queen that the son would entertain MASKTOKEN after dinner tonight.,the niece told the queen that the son would entertain,him,the niece told the queen that the son would entertain,6.578085899353027,6.297718524932861
10,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,niece,queen,daughter,f,f,f,the niece told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,the niece told the queen that the daughter would entertain,him,the niece told the queen that the daughter would entertain,4.0990447998046875,6.697939395904541
11,1,Match_Match_Match,Match,Match,Match,uncle,lord,husband,m,m,m,the uncle told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,the uncle told the lord that the husband would remind,him,the uncle told the lord that the husband would remind,1.3958723545074463,1.5450133085250854
11,1,Match_Match_Mismatch,Match,Match,Mismatch,uncle,lord,wife,m,m,m,the uncle told the lord that the wife would remind MASKTOKEN of the job that needed to be done.,the uncle told the lord that the wife would remind,him,the uncle told the lord that the wife would remind,0.683517575263977,1.2958829402923584
11,1,Match_Mismatch_Match,Match,Mismatch,Match,uncle,lady,husband,m,f,f,the uncle told the lady that the husband would remind MASKTOKEN of the job that needed to be done.,the uncle told the lady that the husband would remind,him,the uncle told the lady that the husband would remind,3.0595760345458984,5.162446975708008
11,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,uncle,lady,wife,m,f,f,the uncle told the lady that the wife would remind MASKTOKEN of the job that needed to be done.,the uncle told the lady that the wife would remind,him,the uncle told the lady that the wife would remind,0.8619639873504639,3.559731960296631
11,1,Mismatch_Match_Match,Mismatch,Match,Match,aunt,lord,husband,f,m,m,the aunt told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,the aunt told the lord that the husband would remind,him,the aunt told the lord that the husband would remind,4.15471887588501,2.0578267574310303
11,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,aunt,lord,wife,f,m,m,the aunt told the lord that the wife would remind MASKTOKEN of the job that needed to be done.,the aunt told the lord that the wife would remind,him,the aunt told the lord that the wife would remind,1.5183484554290771,1.3456721305847168
11,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,aunt,lady,husband,f,f,f,the aunt told the lady that the husband would remind MASKTOKEN of the job that needed to be done.,the aunt told the lady that the husband would remind,him,the aunt told the lady that the husband would remind,5.22470235824585,6.613449573516846
11,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,aunt,lady,wife,f,f,f,the aunt told the lady that the wife would remind MASKTOKEN of the job that needed to be done.,the aunt told the lady that the wife would remind,him,the aunt told the lady that the wife would remind,2.4663188457489014,5.371096134185791
12,1,Match_Match_Match,Match,Match,Match,father,bachelor,businessman,m,m,m,the father warned the bachelor that the businessman would blame MASKTOKEN for the high cost of tests.,the father warned the bachelor that the businessman would blame,him,the father warned the bachelor that the businessman would blame,0.5403551459312439,4.37313985824585
12,1,Match_Match_Mismatch,Match,Match,Mismatch,father,bachelor,business woman,m,m,m,the father warned the bachelor that the business woman would blame MASKTOKEN for the high cost of tests.,the father warned the bachelor that the business woman would blame,him,the father warned the bachelor that the business woman would blame,0.24450233578681946,4.176059246063232
12,1,Match_Mismatch_Match,Match,Mismatch,Match,father,widow,businessman,m,f,f,the father warned the widow that the businessman would blame MASKTOKEN for the high cost of tests.,the father warned the widow that the businessman would blame,him,the father warned the widow that the businessman would blame,6.159544944763184,4.504433631896973
12,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,father,widow,business woman,m,f,f,the father warned the widow that the business woman would blame MASKTOKEN for the high cost of tests.,the father warned the widow that the business woman would blame,him,the father warned the widow that the business woman would blame,1.5487924814224243,5.280739784240723
12,1,Mismatch_Match_Match,Mismatch,Match,Match,mother,bachelor,businessman,f,m,m,the mother warned the bachelor that the businessman would blame MASKTOKEN for the high cost of tests.,the mother warned the bachelor that the businessman would blame,him,the mother warned the bachelor that the businessman would blame,1.549831748008728,4.440014839172363
12,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,mother,bachelor,business woman,f,m,m,the mother warned the bachelor that the business woman would blame MASKTOKEN for the high cost of tests.,the mother warned the bachelor that the business woman would blame,him,the mother warned the bachelor that the business woman would blame,0.2274511307477951,4.959081649780273
12,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,mother,widow,businessman,f,f,f,the mother warned the widow that the businessman would blame MASKTOKEN for the high cost of tests.,the mother warned the widow that the businessman would blame,him,the mother warned the widow that the businessman would blame,7.3020734786987305,5.302708148956299
12,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,mother,widow,business woman,f,f,f,the mother warned the widow that the business woman would blame MASKTOKEN for the high cost of tests.,the mother warned the widow that the business woman would blame,him,the mother warned the widow that the business woman would blame,3.697150945663452,6.149972438812256
13,1,Match_Match_Match,Match,Match,Match,groom,wizard,boyfriend,m,m,m,the groom convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,the groom convinced the wizard that the boyfriend should give,him,the groom convinced the wizard that the boyfriend should give,2.3776791095733643,4.508245944976807
13,1,Match_Match_Mismatch,Match,Match,Mismatch,groom,wizard,girlfriend,m,m,m,the groom convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,the groom convinced the wizard that the girlfriend should give,him,the groom convinced the wizard that the girlfriend should give,2.019634485244751,4.95391845703125
13,1,Match_Mismatch_Match,Match,Mismatch,Match,groom,witch,boyfriend,m,f,f,the groom convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,the groom convinced the witch that the boyfriend should give,him,the groom convinced the witch that the boyfriend should give,3.0138919353485107,4.917694091796875
13,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,groom,witch,girlfriend,m,f,f,the groom convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,the groom convinced the witch that the girlfriend should give,him,the groom convinced the witch that the girlfriend should give,1.9688869714736938,5.993939399719238
13,1,Mismatch_Match_Match,Mismatch,Match,Match,bride,wizard,boyfriend,f,m,m,the bride convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,the bride convinced the wizard that the boyfriend should give,him,the bride convinced the wizard that the boyfriend should give,4.696089744567871,5.11875581741333
13,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,bride,wizard,girlfriend,f,m,m,the bride convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,the bride convinced the wizard that the girlfriend should give,him,the bride convinced the wizard that the girlfriend should give,2.643303394317627,5.296977519989014
13,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,bride,witch,boyfriend,f,f,f,the bride convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,the bride convinced the witch that the boyfriend should give,him,the bride convinced the witch that the boyfriend should give,5.960284233093262,5.9805521965026855
13,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,bride,witch,girlfriend,f,f,f,the bride convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,the bride convinced the witch that the girlfriend should give,him,the bride convinced the witch that the girlfriend should give,3.756326913833618,6.414029598236084
