item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,model,surp
3,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.671647071838379
3,CATAMARAN-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.128917694091797
4,CATAMARAN-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.928064346313477
4,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After lifting her neighbor onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.191734313964844
4,CATAMARAN-GEN-Match,No Constraint,Match,his,"After lifting his neighbor onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.876034736633301
4,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.414509773254395
5,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.780992984771728
5,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.502117156982422
5,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before interrogating her informant about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.942175388336182
5,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before interrogating his informant about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating his informant about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating his informant about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating his informant about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.825611114501953
6,CATAMARAN-GEN-Match,No Constraint,Match,his,"After embarrassing his guests during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing his guests during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing his guests during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing his guests during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.661988258361816
6,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.06499195098877
6,CATAMARAN-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.648283958435059
6,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After embarrassing her guests during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her guests during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her guests during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her guests during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.076951026916504
7,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While helping her secretary shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her secretary shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her secretary shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her secretary shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.905982971191406
7,CATAMARAN-GEN-Match,No Constraint,Match,his,"While helping his secretary shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping his secretary shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping his secretary shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping his secretary shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.491127014160156
7,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.345982551574709
7,CATAMARAN-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.02493667602539
8,CATAMARAN-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.114964485168457
8,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While reading her grand kids a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her grand kids a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her grand kids a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her grand kids a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.371073722839355
8,CATAMARAN-GEN-Match,No Constraint,Match,his,"While reading his grand kids a bedtime story, William gently gestured to Luis to turn off the lights.","While reading his grand kids a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading his grand kids a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading his grand kids a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.156129837036133
8,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.516777038574219
9,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.112335205078125
9,CATAMARAN-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.58527660369873
9,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After cornering her intern next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her intern next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her intern next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her intern next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.708820819854736
9,CATAMARAN-GEN-Match,No Constraint,Match,his,"After cornering his intern next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering his intern next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering his intern next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering his intern next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.601396560668945
10,CATAMARAN-GEN-Match,No Constraint,Match,his,"After weighing his patient on the scale, Jonathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing his patient on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing his patient on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing his patient on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.355710983276367
10,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After weighing her on the scale, Jonathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.643632888793945
10,CATAMARAN-OBJ-Match,Constraint,Match,him,"After weighing him on the scale, Jonathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.157365798950195
10,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After weighing her patient on the scale, Jonathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her patient on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her patient on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her patient on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.301996231079102
11,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before spotting her instructor at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her instructor at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her instructor at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her instructor at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.261344909667969
11,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before spotting his instructor at yoga class, Zachary secretly followed Christian around town.","Before spotting his instructor at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting his instructor at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting his instructor at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.858818054199219
11,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before spotting her at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.139978408813477
11,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before spotting him at yoga class, Zachary secretly followed Christian around town.","Before spotting him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting him at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.766279220581055
12,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before visiting him on Sunday afternoons, Benjamin usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.994102478027344
12,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before visiting her family on Sunday afternoons, Benjamin usually called Mary up to confirm that they were still free.","Before visiting her family on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that they were still free.","Before visiting her family on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that they were still free.","Before visiting her family on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.471687316894531
12,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before visiting his family on Sunday afternoons, Benjamin usually called Jason up to confirm that they were still free.","Before visiting his family on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that they were still free.","Before visiting his family on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that they were still free.","Before visiting his family on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.15986442565918
12,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before visiting her on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.394579887390137
13,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After having him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,10.245827674865724
13,CATAMARAN-OBJ-Match,Constraint,Match,her,"After having her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.364471435546877
13,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After having his therapist in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having his therapist in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having his therapist in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having his therapist in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.715933799743652
13,CATAMARAN-GEN-Match,No Constraint,Match,her,"After having her therapist in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her therapist in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her therapist in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her therapist in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.946032524108887
14,CATAMARAN-GEN-Match,No Constraint,Match,her,"After buying her colleague a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her colleague a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her colleague a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her colleague a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,7.927948951721191
14,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After buying him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.09097671508789
14,CATAMARAN-OBJ-Match,Constraint,Match,her,"After buying her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.086054801940918
14,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After buying his colleague a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying his colleague a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying his colleague a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying his colleague a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.942748069763184
15,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"While writing his editor a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing his editor a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing his editor a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing his editor a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,10.804458618164062
15,CATAMARAN-GEN-Match,No Constraint,Match,her,"While writing her editor a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her editor a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her editor a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her editor a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.688748359680176
15,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"While writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,10.00490665435791
15,CATAMARAN-OBJ-Match,Constraint,Match,her,"While writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.290731430053713
16,CATAMARAN-OBJ-Match,Constraint,Match,her,"After pouring her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.004121780395508
16,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After pouring his mother some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring his mother some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring his mother some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring his mother some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,7.684164047241211
16,CATAMARAN-GEN-Match,No Constraint,Match,her,"After pouring her mother some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her mother some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her mother some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her mother some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,6.845334053039551
16,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After pouring him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.930705070495605
17,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After leaving him a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving him a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After leaving him a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After leaving him a voice message, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.475513458251951
17,CATAMARAN-OBJ-Match,Constraint,Match,her,"After leaving her a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her a voice message, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.035568237304688
17,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After leaving his partner a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving his partner a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After leaving his partner a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After leaving his partner a voice message, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.51527976989746
17,CATAMARAN-GEN-Match,No Constraint,Match,her,"After leaving her partner a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her partner a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her partner a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her partner a voice message, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.177058219909668
