item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,model,surp
3,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,nurse,lord,aunt,f,m,m,the nurse told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the aunt would teach,him,the nurse told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.204153060913086
3,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,nurse,lady,uncle,f,f,f,the nurse told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the uncle would teach,him,the nurse told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.177021741867065
3,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,nurse,lady,aunt,f,f,f,the nurse told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the aunt would teach,him,the nurse told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.343440294265747
4,1,Match_Match_Match,Match,Match,Match,actor,god,father,m,m,m,the actor told the god that the father would buy MASKTOKEN the tickets to the performance.,the actor told the god that the father would buy,him,the actor told the god that the father would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,4.817200183868408
4,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,god,mother,m,m,m,the actor told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the god that the mother would buy,him,the actor told the god that the mother would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,5.096353530883789
4,1,Match_Mismatch_Match,Match,Mismatch,Match,actor,goddess,father,m,f,f,the actor told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the father would buy,him,the actor told the goddess that the father would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,4.9101104736328125
4,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,actor,goddess,mother,m,f,f,the actor told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the mother would buy,him,the actor told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,5.162714004516602
4,1,Mismatch_Match_Match,Mismatch,Match,Match,actress,god,father,f,m,m,the actress told the god that the father would buy MASKTOKEN the tickets to the performance.,the actress told the god that the father would buy,him,the actress told the god that the father would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,5.294373035430908
4,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,actress,god,mother,f,m,m,the actress told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the god that the mother would buy,him,the actress told the god that the mother would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,5.489019870758057
4,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,actress,goddess,father,f,f,f,the actress told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the father would buy,him,the actress told the goddess that the father would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,5.245522499084473
4,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,actress,goddess,mother,f,f,f,the actress told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the mother would buy,him,the actress told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,wikitext-103_LSTM_400_1-d0.2.pt,5.394153118133545
5,1,Match_Match_Match,Match,Match,Match,prince,hero,groom,m,m,m,the prince told the hero that the groom might introduce MASKTOKEN to the French count.,the prince told the hero that the groom might introduce,him,the prince told the hero that the groom might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,5.05500078201294
5,1,Match_Match_Mismatch,Match,Match,Mismatch,prince,hero,bride,m,m,m,the prince told the hero that the bride might introduce MASKTOKEN to the French count.,the prince told the hero that the bride might introduce,him,the prince told the hero that the bride might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,4.898385047912598
5,1,Match_Mismatch_Match,Match,Mismatch,Match,prince,heroine,groom,m,f,f,the prince told the heroine that the groom might introduce MASKTOKEN to the French count.,the prince told the heroine that the groom might introduce,him,the prince told the heroine that the groom might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,5.120969772338867
5,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,prince,heroine,bride,m,f,f,the prince told the heroine that the bride might introduce MASKTOKEN to the French count.,the prince told the heroine that the bride might introduce,him,the prince told the heroine that the bride might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,4.850846290588379
5,1,Mismatch_Match_Match,Mismatch,Match,Match,princess,hero,groom,f,m,m,the princess told the hero that the groom might introduce MASKTOKEN to the French count.,the princess told the hero that the groom might introduce,him,the princess told the hero that the groom might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,5.1436262130737305
5,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,princess,hero,bride,f,m,m,the princess told the hero that the bride might introduce MASKTOKEN to the French count.,the princess told the hero that the bride might introduce,him,the princess told the hero that the bride might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,4.980177402496338
5,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,princess,heroine,groom,f,f,f,the princess told the heroine that the groom might introduce MASKTOKEN to the French count.,the princess told the heroine that the groom might introduce,him,the princess told the heroine that the groom might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,5.196617603302002
5,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,princess,heroine,bride,f,f,f,the princess told the heroine that the bride might introduce MASKTOKEN to the French count.,the princess told the heroine that the bride might introduce,him,the princess told the heroine that the bride might introduce MASKTOKEN to the French count.,wikitext-103_LSTM_400_1-d0.2.pt,4.951571941375732
6,1,Match_Match_Match,Match,Match,Match,lord,master,priest,m,m,m,the lord told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the priest might introduce,him,the lord told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,4.735476016998291
6,1,Match_Match_Mismatch,Match,Match,Mismatch,lord,master,nun,m,m,m,the lord told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the nun might introduce,him,the lord told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,4.996423244476318
6,1,Match_Mismatch_Match,Match,Mismatch,Match,lord,mistress,priest,m,f,f,the lord told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the priest might introduce,him,the lord told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,4.512814521789551
6,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,lord,mistress,nun,m,f,f,the lord told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the nun might introduce,him,the lord told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,4.81544828414917
6,1,Mismatch_Match_Match,Mismatch,Match,Match,lady,master,priest,f,m,m,the lady told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the priest might introduce,him,the lady told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,4.916532516479492
6,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,lady,master,nun,f,m,m,the lady told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the nun might introduce,him,the lady told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,5.199718475341797
6,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,lady,mistress,priest,f,f,f,the lady told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the priest might introduce,him,the lady told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,4.65601110458374
6,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,lady,mistress,nun,f,f,f,the lady told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the nun might introduce,him,the lady told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,wikitext-103_LSTM_400_1-d0.2.pt,4.92392635345459
7,1,Match_Match_Match,Match,Match,Match,king,policeman,driver,m,m,m,the king told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the driver would not forgive,him,the king told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,1.6835455894470217
7,1,Match_Match_Mismatch,Match,Match,Mismatch,king,policeman,maid,m,m,m,the king told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the maid would not forgive,him,the king told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,1.8891730308532717
7,1,Match_Mismatch_Match,Match,Mismatch,Match,king,police woman,driver,m,f,f,the king told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the driver would not forgive,him,the king told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,1.8011324405670166
7,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,king,police woman,maid,m,f,f,the king told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the maid would not forgive,him,the king told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,2.061026096343994
7,1,Mismatch_Match_Match,Mismatch,Match,Match,queen,policeman,driver,f,m,m,the queen told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the driver would not forgive,him,the queen told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,2.0649704933166504
7,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,queen,policeman,maid,f,m,m,the queen told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the maid would not forgive,him,the queen told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,2.209046602249145
7,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,queen,police woman,driver,f,f,f,the queen told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the driver would not forgive,him,the queen told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,2.1672379970550537
7,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,queen,police woman,maid,f,f,f,the queen told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the maid would not forgive,him,the queen told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,wikitext-103_LSTM_400_1-d0.2.pt,2.2010385990142822
8,1,Match_Match_Match,Match,Match,Match,waiter,priest,professor,m,m,m,the waiter told the priest that the professor would take care of MASKTOKEN during the holidays.,the waiter told the priest that the professor would take care of,him,the waiter told the priest that the professor would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,4.831059455871582
8,1,Match_Match_Mismatch,Match,Match,Mismatch,waiter,priest,secretary,m,m,m,the waiter told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the priest that the secretary would take care of,him,the waiter told the priest that the secretary would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,4.764350891113281
8,1,Match_Mismatch_Match,Match,Mismatch,Match,waiter,nun,professor,m,f,f,the waiter told the nun that the professor would take care of MASKTOKEN during the holidays.,the waiter told the nun that the professor would take care of,him,the waiter told the nun that the professor would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,4.877266883850098
8,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,waiter,nun,secretary,m,f,f,the waiter told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the nun that the secretary would take care of,him,the waiter told the nun that the secretary would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,4.833703517913818
8,1,Mismatch_Match_Match,Mismatch,Match,Match,waitress,priest,professor,f,m,m,the waitress told the priest that the professor would take care of MASKTOKEN during the holidays.,the waitress told the priest that the professor would take care of,him,the waitress told the priest that the professor would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,5.0690016746521
8,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,waitress,priest,secretary,f,m,m,the waitress told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the priest that the secretary would take care of,him,the waitress told the priest that the secretary would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,5.040870666503906
8,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,waitress,nun,professor,f,f,f,the waitress told the nun that the professor would take care of MASKTOKEN during the holidays.,the waitress told the nun that the professor would take care of,him,the waitress told the nun that the professor would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,5.040083408355713
8,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,waitress,nun,secretary,f,f,f,the waitress told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the nun that the secretary would take care of,him,the waitress told the nun that the secretary would take care of MASKTOKEN during the holidays.,wikitext-103_LSTM_400_1-d0.2.pt,5.031961917877197
9,1,Match_Match_Match,Match,Match,Match,actor,hunter,brother,m,m,m,the actor told the hunter that the brother would protect MASKTOKEN from getting hurt.,the actor told the hunter that the brother would protect,him,the actor told the hunter that the brother would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,3.419057130813598
9,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,hunter,sister,m,m,m,the actor told the hunter that the sister would protect MASKTOKEN from getting hurt.,the actor told the hunter that the sister would protect,him,the actor told the hunter that the sister would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,3.959943056106568
9,1,Match_Mismatch_Match,Match,Mismatch,Match,actor,female hunter,brother,m,f,f,the actor told the female hunter that the brother would protect MASKTOKEN from getting hurt.,the actor told the female hunter that the brother would protect,him,the actor told the female hunter that the brother would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,3.57094669342041
9,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,actor,female hunter,sister,m,f,f,the actor told the female hunter that the sister would protect MASKTOKEN from getting hurt.,the actor told the female hunter that the sister would protect,him,the actor told the female hunter that the sister would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,3.9789631366729736
9,1,Mismatch_Match_Match,Mismatch,Match,Match,actress,hunter,brother,f,m,m,the actress told the hunter that the brother would protect MASKTOKEN from getting hurt.,the actress told the hunter that the brother would protect,him,the actress told the hunter that the brother would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,4.005733489990234
9,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,actress,hunter,sister,f,m,m,the actress told the hunter that the sister would protect MASKTOKEN from getting hurt.,the actress told the hunter that the sister would protect,him,the actress told the hunter that the sister would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,4.587807655334473
9,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,actress,female hunter,brother,f,f,f,the actress told the female hunter that the brother would protect MASKTOKEN from getting hurt.,the actress told the female hunter that the brother would protect,him,the actress told the female hunter that the brother would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,4.084405899047852
9,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,actress,female hunter,sister,f,f,f,the actress told the female hunter that the sister would protect MASKTOKEN from getting hurt.,the actress told the female hunter that the sister would protect,him,the actress told the female hunter that the sister would protect MASKTOKEN from getting hurt.,wikitext-103_LSTM_400_1-d0.2.pt,4.529844284057617
10,1,Match_Match_Match,Match,Match,Match,nephew,emperor,son,m,m,m,the nephew told the emperor that the son would entertain MASKTOKEN after dinner tonight.,the nephew told the emperor that the son would entertain,him,the nephew told the emperor that the son would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,2.8395111560821533
10,1,Match_Match_Mismatch,Match,Match,Mismatch,nephew,emperor,daughter,m,m,m,the nephew told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,the nephew told the emperor that the daughter would entertain,him,the nephew told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,3.2018022537231445
10,1,Match_Mismatch_Match,Match,Mismatch,Match,nephew,queen,son,m,f,f,the nephew told the queen that the son would entertain MASKTOKEN after dinner tonight.,the nephew told the queen that the son would entertain,him,the nephew told the queen that the son would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,3.1171555519104004
10,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,nephew,queen,daughter,m,f,f,the nephew told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,the nephew told the queen that the daughter would entertain,him,the nephew told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,3.5252156257629395
10,1,Mismatch_Match_Match,Mismatch,Match,Match,niece,emperor,son,f,m,m,the niece told the emperor that the son would entertain MASKTOKEN after dinner tonight.,the niece told the emperor that the son would entertain,him,the niece told the emperor that the son would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,2.93947434425354
10,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,niece,emperor,daughter,f,m,m,the niece told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,the niece told the emperor that the daughter would entertain,him,the niece told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,3.3043735027313232
10,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,niece,queen,son,f,f,f,the niece told the queen that the son would entertain MASKTOKEN after dinner tonight.,the niece told the queen that the son would entertain,him,the niece told the queen that the son would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,3.2468481063842773
10,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,niece,queen,daughter,f,f,f,the niece told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,the niece told the queen that the daughter would entertain,him,the niece told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,wikitext-103_LSTM_400_1-d0.2.pt,3.573981046676636
11,1,Match_Match_Match,Match,Match,Match,uncle,lord,husband,m,m,m,the uncle told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,the uncle told the lord that the husband would remind,him,the uncle told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,wikitext-103_LSTM_400_1-d0.2.pt,1.9688186645507808
11,1,Match_Match_Mismatch,Match,Match,Mismatch,uncle,lord,wife,m,m,m,the uncle told the lord that the wife would remind MASKTOKEN of the job that needed to be done.,the uncle told the lord that the wife would remind,him,the uncle told the lord that the wife would remind MASKTOKEN of the job that needed to be done.,wikitext-103_LSTM_400_1-d0.2.pt,2.2690110206604004
11,1,Match_Mismatch_Match,Match,Mismatch,Match,uncle,lady,husband,m,f,f,the uncle told the lady that the husband would remind MASKTOKEN of the job that needed to be done.,the uncle told the lady that the husband would remind,him,the uncle told the lady that the husband would remind MASKTOKEN of the job that needed to be done.,wikitext-103_LSTM_400_1-d0.2.pt,2.238946914672852
11,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,uncle,lady,wife,m,f,f,the uncle told the lady that the wife would remind MASKTOKEN of the job that needed to be done.,the uncle told the lady that the wife would remind,him,the uncle told the lady that the wife would remind MASKTOKEN of the job that needed to be done.,wikitext-103_LSTM_400_1-d0.2.pt,2.5405287742614746
11,1,Mismatch_Match_Match,Mismatch,Match,Match,aunt,lord,husband,f,m,m,the aunt told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,the aunt told the lord that the husband would remind,him,the aunt told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,wikitext-103_LSTM_400_1-d0.2.pt,2.203629732131958
