item,exp,cond,contrast,matrix,embedded,pronoun,N1,N2,N1_gender,N2_gender,mask_sents,auto_sents,target,sent,/data/gpt2-xl_surp,/data/transfo-xl-wt103_surp
2,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,tailor,f,m,the woman worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the woman worried that the tailor would criticize,him,the woman worried that the tailor would criticize,6.459960460662842,3.742459297180176
2,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,designer,f,f,the woman worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the woman worried that the designer would criticize,him,the woman worried that the designer would criticize,7.346925258636475,5.085582733154297
2,1,Common Nouns,Match_Match,Match,Match,his,man,tailor,m,m,the man worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the man worried that the tailor would criticize,his,the man worried that the tailor would criticize,2.266169548034668,4.604361057281494
2,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,designer,m,f,the man worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the man worried that the designer would criticize,his,the man worried that the designer would criticize,2.079003095626831,4.368740558624268
2,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,tailor,f,m,the woman worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the woman worried that the tailor would criticize,his,the woman worried that the tailor would criticize,6.492546558380127,5.009758472442627
2,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,designer,f,f,the woman worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the woman worried that the designer would criticize,his,the woman worried that the designer would criticize,6.969516277313232,5.176104545593262
3,1,Common Nouns,Match_Match,Match,Match,him,man,producer,m,m,the man revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,the man revealed that the producer had doubted,him,the man revealed that the producer had doubted,3.0557940006256104,5.769753456115723
3,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,the man revealed that the dancer had doubted,him,the man revealed that the dancer had doubted,2.9250354766845703,7.570847988128662
3,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,producer,f,m,the woman revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,the woman revealed that the producer had doubted,him,the woman revealed that the producer had doubted,6.902635097503662,7.629444599151611
3,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,the woman revealed that the dancer had doubted,him,the woman revealed that the dancer had doubted,4.649129390716553,8.733205795288086
3,1,Common Nouns,Match_Match,Match,Match,his,man,producer,m,m,the man revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,the man revealed that the producer had doubted,his,the man revealed that the producer had doubted,2.221445322036743,3.37198805809021
3,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,the man revealed that the dancer had doubted,his,the man revealed that the dancer had doubted,2.2034952640533447,4.163686275482178
3,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,producer,f,m,the woman revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,the woman revealed that the producer had doubted,his,the woman revealed that the producer had doubted,5.039715766906738,4.770179748535156
3,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,the woman revealed that the dancer had doubted,his,the woman revealed that the dancer had doubted,4.013620376586914,4.7473978996276855
4,1,Common Nouns,Match_Match,Match,Match,him,man,monk,m,m,the man said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the man said that the monk had hidden,him,the man said that the monk had hidden,5.229830741882324,10.195223808288574
4,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,nun,m,f,the man said that the nun had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the man said that the nun had hidden,him,the man said that the nun had hidden,4.298460960388184,10.42125129699707
4,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,monk,f,m,the woman said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the woman said that the monk had hidden,him,the woman said that the monk had hidden,7.540543556213379,10.475088119506836
4,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,nun,f,f,the woman said that the nun had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the woman said that the nun had hidden,him,the woman said that the nun had hidden,6.046225547790527,10.834686279296875
4,1,Common Nouns,Match_Match,Match,Match,his,man,monk,m,m,the man said that the monk had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the man said that the monk had hidden,his,the man said that the monk had hidden,3.510192632675171,6.132599353790283
4,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,nun,m,f,the man said that the nun had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the man said that the nun had hidden,his,the man said that the nun had hidden,5.554612636566162,7.074404239654541
4,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,monk,f,m,the woman said that the monk had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the woman said that the monk had hidden,his,the woman said that the monk had hidden,3.019627332687378,6.081768035888672
4,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,nun,f,f,the woman said that the nun had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the woman said that the nun had hidden,his,the woman said that the nun had hidden,6.452341079711914,6.882991313934326
5,1,Common Nouns,Match_Match,Match,Match,him,man,stock broker,m,m,the man believed that the stock broker had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the man believed that the stock broker had deceived,him,the man believed that the stock broker had deceived,0.34520623087882996,3.67215895652771
5,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,secretary,m,f,the man believed that the secretary had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the man believed that the secretary had deceived,him,the man believed that the secretary had deceived,0.7259365916252136,3.6309595108032227
5,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,stock broker,f,m,the woman believed that the stock broker had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the woman believed that the stock broker had deceived,him,the woman believed that the stock broker had deceived,7.565540313720703,4.498600959777832
5,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,secretary,f,f,the woman believed that the secretary had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the woman believed that the secretary had deceived,him,the woman believed that the secretary had deceived,4.990453720092773,4.102323055267334
5,1,Common Nouns,Match_Match,Match,Match,his,man,stock broker,m,m,the man believed that the stock broker had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the man believed that the stock broker had deceived,his,the man believed that the stock broker had deceived,5.694897174835205,5.0904860496521
5,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,secretary,m,f,the man believed that the secretary had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the man believed that the secretary had deceived,his,the man believed that the secretary had deceived,5.845559597015381,4.962011814117432
5,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,stock broker,f,m,the woman believed that the stock broker had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the woman believed that the stock broker had deceived,his,the woman believed that the stock broker had deceived,8.898628234863281,5.51960563659668
5,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,secretary,f,f,the woman believed that the secretary had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the woman believed that the secretary had deceived,his,the woman believed that the secretary had deceived,8.728048324584961,5.680680274963379
6,1,Common Nouns,Match_Match,Match,Match,him,man,football player,m,m,the man said that the football player had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the man said that the football player had embarrassed,him,the man said that the football player had embarrassed,1.0530694723129272,3.8379499912261963
6,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man said that the dancer had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the man said that the dancer had embarrassed,him,the man said that the dancer had embarrassed,0.42239806056022644,3.2299630641937256
6,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,football player,f,m,the woman said that the football player had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the woman said that the football player had embarrassed,him,the woman said that the football player had embarrassed,6.740663051605225,4.371483325958252
6,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman said that the dancer had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the woman said that the dancer had embarrassed,him,the woman said that the dancer had embarrassed,3.9818224906921387,3.9921445846557617
6,1,Common Nouns,Match_Match,Match,Match,his,man,football player,m,m,the man said that the football player had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the man said that the football player had embarrassed,his,the man said that the football player had embarrassed,3.8628034591674805,4.862347602844238
6,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man said that the dancer had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the man said that the dancer had embarrassed,his,the man said that the dancer had embarrassed,5.292295932769775,4.958445072174072
6,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,football player,f,m,the woman said that the football player had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the woman said that the football player had embarrassed,his,the woman said that the football player had embarrassed,6.69354248046875,5.308150291442871
6,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman said that the dancer had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the woman said that the dancer had embarrassed,his,the woman said that the dancer had embarrassed,9.068838119506836,5.60727071762085
7,1,Common Nouns,Match_Match,Match,Match,him,man,drug addict,m,m,the man worried that the drug addict would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the man worried that the drug addict would resent,him,the man worried that the drug addict would resent,1.7927385568618774,6.0526933670043945
7,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,pop singer,m,f,the man worried that the pop singer would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the man worried that the pop singer would resent,him,the man worried that the pop singer would resent,2.136892080307007,5.357402801513672
7,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,drug addict,f,m,the woman worried that the drug addict would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the woman worried that the drug addict would resent,him,the woman worried that the drug addict would resent,7.086222171783447,7.058788299560547
7,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,pop singer,f,f,the woman worried that the pop singer would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the woman worried that the pop singer would resent,him,the woman worried that the pop singer would resent,7.005041122436523,6.872132778167725
7,1,Common Nouns,Match_Match,Match,Match,his,man,drug addict,m,m,the man worried that the drug addict would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the man worried that the drug addict would resent,his,the man worried that the drug addict would resent,2.441465377807617,4.265478610992432
7,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,pop singer,m,f,the man worried that the pop singer would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the man worried that the pop singer would resent,his,the man worried that the pop singer would resent,1.897796392440796,4.012753009796143
7,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,drug addict,f,m,the woman worried that the drug addict would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the woman worried that the drug addict would resent,his,the woman worried that the drug addict would resent,5.134888648986816,5.304834365844727
7,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,pop singer,f,f,the woman worried that the pop singer would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the woman worried that the pop singer would resent,his,the woman worried that the pop singer would resent,6.320699214935303,5.113796234130859
8,1,Common Nouns,Match_Match,Match,Match,him,man,police officer,m,m,the man recalled that the police officer had contradicted MASKTOKEN completely during the intense cross examination.,the man recalled that the police officer had contradicted,him,the man recalled that the police officer had contradicted,3.03317928314209,5.313269138336182
8,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,social worker,m,f,the man recalled that the social worker had contradicted MASKTOKEN completely during the intense cross examination.,the man recalled that the social worker had contradicted,him,the man recalled that the social worker had contradicted,2.5178184509277344,5.875559329986572
8,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,police officer,f,m,the woman recalled that the police officer had contradicted MASKTOKEN completely during the intense cross examination.,the woman recalled that the police officer had contradicted,him,the woman recalled that the police officer had contradicted,5.233006477355957,6.6381683349609375
8,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,social worker,f,f,the woman recalled that the social worker had contradicted MASKTOKEN completely during the intense cross examination.,the woman recalled that the social worker had contradicted,him,the woman recalled that the social worker had contradicted,4.882312297821045,7.98508882522583
8,1,Common Nouns,Match_Match,Match,Match,his,man,police officer,m,m,the man recalled that the police officer had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the man recalled that the police officer had contradicted,his,the man recalled that the police officer had contradicted,2.0223684310913086,3.3645076751708984
8,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,social worker,m,f,the man recalled that the social worker had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the man recalled that the social worker had contradicted,his,the man recalled that the social worker had contradicted,2.5659708976745605,3.4437248706817627
8,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,police officer,f,m,the woman recalled that the police officer had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the woman recalled that the police officer had contradicted,his,the woman recalled that the police officer had contradicted,3.3376874923706055,3.988888740539551
8,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,social worker,f,f,the woman recalled that the social worker had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the woman recalled that the social worker had contradicted,his,the woman recalled that the social worker had contradicted,4.902867794036865,4.205239295959473
9,1,Common Nouns,Match_Match,Match,Match,him,man,building contractor,m,m,the man insisted that the building contractor should familiarize MASKTOKEN thoroughly with every detail of the plans.,the man insisted that the building contractor should familiarize,him,the man insisted that the building contractor should familiarize,5.388040065765381,5.203965187072754
9,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,interior designer,m,f,the man insisted that the interior designer should familiarize MASKTOKEN thoroughly with every detail of the plans.,the man insisted that the interior designer should familiarize,him,the man insisted that the interior designer should familiarize,5.142208576202393,5.600056171417236
9,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,building contractor,f,m,the woman insisted that the building contractor should familiarize MASKTOKEN thoroughly with every detail of the plans.,the woman insisted that the building contractor should familiarize,him,the woman insisted that the building contractor should familiarize,6.8883562088012695,6.535471439361572
9,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,interior designer,f,f,the woman insisted that the interior designer should familiarize MASKTOKEN thoroughly with every detail of the plans.,the woman insisted that the interior designer should familiarize,him,the woman insisted that the interior designer should familiarize,5.832144260406494,6.96229362487793
9,1,Common Nouns,Match_Match,Match,Match,his,man,building contractor,m,m,the man insisted that the building contractor should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the man insisted that the building contractor should familiarize,his,the man insisted that the building contractor should familiarize,7.250853061676025,7.232887268066406
9,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,interior designer,m,f,the man insisted that the interior designer should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the man insisted that the interior designer should familiarize,his,the man insisted that the interior designer should familiarize,8.491639137268066,6.573120594024658
9,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,building contractor,f,m,the woman insisted that the building contractor should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the woman insisted that the building contractor should familiarize,his,the woman insisted that the building contractor should familiarize,7.435554027557373,7.297483921051025
9,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,interior designer,f,f,the woman insisted that the interior designer should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the woman insisted that the interior designer should familiarize,his,the woman insisted that the interior designer should familiarize,8.126967430114746,6.6939496994018555
10,1,Common Nouns,Match_Match,Match,Match,him,man,football coach,m,m,the man denied that the football coach had entertained MASKTOKEN completely by making fun of the students.,the man denied that the football coach had entertained,him,the man denied that the football coach had entertained,2.9924733638763428,4.593836307525635
10,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,guidance counselor,m,f,the man denied that the guidance counselor had entertained MASKTOKEN completely by making fun of the students.,the man denied that the guidance counselor had entertained,him,the man denied that the guidance counselor had entertained,4.186032295227051,4.1429314613342285
10,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,football coach,f,m,the woman denied that the football coach had entertained MASKTOKEN completely by making fun of the students.,the woman denied that the football coach had entertained,him,the woman denied that the football coach had entertained,6.810094833374023,5.554450988769531
10,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,guidance counselor,f,f,the woman denied that the guidance counselor had entertained MASKTOKEN completely by making fun of the students.,the woman denied that the guidance counselor had entertained,him,the woman denied that the guidance counselor had entertained,6.927820682525635,5.210131645202637
10,1,Common Nouns,Match_Match,Match,Match,his,man,football coach,m,m,the man denied that the football coach had entertained MASKTOKEN friend completely by making fun of the students.,the man denied that the football coach had entertained,his,the man denied that the football coach had entertained,4.75131368637085,5.336475372314453
10,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,guidance counselor,m,f,the man denied that the guidance counselor had entertained MASKTOKEN friend completely by making fun of the students.,the man denied that the guidance counselor had entertained,his,the man denied that the guidance counselor had entertained,5.858531951904297,5.638874053955078
10,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,football coach,f,m,the woman denied that the football coach had entertained MASKTOKEN friend completely by making fun of the students.,the woman denied that the football coach had entertained,his,the woman denied that the football coach had entertained,7.244215488433838,5.536418437957764
10,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,guidance counselor,f,f,the woman denied that the guidance counselor had entertained MASKTOKEN friend completely by making fun of the students.,the woman denied that the guidance counselor had entertained,his,the woman denied that the guidance counselor had entertained,7.736678123474121,5.902271270751953
11,1,Common Nouns,Match_Match,Match,Match,him,man,air traffic controller,m,m,the man worried that the air traffic controller would blame MASKTOKEN entirely for the accident during the emergency landing.,the man worried that the air traffic controller would blame,him,the man worried that the air traffic controller would blame,0.5116233825683594,3.4916865825653076
11,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,flight attendant,m,f,the man worried that the flight attendant would blame MASKTOKEN entirely for the accident during the emergency landing.,the man worried that the flight attendant would blame,him,the man worried that the flight attendant would blame,0.3885096609592438,3.85685133934021
11,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,air traffic controller,f,m,the woman worried that the air traffic controller would blame MASKTOKEN entirely for the accident during the emergency landing.,the woman worried that the air traffic controller would blame,him,the woman worried that the air traffic controller would blame,4.8548479080200195,4.565501689910889
11,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,flight attendant,f,f,the woman worried that the flight attendant would blame MASKTOKEN entirely for the accident during the emergency landing.,the woman worried that the flight attendant would blame,him,the woman worried that the flight attendant would blame,3.5124568939208984,5.297006607055664
11,1,Common Nouns,Match_Match,Match,Match,his,man,air traffic controller,m,m,the man worried that the air traffic controller would blame MASKTOKEN error entirely for the accident during the emergency landing.,the man worried that the air traffic controller would blame,his,the man worried that the air traffic controller would blame,4.228993892669678,5.947305202484131
11,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,flight attendant,m,f,the man worried that the flight attendant would blame MASKTOKEN error entirely for the accident during the emergency landing.,the man worried that the flight attendant would blame,his,the man worried that the flight attendant would blame,4.260899543762207,5.9300971031188965
11,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,air traffic controller,f,m,the woman worried that the air traffic controller would blame MASKTOKEN error entirely for the accident during the emergency landing.,the woman worried that the air traffic controller would blame,his,the woman worried that the air traffic controller would blame,7.741688251495361,6.3191328048706055
11,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,flight attendant,f,f,the woman worried that the flight attendant would blame MASKTOKEN error entirely for the accident during the emergency landing.,the woman worried that the flight attendant would blame,his,the woman worried that the flight attendant would blame,7.680063247680664,6.520477294921875
12,1,Common Nouns,Match_Match,Match,Match,him,man,analyst,m,m,the man discovered that the analyst had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the man discovered that the analyst had mocked,him,the man discovered that the analyst had mocked,0.9314122200012207,4.334962844848633
12,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,secretary,m,f,the man discovered that the secretary had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the man discovered that the secretary had mocked,him,the man discovered that the secretary had mocked,0.853522002696991,4.787964820861816
12,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,analyst,f,m,the woman discovered that the analyst had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the woman discovered that the analyst had mocked,him,the woman discovered that the analyst had mocked,7.247944355010986,5.04730749130249
12,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,secretary,f,f,the woman discovered that the secretary had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the woman discovered that the secretary had mocked,him,the woman discovered that the secretary had mocked,5.421779155731201,5.570206165313721
12,1,Common Nouns,Match_Match,Match,Match,his,man,analyst,m,m,the man discovered that the analyst had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the man discovered that the analyst had mocked,his,the man discovered that the analyst had mocked,3.4990596771240234,4.495272636413574
12,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,secretary,m,f,the man discovered that the secretary had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the man discovered that the secretary had mocked,his,the man discovered that the secretary had mocked,3.4064736366271973,4.918370246887207
12,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,analyst,f,m,the woman discovered that the analyst had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the woman discovered that the analyst had mocked,his,the woman discovered that the analyst had mocked,7.658209800720215,4.491642475128174
12,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,secretary,f,f,the woman discovered that the secretary had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the woman discovered that the secretary had mocked,his,the woman discovered that the secretary had mocked,7.321730613708496,4.583069801330566
13,1,Common Nouns,Match_Match,Match,Match,him,man,clown,m,m,the man dreamed that the clown had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the man dreamed that the clown had dressed,him,the man dreamed that the clown had dressed,1.3786954879760742,6.181332111358643
13,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man dreamed that the dancer had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the man dreamed that the dancer had dressed,him,the man dreamed that the dancer had dressed,2.588247299194336,6.873099327087402
13,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,clown,f,m,the woman dreamed that the clown had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the woman dreamed that the clown had dressed,him,the woman dreamed that the clown had dressed,5.73093843460083,6.727609634399414
13,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman dreamed that the dancer had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the woman dreamed that the dancer had dressed,him,the woman dreamed that the dancer had dressed,6.292689800262451,7.983158588409424
13,1,Common Nouns,Match_Match,Match,Match,his,man,clown,m,m,the man dreamed that the clown had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the man dreamed that the clown had dressed,his,the man dreamed that the clown had dressed,6.620490074157715,5.980435848236084
13,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man dreamed that the dancer had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the man dreamed that the dancer had dressed,his,the man dreamed that the dancer had dressed,7.438701629638672,6.333801746368408
13,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,clown,f,m,the woman dreamed that the clown had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the woman dreamed that the clown had dressed,his,the woman dreamed that the clown had dressed,7.795464992523193,6.142302989959717
13,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman dreamed that the dancer had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the woman dreamed that the dancer had dressed,his,the woman dreamed that the dancer had dressed,10.465970039367676,6.837228775024414
14,1,Common Nouns,Match_Match,Match,Match,him,man,movie director,m,m,the man believed that the movie director would introduce MASKTOKEN eagerly to the most influential people in the room.,the man believed that the movie director would introduce,him,the man believed that the movie director would introduce,1.3922606706619263,4.099198341369629
14,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,actress,m,f,the man believed that the actress would introduce MASKTOKEN eagerly to the most influential people in the room.,the man believed that the actress would introduce,him,the man believed that the actress would introduce,0.75486159324646,5.5321831703186035
