item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,model,surp
4,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.414509773254395
5,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before an officer interrogated him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,6.949507713317871
5,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before an officer interrogated her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.338860034942627
5,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.502117156982422
5,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.780992984771728
6,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a guest embarrassed him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.508865356445312
6,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a guest embarrassed her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.996628761291504
6,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.648283958435059
6,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.06499195098877
7,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an intern helped him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.467901229858398
7,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an intern helped her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.926909446716309
7,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.02493667602539
7,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.345982551574709
8,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While someone read him a bedtime story, William gently gestured to Luis to turn off the lights.","While someone read him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While someone read him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While someone read him a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.067559242248535
8,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While someone read her a bedtime story, William gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.288186073303223
8,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.114964485168457
8,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.516777038574219
9,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a colleague cornered him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.369339466094971
9,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a colleague cornered her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.889562129974365
9,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.58527660369873
9,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.112335205078125
10,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a nurse weighed him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.607603073120117
10,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a nurse weighed her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.023590087890625
10,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After weighing him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.157365798950195
10,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After weighing her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.643632888793945
11,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone spotted him at yoga class, Zachary secretly followed Christian around town.","Before anyone spotted him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before anyone spotted him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before anyone spotted him at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.37222957611084
11,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone spotted her at yoga class, Zachary secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.784931182861328
11,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before spotting him at yoga class, Zachary secretly followed Christian around town.","Before spotting him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting him at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.766279220581055
11,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before spotting her at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her at yoga class, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.139978408813477
12,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before friends visited him on Sunday afternoons, Benjamin usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.464911460876465
12,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before friends visited her on Sunday afternoons, Benjamin usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.884014129638672
12,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before visiting him on Sunday afternoons, Benjamin usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.994102478027344
12,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before visiting her on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.394579887390137
13,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a professor had her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.387517929077148
13,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a professor had him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,10.331750869750977
13,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After having her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.364471435546877
13,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After having him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,10.245827674865724
14,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a stranger bought her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,7.847078323364258
14,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a stranger bought him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.654678344726562
14,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After buying her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.086054801940918
14,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After buying him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.09097671508789
15,CATAMARAN2-FIN-Match,No Constraint,Match,her,"While someone writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.652900695800781
15,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"While someone writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.486960411071776
15,CATAMARAN2-OBJ-Match,Constraint,Match,her,"While writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.290731430053713
15,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"While writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,10.00490665435791
16,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a waiter poured her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,7.280710697174072
16,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a waiter poured him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.082839965820312
16,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After pouring her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.004121780395508
16,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After pouring him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.930705070495605
17,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a volunteer left her a voice message, Stephanie also sent Marissa a text containing the same information.","After a volunteer left her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After a volunteer left her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After a volunteer left her a voice message, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,7.696262836456299
17,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a volunteer left him a voice message, Stephanie also sent Marcus a text containing the same information.","After a volunteer left him a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After a volunteer left him a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After a volunteer left him a voice message, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,9.154196739196776
17,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After leaving her a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her a voice message, the",woman,wikitext-103_LSTM_400_1-d0.2.pt,8.035568237304688
