item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/gpt2-xl_surp,/data/transfo-xl-wt103_surp
5,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before an officer interrogated him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the","Before an officer interrogated him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the",man,4.319912433624268,4.411097526550293
5,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before an officer interrogated her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the","Before an officer interrogated her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the",man,7.047164440155029,6.546083450317383
5,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,5.093247890472412,7.309917449951172
5,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,5.36621618270874,9.392997741699219
6,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a guest embarrassed him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the","After a guest embarrassed him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the",man,6.287209510803223,6.249831676483154
6,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a guest embarrassed her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the","After a guest embarrassed her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the",man,7.734893321990967,9.723230361938477
6,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the",man,6.661110877990723,8.078393936157227
6,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the",man,7.124475955963135,11.461833000183105
7,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an intern helped him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the","While an intern helped him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the",man,6.952315807342529,9.37331485748291
7,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an intern helped her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents, the","While an intern helped her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents, the",man,8.657145500183105,9.499015808105469
7,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the",man,6.160303592681885,10.725333213806152
7,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the",man,6.145475387573242,11.427080154418945
8,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While someone read him a bedtime story, William gently gestured to Luis to turn off the lights.","While someone read him a bedtime story, the","While someone read him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While someone read him a bedtime story, the",man,5.308375835418701,7.966804504394531
8,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While someone read her a bedtime story, William gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story, the","While someone read her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story, the",man,6.308320045471191,8.946988105773926
8,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",man,5.291629791259766,6.799839019775391
8,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the",man,5.630659103393555,10.179774284362793
9,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a colleague cornered him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler, the","After a colleague cornered him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler, the",man,4.452981472015381,4.63411283493042
9,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a colleague cornered her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler, the","After a colleague cornered her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler, the",man,6.970407009124756,7.153883934020996
9,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the","After cornering him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the",man,5.628443241119385,6.158298492431641
9,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the","After cornering her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the",man,6.971568584442139,10.346585273742676
10,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a nurse weighed him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale, the","After a nurse weighed him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale, the",man,4.524274826049805,7.247653484344482
10,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a nurse weighed her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale, the","After a nurse weighed her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale, the",man,7.504292964935303,9.036025047302246
10,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After weighing him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the","After weighing him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the",man,6.148971080780029,8.483807563781738
10,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After weighing her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the","After weighing her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the",man,7.605208396911621,11.733437538146973
11,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone spotted him at yoga class, Zachary secretly followed Christian around town.","Before anyone spotted him at yoga class, the","Before anyone spotted him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before anyone spotted him at yoga class, the",man,4.894870281219482,7.906102657318115
11,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone spotted her at yoga class, Zachary secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class, the","Before anyone spotted her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class, the",man,7.349540710449219,9.331443786621094
11,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before spotting him at yoga class, Zachary secretly followed Christian around town.","Before spotting him at yoga class, the","Before spotting him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting him at yoga class, the",man,4.554583549499512,8.18423080444336
11,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before spotting her at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her at yoga class, the","Before spotting her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her at yoga class, the",man,5.599293231964111,9.827954292297363
12,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before friends visited him on Sunday afternoons, Benjamin usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons, the","Before friends visited him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons, the",man,4.762845516204834,7.824248790740967
12,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before friends visited her on Sunday afternoons, Benjamin usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons, the","Before friends visited her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons, the",man,6.834759712219238,9.711578369140625
12,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before visiting him on Sunday afternoons, Benjamin usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the","Before visiting him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the",man,5.687599182128906,7.703826427459717
12,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before visiting her on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the","Before visiting her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the",man,6.332380294799805,10.5150785446167
13,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a professor had her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the","After a professor had her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the",woman,5.024277210235596,7.380439758300781
13,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a professor had him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes, the","After a professor had him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes, the",woman,7.769105434417725,12.031005859375
13,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After having her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the","After having her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the",woman,6.966001510620117,8.273734092712402
13,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After having him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the","After having him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the",woman,9.067452430725098,12.230865478515625
14,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a stranger bought her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte, the","After a stranger bought her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte, the",woman,4.525647163391113,7.705902099609375
14,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a stranger bought him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte, the","After a stranger bought him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte, the",woman,8.291004180908203,10.156515121459961
14,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After buying her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the","After buying her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the",woman,3.985218048095703,7.935585021972656
14,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After buying him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the","After buying him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the",woman,6.493376731872559,11.088797569274902
15,CATAMARAN2-FIN-Match,No Constraint,Match,her,"While someone writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note, the","While someone writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note, the",woman,6.449177265167236,6.857351303100586
15,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"While someone writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the","While someone writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the",woman,7.7393059730529785,12.057415008544922
15,CATAMARAN2-OBJ-Match,Constraint,Match,her,"While writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the","While writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the",woman,4.760955333709717,7.17720890045166
15,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"While writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the","While writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the",woman,6.371925354003906,12.594672203063965
16,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a waiter poured her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea, the","After a waiter poured her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea, the",woman,4.077676773071289,8.08761215209961
16,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a waiter poured him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea, the","After a waiter poured him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea, the",woman,7.3933634757995605,10.755724906921387
16,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After pouring her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the","After pouring her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the",woman,4.203232765197754,7.802867889404297
16,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After pouring him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the","After pouring him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the",woman,6.728397846221924,10.984135627746582
17,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a volunteer left her a voice message, Stephanie also sent Marissa a text containing the same information.","After a volunteer left her a voice message, the","After a volunteer left her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After a volunteer left her a voice message, the",woman,3.3133342266082764,8.153510093688965
17,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a volunteer left him a voice message, Stephanie also sent Marcus a text containing the same information.","After a volunteer left him a voice message, the","After a volunteer left him a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After a volunteer left him a voice message, the",woman,6.296054840087891,12.237833976745605
17,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After leaving her a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her a voice message, the","After leaving her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her a voice message, the",woman,4.009642124176025,7.714724540710449
17,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After leaving him a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving him a voice message, the","After leaving him a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After leaving him a voice message, the",woman,5.119344711303711,11.398821830749512
18,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After someone sent her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After someone sent her a thank-you note, the","After someone sent her a thank-you note, the MASKTOKEN thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After someone sent her a thank-you note, the",woman,4.775805950164795,5.98979377746582
18,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After someone sent him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After someone sent him a thank-you note, the","After someone sent him a thank-you note, the MASKTOKEN thoughtfully bought Victor a nice down comforter as a token of gratitude.","After someone sent him a thank-you note, the",woman,7.300971508026123,10.55041217803955
18,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After sending her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her a thank-you note, the","After sending her a thank-you note, the MASKTOKEN thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her a thank-you note, the",woman,4.784639358520508,5.966203212738037
18,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After sending him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending him a thank-you note, the","After sending him a thank-you note, the MASKTOKEN thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending him a thank-you note, the",woman,6.547082901000977,10.951310157775879
19,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before a chaperon took her kids on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster, the","Before a chaperon took her kids on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster, the",woman,5.747036457061768,14.772024154663086
19,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,his,"Before a chaperon took his kids on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster, the","Before a chaperon took his kids on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster, the",woman,8.032297134399414,15.708361625671387
19,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before taking her on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster, the","Before taking her on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster, the",woman,5.190016269683838,11.082051277160645
19,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before taking him on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the","Before taking him on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the",woman,8.340907096862793,14.136274337768555
20,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After anyone took her to a social event, Rebecca always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event, the","After anyone took her to a social event, the MASKTOKEN always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event, the",woman,6.339693069458008,8.920002937316895
20,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After anyone took him to a social event, Rebecca always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event, the","After anyone took him to a social event, the MASKTOKEN always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event, the",woman,7.435062885284424,10.847731590270996
20,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After taking her to a social event, Rebecca always checked with Julia to see whether she actually had a good time.","After taking her to a social event, the","After taking her to a social event, the MASKTOKEN always checked with Julia to see whether she actually had a good time.","After taking her to a social event, the",woman,3.706068277359009,6.761233806610107
20,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After taking him to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking him to a social event, the","After taking him to a social event, the MASKTOKEN always checked with Elijah to see whether he actually had a good time.","After taking him to a social event, the",woman,5.203334808349609,10.727048873901367
21,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before auctioneers showed her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings, the","Before auctioneers showed her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings, the",woman,4.864358425140381,11.890594482421875
21,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"Before auctioneers showed him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings, the","Before auctioneers showed him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings, the",woman,9.51932144165039,14.059691429138184
21,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before showing her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the","Before showing her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the",woman,4.798221588134766,8.148157119750977
21,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before showing him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the","Before showing him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the",woman,7.014400482177734,12.091034889221191
