item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_surp
3,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the",man,8.128917694091797,8.90637493133545,8.334100723266602,8.498888969421387,7.84572172164917,8.732131004333496,8.4312744140625,8.761154174804688,8.735115051269531,7.979475498199463,8.76287841796875,7.654298305511475,8.578999519348145,7.961544513702393,8.551651954650879,8.739768981933594,7.557788372039795,7.811746120452881,8.482572555541992,7.456615924835205,8.263873100280762,8.507704734802246,8.399656295776367,7.7796807289123535,8.467894554138184
3,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the",man,8.671647071838379,9.371793746948242,8.565909385681152,8.71022891998291,8.723713874816895,9.328140258789062,8.697013854980469,8.954498291015625,8.723443984985352,8.259099006652832,9.391712188720703,7.938753604888916,8.932565689086914,8.653698921203613,8.804658889770508,9.165979385375977,8.205965995788574,8.249724388122559,8.900283813476562,8.309167861938477,8.54214096069336,8.868847846984863,8.520100593566895,8.134103775024414,8.871843338012695
4,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After an orderly lifted him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the","After an orderly lifted him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the",man,8.00484561920166,7.925358295440674,7.441620349884033,7.185022830963135,7.606337070465088,8.972701072692871,7.596728324890137,8.11799144744873,8.638397216796875,6.694631099700928,7.571458339691162,8.55009937286377,7.557180881500244,7.70891809463501,7.680383205413818,7.6733856201171875,7.631368160247803,6.738931179046631,8.631218910217285,6.3813276290893555,7.665207386016846,8.399364471435547,8.073210716247559,7.175710678100586,7.7822160720825195
4,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After an orderly lifted her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the","After an orderly lifted her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the",man,8.398347854614258,8.261392593383789,7.6551594734191895,7.640353202819824,8.260425567626953,9.278532028198242,7.866264343261719,8.403152465820312,8.719993591308594,6.882296562194824,8.03427505493164,8.821553230285645,8.17491340637207,8.157261848449707,8.000227928161621,8.160425186157227,8.041738510131836,7.116573333740234,8.988224983215332,7.065625190734863,8.00151538848877,8.873204231262207,8.287795066833496,7.288116455078125,8.11604118347168
4,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the",man,7.928064346313477,7.958498477935791,7.997526168823242,7.216737270355225,7.667555332183838,8.371492385864258,8.043962478637695,7.851498603820801,8.901336669921875,7.161925792694092,8.089594841003418,8.435117721557617,7.442996501922607,7.745941162109375,8.088201522827148,7.824405670166016,7.615869045257568,7.543900489807129,8.512809753417969,6.926310062408447,7.855604648590088,8.213667869567871,8.02107048034668,7.418750762939453,8.101195335388184
4,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the",man,8.414509773254395,8.368722915649414,8.276209831237793,7.711484432220459,8.450946807861328,8.573381423950195,8.170454978942871,8.437538146972656,8.94865608215332,7.378721714019775,8.54492473602295,8.641474723815918,7.9649128913879395,8.623196601867676,8.420674324035645,8.41433334350586,8.028467178344727,8.255537033081055,8.816181182861328,7.867064952850342,8.190078735351562,8.761185646057129,8.347887992858887,7.544720649719238,8.357200622558594
5,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before an officer interrogated him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the","Before an officer interrogated him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime, the",man,6.949507713317871,7.163928508758545,7.079951763153076,7.551496505737305,7.055874824523926,7.667230129241943,7.528391361236572,7.107342720031738,8.377518653869629,6.3645219802856445,7.689746856689453,8.163666725158691,7.017954349517822,7.477762222290039,7.518343925476074,7.111801624298096,6.868217945098877,7.659309387207031,7.604203224182129,6.589715957641602,7.408339500427246,7.183132648468018,7.55240535736084,6.793062686920166,8.160876274108887
5,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before an officer interrogated her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the","Before an officer interrogated her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime, the",man,7.338860034942627,7.574519634246826,7.196272850036621,7.719620227813721,7.5940446853637695,8.035538673400879,7.694077014923096,7.515896320343018,8.591463088989258,6.605682849884033,7.964111328125,8.36063003540039,7.256302833557129,7.830317497253418,7.713888168334961,7.549275875091553,7.295366287231445,8.238600730895996,7.637519836425781,7.126327991485596,7.462944984436035,7.333270072937012,7.843160152435303,7.029679775238037,8.271173477172852
5,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,7.502117156982422,7.1942362785339355,7.240624904632568,7.672608375549316,7.034526348114014,7.800168514251709,7.868837833404541,7.5582170486450195,7.87581729888916,6.830478191375732,8.093740463256836,8.524514198303223,7.200779914855957,7.803655624389648,8.195305824279785,7.40674352645874,6.844297885894775,7.756087303161621,7.555572032928467,6.820225238800049,7.399177074432373,7.475857257843018,7.31778621673584,6.911716938018799,8.148767471313477
5,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,7.7809929847717285,7.702143669128418,7.447452545166016,7.921926498413086,7.664534568786621,8.517366409301758,8.250028610229492,7.907903671264648,8.11419677734375,7.005659580230713,8.419944763183594,8.786378860473633,7.483333587646484,8.209686279296875,8.52464485168457,7.9665446281433105,7.118763446807861,8.200737953186035,7.959827423095703,7.432114601135254,7.6444597244262695,7.64066219329834,7.752164840698242,7.283355712890625,8.314969062805176
6,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a guest embarrassed him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the","After a guest embarrassed him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party, the",man,8.508865356445312,7.808954238891602,8.535972595214844,7.724862575531006,8.232267379760742,8.891180038452148,8.811519622802734,8.254361152648926,8.836099624633789,7.217546463012695,8.420998573303223,9.253811836242676,8.125520706176758,7.895682334899902,7.923550128936768,8.444985389709473,8.11373519897461,8.152138710021973,8.169793128967285,7.08815336227417,8.441596031188965,9.115315437316895,8.723173141479492,7.9621500968933105,9.66283130645752
6,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a guest embarrassed her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the","After a guest embarrassed her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the",man,8.996628761291504,8.259810447692871,8.606823921203613,8.062281608581543,8.633011817932129,9.547696113586426,9.062541961669922,8.677748680114746,9.11065673828125,7.403628826141357,8.84526538848877,9.22150993347168,8.318290710449219,8.208157539367676,8.171838760375977,8.944451332092285,8.39669132232666,8.26555347442627,8.348627090454102,7.532225131988525,8.405291557312012,9.418731689453125,8.988807678222656,8.290470123291016,9.945387840270996
6,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the",man,8.648283958435059,7.782243251800537,8.51066780090332,8.031149864196777,8.101418495178223,8.8436861038208,9.467669486999512,8.291227340698242,8.846274375915527,7.764477252960205,9.033649444580078,9.118587493896484,7.945533752441406,8.616888999938965,8.152877807617188,8.774645805358887,8.555179595947266,8.528336524963379,8.560519218444824,7.164619445800781,8.708083152770996,8.651668548583984,8.58867073059082,7.845615863800049,9.86220932006836
6,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the",man,9.06499195098877,8.204931259155273,8.569589614868164,8.47140884399414,8.871188163757324,9.323613166809082,9.659610748291016,8.852985382080078,9.14840316772461,7.769969463348389,9.478924751281738,9.289652824401855,8.322586059570312,9.0492582321167,8.62603759765625,9.264181137084961,8.772910118103027,8.987520217895508,8.865842819213867,7.7781829833984375,8.96918773651123,8.897482872009277,8.926840782165527,8.276307106018066,10.241129875183105
7,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an intern helped him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the","While an intern helped him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the",man,8.467901229858398,8.974145889282227,8.9728364944458,8.759026527404785,8.179960250854492,9.082870483398438,8.836901664733887,9.116257667541504,8.998406410217285,8.214889526367188,9.070343017578125,8.841812133789062,8.747285842895508,9.218435287475586,8.925725936889648,8.77846908569336,9.265088081359863,9.072122573852539,9.102507591247559,8.152114868164062,9.394155502319336,9.084342002868652,8.727213859558105,8.73893928527832,9.427048683166504
7,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an intern helped her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents, the","While an intern helped her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents, the",man,8.926909446716309,9.459230422973633,9.125046730041504,9.071090698242188,8.863370895385742,9.263360023498535,8.992812156677246,9.504279136657715,9.300049781799316,8.309825897216797,9.631098747253418,9.54250717163086,9.05664348602295,9.910354614257812,9.16224193572998,9.394371032714844,9.51607894897461,9.531817436218262,9.342212677001953,8.890189170837402,9.451356887817383,9.295680046081543,9.038683891296387,8.865610122680664,9.588149070739746
7,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the",man,9.02493667602539,8.944601058959961,8.99853229522705,8.98248291015625,8.521499633789062,9.24415397644043,9.311787605285645,9.317604064941406,9.158356666564941,8.439725875854492,9.153154373168945,8.449321746826172,8.855338096618652,8.702384948730469,9.374262809753418,8.984200477600098,8.791141510009766,8.866296768188477,9.161344528198242,8.439449310302734,9.317814826965332,8.609939575195312,8.776411056518555,8.881629943847656,9.282949447631836
7,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the",man,9.345982551574707,9.43161678314209,9.116715431213379,9.35339069366455,9.168047904968262,9.712591171264648,9.398276329040527,9.610882759094238,9.396807670593262,8.581066131591797,9.62527084350586,9.191679954528809,8.949529647827148,9.40610122680664,9.534502983093262,9.800593376159668,9.089988708496094,9.345425605773926,9.517261505126953,9.026533126831055,9.505908966064453,8.988085746765137,9.11319351196289,9.092583656311035,9.322131156921387
8,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While someone read him a bedtime story, William gently gestured to Luis to turn off the lights.","While someone read him a bedtime story, the","While someone read him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While someone read him a bedtime story, the",man,8.067559242248535,8.48965072631836,8.033458709716797,8.294328689575195,7.7920074462890625,8.018858909606934,7.313523769378662,8.201464653015137,7.830338478088379,7.494170188903809,8.631811141967773,8.207171440124512,7.598792552947998,7.846184253692627,8.053735733032227,8.0403413772583,7.4896626472473145,7.591923713684082,7.882328033447266,6.821280479431152,8.305583953857422,8.13074779510498,7.730621337890625,7.301656246185303,8.539164543151855
8,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While someone read her a bedtime story, William gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story, the","While someone read her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story, the",man,8.288186073303223,8.853182792663574,8.251070976257324,8.471904754638672,8.348727226257324,8.709952354431152,7.6400346755981445,8.773200988769531,8.227338790893555,7.872410297393799,9.01044750213623,8.526350975036621,7.965298175811768,8.381454467773438,8.398591995239258,8.567036628723145,7.844914436340332,7.800866603851318,8.141942977905273,7.197963714599609,8.736214637756348,8.396279335021973,8.417354583740234,7.713482856750488,9.11072063446045
8,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",man,8.114964485168457,8.70500373840332,8.422407150268555,8.892157554626465,8.702430725097656,8.61109733581543,7.877283573150635,8.541988372802734,8.026337623596191,7.5739665031433105,8.833165168762207,8.227997779846191,7.732565402984619,8.420675277709961,8.525128364562988,8.311254501342773,7.314727306365967,7.752207279205322,7.964178085327148,7.075972080230713,8.811151504516602,8.208638191223145,7.940419673919678,7.652969837188721,8.933595657348633
8,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the",man,8.516777038574219,9.198346138000488,8.611834526062012,8.809691429138184,9.479269027709961,9.062179565429688,8.600306510925293,9.145341873168945,8.379203796386719,7.883659839630127,9.305130958557129,8.432025909423828,8.048866271972656,8.99278736114502,8.911986351013184,8.769493103027344,7.796967029571533,8.133623123168945,8.511225700378418,7.646864414215088,9.249869346618652,8.630504608154297,8.602718353271484,8.02039623260498,9.555337905883789
9,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a colleague cornered him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler, the","After a colleague cornered him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler, the",man,7.369339466094971,7.936306953430176,7.1908650398254395,7.045534610748291,7.084708213806152,7.707619667053223,7.816266059875488,7.334743976593018,8.420289039611816,6.952622890472412,6.905067443847656,8.508856773376465,7.461977481842041,7.357187747955322,7.552466869354248,7.324831962585449,7.447019100189209,7.0290374755859375,7.622769832611084,6.240460395812988,8.376150131225586,7.521387577056885,7.725003719329834,6.905169486999512,7.549602031707764
9,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a colleague cornered her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler, the","After a colleague cornered her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler, the",man,7.889562129974365,8.416339874267578,7.539668560028076,7.526869297027588,7.624731063842773,8.277812004089355,8.089162826538086,7.665576934814453,8.799708366394043,7.172309875488281,7.183643817901611,8.608440399169922,8.043216705322266,8.0058012008667,7.81755256652832,7.794411659240723,7.5754804611206055,7.5187458992004395,8.182821273803711,6.905168056488037,8.518248558044434,7.992466926574707,8.197244644165039,7.239948272705078,7.955368518829346
