item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_surp
3,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the",man,8.671647071838379,9.371793746948242,8.565909385681152,8.710227966308594,8.723713874816895,9.328140258789062,8.697013854980469,8.954497337341309,8.723443984985352,8.259099006652832,9.391712188720703,7.938753604888916,8.932565689086914,8.653698921203613,8.804658889770508,9.165979385375977,8.205965995788574,8.249724388122559,8.900283813476562,8.309167861938477,8.54214096069336,8.868847846984863,8.520099639892578,8.134103775024414,8.871843338012695
3,CATAMARAN-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the",man,8.128917694091797,8.906375885009766,8.334100723266602,8.498888969421387,7.84572172164917,8.732131004333496,8.4312744140625,8.761154174804688,8.735115051269531,7.979475498199463,8.76287841796875,7.654298305511475,8.578999519348145,7.961544513702393,8.551651954650879,8.73976993560791,7.557788372039795,7.811746120452881,8.482572555541992,7.456615924835205,8.263873100280762,8.507704734802246,8.399656295776367,7.7796807289123535,8.467894554138184
4,CATAMARAN-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the",man,7.928064346313477,7.958498477935791,7.997526168823242,7.216737270355225,7.667555332183838,8.371492385864258,8.043962478637695,7.851498603820801,8.901336669921875,7.161925792694092,8.089594841003418,8.435117721557617,7.442996501922607,7.745941162109375,8.088201522827148,7.824405670166016,7.615869045257568,7.543900489807129,8.512809753417969,6.926310062408447,7.855604648590088,8.213667869567871,8.02107048034668,7.418750762939453,8.101195335388184
4,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After lifting her neighbor onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the","After lifting her neighbor onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the",man,8.191734313964844,8.097638130187988,7.9877424240112305,7.584445953369141,8.245122909545898,8.306304931640625,7.976328372955322,8.403399467468262,8.64348316192627,7.303461074829102,8.292899131774902,8.371119499206543,7.700203895568848,8.367704391479492,8.136983871459961,8.189743041992188,7.618658065795898,7.662346839904785,8.408946990966797,7.619466304779053,7.803418159484863,8.585643768310547,8.124714851379395,7.585327625274658,8.271194458007812
4,CATAMARAN-GEN-Match,No Constraint,Match,his,"After lifting his neighbor onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the","After lifting his neighbor onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the",man,7.876034736633301,7.667128086090088,7.634341239929199,7.223332405090332,7.5592241287231445,7.979096412658691,7.704945087432861,7.973972797393799,8.254695892333984,6.988347053527832,7.811270236968994,8.234928131103516,7.334956169128418,7.89033842086792,7.833974838256836,7.742092132568359,7.300640106201172,6.988860130310059,8.415760040283203,6.951498985290527,7.6800665855407715,8.202253341674805,7.735935211181641,7.2350993156433105,8.019225120544434
4,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the",man,8.414509773254395,8.368722915649414,8.276209831237793,7.711484432220459,8.450946807861328,8.573381423950195,8.170454978942871,8.437538146972656,8.94865608215332,7.378721714019775,8.54492473602295,8.641474723815918,7.9649128913879395,8.623196601867676,8.420674324035645,8.41433334350586,8.028467178344727,8.255537033081055,8.816181182861328,7.867064952850342,8.190078735351562,8.761185646057129,8.347887992858887,7.544720649719238,8.357200622558594
5,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,7.7809929847717285,7.702143669128418,7.447452545166016,7.921926498413086,7.664534568786621,8.517366409301758,8.250027656555176,7.907903671264648,8.11419677734375,7.005659580230713,8.419944763183594,8.786378860473633,7.483333587646484,8.209686279296875,8.52464485168457,7.9665446281433105,7.118763446807861,8.200737953186035,7.959827423095703,7.432114601135254,7.6444597244262695,7.64066219329834,7.752164840698242,7.283355712890625,8.314969062805176
5,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,7.502117156982422,7.1942362785339355,7.240625858306885,7.672608852386475,7.0345258712768555,7.800168514251709,7.868837833404541,7.558218002319336,7.87581729888916,6.830478191375732,8.093740463256836,8.524514198303223,7.200779914855957,7.803655624389648,8.195305824279785,7.40674352645874,6.844297885894775,7.756086349487305,7.555572032928467,6.820225238800049,7.399177074432373,7.475857257843018,7.31778621673584,6.911716938018799,8.148767471313477
5,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before interrogating her informant about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the","Before interrogating her informant about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the",man,7.942175388336182,7.578998565673828,7.736015319824219,8.029784202575684,7.425950527191162,8.73275375366211,8.236518859863281,7.791855335235596,7.885756492614746,6.802108287811279,8.315913200378418,8.869735717773438,7.386841773986816,8.268336296081543,8.17679500579834,7.799439430236816,7.030482769012451,8.417217254638672,8.195903778076172,7.244448661804199,7.734700679779053,7.797305107116699,7.72451114654541,7.1863112449646,8.434981346130371
5,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before interrogating his informant about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating his informant about the crime, the","Before interrogating his informant about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating his informant about the crime, the",man,7.825611114501953,7.1598711013793945,7.512556552886963,7.786994457244873,7.028460502624512,7.976424694061279,8.09658432006836,7.444279193878174,7.714987754821777,6.773922443389893,7.942362308502197,8.618123054504395,7.15673303604126,7.761063575744629,7.838158130645752,7.396426200866699,6.873011589050293,7.911928176879883,7.790009021759033,6.564349174499512,7.597318172454834,7.458057880401611,7.442948341369629,6.929970741271973,8.263503074645996
6,CATAMARAN-GEN-Match,No Constraint,Match,his,"After embarrassing his guests during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing his guests during the party, the","After embarrassing his guests during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing his guests during the party, the",man,8.661988258361816,7.818811416625977,8.680901527404785,8.409223556518555,8.042699813842773,8.776272773742676,9.64625072479248,8.57860279083252,8.921063423156738,7.750637531280518,8.7266206741333,9.265548706054688,8.224007606506348,8.513245582580566,7.962357521057129,8.839825630187988,8.562074661254883,8.619056701660156,8.743112564086914,7.219081878662109,8.662763595581055,8.606988906860352,8.353336334228516,8.04990005493164,10.23415470123291
6,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the",man,9.06499195098877,8.204931259155273,8.569589614868164,8.47140884399414,8.871188163757324,9.323613166809082,9.659610748291016,8.852985382080078,9.14840316772461,7.769969463348389,9.478924751281738,9.289652824401855,8.322586059570312,9.0492582321167,8.62603759765625,9.264181137084961,8.772910118103027,8.987520217895508,8.865842819213867,7.7781829833984375,8.96918773651123,8.897482872009277,8.926840782165527,8.276307106018066,10.241129875183105
6,CATAMARAN-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the",man,8.648283958435059,7.782243251800537,8.51066780090332,8.031149864196777,8.101418495178223,8.8436861038208,9.467669486999512,8.291227340698242,8.846274375915527,7.764477252960205,9.033649444580078,9.118587493896484,7.945533752441406,8.616888999938965,8.152877807617188,8.774645805358887,8.555179595947266,8.528336524963379,8.560519218444824,7.164619445800781,8.708083152770996,8.651668548583984,8.58867073059082,7.845615863800049,9.86220932006836
6,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After embarrassing her guests during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her guests during the party, the","After embarrassing her guests during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her guests during the party, the",man,9.076951026916504,8.19428825378418,8.940982818603516,8.565987586975098,8.724316596984863,9.129216194152832,9.820419311523438,9.02619457244873,9.183806419372559,7.791265487670898,9.233053207397461,9.374334335327148,8.493826866149902,8.905620574951172,8.309266090393066,9.28538703918457,8.839990615844727,9.064244270324707,9.092498779296875,7.727912902832031,8.786810874938965,8.858988761901855,8.789085388183594,8.271543502807617,10.378626823425293
7,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While helping her secretary shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her secretary shred the documents, the","While helping her secretary shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her secretary shred the documents, the",man,9.905982971191406,9.50196647644043,9.395491600036621,9.244026184082031,9.516426086425781,10.24339485168457,10.032182693481445,9.901927947998047,9.959122657775879,8.477317810058594,10.203230857849121,9.046773910522461,9.251791000366211,9.789102554321289,9.74734878540039,9.618645668029785,9.226799964904785,9.762055397033691,9.811827659606934,9.279090881347656,9.552766799926758,9.296770095825195,9.273900032043457,9.1378755569458,9.896883010864258
7,CATAMARAN-GEN-Match,No Constraint,Match,his,"While helping his secretary shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping his secretary shred the documents, the","While helping his secretary shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping his secretary shred the documents, the",man,9.491127014160156,8.954601287841797,8.9166259765625,9.033087730407715,8.944375991821289,9.752792358398438,10.044875144958496,9.592915534973145,9.864202499389648,8.601693153381348,9.597540855407715,8.834359169006348,9.056901931762695,9.376583099365234,9.423099517822266,9.123507499694824,8.992548942565918,9.338398933410645,9.515106201171875,8.54601764678955,9.411639213562012,8.984169960021973,8.9603910446167,8.88809585571289,9.683810234069824
7,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the",man,9.345982551574707,9.43161678314209,9.116714477539062,9.35339069366455,9.168047904968262,9.712591171264648,9.398276329040527,9.610882759094238,9.396807670593262,8.581066131591797,9.62527084350586,9.191679954528809,8.949529647827148,9.40610122680664,9.534502983093262,9.800593376159668,9.089987754821777,9.345425605773926,9.517261505126953,9.026533126831055,9.505908966064453,8.98808479309082,9.11319351196289,9.092583656311035,9.322131156921387
7,CATAMARAN-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the",man,9.02493667602539,8.944602012634277,8.99853229522705,8.98248291015625,8.521500587463379,9.24415397644043,9.311787605285645,9.317604064941406,9.158356666564941,8.439725875854492,9.153154373168945,8.449321746826172,8.855338096618652,8.702384948730469,9.374262809753418,8.984201431274414,8.791141510009766,8.866296768188477,9.161344528198242,8.439449310302734,9.317814826965332,8.609939575195312,8.776411056518555,8.88162899017334,9.282949447631836
8,CATAMARAN-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",man,8.114964485168457,8.70500373840332,8.422407150268555,8.892157554626465,8.702430725097656,8.61109733581543,7.877283573150635,8.541988372802734,8.026337623596191,7.5739665031433105,8.833165168762207,8.227997779846191,7.732565402984619,8.420675277709961,8.525128364562988,8.311254501342773,7.314727306365967,7.752207279205322,7.964178085327148,7.075972080230713,8.811151504516602,8.208638191223145,7.940419673919678,7.652969837188721,8.933595657348633
8,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While reading her grand kids a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her grand kids a bedtime story, the","While reading her grand kids a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her grand kids a bedtime story, the",man,8.371073722839355,9.197355270385742,8.569504737854004,9.612977981567383,9.190802574157715,9.103889465332031,8.876303672790527,9.234268188476562,8.505762100219727,8.193394660949707,9.380417823791504,8.578536033630371,8.376852035522461,9.31872272491455,8.847633361816406,9.067416191101074,8.06760025024414,8.483399391174316,8.271003723144531,7.027280330657959,9.255202293395996,8.48320198059082,8.321253776550293,8.210054397583008,9.550849914550781
8,CATAMARAN-GEN-Match,No Constraint,Match,his,"While reading his grand kids a bedtime story, William gently gestured to Luis to turn off the lights.","While reading his grand kids a bedtime story, the","While reading his grand kids a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading his grand kids a bedtime story, the",man,8.156129837036133,8.801542282104492,8.296098709106445,9.274685859680176,8.64634895324707,8.692646026611328,8.624961853027344,8.900181770324707,8.33096981048584,7.8448591232299805,8.946549415588379,8.399226188659668,8.195728302001953,8.849469184875488,8.391926765441895,8.71365737915039,7.59458589553833,8.197402000427246,7.917537689208984,6.671857833862305,9.053110122680664,8.167326927185059,8.06257438659668,7.946264266967773,9.46626091003418
8,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the",man,8.516777038574219,9.198346138000488,8.611834526062012,8.809691429138184,9.479269027709961,9.062179565429688,8.600306510925293,9.145341873168945,8.379203796386719,7.883659839630127,9.305130958557129,8.432025909423828,8.048866271972656,8.99278736114502,8.911986351013184,8.769493103027344,7.796967029571533,8.133623123168945,8.511225700378418,7.646864414215088,9.249869346618652,8.630504608154297,8.602718353271484,8.02039623260498,9.555337905883789
9,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the","After cornering her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the",man,8.112335205078125,8.799212455749512,8.314469337463379,8.373551368713379,8.35385799407959,9.053009986877441,9.062088966369629,8.298441886901855,8.952736854553223,7.622387886047363,8.363548278808594,8.846761703491211,8.11677360534668,9.056497573852539,8.616022109985352,9.079150199890137,8.02973461151123,8.111894607543945,8.349577903747559,7.768775463104248,8.623810768127441,8.376522064208984,8.718263626098633,8.064447402954102,8.95126724243164
9,CATAMARAN-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the","After cornering him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the",man,7.5852766036987305,8.268841743469238,7.878407001495361,7.853309631347656,7.28989315032959,8.57779598236084,8.707697868347168,7.983704090118408,8.672843933105469,7.2690253257751465,7.784467697143555,8.573939323425293,7.392221450805664,8.187400817871094,8.254842758178711,8.202205657958984,7.921025276184082,7.3478851318359375,8.041718482971191,6.961081027984619,8.6221342086792,8.191301345825195,8.294838905334473,7.534177303314209,8.302802085876465
