item,exp,pronoun,cond,contrast,target_changed,mask_sents,auto_sents,target,sent,model,surp
3,1,she,f,Match,0,"When she was fed up, the MASKTOKEN visited the boy very often.","When she was fed up, the",girl,"When she was fed up, the MASKTOKEN visited the boy very often.",wikitext-103_LSTM_400_1-d0.2.pt,8.997129440307617
3,1,he,f,Mismatch,0,"When he was fed up, the MASKTOKEN visited the boy very often.","When he was fed up, the",girl,"When he was fed up, the MASKTOKEN visited the boy very often.",wikitext-103_LSTM_400_1-d0.2.pt,10.20180892944336
4,1,he,m,Match,0,"When he was talking, the MASKTOKEN noticed the girl at the end of the street.","When he was talking, the",policeman,"When he was talking, the MASKTOKEN noticed the girl at the end of the street.",wikitext-103_LSTM_400_1-d0.2.pt,14.273674964904783
4,1,she,m,Mismatch,0,"When she was talking, the MASKTOKEN noticed the girl at the end of the street.","When she was talking, the",policeman,"When she was talking, the MASKTOKEN noticed the girl at the end of the street.",wikitext-103_LSTM_400_1-d0.2.pt,14.352994918823242
4,1,she,f,Match,1,"When she was talking, the MASKTOKEN noticed the policeman at the end of the street.","When she was talking, the",girl,"When she was talking, the MASKTOKEN noticed the policeman at the end of the street.",wikitext-103_LSTM_400_1-d0.2.pt,9.403867721557615
4,1,he,f,Mismatch,1,"When he was talking, the MASKTOKEN noticed the policeman at the end of the street.","When he was talking, the",girl,"When he was talking, the MASKTOKEN noticed the policeman at the end of the street.",wikitext-103_LSTM_400_1-d0.2.pt,10.644065856933594
5,1,he,m,Match,0,"When he was nearby, the MASKTOKEN saw the lady in the park.","When he was nearby, the",boy,"When he was nearby, the MASKTOKEN saw the lady in the park.",wikitext-103_LSTM_400_1-d0.2.pt,9.208760261535645
5,1,she,m,Mismatch,0,"When she was nearby, the MASKTOKEN saw the lady in the park.","When she was nearby, the",boy,"When she was nearby, the MASKTOKEN saw the lady in the park.",wikitext-103_LSTM_400_1-d0.2.pt,9.362563133239746
5,1,she,f,Match,1,"When she was nearby, the MASKTOKEN saw the boy in the park.","When she was nearby, the",lady,"When she was nearby, the MASKTOKEN saw the boy in the park.",wikitext-103_LSTM_400_1-d0.2.pt,11.78777313232422
5,1,he,f,Mismatch,1,"When he was nearby, the MASKTOKEN saw the boy in the park.","When he was nearby, the",lady,"When he was nearby, the MASKTOKEN saw the boy in the park.",wikitext-103_LSTM_400_1-d0.2.pt,12.788725852966309
6,1,he,m,Match,1,"When he was lost, the MASKTOKEN spotted the maid in the forest.","When he was lost, the",hunter,"When he was lost, the MASKTOKEN spotted the maid in the forest.",wikitext-103_LSTM_400_1-d0.2.pt,13.196415901184082
6,1,she,m,Mismatch,1,"When she was lost, the MASKTOKEN spotted the maid in the forest.","When she was lost, the",hunter,"When she was lost, the MASKTOKEN spotted the maid in the forest.",wikitext-103_LSTM_400_1-d0.2.pt,13.238574981689451
6,1,she,f,Match,1,"When she was lost, the MASKTOKEN spotted the hunter in the forest.","When she was lost, the",maid,"When she was lost, the MASKTOKEN spotted the hunter in the forest.",wikitext-103_LSTM_400_1-d0.2.pt,13.789029121398926
6,1,he,f,Mismatch,1,"When he was lost, the MASKTOKEN spotted the hunter in the forest.","When he was lost, the",maid,"When he was lost, the MASKTOKEN spotted the hunter in the forest.",wikitext-103_LSTM_400_1-d0.2.pt,14.984082221984863
7,1,he,m,Match,1,"When he was bad-tempered, the MASKTOKEN ignored the lady all day.","When he was bad-tempered, the",man,"When he was bad-tempered, the MASKTOKEN ignored the lady all day.",wikitext-103_LSTM_400_1-d0.2.pt,6.852062702178955
7,1,she,m,Mismatch,1,"When she was bad-tempered, the MASKTOKEN ignored the lady all day.","When she was bad-tempered, the",man,"When she was bad-tempered, the MASKTOKEN ignored the lady all day.",wikitext-103_LSTM_400_1-d0.2.pt,7.12454080581665
7,1,she,f,Match,1,"When she was bad-tempered, the MASKTOKEN ignored the man all day.","When she was bad-tempered, the",lady,"When she was bad-tempered, the MASKTOKEN ignored the man all day.",wikitext-103_LSTM_400_1-d0.2.pt,11.91164207458496
7,1,he,f,Mismatch,1,"When he was bad-tempered, the MASKTOKEN ignored the man all day.","When he was bad-tempered, the",lady,"When he was bad-tempered, the MASKTOKEN ignored the man all day.",wikitext-103_LSTM_400_1-d0.2.pt,13.030814170837402
8,1,he,m,Match,0,"When he was jealous, the MASKTOKEN angered the secretary more than ever.","When he was jealous, the",businessman,"When he was jealous, the MASKTOKEN angered the secretary more than ever.",wikitext-103_LSTM_400_1-d0.2.pt,13.89301300048828
8,1,she,m,Mismatch,0,"When she was jealous, the MASKTOKEN angered the secretary more than ever.","When she was jealous, the",businessman,"When she was jealous, the MASKTOKEN angered the secretary more than ever.",wikitext-103_LSTM_400_1-d0.2.pt,14.290291786193848
8,1,she,f,Match,1,"When she was jealous, the MASKTOKEN angered the businessman more than ever.","When she was jealous, the",secretary,"When she was jealous, the MASKTOKEN angered the businessman more than ever.",wikitext-103_LSTM_400_1-d0.2.pt,11.31765079498291
8,1,he,f,Mismatch,1,"When he was jealous, the MASKTOKEN angered the businessman more than ever.","When he was jealous, the",secretary,"When he was jealous, the MASKTOKEN angered the businessman more than ever.",wikitext-103_LSTM_400_1-d0.2.pt,11.1184663772583
9,1,he,m,Match,1,"When he was in residence, the MASKTOKEN annoyed the princess very much.","When he was in residence, the",lord,"When he was in residence, the MASKTOKEN annoyed the princess very much.",wikitext-103_LSTM_400_1-d0.2.pt,11.205392837524414
9,1,she,m,Mismatch,1,"When she was in residence, the MASKTOKEN annoyed the princess very much.","When she was in residence, the",lord,"When she was in residence, the MASKTOKEN annoyed the princess very much.",wikitext-103_LSTM_400_1-d0.2.pt,11.505749702453612
9,1,she,f,Match,0,"When she was in residence, the MASKTOKEN annoyed the lord very much.","When she was in residence, the",princess,"When she was in residence, the MASKTOKEN annoyed the lord very much.",wikitext-103_LSTM_400_1-d0.2.pt,10.970348358154297
9,1,he,f,Mismatch,0,"When he was in residence, the MASKTOKEN annoyed the lord very much.","When he was in residence, the",princess,"When he was in residence, the MASKTOKEN annoyed the lord very much.",wikitext-103_LSTM_400_1-d0.2.pt,11.99685287475586
10,1,he,m,Match,1,"When he was introduced, the MASKTOKEN shook the widow by the hand.","When he was introduced, the",sailor,"When he was introduced, the MASKTOKEN shook the widow by the hand.",wikitext-103_LSTM_400_1-d0.2.pt,13.797724723815918
10,1,she,m,Mismatch,1,"When she was introduced, the MASKTOKEN shook the widow by the hand.","When she was introduced, the",sailor,"When she was introduced, the MASKTOKEN shook the widow by the hand.",wikitext-103_LSTM_400_1-d0.2.pt,13.582249641418455
10,1,she,f,Match,1,"When she was introduced, the MASKTOKEN shook the sailor by the hand.","When she was introduced, the",widow,"When she was introduced, the MASKTOKEN shook the sailor by the hand.",wikitext-103_LSTM_400_1-d0.2.pt,12.447245597839355
10,1,he,f,Mismatch,1,"When he was introduced, the MASKTOKEN shook the sailor by the hand.","When he was introduced, the",widow,"When he was introduced, the MASKTOKEN shook the sailor by the hand.",wikitext-103_LSTM_400_1-d0.2.pt,12.968929290771484
11,1,he,m,Match,0,"When he arrived, the MASKTOKEN greeted the maid kindly.","When he arrived, the",master,"When he arrived, the MASKTOKEN greeted the maid kindly.",wikitext-103_LSTM_400_1-d0.2.pt,10.50566291809082
11,1,she,m,Mismatch,0,"When she arrived, the MASKTOKEN greeted the maid kindly.","When she arrived, the",master,"When she arrived, the MASKTOKEN greeted the maid kindly.",wikitext-103_LSTM_400_1-d0.2.pt,10.628093719482422
11,1,she,f,Match,1,"When she arrived, the MASKTOKEN greeted the master kindly.","When she arrived, the",maid,"When she arrived, the MASKTOKEN greeted the master kindly.",wikitext-103_LSTM_400_1-d0.2.pt,13.915837287902832
11,1,he,f,Mismatch,1,"When he arrived, the MASKTOKEN greeted the master kindly.","When he arrived, the",maid,"When he arrived, the MASKTOKEN greeted the master kindly.",wikitext-103_LSTM_400_1-d0.2.pt,15.083843231201172
12,1,he,m,Match,0,"When he felt sad, the MASKTOKEN hugged the woman gently.","When he felt sad, the",man,"When he felt sad, the MASKTOKEN hugged the woman gently.",wikitext-103_LSTM_400_1-d0.2.pt,7.489508152008057
12,1,she,m,Mismatch,0,"When she felt sad, the MASKTOKEN hugged the woman gently.","When she felt sad, the",man,"When she felt sad, the MASKTOKEN hugged the woman gently.",wikitext-103_LSTM_400_1-d0.2.pt,7.774293899536133
12,1,she,f,Match,0,"When she felt sad, the MASKTOKEN hugged the man gently.","When she felt sad, the",woman,"When she felt sad, the MASKTOKEN hugged the man gently.",wikitext-103_LSTM_400_1-d0.2.pt,8.369063377380371
12,1,he,f,Mismatch,0,"When he felt sad, the MASKTOKEN hugged the man gently.","When he felt sad, the",woman,"When he felt sad, the MASKTOKEN hugged the man gently.",wikitext-103_LSTM_400_1-d0.2.pt,9.74902629852295
13,1,he,m,Match,1,"When he was present, the MASKTOKEN embarrassed the actress all the time.","When he was present, the",actor,"When he was present, the MASKTOKEN embarrassed the actress all the time.",wikitext-103_LSTM_400_1-d0.2.pt,8.096379280090332
13,1,she,m,Mismatch,1,"When she was present, the MASKTOKEN embarrassed the actress all the time.","When she was present, the",actor,"When she was present, the MASKTOKEN embarrassed the actress all the time.",wikitext-103_LSTM_400_1-d0.2.pt,8.342825889587402
13,1,she,f,Match,0,"When she was present, the MASKTOKEN embarrassed the actor all the time.","When she was present, the",actress,"When she was present, the MASKTOKEN embarrassed the actor all the time.",wikitext-103_LSTM_400_1-d0.2.pt,8.693758964538574
13,1,he,f,Mismatch,0,"When he was present, the MASKTOKEN embarrassed the actor all the time.","When he was present, the",actress,"When he was present, the MASKTOKEN embarrassed the actor all the time.",wikitext-103_LSTM_400_1-d0.2.pt,10.197272300720217
14,1,he,m,Match,0,"When he was depressed, the MASKTOKEN invited the lady for a drink.","When he was depressed, the",lord,"When he was depressed, the MASKTOKEN invited the lady for a drink.",wikitext-103_LSTM_400_1-d0.2.pt,11.157824516296388
14,1,she,m,Mismatch,0,"When she was depressed, the MASKTOKEN invited the lady for a drink.","When she was depressed, the",lord,"When she was depressed, the MASKTOKEN invited the lady for a drink.",wikitext-103_LSTM_400_1-d0.2.pt,11.549221992492676
14,1,she,f,Match,1,"When she was depressed, the MASKTOKEN invited the lord for a drink.","When she was depressed, the",lady,"When she was depressed, the MASKTOKEN invited the lord for a drink.",wikitext-103_LSTM_400_1-d0.2.pt,11.455655097961426
14,1,he,f,Mismatch,1,"When he was depressed, the MASKTOKEN invited the lord for a drink.","When he was depressed, the",lady,"When he was depressed, the MASKTOKEN invited the lord for a drink.",wikitext-103_LSTM_400_1-d0.2.pt,12.460976600646973
15,1,he,m,Match,0,"When he was around, the MASKTOKEN helped the maid all the time.","When he was around, the",salesman,"When he was around, the MASKTOKEN helped the maid all the time.",wikitext-103_LSTM_400_1-d0.2.pt,15.272513389587402
15,1,she,m,Mismatch,0,"When she was around, the MASKTOKEN helped the maid all the time.","When she was around, the",salesman,"When she was around, the MASKTOKEN helped the maid all the time.",wikitext-103_LSTM_400_1-d0.2.pt,16.13385581970215
15,1,she,f,Match,1,"When she was around, the MASKTOKEN helped the salesman all the time.","When she was around, the",maid,"When she was around, the MASKTOKEN helped the salesman all the time.",wikitext-103_LSTM_400_1-d0.2.pt,13.24724006652832
15,1,he,f,Mismatch,1,"When he was around, the MASKTOKEN helped the salesman all the time.","When he was around, the",maid,"When he was around, the MASKTOKEN helped the salesman all the time.",wikitext-103_LSTM_400_1-d0.2.pt,14.347290992736816
16,1,he,m,Match,0,"When he was near, the MASKTOKEN approached the waitress on the plane.","When he was near, the",congressman,"When he was near, the MASKTOKEN approached the waitress on the plane.",wikitext-103_LSTM_400_1-d0.2.pt,16.211313247680664
16,1,she,m,Mismatch,0,"When she was near, the MASKTOKEN approached the waitress on the plane.","When she was near, the",congressman,"When she was near, the MASKTOKEN approached the waitress on the plane.",wikitext-103_LSTM_400_1-d0.2.pt,16.583803176879883
16,1,she,f,Match,1,"When she was near, the MASKTOKEN approached the congressman on the plane.","When she was near, the",waitress,"When she was near, the MASKTOKEN approached the congressman on the plane.",wikitext-103_LSTM_400_1-d0.2.pt,15.40680694580078
16,1,he,f,Mismatch,1,"When he was near, the MASKTOKEN approached the congressman on the plane.","When he was near, the",waitress,"When he was near, the MASKTOKEN approached the congressman on the plane.",wikitext-103_LSTM_400_1-d0.2.pt,16.71356201171875
17,1,he,m,Match,0,"When he was in court, the MASKTOKEN trusted the lady most of all.","When he was in court, the",knight,"When he was in court, the MASKTOKEN trusted the lady most of all.",wikitext-103_LSTM_400_1-d0.2.pt,14.116843223571776
17,1,she,m,Mismatch,0,"When she was in court, the MASKTOKEN trusted the lady most of all.","When she was in court, the",knight,"When she was in court, the MASKTOKEN trusted the lady most of all.",wikitext-103_LSTM_400_1-d0.2.pt,14.023812294006348
17,1,she,f,Match,1,"When she was in court, the MASKTOKEN trusted the knight most of all.","When she was in court, the",lady,"When she was in court, the MASKTOKEN trusted the knight most of all.",wikitext-103_LSTM_400_1-d0.2.pt,11.457467079162598
17,1,he,f,Mismatch,1,"When he was in court, the MASKTOKEN trusted the knight most of all.","When he was in court, the",lady,"When he was in court, the MASKTOKEN trusted the knight most of all.",wikitext-103_LSTM_400_1-d0.2.pt,12.537108421325684
18,1,he,m,Match,1,"When he was poorly, the MASKTOKEN depressed the actress very often.","When he was poorly, the",man,"When he was poorly, the MASKTOKEN depressed the actress very often.",wikitext-103_LSTM_400_1-d0.2.pt,7.7496442794799805
18,1,she,m,Mismatch,1,"When she was poorly, the MASKTOKEN depressed the actress very often.","When she was poorly, the",man,"When she was poorly, the MASKTOKEN depressed the actress very often.",wikitext-103_LSTM_400_1-d0.2.pt,8.104970932006836
18,1,she,f,Match,0,"When she was poorly, the MASKTOKEN depressed the man very often.","When she was poorly, the",actress,"When she was poorly, the MASKTOKEN depressed the man very often.",wikitext-103_LSTM_400_1-d0.2.pt,9.312041282653809
18,1,he,f,Mismatch,0,"When he was poorly, the MASKTOKEN depressed the man very often.","When he was poorly, the",actress,"When he was poorly, the MASKTOKEN depressed the man very often.",wikitext-103_LSTM_400_1-d0.2.pt,10.911283493041992
19,1,he,m,Match,0,"When he arrived, the MASKTOKEN upset the lady with the story.","When he arrived, the",policeman,"When he arrived, the MASKTOKEN upset the lady with the story.",wikitext-103_LSTM_400_1-d0.2.pt,14.49516773223877
19,1,she,m,Mismatch,0,"When she arrived, the MASKTOKEN upset the lady with the story.","When she arrived, the",policeman,"When she arrived, the MASKTOKEN upset the lady with the story.",wikitext-103_LSTM_400_1-d0.2.pt,14.490718841552734
19,1,she,f,Match,0,"When she arrived, the MASKTOKEN upset the policeman with the story.","When she arrived, the",lady,"When she arrived, the MASKTOKEN upset the policeman with the story.",wikitext-103_LSTM_400_1-d0.2.pt,11.92075538635254
19,1,he,f,Mismatch,0,"When he arrived, the MASKTOKEN upset the policeman with the story.","When he arrived, the",lady,"When he arrived, the MASKTOKEN upset the policeman with the story.",wikitext-103_LSTM_400_1-d0.2.pt,12.916122436523438
20,1,he,m,Match,0,"When he was appointed, the MASKTOKEN bribed the secretary shortly afterwards.","When he was appointed, the",chairman,"When he was appointed, the MASKTOKEN bribed the secretary shortly afterwards.",wikitext-103_LSTM_400_1-d0.2.pt,9.82308578491211
20,1,she,m,Mismatch,0,"When she was appointed, the MASKTOKEN bribed the secretary shortly afterwards.","When she was appointed, the",chairman,"When she was appointed, the MASKTOKEN bribed the secretary shortly afterwards.",wikitext-103_LSTM_400_1-d0.2.pt,10.14891529083252
20,1,she,f,Match,1,"When she was appointed, the MASKTOKEN bribed the chairman shortly afterwards.","When she was appointed, the",secretary,"When she was appointed, the MASKTOKEN bribed the chairman shortly afterwards.",wikitext-103_LSTM_400_1-d0.2.pt,10.110848426818848
20,1,he,f,Mismatch,1,"When he was appointed, the MASKTOKEN bribed the chairman shortly afterwards.","When he was appointed, the",secretary,"When he was appointed, the MASKTOKEN bribed the chairman shortly afterwards.",wikitext-103_LSTM_400_1-d0.2.pt,9.962475776672363
21,1,he,m,Match,1,"When he was fired, the MASKTOKEN blamed the woman for the mess.","When he was fired, the",man,"When he was fired, the MASKTOKEN blamed the woman for the mess.",wikitext-103_LSTM_400_1-d0.2.pt,7.751590251922607
21,1,she,m,Mismatch,1,"When she was fired, the MASKTOKEN blamed the woman for the mess.","When she was fired, the",man,"When she was fired, the MASKTOKEN blamed the woman for the mess.",wikitext-103_LSTM_400_1-d0.2.pt,8.066882133483887
21,1,she,f,Match,1,"When she was fired, the MASKTOKEN blamed the man for the mess.","When she was fired, the",woman,"When she was fired, the MASKTOKEN blamed the man for the mess.",wikitext-103_LSTM_400_1-d0.2.pt,8.333362579345703
21,1,he,f,Mismatch,1,"When he was fired, the MASKTOKEN blamed the man for the mess.","When he was fired, the",woman,"When he was fired, the MASKTOKEN blamed the man for the mess.",wikitext-103_LSTM_400_1-d0.2.pt,9.662102699279783
22,1,he,m,Match,1,"When he was close, the MASKTOKEN recognized the girl on the path.","When he was close, the",boy,"When he was close, the MASKTOKEN recognized the girl on the path.",wikitext-103_LSTM_400_1-d0.2.pt,9.529389381408691
22,1,she,m,Mismatch,1,"When she was close, the MASKTOKEN recognized the girl on the path.","When she was close, the",boy,"When she was close, the MASKTOKEN recognized the girl on the path.",wikitext-103_LSTM_400_1-d0.2.pt,9.69011116027832
22,1,she,f,Match,1,"When she was close, the MASKTOKEN recognized the boy on the path.","When she was close, the",girl,"When she was close, the MASKTOKEN recognized the boy on the path.",wikitext-103_LSTM_400_1-d0.2.pt,9.763320922851562
22,1,he,f,Mismatch,1,"When he was close, the MASKTOKEN recognized the boy on the path.","When he was close, the",girl,"When he was close, the MASKTOKEN recognized the boy on the path.",wikitext-103_LSTM_400_1-d0.2.pt,11.01963233947754
23,1,he,m,Match,0,"When he was retired, the MASKTOKEN visited the lady almost every day.","When he was retired, the",lord,"When he was retired, the MASKTOKEN visited the lady almost every day.",wikitext-103_LSTM_400_1-d0.2.pt,11.325812339782717
23,1,she,m,Mismatch,0,"When she was retired, the MASKTOKEN visited the lady almost every day.","When she was retired, the",lord,"When she was retired, the MASKTOKEN visited the lady almost every day.",wikitext-103_LSTM_400_1-d0.2.pt,11.64740753173828
23,1,she,f,Match,0,"When she was retired, the MASKTOKEN visited the lord almost every day.","When she was retired, the",lady,"When she was retired, the MASKTOKEN visited the lord almost every day.",wikitext-103_LSTM_400_1-d0.2.pt,11.6281156539917
23,1,he,f,Mismatch,0,"When he was retired, the MASKTOKEN visited the lord almost every day.","When he was retired, the",lady,"When he was retired, the MASKTOKEN visited the lord almost every day.",wikitext-103_LSTM_400_1-d0.2.pt,12.641077041625977
24,1,he,m,Match,1,"When he was abroad, the MASKTOKEN forgave the lady for all the troubles.","When he was abroad, the",lord,"When he was abroad, the MASKTOKEN forgave the lady for all the troubles.",wikitext-103_LSTM_400_1-d0.2.pt,11.51609706878662
24,1,she,m,Mismatch,1,"When she was abroad, the MASKTOKEN forgave the lady for all the troubles.","When she was abroad, the",lord,"When she was abroad, the MASKTOKEN forgave the lady for all the troubles.",wikitext-103_LSTM_400_1-d0.2.pt,11.846196174621582
24,1,she,f,Match,1,"When she was abroad, the MASKTOKEN forgave the duke for all the troubles.","When she was abroad, the",lady,"When she was abroad, the MASKTOKEN forgave the duke for all the troubles.",wikitext-103_LSTM_400_1-d0.2.pt,11.76768684387207
24,1,he,f,Mismatch,1,"When he was abroad, the MASKTOKEN forgave the duke for all the troubles.","When he was abroad, the",lady,"When he was abroad, the MASKTOKEN forgave the duke for all the troubles.",wikitext-103_LSTM_400_1-d0.2.pt,12.738041877746582
25,1,he,m,Match,0,"When he was discovered, the MASKTOKEN blamed the mistress straight away.","When he was discovered, the",husband,"When he was discovered, the MASKTOKEN blamed the mistress straight away.",wikitext-103_LSTM_400_1-d0.2.pt,12.264586448669434
25,1,she,m,Mismatch,0,"When she was discovered, the MASKTOKEN blamed the mistress straight away.","When she was discovered, the",husband,"When she was discovered, the MASKTOKEN blamed the mistress straight away.",wikitext-103_LSTM_400_1-d0.2.pt,10.751639366149902
25,1,she,f,Match,0,"When she was discovered, the MASKTOKEN blamed the husband straight away.","When she was discovered, the",mistress,"When she was discovered, the MASKTOKEN blamed the husband straight away.",wikitext-103_LSTM_400_1-d0.2.pt,13.886896133422852
25,1,he,f,Mismatch,0,"When he was discovered, the MASKTOKEN blamed the husband straight away.","When he was discovered, the",mistress,"When he was discovered, the MASKTOKEN blamed the husband straight away.",wikitext-103_LSTM_400_1-d0.2.pt,14.731773376464844
26,1,he,m,Match,1,"When he was busy, the MASKTOKEN avoided the lady as much as possible.","When he was busy, the",man,"When he was busy, the MASKTOKEN avoided the lady as much as possible.",wikitext-103_LSTM_400_1-d0.2.pt,8.556177139282227
26,1,she,m,Mismatch,1,"When she was busy, the MASKTOKEN avoided the lady as much as possible.","When she was busy, the",man,"When she was busy, the MASKTOKEN avoided the lady as much as possible.",wikitext-103_LSTM_400_1-d0.2.pt,8.935951232910156
26,1,she,f,Match,1,"When she was busy, the MASKTOKEN avoided the man as much as possible.","When she was busy, the",lady,"When she was busy, the MASKTOKEN avoided the man as much as possible.",wikitext-103_LSTM_400_1-d0.2.pt,12.00969696044922
26,1,he,f,Mismatch,1,"When he was busy, the MASKTOKEN avoided the man as much as possible.","When he was busy, the",lady,"When he was busy, the MASKTOKEN avoided the man as much as possible.",wikitext-103_LSTM_400_1-d0.2.pt,13.00125217437744
27,1,he,m,Match,0,"When he was twenty-one, the MASKTOKEN married the bride in the cathedral.","When he was twenty-one, the",prince,"When he was twenty-one, the MASKTOKEN married the bride in the cathedral.",wikitext-103_LSTM_400_1-d0.2.pt,9.875061988830566
27,1,she,m,Mismatch,0,"When she was twenty-one, the MASKTOKEN married the bride in the cathedral.","When she was twenty-one, the",prince,"When she was twenty-one, the MASKTOKEN married the bride in the cathedral.",wikitext-103_LSTM_400_1-d0.2.pt,9.750494003295898
27,1,she,f,Match,0,"When she was twenty-one, the MASKTOKEN married the prince in the cathedral.","When she was twenty-one, the",bride,"When she was twenty-one, the MASKTOKEN married the prince in the cathedral.",wikitext-103_LSTM_400_1-d0.2.pt,12.21872615814209
27,1,he,f,Mismatch,0,"When he was twenty-one, the MASKTOKEN married the prince in the cathedral.","When he was twenty-one, the",bride,"When he was twenty-one, the MASKTOKEN married the prince in the cathedral.",wikitext-103_LSTM_400_1-d0.2.pt,13.252894401550291
28,1,he,m,Match,0,"When he was annoyed, the MASKTOKEN disliked the maid very much.","When he was annoyed, the",general,"When he was annoyed, the MASKTOKEN disliked the maid very much.",wikitext-103_LSTM_400_1-d0.2.pt,9.443962097167969
28,1,she,m,Mismatch,0,"When she was annoyed, the MASKTOKEN disliked the maid very much.","When she was annoyed, the",general,"When she was annoyed, the MASKTOKEN disliked the maid very much.",wikitext-103_LSTM_400_1-d0.2.pt,9.648469924926758
28,1,she,f,Match,1,"When she was annoyed, the MASKTOKEN disliked the general very much.","When she was annoyed, the",maid,"When she was annoyed, the MASKTOKEN disliked the general very much.",wikitext-103_LSTM_400_1-d0.2.pt,13.856660842895508
28,1,he,f,Mismatch,1,"When he was annoyed, the MASKTOKEN disliked the general very much.","When he was annoyed, the",maid,"When he was annoyed, the MASKTOKEN disliked the general very much.",wikitext-103_LSTM_400_1-d0.2.pt,15.008280754089355
29,1,he,m,Match,1,"When he was in church, the MASKTOKEN congratulated the sister about the charity work.","When he was in church, the",priest,"When he was in church, the MASKTOKEN congratulated the sister about the charity work.",wikitext-103_LSTM_400_1-d0.2.pt,11.287689208984377
29,1,she,m,Mismatch,1,"When she was in church, the MASKTOKEN congratulated the sister about the charity work.","When she was in church, the",priest,"When she was in church, the MASKTOKEN congratulated the sister about the charity work.",wikitext-103_LSTM_400_1-d0.2.pt,11.433040618896484
29,1,she,f,Match,0,"When she was in church, the MASKTOKEN congratulated the priest about the charity work.","When she was in church, the",sister,"When she was in church, the MASKTOKEN congratulated the priest about the charity work.",wikitext-103_LSTM_400_1-d0.2.pt,12.18341064453125
29,1,he,f,Mismatch,0,"When he was in church, the MASKTOKEN congratulated the priest about the charity work.","When he was in church, the",sister,"When he was in church, the MASKTOKEN congratulated the priest about the charity work.",wikitext-103_LSTM_400_1-d0.2.pt,12.911198616027832
30,1,he,m,Match,0,"When he was banished, the MASKTOKEN missed the witch a great deal.","When he was banished, the",wizard,"When he was banished, the MASKTOKEN missed the witch a great deal.",wikitext-103_LSTM_400_1-d0.2.pt,13.180049896240234
30,1,she,m,Mismatch,0,"When she was banished, the MASKTOKEN missed the witch a great deal.","When she was banished, the",wizard,"When she was banished, the MASKTOKEN missed the witch a great deal.",wikitext-103_LSTM_400_1-d0.2.pt,13.442927360534668
30,1,she,f,Match,0,"When she was banished, the MASKTOKEN missed the wizard a great deal.","When she was banished, the",witch,"When she was banished, the MASKTOKEN missed the wizard a great deal.",wikitext-103_LSTM_400_1-d0.2.pt,13.700064659118652
30,1,he,f,Mismatch,0,"When he was banished, the MASKTOKEN missed the wizard a great deal.","When he was banished, the",witch,"When he was banished, the MASKTOKEN missed the wizard a great deal.",wikitext-103_LSTM_400_1-d0.2.pt,14.844176292419434
31,1,he,m,Match,0,"When he was angry, the MASKTOKEN ignored the lady all the time.","When he was angry, the",man,"When he was angry, the MASKTOKEN ignored the lady all the time.",wikitext-103_LSTM_400_1-d0.2.pt,8.028037071228027
