item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/gpt2-xl_surp,/data/transfo-xl-wt103_surp
5,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,5.366218566894531,9.392985343933105
5,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,5.093247890472412,7.309916973114014
5,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before interrogating her informant about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the","Before interrogating her informant about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the",man,6.442672252655029,8.162238121032715
5,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before interrogating his informant about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating his informant about the crime, the","Before interrogating his informant about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating his informant about the crime, the",man,6.136636734008789,5.308548450469971
6,CATAMARAN-GEN-Match,No Constraint,Match,his,"After embarrassing his guests during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing his guests during the party, the","After embarrassing his guests during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing his guests during the party, the",man,6.694913864135742,9.937519073486328
6,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the","After embarrassing her during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party, the",man,7.124472618103027,11.461832046508789
6,CATAMARAN-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the","After embarrassing him during the party, the MASKTOKEN promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party, the",man,6.66110897064209,8.078389167785645
6,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After embarrassing her guests during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her guests during the party, the","After embarrassing her guests during the party, the MASKTOKEN promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her guests during the party, the",man,7.964293479919434,12.43610668182373
7,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While helping her secretary shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her secretary shred the documents, the","While helping her secretary shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her secretary shred the documents, the",man,6.751818656921387,11.79612922668457
7,CATAMARAN-GEN-Match,No Constraint,Match,his,"While helping his secretary shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping his secretary shred the documents, the","While helping his secretary shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping his secretary shred the documents, the",man,5.347342491149902,10.477079391479492
7,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the","While helping her shred the documents, the MASKTOKEN tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents, the",man,6.145473957061768,11.42708683013916
7,CATAMARAN-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the","While helping him shred the documents, the MASKTOKEN tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the",man,6.160301685333252,10.725357055664062
8,CATAMARAN-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the","While reading him a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",man,5.291630268096924,6.799840927124023
8,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While reading her grand kids a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her grand kids a bedtime story, the","While reading her grand kids a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her grand kids a bedtime story, the",man,6.442514896392822,12.563833236694336
8,CATAMARAN-GEN-Match,No Constraint,Match,his,"While reading his grand kids a bedtime story, William gently gestured to Luis to turn off the lights.","While reading his grand kids a bedtime story, the","While reading his grand kids a bedtime story, the MASKTOKEN gently gestured to Luis to turn off the lights.","While reading his grand kids a bedtime story, the",man,4.685837268829346,10.203619956970215
8,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the","While reading her a bedtime story, the MASKTOKEN gently gestured to Olivia to turn off the lights.","While reading her a bedtime story, the",man,5.630660533905029,10.17977237701416
9,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the","After cornering her next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler, the",man,6.9715704917907715,10.346583366394043
9,CATAMARAN-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the","After cornering him next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the",man,5.628443241119385,6.158300876617432
9,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After cornering her intern next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her intern next to the water cooler, the","After cornering her intern next to the water cooler, the MASKTOKEN loudly insulted Annie much to everyone's horror.","After cornering her intern next to the water cooler, the",man,6.512777805328369,9.546693801879883
9,CATAMARAN-GEN-Match,No Constraint,Match,his,"After cornering his intern next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering his intern next to the water cooler, the","After cornering his intern next to the water cooler, the MASKTOKEN loudly insulted Jorge much to everyone's horror.","After cornering his intern next to the water cooler, the",man,5.056869029998779,4.565379619598389
10,CATAMARAN-GEN-Match,No Constraint,Match,his,"After weighing his patient on the scale, Jonathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing his patient on the scale, the","After weighing his patient on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing his patient on the scale, the",man,6.981451034545898,7.5098748207092285
10,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After weighing her on the scale, Jonathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the","After weighing her on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale, the",man,7.605208396911621,11.73344612121582
10,CATAMARAN-OBJ-Match,Constraint,Match,him,"After weighing him on the scale, Jonathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the","After weighing him on the scale, the MASKTOKEN calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale, the",man,6.148971080780029,8.483806610107422
10,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After weighing her patient on the scale, Jonathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her patient on the scale, the","After weighing her patient on the scale, the MASKTOKEN calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her patient on the scale, the",man,9.04189395904541,10.36793041229248
11,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before spotting her instructor at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her instructor at yoga class, the","Before spotting her instructor at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her instructor at yoga class, the",man,5.408698081970215,8.065519332885742
11,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before spotting his instructor at yoga class, Zachary secretly followed Christian around town.","Before spotting his instructor at yoga class, the","Before spotting his instructor at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting his instructor at yoga class, the",man,4.021822452545166,6.527978420257568
11,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before spotting her at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her at yoga class, the","Before spotting her at yoga class, the MASKTOKEN secretly followed Kaitlyn around town.","Before spotting her at yoga class, the",man,5.599293231964111,9.827964782714844
11,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before spotting him at yoga class, Zachary secretly followed Christian around town.","Before spotting him at yoga class, the","Before spotting him at yoga class, the MASKTOKEN secretly followed Christian around town.","Before spotting him at yoga class, the",man,4.554583549499512,8.184234619140625
12,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before visiting him on Sunday afternoons, Benjamin usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the","Before visiting him on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons, the",man,5.687599182128906,7.703824996948242
12,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before visiting her family on Sunday afternoons, Benjamin usually called Mary up to confirm that they were still free.","Before visiting her family on Sunday afternoons, the","Before visiting her family on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that they were still free.","Before visiting her family on Sunday afternoons, the",man,7.17750883102417,10.110503196716309
12,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before visiting his family on Sunday afternoons, Benjamin usually called Jason up to confirm that they were still free.","Before visiting his family on Sunday afternoons, the","Before visiting his family on Sunday afternoons, the MASKTOKEN usually called Jason up to confirm that they were still free.","Before visiting his family on Sunday afternoons, the",man,6.169757843017578,8.118566513061523
12,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before visiting her on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the","Before visiting her on Sunday afternoons, the MASKTOKEN usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons, the",man,6.332380294799805,10.515079498291016
13,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After having him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the","After having him in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the",woman,9.067452430725098,12.230862617492676
13,CATAMARAN-OBJ-Match,Constraint,Match,her,"After having her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the","After having her in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes, the",woman,6.966001510620117,8.27374267578125
13,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After having his therapist in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having his therapist in multiple classes, the","After having his therapist in multiple classes, the MASKTOKEN finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having his therapist in multiple classes, the",woman,7.910394668579102,11.117873191833496
13,CATAMARAN-GEN-Match,No Constraint,Match,her,"After having her therapist in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her therapist in multiple classes, the","After having her therapist in multiple classes, the MASKTOKEN finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her therapist in multiple classes, the",woman,5.843990802764893,7.473289489746094
14,CATAMARAN-GEN-Match,No Constraint,Match,her,"After buying her colleague a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her colleague a pumpkin-spice latte, the","After buying her colleague a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her colleague a pumpkin-spice latte, the",woman,3.833209753036499,7.658687114715576
14,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After buying him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the","After buying him a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte, the",woman,6.493376731872559,11.08879566192627
14,CATAMARAN-OBJ-Match,Constraint,Match,her,"After buying her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the","After buying her a pumpkin-spice latte, the MASKTOKEN generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte, the",woman,3.985218048095703,7.935585021972656
14,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After buying his colleague a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying his colleague a pumpkin-spice latte, the","After buying his colleague a pumpkin-spice latte, the MASKTOKEN generously offered Austin the best seat at the conference table.","After buying his colleague a pumpkin-spice latte, the",woman,8.099127769470215,11.089695930480957
15,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"While writing his editor a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing his editor a reminder note, the","While writing his editor a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing his editor a reminder note, the",woman,8.148531913757324,10.976631164550781
15,CATAMARAN-GEN-Match,No Constraint,Match,her,"While writing her editor a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her editor a reminder note, the","While writing her editor a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her editor a reminder note, the",woman,4.997425079345703,5.921273231506348
15,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"While writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the","While writing him a reminder note, the MASKTOKEN vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note, the",woman,6.371925354003906,12.59467601776123
15,CATAMARAN-OBJ-Match,Constraint,Match,her,"While writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the","While writing her a reminder note, the MASKTOKEN vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note, the",woman,4.760955333709717,7.177206516265869
16,CATAMARAN-OBJ-Match,Constraint,Match,her,"After pouring her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the","After pouring her some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the",woman,4.203232765197754,7.802861213684082
16,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After pouring his mother some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring his mother some hot tea, the","After pouring his mother some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring his mother some hot tea, the",woman,7.978649139404297,6.200891017913818
16,CATAMARAN-GEN-Match,No Constraint,Match,her,"After pouring her mother some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her mother some hot tea, the","After pouring her mother some hot tea, the MASKTOKEN accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her mother some hot tea, the",woman,4.347504138946533,6.1885809898376465
16,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After pouring him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the","After pouring him some hot tea, the MASKTOKEN accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea, the",woman,6.728397846221924,10.98414134979248
17,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After leaving him a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving him a voice message, the","After leaving him a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After leaving him a voice message, the",woman,5.119344711303711,11.398824691772461
17,CATAMARAN-OBJ-Match,Constraint,Match,her,"After leaving her a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her a voice message, the","After leaving her a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her a voice message, the",woman,4.009642124176025,7.714730262756348
17,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After leaving his partner a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving his partner a voice message, the","After leaving his partner a voice message, the MASKTOKEN also sent Marcus a text containing the same information.","After leaving his partner a voice message, the",woman,4.986055374145508,8.870763778686523
17,CATAMARAN-GEN-Match,No Constraint,Match,her,"After leaving her partner a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her partner a voice message, the","After leaving her partner a voice message, the MASKTOKEN also sent Marissa a text containing the same information.","After leaving her partner a voice message, the",woman,3.088733434677124,7.5813069343566895
18,CATAMARAN-GEN-Match,No Constraint,Match,her,"After sending her boss a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her boss a thank-you note, the","After sending her boss a thank-you note, the MASKTOKEN thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her boss a thank-you note, the",woman,3.4540510177612305,5.819268226623535
18,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After sending him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending him a thank-you note, the","After sending him a thank-you note, the MASKTOKEN thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending him a thank-you note, the",woman,6.547082901000977,10.951308250427246
18,CATAMARAN-OBJ-Match,Constraint,Match,her,"After sending her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her a thank-you note, the","After sending her a thank-you note, the MASKTOKEN thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her a thank-you note, the",woman,4.784639358520508,5.966193675994873
18,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After sending his boss a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending his boss a thank-you note, the","After sending his boss a thank-you note, the MASKTOKEN thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending his boss a thank-you note, the",woman,7.297530651092529,10.516096115112305
19,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"Before taking his kids on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking his kids on the roller coaster, the","Before taking his kids on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking his kids on the roller coaster, the",woman,7.6781392097473145,15.974396705627441
19,CATAMARAN-GEN-Match,No Constraint,Match,her,"Before taking her kids on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her kids on the roller coaster, the","Before taking her kids on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her kids on the roller coaster, the",woman,4.532247066497803,13.601582527160645
19,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"Before taking him on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the","Before taking him on the roller coaster, the MASKTOKEN calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the",woman,8.340907096862793,14.136274337768555
19,CATAMARAN-OBJ-Match,Constraint,Match,her,"Before taking her on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster, the","Before taking her on the roller coaster, the MASKTOKEN calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster, the",woman,5.19001579284668,11.082048416137695
20,CATAMARAN-OBJ-Match,Constraint,Match,her,"After taking her to any social event, Rebecca always checked with Julia to see whether she actually had a good time.","After taking her to any social event, the","After taking her to any social event, the MASKTOKEN always checked with Julia to see whether she actually had a good time.","After taking her to any social event, the",woman,6.192123889923096,6.247191429138184
20,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"After taking his clients to any social event, Rebecca always checked with Elijah to see whether they actually had a good time.","After taking his clients to any social event, the","After taking his clients to any social event, the MASKTOKEN always checked with Elijah to see whether they actually had a good time.","After taking his clients to any social event, the",woman,8.142078399658203,10.346639633178711
20,CATAMARAN-GEN-Match,No Constraint,Match,her,"After taking her clients to any social event, Rebecca always checked with Julia to see whether they actually had a good time.","After taking her clients to any social event, the","After taking her clients to any social event, the MASKTOKEN always checked with Julia to see whether they actually had a good time.","After taking her clients to any social event, the",woman,5.74993371963501,7.872320175170898
20,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After taking him to any social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking him to any social event, the","After taking him to any social event, the MASKTOKEN always checked with Elijah to see whether he actually had a good time.","After taking him to any social event, the",woman,7.424801826477051,10.419526100158691
21,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"Before showing him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the","Before showing him any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings, the",woman,7.014400482177734,12.091032028198242
21,CATAMARAN-OBJ-Match,Constraint,Match,her,"Before showing her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the","Before showing her any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings, the",woman,4.798220157623291,8.148152351379395
21,CATAMARAN-GEN-Misma,No Constraint,Mismatch,his,"Before showing his patron any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing his patron any new paintings, the","Before showing his patron any new paintings, the MASKTOKEN typically consulted Shawn to see which pieces were the best.","Before showing his patron any new paintings, the",woman,8.531628608703613,10.133727073669434
21,CATAMARAN-GEN-Match,No Constraint,Match,her,"Before showing her patron any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her patron any new paintings, the","Before showing her patron any new paintings, the MASKTOKEN typically consulted Kelly to see which pieces were the best.","Before showing her patron any new paintings, the",woman,5.045888900756836,7.551490306854248
22,CATAMARAN-GEN-Match,No Constraint,Match,her,"After nominating her roommate for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her roommate for class president, the","After nominating her roommate for class president, the MASKTOKEN publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her roommate for class president, the",woman,6.777224063873291,8.284332275390625
22,CATAMARAN-OBJ-Misma,Constraint,Mismatch,him,"After nominating him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the","After nominating him for class president, the MASKTOKEN publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the",woman,9.0618314743042,13.653740882873535
