item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target
5,1,Match_Match_Match,Match,Match,Match,prince,hero,groom,m,m,m,the prince told the hero that the groom might introduce MASKTOKEN to the French count.,the prince told the hero that the groom might introduce,him
5,1,Match_Match_Mismatch,Match,Match,Mismatch,prince,hero,bride,m,m,f,the prince told the hero that the bride might introduce MASKTOKEN to the French count.,the prince told the hero that the bride might introduce,him
5,1,Match_Mismatch_Match,Match,Mismatch,Match,prince,heroine,groom,m,f,m,the prince told the heroine that the groom might introduce MASKTOKEN to the French count.,the prince told the heroine that the groom might introduce,him
5,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,prince,heroine,bride,m,f,f,the prince told the heroine that the bride might introduce MASKTOKEN to the French count.,the prince told the heroine that the bride might introduce,him
5,1,Mismatch_Match_Match,Mismatch,Match,Match,princess,hero,groom,f,m,m,the princess told the hero that the groom might introduce MASKTOKEN to the French count.,the princess told the hero that the groom might introduce,him
5,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,princess,hero,bride,f,m,f,the princess told the hero that the bride might introduce MASKTOKEN to the French count.,the princess told the hero that the bride might introduce,him
5,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,princess,heroine,groom,f,f,m,the princess told the heroine that the groom might introduce MASKTOKEN to the French count.,the princess told the heroine that the groom might introduce,him
5,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,princess,heroine,bride,f,f,f,the princess told the heroine that the bride might introduce MASKTOKEN to the French count.,the princess told the heroine that the bride might introduce,him
6,1,Match_Match_Match,Match,Match,Match,lord,master,priest,m,m,m,the lord told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the priest might introduce,him
6,1,Match_Match_Mismatch,Match,Match,Mismatch,lord,master,nun,m,m,f,the lord told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the nun might introduce,him
6,1,Match_Mismatch_Match,Match,Mismatch,Match,lord,mistress,priest,m,f,m,the lord told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the priest might introduce,him
6,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,lord,mistress,nun,m,f,f,the lord told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the nun might introduce,him
6,1,Mismatch_Match_Match,Mismatch,Match,Match,lady,master,priest,f,m,m,the lady told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the priest might introduce,him
6,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,lady,master,nun,f,m,f,the lady told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the nun might introduce,him
6,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,lady,mistress,priest,f,f,m,the lady told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the priest might introduce,him
6,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,lady,mistress,nun,f,f,f,the lady told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the nun might introduce,him
7,1,Match_Match_Match,Match,Match,Match,king,policeman,driver,m,m,m,the king told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the driver would not forgive,him
7,1,Match_Match_Mismatch,Match,Match,Mismatch,king,policeman,maid,m,m,f,the king told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the maid would not forgive,him
7,1,Match_Mismatch_Match,Match,Mismatch,Match,king,police woman,driver,m,f,m,the king told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the driver would not forgive,him
7,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,king,police woman,maid,m,f,f,the king told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the maid would not forgive,him
7,1,Mismatch_Match_Match,Mismatch,Match,Match,queen,policeman,driver,f,m,m,the queen told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the driver would not forgive,him
7,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,queen,policeman,maid,f,m,f,the queen told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the maid would not forgive,him
7,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,queen,police woman,driver,f,f,m,the queen told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the driver would not forgive,him
7,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,queen,police woman,maid,f,f,f,the queen told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the maid would not forgive,him
8,1,Match_Match_Match,Match,Match,Match,waiter,priest,professor,m,m,m,the waiter told the priest that the professor would take care of MASKTOKEN during the holidays.,the waiter told the priest that the professor would take care of,him
8,1,Match_Match_Mismatch,Match,Match,Mismatch,waiter,priest,secretary,m,m,f,the waiter told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the priest that the secretary would take care of,him
8,1,Match_Mismatch_Match,Match,Mismatch,Match,waiter,nun,professor,m,f,m,the waiter told the nun that the professor would take care of MASKTOKEN during the holidays.,the waiter told the nun that the professor would take care of,him
8,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,waiter,nun,secretary,m,f,f,the waiter told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the nun that the secretary would take care of,him
8,1,Mismatch_Match_Match,Mismatch,Match,Match,waitress,priest,professor,f,m,m,the waitress told the priest that the professor would take care of MASKTOKEN during the holidays.,the waitress told the priest that the professor would take care of,him
8,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,waitress,priest,secretary,f,m,f,the waitress told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the priest that the secretary would take care of,him
8,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,waitress,nun,professor,f,f,m,the waitress told the nun that the professor would take care of MASKTOKEN during the holidays.,the waitress told the nun that the professor would take care of,him
8,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,waitress,nun,secretary,f,f,f,the waitress told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the nun that the secretary would take care of,him
9,1,Match_Match_Match,Match,Match,Match,actor,hunter,brother,m,m,m,the actor told the hunter that the brother would protect MASKTOKEN from getting hurt.,the actor told the hunter that the brother would protect,him
9,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,hunter,sister,m,m,f,the actor told the hunter that the sister would protect MASKTOKEN from getting hurt.,the actor told the hunter that the sister would protect,him
9,1,Match_Mismatch_Match,Match,Mismatch,Match,actor,female hunter,brother,m,f,m,the actor told the female hunter that the brother would protect MASKTOKEN from getting hurt.,the actor told the female hunter that the brother would protect,him
9,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,actor,female hunter,sister,m,f,f,the actor told the female hunter that the sister would protect MASKTOKEN from getting hurt.,the actor told the female hunter that the sister would protect,him
9,1,Mismatch_Match_Match,Mismatch,Match,Match,actress,hunter,brother,f,m,m,the actress told the hunter that the brother would protect MASKTOKEN from getting hurt.,the actress told the hunter that the brother would protect,him
9,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,actress,hunter,sister,f,m,f,the actress told the hunter that the sister would protect MASKTOKEN from getting hurt.,the actress told the hunter that the sister would protect,him
9,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,actress,female hunter,brother,f,f,m,the actress told the female hunter that the brother would protect MASKTOKEN from getting hurt.,the actress told the female hunter that the brother would protect,him
9,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,actress,female hunter,sister,f,f,f,the actress told the female hunter that the sister would protect MASKTOKEN from getting hurt.,the actress told the female hunter that the sister would protect,him
10,1,Match_Match_Match,Match,Match,Match,nephew,emperor,son,m,m,m,the nephew told the emperor that the son would entertain MASKTOKEN after dinner tonight.,the nephew told the emperor that the son would entertain,him
10,1,Match_Match_Mismatch,Match,Match,Mismatch,nephew,emperor,daughter,m,m,f,the nephew told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,the nephew told the emperor that the daughter would entertain,him
10,1,Match_Mismatch_Match,Match,Mismatch,Match,nephew,queen,son,m,f,m,the nephew told the queen that the son would entertain MASKTOKEN after dinner tonight.,the nephew told the queen that the son would entertain,him
10,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,nephew,queen,daughter,m,f,f,the nephew told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,the nephew told the queen that the daughter would entertain,him
10,1,Mismatch_Match_Match,Mismatch,Match,Match,niece,emperor,son,f,m,m,the niece told the emperor that the son would entertain MASKTOKEN after dinner tonight.,the niece told the emperor that the son would entertain,him
10,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,niece,emperor,daughter,f,m,f,the niece told the emperor that the daughter would entertain MASKTOKEN after dinner tonight.,the niece told the emperor that the daughter would entertain,him
10,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,niece,queen,son,f,f,m,the niece told the queen that the son would entertain MASKTOKEN after dinner tonight.,the niece told the queen that the son would entertain,him
10,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,niece,queen,daughter,f,f,f,the niece told the queen that the daughter would entertain MASKTOKEN after dinner tonight.,the niece told the queen that the daughter would entertain,him
11,1,Match_Match_Match,Match,Match,Match,uncle,lord,husband,m,m,m,the uncle told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,the uncle told the lord that the husband would remind,him
11,1,Match_Match_Mismatch,Match,Match,Mismatch,uncle,lord,wife,m,m,f,the uncle told the lord that the wife would remind MASKTOKEN of the job that needed to be done.,the uncle told the lord that the wife would remind,him
11,1,Match_Mismatch_Match,Match,Mismatch,Match,uncle,lady,husband,m,f,m,the uncle told the lady that the husband would remind MASKTOKEN of the job that needed to be done.,the uncle told the lady that the husband would remind,him
11,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,uncle,lady,wife,m,f,f,the uncle told the lady that the wife would remind MASKTOKEN of the job that needed to be done.,the uncle told the lady that the wife would remind,him
11,1,Mismatch_Match_Match,Mismatch,Match,Match,aunt,lord,husband,f,m,m,the aunt told the lord that the husband would remind MASKTOKEN of the job that needed to be done.,the aunt told the lord that the husband would remind,him
11,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,aunt,lord,wife,f,m,f,the aunt told the lord that the wife would remind MASKTOKEN of the job that needed to be done.,the aunt told the lord that the wife would remind,him
11,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,aunt,lady,husband,f,f,m,the aunt told the lady that the husband would remind MASKTOKEN of the job that needed to be done.,the aunt told the lady that the husband would remind,him
11,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,aunt,lady,wife,f,f,f,the aunt told the lady that the wife would remind MASKTOKEN of the job that needed to be done.,the aunt told the lady that the wife would remind,him
12,1,Match_Match_Match,Match,Match,Match,father,bachelor,businessman,m,m,m,the father warned the bachelor that the businessman would blame MASKTOKEN for the high cost of tests.,the father warned the bachelor that the businessman would blame,him
12,1,Match_Match_Mismatch,Match,Match,Mismatch,father,bachelor,business woman,m,m,f,the father warned the bachelor that the business woman would blame MASKTOKEN for the high cost of tests.,the father warned the bachelor that the business woman would blame,him
12,1,Match_Mismatch_Match,Match,Mismatch,Match,father,widow,businessman,m,f,m,the father warned the widow that the businessman would blame MASKTOKEN for the high cost of tests.,the father warned the widow that the businessman would blame,him
12,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,father,widow,business woman,m,f,f,the father warned the widow that the business woman would blame MASKTOKEN for the high cost of tests.,the father warned the widow that the business woman would blame,him
12,1,Mismatch_Match_Match,Mismatch,Match,Match,mother,bachelor,businessman,f,m,m,the mother warned the bachelor that the businessman would blame MASKTOKEN for the high cost of tests.,the mother warned the bachelor that the businessman would blame,him
12,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,mother,bachelor,business woman,f,m,f,the mother warned the bachelor that the business woman would blame MASKTOKEN for the high cost of tests.,the mother warned the bachelor that the business woman would blame,him
12,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,mother,widow,businessman,f,f,m,the mother warned the widow that the businessman would blame MASKTOKEN for the high cost of tests.,the mother warned the widow that the businessman would blame,him
12,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,mother,widow,business woman,f,f,f,the mother warned the widow that the business woman would blame MASKTOKEN for the high cost of tests.,the mother warned the widow that the business woman would blame,him
13,1,Match_Match_Match,Match,Match,Match,groom,wizard,boyfriend,m,m,m,the groom convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,the groom convinced the wizard that the boyfriend should give,him
13,1,Match_Match_Mismatch,Match,Match,Mismatch,groom,wizard,girlfriend,m,m,f,the groom convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,the groom convinced the wizard that the girlfriend should give,him
13,1,Match_Mismatch_Match,Match,Mismatch,Match,groom,witch,boyfriend,m,f,m,the groom convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,the groom convinced the witch that the boyfriend should give,him
13,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,groom,witch,girlfriend,m,f,f,the groom convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,the groom convinced the witch that the girlfriend should give,him
13,1,Mismatch_Match_Match,Mismatch,Match,Match,bride,wizard,boyfriend,f,m,m,the bride convinced the wizard that the boyfriend should give MASKTOKEN a raise in pay.,the bride convinced the wizard that the boyfriend should give,him
13,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,bride,wizard,girlfriend,f,m,f,the bride convinced the wizard that the girlfriend should give MASKTOKEN a raise in pay.,the bride convinced the wizard that the girlfriend should give,him
13,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,bride,witch,boyfriend,f,f,m,the bride convinced the witch that the boyfriend should give MASKTOKEN a raise in pay.,the bride convinced the witch that the boyfriend should give,him
13,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,bride,witch,girlfriend,f,f,f,the bride convinced the witch that the girlfriend should give MASKTOKEN a raise in pay.,the bride convinced the witch that the girlfriend should give,him
14,1,Match_Match_Match,Match,Match,Match,priest,sorcerer,congressman,m,m,m,the priest told the sorcerer that the congressman would probably not protect MASKTOKEN under the circumstances.,the priest told the sorcerer that the congressman would probably not protect,him
14,1,Match_Match_Mismatch,Match,Match,Mismatch,priest,sorcerer,congress woman,m,m,f,the priest told the sorcerer that the congress woman would probably not protect MASKTOKEN under the circumstances.,the priest told the sorcerer that the congress woman would probably not protect,him
14,1,Match_Mismatch_Match,Match,Mismatch,Match,priest,witch,congressman,m,f,m,the priest told the witch that the congressman would probably not protect MASKTOKEN under the circumstances.,the priest told the witch that the congressman would probably not protect,him
14,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,priest,witch,congress woman,m,f,f,the priest told the witch that the congress woman would probably not protect MASKTOKEN under the circumstances.,the priest told the witch that the congress woman would probably not protect,him
14,1,Mismatch_Match_Match,Mismatch,Match,Match,nun,sorcerer,congressman,f,m,m,the nun told the sorcerer that the congressman would probably not protect MASKTOKEN under the circumstances.,the nun told the sorcerer that the congressman would probably not protect,him
14,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,nun,sorcerer,congress woman,f,m,f,the nun told the sorcerer that the congress woman would probably not protect MASKTOKEN under the circumstances.,the nun told the sorcerer that the congress woman would probably not protect,him
14,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,nun,witch,congressman,f,f,m,the nun told the witch that the congressman would probably not protect MASKTOKEN under the circumstances.,the nun told the witch that the congressman would probably not protect,him
14,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,nun,witch,congress woman,f,f,f,the nun told the witch that the congress woman would probably not protect MASKTOKEN under the circumstances.,the nun told the witch that the congress woman would probably not protect,him
15,1,Match_Match_Match,Match,Match,Match,driver,chairman,council man,m,m,m,the driver told the chairman that the council man would introduce  MASKTOKEN to the famous diplomat.,the driver told the chairman that the council man would introduce,him
15,1,Match_Match_Mismatch,Match,Match,Mismatch,driver,chairman,council woman,m,m,f,the driver told the chairman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the driver told the chairman that the council woman would introduce,him
15,1,Match_Mismatch_Match,Match,Mismatch,Match,driver,chair woman,council man,m,f,m,the driver told the chair woman that the council man would introduce  MASKTOKEN to the famous diplomat.,the driver told the chair woman that the council man would introduce,him
15,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,driver,chair woman,council woman,m,f,f,the driver told the chair woman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the driver told the chair woman that the council woman would introduce,him
15,1,Mismatch_Match_Match,Mismatch,Match,Match,maid,chairman,council man,f,m,m,the maid told the chairman that the council man would introduce  MASKTOKEN to the famous diplomat.,the maid told the chairman that the council man would introduce,him
15,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,maid,chairman,council woman,f,m,f,the maid told the chairman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the maid told the chairman that the council woman would introduce,him
15,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,maid,chair woman,council man,f,f,m,the maid told the chair woman that the council man would introduce  MASKTOKEN to the famous diplomat.,the maid told the chair woman that the council man would introduce,him
15,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,maid,chair woman,council woman,f,f,f,the maid told the chair woman that the council woman would introduce  MASKTOKEN to the famous diplomat.,the maid told the chair woman that the council woman would introduce,him
16,1,Match_Match_Match,Match,Match,Match,professor,boy,grandson,m,m,m,the professor warned the boy that the grandson would be angry with MASKTOKEN for forgetting about the show.,the professor warned the boy that the grandson would be angry with,him
16,1,Match_Match_Mismatch,Match,Match,Mismatch,professor,boy,granddaughter,m,m,f,the professor warned the boy that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the professor warned the boy that the granddaughter would be angry with,him
16,1,Match_Mismatch_Match,Match,Mismatch,Match,professor,girl,grandson,m,f,m,the professor warned the girl that the grandson would be angry with MASKTOKEN for forgetting about the show.,the professor warned the girl that the grandson would be angry with,him
16,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,professor,girl,granddaughter,m,f,f,the professor warned the girl that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the professor warned the girl that the granddaughter would be angry with,him
16,1,Mismatch_Match_Match,Mismatch,Match,Match,secretary,boy,grandson,f,m,m,the secretary warned the boy that the grandson would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the boy that the grandson would be angry with,him
16,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,secretary,boy,granddaughter,f,m,f,the secretary warned the boy that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the boy that the granddaughter would be angry with,him
16,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,secretary,girl,grandson,f,f,m,the secretary warned the girl that the grandson would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the girl that the grandson would be angry with,him
16,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,secretary,girl,granddaughter,f,f,f,the secretary warned the girl that the granddaughter would be angry with MASKTOKEN for forgetting about the show.,the secretary warned the girl that the granddaughter would be angry with,him
17,1,Match_Match_Match,Match,Match,Match,brother,boy,wizard,m,m,m,the brother told the boy that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the boy that the wizard might treat,him
17,1,Match_Match_Mismatch,Match,Match,Mismatch,brother,boy,witch,m,m,f,the brother told the boy that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the boy that the witch might treat,him
17,1,Match_Mismatch_Match,Match,Mismatch,Match,brother,girl,wizard,m,f,m,the brother told the girl that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the girl that the wizard might treat,him
17,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,brother,girl,witch,m,f,f,the brother told the girl that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the brother told the girl that the witch might treat,him
17,1,Mismatch_Match_Match,Mismatch,Match,Match,sister,boy,wizard,f,m,m,the sister told the boy that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the boy that the wizard might treat,him
17,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,sister,boy,witch,f,m,f,the sister told the boy that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the boy that the witch might treat,him
17,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,sister,girl,wizard,f,f,m,the sister told the girl that the wizard might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the girl that the wizard might treat,him
17,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,sister,girl,witch,f,f,f,the sister told the girl that the witch might treat MASKTOKEN to an expensive dinner in a nice restaurant.,the sister told the girl that the witch might treat,him
18,1,Match_Match_Match,Match,Match,Match,son,man,lord,m,m,m,the son told the man that the lord would introduce MASKTOKEN to the band leader.,the son told the man that the lord would introduce,him
18,1,Match_Match_Mismatch,Match,Match,Mismatch,son,man,lady,m,m,f,the son told the man that the lady would introduce MASKTOKEN to the band leader.,the son told the man that the lady would introduce,him
