item,exp,cond,contrast,matrix,embedded,pronoun,N1,N2,N1_gender,N2_gender,mask_sents,auto_sents,target
6,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man said that the dancer had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the man said that the dancer had embarrassed,him
6,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,football player,f,m,the woman said that the football player had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the woman said that the football player had embarrassed,him
6,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman said that the dancer had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the woman said that the dancer had embarrassed,him
6,1,Common Nouns,Match_Match,Match,Match,his,man,football player,m,m,the man said that the football player had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the man said that the football player had embarrassed,his
6,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man said that the dancer had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the man said that the dancer had embarrassed,his
6,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,football player,f,m,the woman said that the football player had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the woman said that the football player had embarrassed,his
6,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman said that the dancer had embarrassed MASKTOKEN friends repeatedly in front of the visiting college recruiters.,the woman said that the dancer had embarrassed,his
7,1,Common Nouns,Match_Match,Match,Match,him,man,drug addict,m,m,the man worried that the drug addict would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the man worried that the drug addict would resent,him
7,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,pop singer,m,f,the man worried that the pop singer would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the man worried that the pop singer would resent,him
7,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,drug addict,f,m,the woman worried that the drug addict would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the woman worried that the drug addict would resent,him
7,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,pop singer,f,f,the woman worried that the pop singer would resent MASKTOKEN fairly when the withdrawal symptoms became unbearable.,the woman worried that the pop singer would resent,him
7,1,Common Nouns,Match_Match,Match,Match,his,man,drug addict,m,m,the man worried that the drug addict would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the man worried that the drug addict would resent,his
7,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,pop singer,m,f,the man worried that the pop singer would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the man worried that the pop singer would resent,his
7,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,drug addict,f,m,the woman worried that the drug addict would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the woman worried that the drug addict would resent,his
7,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,pop singer,f,f,the woman worried that the pop singer would resent MASKTOKEN body fairly when the withdrawal symptoms became unbearable.,the woman worried that the pop singer would resent,his
8,1,Common Nouns,Match_Match,Match,Match,him,man,police officer,m,m,the man recalled that the police officer had contradicted MASKTOKEN completely during the intense cross examination.,the man recalled that the police officer had contradicted,him
8,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,social worker,m,f,the man recalled that the social worker had contradicted MASKTOKEN completely during the intense cross examination.,the man recalled that the social worker had contradicted,him
8,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,police officer,f,m,the woman recalled that the police officer had contradicted MASKTOKEN completely during the intense cross examination.,the woman recalled that the police officer had contradicted,him
8,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,social worker,f,f,the woman recalled that the social worker had contradicted MASKTOKEN completely during the intense cross examination.,the woman recalled that the social worker had contradicted,him
8,1,Common Nouns,Match_Match,Match,Match,his,man,police officer,m,m,the man recalled that the police officer had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the man recalled that the police officer had contradicted,his
8,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,social worker,m,f,the man recalled that the social worker had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the man recalled that the social worker had contradicted,his
8,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,police officer,f,m,the woman recalled that the police officer had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the woman recalled that the police officer had contradicted,his
8,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,social worker,f,f,the woman recalled that the social worker had contradicted MASKTOKEN lawyer completely during the intense cross examination.,the woman recalled that the social worker had contradicted,his
9,1,Common Nouns,Match_Match,Match,Match,him,man,building contractor,m,m,the man insisted that the building contractor should familiarize MASKTOKEN thoroughly with every detail of the plans.,the man insisted that the building contractor should familiarize,him
9,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,interior designer,m,f,the man insisted that the interior designer should familiarize MASKTOKEN thoroughly with every detail of the plans.,the man insisted that the interior designer should familiarize,him
9,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,building contractor,f,m,the woman insisted that the building contractor should familiarize MASKTOKEN thoroughly with every detail of the plans.,the woman insisted that the building contractor should familiarize,him
9,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,interior designer,f,f,the woman insisted that the interior designer should familiarize MASKTOKEN thoroughly with every detail of the plans.,the woman insisted that the interior designer should familiarize,him
9,1,Common Nouns,Match_Match,Match,Match,his,man,building contractor,m,m,the man insisted that the building contractor should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the man insisted that the building contractor should familiarize,his
9,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,interior designer,m,f,the man insisted that the interior designer should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the man insisted that the interior designer should familiarize,his
9,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,building contractor,f,m,the woman insisted that the building contractor should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the woman insisted that the building contractor should familiarize,his
9,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,interior designer,f,f,the woman insisted that the interior designer should familiarize MASKTOKEN coworkers thoroughly with every detail of the plans.,the woman insisted that the interior designer should familiarize,his
10,1,Common Nouns,Match_Match,Match,Match,him,man,football coach,m,m,the man denied that the football coach had entertained MASKTOKEN completely by making fun of the students.,the man denied that the football coach had entertained,him
10,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,guidance counselor,m,f,the man denied that the guidance counselor had entertained MASKTOKEN completely by making fun of the students.,the man denied that the guidance counselor had entertained,him
10,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,football coach,f,m,the woman denied that the football coach had entertained MASKTOKEN completely by making fun of the students.,the woman denied that the football coach had entertained,him
10,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,guidance counselor,f,f,the woman denied that the guidance counselor had entertained MASKTOKEN completely by making fun of the students.,the woman denied that the guidance counselor had entertained,him
10,1,Common Nouns,Match_Match,Match,Match,his,man,football coach,m,m,the man denied that the football coach had entertained MASKTOKEN friend completely by making fun of the students.,the man denied that the football coach had entertained,his
10,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,guidance counselor,m,f,the man denied that the guidance counselor had entertained MASKTOKEN friend completely by making fun of the students.,the man denied that the guidance counselor had entertained,his
10,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,football coach,f,m,the woman denied that the football coach had entertained MASKTOKEN friend completely by making fun of the students.,the woman denied that the football coach had entertained,his
10,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,guidance counselor,f,f,the woman denied that the guidance counselor had entertained MASKTOKEN friend completely by making fun of the students.,the woman denied that the guidance counselor had entertained,his
11,1,Common Nouns,Match_Match,Match,Match,him,man,air traffic controller,m,m,the man worried that the air traffic controller would blame MASKTOKEN entirely for the accident during the emergency landing.,the man worried that the air traffic controller would blame,him
11,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,flight attendant,m,f,the man worried that the flight attendant would blame MASKTOKEN entirely for the accident during the emergency landing.,the man worried that the flight attendant would blame,him
11,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,air traffic controller,f,m,the woman worried that the air traffic controller would blame MASKTOKEN entirely for the accident during the emergency landing.,the woman worried that the air traffic controller would blame,him
11,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,flight attendant,f,f,the woman worried that the flight attendant would blame MASKTOKEN entirely for the accident during the emergency landing.,the woman worried that the flight attendant would blame,him
11,1,Common Nouns,Match_Match,Match,Match,his,man,air traffic controller,m,m,the man worried that the air traffic controller would blame MASKTOKEN error entirely for the accident during the emergency landing.,the man worried that the air traffic controller would blame,his
11,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,flight attendant,m,f,the man worried that the flight attendant would blame MASKTOKEN error entirely for the accident during the emergency landing.,the man worried that the flight attendant would blame,his
11,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,air traffic controller,f,m,the woman worried that the air traffic controller would blame MASKTOKEN error entirely for the accident during the emergency landing.,the woman worried that the air traffic controller would blame,his
11,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,flight attendant,f,f,the woman worried that the flight attendant would blame MASKTOKEN error entirely for the accident during the emergency landing.,the woman worried that the flight attendant would blame,his
12,1,Common Nouns,Match_Match,Match,Match,him,man,analyst,m,m,the man discovered that the analyst had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the man discovered that the analyst had mocked,him
12,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,secretary,m,f,the man discovered that the secretary had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the man discovered that the secretary had mocked,him
12,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,analyst,f,m,the woman discovered that the analyst had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the woman discovered that the analyst had mocked,him
12,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,secretary,f,f,the woman discovered that the secretary had mocked MASKTOKEN completely for singing karaoke after drinking too much.,the woman discovered that the secretary had mocked,him
12,1,Common Nouns,Match_Match,Match,Match,his,man,analyst,m,m,the man discovered that the analyst had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the man discovered that the analyst had mocked,his
12,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,secretary,m,f,the man discovered that the secretary had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the man discovered that the secretary had mocked,his
12,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,analyst,f,m,the woman discovered that the analyst had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the woman discovered that the analyst had mocked,his
12,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,secretary,f,f,the woman discovered that the secretary had mocked MASKTOKEN coworker completely for singing karaoke after drinking too much.,the woman discovered that the secretary had mocked,his
13,1,Common Nouns,Match_Match,Match,Match,him,man,clown,m,m,the man dreamed that the clown had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the man dreamed that the clown had dressed,him
13,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man dreamed that the dancer had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the man dreamed that the dancer had dressed,him
13,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,clown,f,m,the woman dreamed that the clown had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the woman dreamed that the clown had dressed,him
13,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman dreamed that the dancer had dressed MASKTOKEN horribly in a frilly costume and an enormous hat.,the woman dreamed that the dancer had dressed,him
13,1,Common Nouns,Match_Match,Match,Match,his,man,clown,m,m,the man dreamed that the clown had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the man dreamed that the clown had dressed,his
13,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man dreamed that the dancer had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the man dreamed that the dancer had dressed,his
13,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,clown,f,m,the woman dreamed that the clown had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the woman dreamed that the clown had dressed,his
13,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman dreamed that the dancer had dressed MASKTOKEN helper horribly in a frilly costume and an enormous hat.,the woman dreamed that the dancer had dressed,his
14,1,Common Nouns,Match_Match,Match,Match,him,man,movie director,m,m,the man believed that the movie director would introduce MASKTOKEN eagerly to the most influential people in the room.,the man believed that the movie director would introduce,him
14,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,actress,m,f,the man believed that the actress would introduce MASKTOKEN eagerly to the most influential people in the room.,the man believed that the actress would introduce,him
14,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,movie director,f,m,the woman believed that the movie director would introduce MASKTOKEN eagerly to the most influential people in the room.,the woman believed that the movie director would introduce,him
14,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,actress,f,f,the woman believed that the actress would introduce MASKTOKEN eagerly to the most influential people in the room.,the woman believed that the actress would introduce,him
14,1,Common Nouns,Match_Match,Match,Match,his,man,movie director,m,m,the man believed that the movie director would introduce MASKTOKEN protege eagerly to the most influential people in the room.,the man believed that the movie director would introduce,his
14,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,actress,m,f,the man believed that the actress would introduce MASKTOKEN protege eagerly to the most influential people in the room.,the man believed that the actress would introduce,his
14,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,movie director,f,m,the woman believed that the movie director would introduce MASKTOKEN protege eagerly to the most influential people in the room.,the woman believed that the movie director would introduce,his
14,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,actress,f,f,the woman believed that the actress would introduce MASKTOKEN protege eagerly to the most influential people in the room.,the woman believed that the actress would introduce,his
15,1,Common Nouns,Match_Match,Match,Match,him,man,farmer,m,m,the man said that the farmer had reminded MASKTOKEN frequently about the dangers of pesticides.,the man said that the farmer had reminded,him
15,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,maid,m,f,the man said that the maid had reminded MASKTOKEN frequently about the dangers of pesticides.,the man said that the maid had reminded,him
15,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,farmer,f,m,the woman said that the farmer had reminded MASKTOKEN frequently about the dangers of pesticides.,the woman said that the farmer had reminded,him
15,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,maid,f,f,the woman said that the maid had reminded MASKTOKEN frequently about the dangers of pesticides.,the woman said that the maid had reminded,him
15,1,Common Nouns,Match_Match,Match,Match,his,man,farmer,m,m,the man said that the farmer had reminded MASKTOKEN colleagues frequently about the dangers of pesticides.,the man said that the farmer had reminded,his
15,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,maid,m,f,the man said that the maid had reminded MASKTOKEN colleagues frequently about the dangers of pesticides.,the man said that the maid had reminded,his
15,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,farmer,f,m,the woman said that the farmer had reminded MASKTOKEN colleagues frequently about the dangers of pesticides.,the woman said that the farmer had reminded,his
15,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,maid,f,f,the woman said that the maid had reminded MASKTOKEN colleagues frequently about the dangers of pesticides.,the woman said that the maid had reminded,his
16,1,Common Nouns,Match_Match,Match,Match,him,man,pirate,m,m,the man expected that the pirate would blame MASKTOKEN when the curse of the secret treasure was unleashed.,the man expected that the pirate would blame,him
16,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,fairy,m,f,the man expected that the fairy would blame MASKTOKEN when the curse of the secret treasure was unleashed.,the man expected that the fairy would blame,him
16,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,pirate,f,m,the woman expected that the pirate would blame MASKTOKEN when the curse of the secret treasure was unleashed.,the woman expected that the pirate would blame,him
16,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,fairy,f,f,the woman expected that the fairy would blame MASKTOKEN when the curse of the secret treasure was unleashed.,the woman expected that the fairy would blame,him
16,1,Common Nouns,Match_Match,Match,Match,his,man,pirate,m,m,the man expected that the pirate would blame MASKTOKEN foolishness when the curse of the secret treasure was unleashed.,the man expected that the pirate would blame,his
16,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,fairy,m,f,the man expected that the fairy would blame MASKTOKEN foolishness when the curse of the secret treasure was unleashed.,the man expected that the fairy would blame,his
16,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,pirate,f,m,the woman expected that the pirate would blame MASKTOKEN foolishness when the curse of the secret treasure was unleashed.,the woman expected that the pirate would blame,his
16,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,fairy,f,f,the woman expected that the fairy would blame MASKTOKEN foolishness when the curse of the secret treasure was unleashed.,the woman expected that the fairy would blame,his
17,1,Common Nouns,Match_Match,Match,Match,him,man,sound engineer,m,m,the man ensured that the sound engineer had prepared MASKTOKEN thoroughly for any potential mishaps during the performance.,the man ensured that the sound engineer had prepared,him
17,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dance instructor,m,f,the man ensured that the dance instructor had prepared MASKTOKEN thoroughly for any potential mishaps during the performance.,the man ensured that the dance instructor had prepared,him
17,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,sound engineer,f,m,the woman ensured that the sound engineer had prepared MASKTOKEN thoroughly for any potential mishaps during the performance.,the woman ensured that the sound engineer had prepared,him
17,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dance instructor,f,f,the woman ensured that the dance instructor had prepared MASKTOKEN thoroughly for any potential mishaps during the performance.,the woman ensured that the dance instructor had prepared,him
17,1,Common Nouns,Match_Match,Match,Match,his,man,sound engineer,m,m,the man ensured that the sound engineer had prepared MASKTOKEN crew thoroughly for any potential mishaps during the performance.,the man ensured that the sound engineer had prepared,his
17,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dance instructor,m,f,the man ensured that the dance instructor had prepared MASKTOKEN crew thoroughly for any potential mishaps during the performance.,the man ensured that the dance instructor had prepared,his
17,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,sound engineer,f,m,the woman ensured that the sound engineer had prepared MASKTOKEN crew thoroughly for any potential mishaps during the performance.,the woman ensured that the sound engineer had prepared,his
17,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dance instructor,f,f,the woman ensured that the dance instructor had prepared MASKTOKEN crew thoroughly for any potential mishaps during the performance.,the woman ensured that the dance instructor had prepared,his
18,1,Common Nouns,Match_Match,Match,Match,him,man,choir boy,m,m,the man feared that the choir boy would disappoint MASKTOKEN eventually by hitting a false note in a difficult part.,the man feared that the choir boy would disappoint,him
18,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,choir girl,m,f,the man feared that the choir girl would disappoint MASKTOKEN eventually by hitting a false note in a difficult part.,the man feared that the choir girl would disappoint,him
18,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,choir boy,f,m,the woman feared that the choir boy would disappoint MASKTOKEN eventually by hitting a false note in a difficult part.,the woman feared that the choir boy would disappoint,him
18,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,choir girl,f,f,the woman feared that the choir girl would disappoint MASKTOKEN eventually by hitting a false note in a difficult part.,the woman feared that the choir girl would disappoint,him
18,1,Common Nouns,Match_Match,Match,Match,his,man,choir boy,m,m,the man feared that the choir boy would disappoint MASKTOKEN audience eventually by hitting a false note in a difficult part.,the man feared that the choir boy would disappoint,his
